target_label,target_selected_dir,target_prev,target_mid,target_next,target_window_string,target_window_role,target_mid_selected_cheap7,target_mid_selected_BLiMP,target_mid_selected_Supplement,target_mid_selected_EWoK,target_mid_selected_Entity,target_mid_selected_COMPS,target_mid_selected_GlobalPIQA,target_mid_selected_Reading,group_level,window,n_groups,pearson_net_pct,weighted_pearson_net_pct,cosine_net_pct,ref_nonzero_groups,sign_agreement_ref_nonzero,ref_mover_threshold_abs_net_pct,ref_mover_groups,sign_agreement_ref_movers,ref_pattern_mover_groups,same_signed_pattern_on_ref_movers,same_signed_pattern_fraction
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_76M,chck_78M,chck_80M,chck_76M->chck_78M->chck_80M,background,43.70214285714286,68.02,62.78,49.04,27.75,52.34,37.605000000000004,8.379999999999999,column_subtask,rise+fall_pattern,107,0.14847707414340192,0.1965966160156788,0.14845107362986562,,,0.25,,,103,37,0.3592233009708738
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_76M,chck_78M,chck_80M,chck_76M->chck_78M->chck_80M,background,43.70214285714286,68.02,62.78,49.04,27.75,52.34,37.605000000000004,8.379999999999999,column_subtask_subgroup,rise,127,0.14817563594125513,0.29223021023267415,0.1437050977602724,115,0.4782608695652174,0.25,93,0.5161290322580645,,,
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_76M,chck_78M,chck_80M,chck_76M->chck_78M->chck_80M,background,43.70214285714286,68.02,62.78,49.04,27.75,52.34,37.605000000000004,8.379999999999999,column_subtask_subgroup,fall,127,-0.015679844684987336,-0.06597106844316487,-0.014518119188969841,113,0.4336283185840708,0.25,94,0.4574468085106383,,,
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_76M,chck_78M,chck_80M,chck_76M->chck_78M->chck_80M,background,43.70214285714286,68.02,62.78,49.04,27.75,52.34,37.605000000000004,8.379999999999999,column_subtask_subgroup,rise+fall_pattern,127,0.0259598904119617,0.11721742582269434,0.025517690170551825,,,0.25,,,115,40,0.34782608695652173
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_78M,chck_80M,chck_82M,chck_78M->chck_80M->chck_82M,background,43.81214285714286,68.11,62.62,49.24,28.2,52.11,38.105000000000004,8.3,column_official_subtask_mean,rise,6,0.24942979188003628,0.03310912444509143,0.4381773610586856,6,0.5,0.25,3,0.6666666666666666,,,
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_78M,chck_80M,chck_82M,chck_78M->chck_80M->chck_82M,background,43.81214285714286,68.11,62.62,49.24,28.2,52.11,38.105000000000004,8.3,column_official_subtask_mean,fall,6,0.7450680040159531,0.3079177915696065,0.399033874511942,6,0.8333333333333334,0.25,2,0.5,,,
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_78M,chck_80M,chck_82M,chck_78M->chck_80M->chck_82M,background,43.81214285714286,68.11,62.62,49.24,28.2,52.11,38.105000000000004,8.3,column_official_subtask_mean,rise+fall_pattern,6,0.5244319488304348,0.16513540922837505,0.3962972168644532,,,0.25,,,3,2,0.6666666666666666
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_78M,chck_80M,chck_82M,chck_78M->chck_80M->chck_82M,background,43.81214285714286,68.11,62.62,49.24,28.2,52.11,38.105000000000004,8.3,column,rise,6,0.5644349097873951,-0.4227368954648389,0.5847009136962171,6,0.16666666666666666,0.25,1,1.0,,,
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_78M,chck_80M,chck_82M,chck_78M->chck_80M->chck_82M,background,43.81214285714286,68.11,62.62,49.24,28.2,52.11,38.105000000000004,8.3,column,fall,6,0.9141248842119377,0.7767475444323133,0.7061388811100552,6,0.8333333333333334,0.25,3,1.0,,,
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_78M,chck_80M,chck_82M,chck_78M->chck_80M->chck_82M,background,43.81214285714286,68.11,62.62,49.24,28.2,52.11,38.105000000000004,8.3,column,rise+fall_pattern,6,0.7861181800771716,0.5278049442340267,0.6745847039325438,,,0.25,,,3,3,1.0
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_78M,chck_80M,chck_82M,chck_78M->chck_80M->chck_82M,background,43.81214285714286,68.11,62.62,49.24,28.2,52.11,38.105000000000004,8.3,column_subtask,rise,107,0.0789259844943375,0.05624435762372292,0.07489845353114767,102,0.47058823529411764,0.25,87,0.4827586206896552,,,
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_78M,chck_80M,chck_82M,chck_78M->chck_80M->chck_82M,background,43.81214285714286,68.11,62.62,49.24,28.2,52.11,38.105000000000004,8.3,column_subtask,fall,107,0.17910137657426864,0.22100199267954268,0.18604313099578815,101,0.49504950495049505,0.25,87,0.5517241379310345,,,
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_78M,chck_80M,chck_82M,chck_78M->chck_80M->chck_82M,background,43.81214285714286,68.11,62.62,49.24,28.2,52.11,38.105000000000004,8.3,column_subtask,rise+fall_pattern,107,0.12643634068253434,0.13925402195974224,0.12576724427040314,,,0.25,,,103,37,0.3592233009708738
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_78M,chck_80M,chck_82M,chck_78M->chck_80M->chck_82M,background,43.81214285714286,68.11,62.62,49.24,28.2,52.11,38.105000000000004,8.3,column_subtask_subgroup,rise,127,0.5587111288146364,0.12378497579262887,0.557090127064882,115,0.4434782608695652,0.25,93,0.4838709677419355,,,
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_78M,chck_80M,chck_82M,chck_78M->chck_80M->chck_82M,background,43.81214285714286,68.11,62.62,49.24,28.2,52.11,38.105000000000004,8.3,column_subtask_subgroup,fall,127,-0.6545099279995281,-0.10543001665820081,-0.655189839471118,113,0.5309734513274337,0.25,94,0.5638297872340425,,,
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_78M,chck_80M,chck_82M,chck_78M->chck_80M->chck_82M,background,43.81214285714286,68.11,62.62,49.24,28.2,52.11,38.105000000000004,8.3,column_subtask_subgroup,rise+fall_pattern,127,-0.36153823105215993,-0.012158020380529874,-0.366192199007359,,,0.25,,,115,44,0.3826086956521739
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_80M,chck_82M,chck_84M,chck_80M->chck_82M->chck_84M,background,43.95857142857143,68.48,62.94,50.06,28.31,52.19,37.58,8.15,column_official_subtask_mean,rise,6,-0.5474394981905704,-0.28820167111553135,-0.1727545590972543,6,0.6666666666666666,0.25,3,0.6666666666666666,,,
scale1p75_seed43022_reference,experiments/archive/frontier_consolidation/data/selected_trajectory_eval_scale1p75_seed43022_reference_common2M,chck_80M,chck_82M,chck_84M,chck_80M->chck_82M->chck_84M,background,43.95857142857143,68.48,62.94,50.06,28.31,52.19,37.58,8.15,column_official_subtask_mean,fall,6,-0.8159143718214559,-0.8164175021414017,-0.857241635211856,6,0.5,0.25,2,0.0,,,
