word,n_rows,n_finite_rows,n_unique_steps,in_cdi_human,mean_context_words,min_context_words,max_context_words,child_status,child_aoa,model_random_chance,model_min_surprisal,model_threshold,model_neg_threshold,model_first_step,model_last_step,model_first_surprisal,model_last_surprisal,model_mean_improvement_first_minus_last,model_best_step,model_best_surprisal,model_range_neg,model_status,subword_len,curve_first_1M,curve_last_100M,curve_best,curve_first_minus_last,model_log_aoa_step,model_aoa_step,model_aoa,model_exception
banana,342,342,19,1,14.444444444444445,5,25,ok,16.111616257951134,9.704060527839234,9.984563085767958,9.844311806803596,-9.844311806803596,1000000.0,100000000.0,9.984563085767958,11.8323335647583,-1.847770478990343,1000000.0,9.984563085767958,2.6332985030280227,threshold_above_upper_asymptote,1,9.984563085767958,11.8323335647583,9.984563085767958,-1.847770478990343,,,,
basement,380,380,19,1,12.4,5,36,child_never_reaches_50pct,,,,,,,,,,,,,,not_attempted_no_child_aoa,,,,,,,,,
basket,380,380,19,1,16.05,6,45,ok,26.039532817543783,9.704060527839234,8.449159932136535,9.076610229987885,-9.076610229987885,1000000.0,100000000.0,9.476781940460205,9.780754113197327,-0.3039721727371223,30000000.0,8.449159932136535,3.729253649711609,threshold_above_upper_asymptote,1,9.476781940460205,9.780754113197327,8.449159932136535,-0.3039721727371223,,,,
bat,380,380,19,1,14.25,5,25,ok,27.097241206641463,9.704060527839234,8.85140872001648,9.277734623927856,-9.277734623927856,1000000.0,100000000.0,10.0040274143219,9.321901679039001,0.6821257352828987,6000000.0,8.85140872001648,2.5554512500762936,threshold_above_upper_asymptote,1,10.0040274143219,9.321901679039001,8.85140872001648,0.6821257352828987,,,,
bath,380,380,19,1,14.65,5,35,ok,18.505566610748357,9.704060527839234,8.307384419441224,9.00572247364023,-9.00572247364023,1000000.0,100000000.0,10.081536054611206,8.68889890909195,1.3926371455192559,80000000.0,8.307384419441224,3.02042372226715,ok,1,10.081536054611206,8.68889890909195,8.307384419441224,1.3926371455192559,7.152780239871319,14216091.475003332,7.152780239871319,
bathroom,380,380,19,1,15.8,6,35,ok,23.557409105204858,9.704060527839234,7.245914493035525,8.47498751043738,-8.47498751043738,1000000.0,100000000.0,9.368094110488892,7.654324841406196,1.7137692690826958,80000000.0,7.245914493035525,3.590399899054318,ok,1,9.368094110488892,7.654324841406196,7.245914493035525,1.7137692690826958,7.640538512676481,43705742.50437876,7.640538512676481,
bathtub,76,76,19,1,7.5,5,11,ok,22.49947524893918,9.704060527839234,10.334789037704468,10.01942478277185,-10.01942478277185,1000000.0,100000000.0,10.334789037704468,11.874524593353271,-1.5397355556488037,1000000.0,10.334789037704468,2.456998586654663,flat_or_zero_amplitude,1,10.334789037704468,11.874524593353271,10.334789037704468,-1.5397355556488037,,,,
beach,380,380,19,1,15.95,5,53,ok,26.499831193868143,9.704060527839234,6.797575258463621,8.250817893151428,-8.250817893151428,1000000.0,100000000.0,9.6694917678833,6.829947141557932,2.8395446263253685,80000000.0,6.797575258463621,4.063358712941407,ok,1,9.6694917678833,6.829947141557932,6.797575258463621,2.8395446263253685,7.2886553257249584,19438166.749505267,7.2886553257249584,
beads,209,209,19,1,20.181818181818183,6,65,child_never_reaches_50pct,,,,,,,,,,,,,,not_attempted_no_child_aoa,,,,,,,,,
beans,380,380,19,1,11.45,5,25,ok,25.33209562564099,9.704060527839234,8.761633110046386,9.23284681894281,-9.23284681894281,1000000.0,100000000.0,9.739422702789307,9.351506114006042,0.3879165887832645,70000000.0,8.761633110046386,2.3459597587585463,threshold_above_upper_asymptote,1,9.739422702789307,9.351506114006042,8.761633110046386,0.3879165887832645,,,,
bear,380,380,19,1,16.35,5,47,ok,20.255559869502484,9.704060527839234,8.773979568481446,9.23902004816034,,,,,,,,,2.4043498754501336,model_fit_exception,1,9.474766445159911,9.27903904914856,8.773979568481446,0.19572739601135147,,,,RuntimeError('Optimal parameters not found: The maximum number of function evaluations is exceeded.')
bed,380,380,19,1,12.25,5,33,ok,20.670831293608018,9.704060527839234,7.172454369068146,8.43825744845369,-8.43825744845369,1000000.0,100000000.0,8.497898721694947,7.714038848876953,0.7838598728179935,20000000.0,7.172454369068146,1.8955695986747747,ok,1,8.497898721694947,7.714038848876953,7.172454369068146,0.7838598728179935,6.937220315880226,8654067.249125268,6.937220315880226,
bedroom,380,380,19,1,11.95,5,27,ok,25.160391755050476,9.704060527839234,8.469949346780776,9.087004937310006,-9.087004937310006,1000000.0,100000000.0,10.02876901626587,8.883240994811057,1.1455280214548118,70000000.0,8.469949346780776,2.544448989629746,ok,1,10.02876901626587,8.883240994811057,8.469949346780776,1.1455280214548118,7.047629378867176,11159104.381168088,7.047629378867176,
bee,285,285,19,1,13.6,5,29,ok,21.516560770858195,9.704060527839234,9.067037709554036,9.385549118696634,-9.385549118696634,1000000.0,100000000.0,9.78425973256429,10.24936383565267,-0.4651041030883789,7000000.0,9.067037709554036,2.877881940205892,threshold_above_upper_asymptote,1,9.78425973256429,10.24936383565267,9.067037709554036,-0.4651041030883789,,,,
belt,380,380,19,1,15.2,5,53,ok,28.65699534588996,9.704060527839234,8.870443987846375,9.287252257842805,-9.287252257842805,1000000.0,100000000.0,9.927177619934081,10.194150760769844,-0.26697314083576273,40000000.0,8.870443987846375,3.706410431861876,threshold_above_upper_asymptote,1,9.927177619934081,10.194150760769844,8.870443987846375,-0.26697314083576273,,,,
bench,380,380,19,1,12.05,5,34,child_never_reaches_50pct,,,,,,,,,,,,,,not_attempted_no_child_aoa,,,,,,,,,
better,380,380,19,1,12.0,5,22,ok,27.4836269032841,9.704060527839234,5.891142559051514,7.797601543445374,-7.797601543445374,1000000.0,100000000.0,8.51829915046692,6.629081428050995,1.8892177224159248,50000000.0,5.891142559051514,2.627156591415406,ok,1,8.51829915046692,6.629081428050995,5.891142559051514,1.8892177224159248,6.69970685892443,5008489.5527528245,6.69970685892443,
bib,57,57,19,1,7.333333333333333,5,9,ok,24.42989021903271,9.704060527839234,8.18927494684855,8.946667737343892,-8.946667737343892,1000000.0,100000000.0,9.46084721883138,8.315435409545898,1.1454118092854824,80000000.0,8.18927494684855,4.219038168589275,ok,1,9.46084721883138,8.315435409545898,8.18927494684855,1.1454118092854824,7.470658950713971,29556903.65992794,7.470658950713971,
bicycle,323,323,19,1,17.764705882352942,5,38,ok,22.29181500457535,9.704060527839234,10.463278013117174,10.083669270478204,-10.083669270478204,1000000.0,100000000.0,10.690020336824304,10.463278013117174,0.2267423237071302,100000000.0,10.463278013117174,1.5951412144829238,threshold_above_upper_asymptote,1,10.690020336824304,10.463278013117174,10.463278013117174,0.2267423237071302,,,,
big,380,380,19,1,13.3,5,29,ok,22.607359585163238,9.704060527839234,6.346017813682556,8.025039170760895,-8.025039170760895,1000000.0,100000000.0,8.93447380065918,7.248337197303772,1.6861366033554086,7000000.0,6.346017813682556,2.5884559869766246,ok,1,8.93447380065918,7.248337197303772,6.346017813682556,1.6861366033554086,6.701221799096622,5025991.070792375,6.701221799096622,
bird,380,380,19,1,15.15,5,40,ok,18.06848056468084,9.704060527839234,7.221033097803593,8.462546812821413,-8.462546812821413,1000000.0,100000000.0,9.635867929458618,7.244075577706099,2.3917923517525193,80000000.0,7.221033097803593,3.1357832893729203,ok,1,9.635867929458618,7.244075577706099,7.221033097803593,2.3917923517525193,7.38864451128322,24470592.984505285,7.38864451128322,
bite,380,380,19,1,14.45,5,31,ok,22.943816797389026,9.704060527839234,8.78168556690216,9.242873047370697,-9.242873047370697,1000000.0,100000000.0,9.984031867980956,9.215354180335998,0.7686776876449581,20000000.0,8.78168556690216,1.9526200056076046,threshold_above_upper_asymptote,1,9.984031867980956,9.215354180335998,8.78168556690216,0.7686776876449581,,,,
black,380,380,19,1,13.75,5,34,ok,25.804687037784696,9.704060527839234,6.546697402000428,8.12537896491983,-8.12537896491983,1000000.0,100000000.0,9.58598551750183,6.698433461785316,2.8875520557165144,50000000.0,6.546697402000428,3.039288115501403,ok,1,9.58598551750183,6.698433461785316,6.546697402000428,2.8875520557165144,6.722076141829876,5273222.050696993,6.722076141829876,
blanket,171,171,19,1,14.88888888888889,5,31,ok,21.042952598226645,9.704060527839234,9.229357931349012,9.466709229594123,,,,,,,,,1.8198220994737415,model_fit_exception,1,9.229357931349012,10.085172494252523,9.229357931349012,-0.855814562903511,,,,RuntimeError('Optimal parameters not found: The maximum number of function evaluations is exceeded.')
block,380,380,19,1,14.6,5,36,ok,21.984059781669306,9.704060527839234,8.391633415222168,9.047846971530701,-9.047846971530701,1000000.0,100000000.0,9.476463222503662,8.751109957695007,0.7253532648086551,20000000.0,8.391633415222168,1.816035795211791,ok,1,9.476463222503662,8.751109957695007,8.391633415222168,0.7253532648086551,7.062174455707691,11539165.920447227,7.062174455707691,
blow,380,380,19,1,20.4,5,102,ok,24.239916417068418,9.704060527839234,9.311838793754578,9.507949660796907,-9.507949660796907,1000000.0,100000000.0,9.898162651062012,9.662580537796021,0.2355821132659912,30000000.0,9.311838793754578,1.2753034830093384,threshold_above_upper_asymptote,1,9.898162651062012,9.662580537796021,9.311838793754578,0.2355821132659912,,,,
blue,380,380,19,1,17.5,5,42,ok,22.642599694308036,9.704060527839234,8.134659314155579,8.919359920997406,-8.919359920997406,1000000.0,100000000.0,8.51987829208374,8.759331679344177,-0.2394533872604363,7000000.0,8.134659314155579,2.496034407615662,flat_or_zero_amplitude,1,8.51987829208374,8.759331679344177,8.134659314155579,-0.2394533872604363,,,,
boat,380,380,19,1,13.05,5,28,ok,21.092331322802426,9.704060527839234,8.215414440631866,8.95973748423555,-8.95973748423555,1000000.0,100000000.0,9.733567810058593,8.251498368382453,1.4820694416761402,60000000.0,8.215414440631866,1.5181533694267273,ok,1,9.733567810058593,8.251498368382453,8.215414440631866,1.4820694416761402,6.5780324209038445,3784707.372257972,6.5780324209038445,
book,380,380,19,1,13.75,5,37,child_above_50pct_from_first_age,,,,,,,,,,,,,,not_attempted_no_child_aoa,,,,,,,,,
boots,380,380,19,1,12.7,6,22,ok,21.72477463112487,9.704060527839234,5.661091849207878,7.682576188523556,-7.682576188523556,1000000.0,100000000.0,10.141593217849731,5.8941108893603085,4.247482328489423,90000000.0,5.661091849207878,5.730893424153328,ok,1,10.141593217849731,5.8941108893603085,5.661091849207878,4.247482328489423,7.760202494714075,57570829.52761196,7.760202494714075,
bottle,380,380,19,1,13.15,5,39,ok,20.82785610568821,9.704060527839234,8.550282979011536,9.127171753425385,-9.127171753425385,1000000.0,100000000.0,9.593666696548462,9.469455528259278,0.12421116828918422,9000000.0,8.550282979011536,2.2570245504379276,threshold_above_upper_asymptote,1,9.593666696548462,9.469455528259278,8.550282979011536,0.12421116828918422,,,,
bottom,380,380,19,1,15.5,5,49,ok,22.21268312207221,9.704060527839234,5.550769180059433,7.627414853949333,-7.627414853949333,1000000.0,100000000.0,9.43320050239563,5.664796233177185,3.768404269218445,80000000.0,5.550769180059433,4.4751602709293365,ok,1,9.43320050239563,5.664796233177185,5.550769180059433,3.768404269218445,7.013460797577626,10314798.667242799,7.013460797577626,
bowl,380,380,19,1,12.55,5,39,ok,22.558643297425284,9.704060527839234,6.327895414829254,8.015977971334245,-8.015977971334245,1000000.0,100000000.0,9.584483766555786,7.0631327629089355,2.521351003646851,70000000.0,6.327895414829254,4.828797519207,ok,1,9.584483766555786,7.0631327629089355,6.327895414829254,2.521351003646851,7.328332814792982,21297704.371553455,7.328332814792982,
box,380,380,19,1,11.7,5,30,ok,22.744450977282813,9.704060527839234,6.390678417682648,8.047369472760941,-8.047369472760941,1000000.0,100000000.0,8.528419637680054,8.531165599822998,-0.0027459621429439807,20000000.0,6.390678417682648,3.603088843822479,threshold_above_upper_asymptote,1,8.528419637680054,8.531165599822998,6.390678417682648,-0.0027459621429439807,,,,
boy,380,380,19,1,15.85,5,34,ok,23.9923879977722,9.704060527839234,6.8096799492836,8.256870238561417,-8.256870238561417,1000000.0,100000000.0,9.081743240356445,7.125343203544617,1.9564000368118286,70000000.0,6.8096799492836,2.272063291072845,ok,1,9.081743240356445,7.125343203544617,6.8096799492836,1.9564000368118286,6.4882097140909885,3077581.573031153,6.4882097140909885,
bread,380,380,19,1,13.8,5,47,ok,22.252228192835148,9.704060527839234,7.553845858573913,8.628953193206574,-8.628953193206574,1000000.0,100000000.0,9.933765554428101,7.735769200325012,2.197996354103089,50000000.0,7.553845858573913,2.426004099845887,ok,1,9.933765554428101,7.735769200325012,7.553845858573913,2.197996354103089,7.10238267327022,12658511.45550102,7.10238267327022,
break,380,380,19,1,16.6,5,58,ok,25.062903657705817,9.704060527839234,7.139254462718964,8.4216574952791,-8.4216574952791,1000000.0,100000000.0,8.869069862365723,7.228239214420318,1.6408306479454051,80000000.0,7.139254462718964,3.246807968616486,ok,1,8.869069862365723,7.228239214420318,7.139254462718964,1.6408306479454051,6.992826914673613,9836189.124800682,6.992826914673613,
breakfast,380,380,19,1,13.25,5,32,ok,24.161838030910175,9.704060527839234,8.043906044960021,8.873983286399628,-8.873983286399628,1000000.0,100000000.0,9.557669925689698,8.39157862663269,1.1660912990570083,70000000.0,8.043906044960021,2.5062343358993537,ok,1,9.557669925689698,8.39157862663269,8.043906044960021,1.1660912990570083,7.724263176442575,52998449.98756165,7.724263176442575,
bring,380,380,19,1,12.2,5,33,ok,26.76659041051839,9.704060527839234,8.444136905670167,9.074098716754701,-9.074098716754701,1000000.0,100000000.0,9.027287149429322,9.82120509147644,-0.7939179420471181,20000000.0,8.444136905670167,1.4052067756652828,flat_or_zero_amplitude,1,9.027287149429322,9.82120509147644,8.444136905670167,-0.7939179420471181,,,,
broken,380,380,19,1,13.6,5,26,ok,23.62808164061539,9.704060527839234,8.690925669670104,9.19749309875467,-9.19749309875467,1000000.0,100000000.0,10.113829278945923,9.300090646743774,0.8137386322021491,20000000.0,8.690925669670104,1.7916685819625862,threshold_above_upper_asymptote,1,10.113829278945923,9.300090646743774,8.690925669670104,0.8137386322021491,,,,
broom,19,19,19,1,6.0,6,6,ok,24.2589798322677,9.704060527839234,8.702000617980957,9.203030572910095,-9.203030572910095,1000000.0,100000000.0,10.256450653076172,10.540753364562988,-0.2843027114868164,50000000.0,8.702000617980957,5.107766151428223,flat_or_zero_amplitude,1,10.256450653076172,10.540753364562988,8.702000617980957,-0.2843027114868164,,,,
brother,380,380,19,1,19.25,7,41,ok,27.4731814681999,9.704060527839234,4.980462993681431,7.342261760760332,-7.342261760760332,1000000.0,100000000.0,9.276254081726075,5.265754881501198,4.010499200224877,60000000.0,4.980462993681431,4.322650037705899,ok,1,9.276254081726075,5.265754881501198,4.980462993681431,4.010499200224877,6.8830968196742575,7640059.8870237265,6.8830968196742575,
brown,380,380,19,1,10.7,5,36,ok,26.727189326690834,9.704060527839234,8.314884972572326,9.00947275020578,-9.00947275020578,1000000.0,100000000.0,9.745329523086548,9.404700694978237,0.3406288281083114,10000000.0,8.314884972572326,2.419490694999695,aoa_after_last_checkpoint,1,9.745329523086548,9.404700694978237,8.314884972572326,0.3406288281083114,17.986324755498664,9.690021831202597e+17,,
brush,380,380,19,1,15.1,6,32,ok,22.41074269142454,9.704060527839234,9.460488891601562,9.582274709720398,-9.582274709720398,1000000.0,100000000.0,9.460488891601562,9.95624303817749,-0.4957541465759281,1000000.0,9.460488891601562,2.3197301864624027,threshold_above_upper_asymptote,1,9.460488891601562,9.95624303817749,9.460488891601562,-0.4957541465759281,,,,
bubbles,247,247,19,1,10.692307692307692,5,22,ok,18.6969613851801,9.704060527839234,9.385772925156813,9.544916726498023,-9.544916726498023,1000000.0,100000000.0,9.385772925156813,10.140237624828632,-0.7544646996718196,1000000.0,9.385772925156813,3.5263188435481148,threshold_above_upper_asymptote,1,9.385772925156813,10.140237624828632,9.385772925156813,-0.7544646996718196,,,,
bucket,380,380,19,1,14.05,5,34,ok,26.218844749584207,9.704060527839234,8.440007770061493,9.072034148950364,-9.072034148950364,1000000.0,100000000.0,10.145344924926757,8.670147001743317,1.4751979231834405,80000000.0,8.440007770061493,2.6743662476539605,ok,1,10.145344924926757,8.670147001743317,8.440007770061493,1.4751979231834405,7.76684742072982,58458465.78292587,7.76684742072982,
bug,380,380,19,1,17.05,5,50,ok,22.30427491762293,9.704060527839234,9.770820999145508,9.737440763492371,-9.737440763492371,1000000.0,100000000.0,9.770820999145508,11.543819952011109,-1.772998952865601,1000000.0,9.770820999145508,1.9749826431274418,threshold_above_upper_asymptote,1,9.770820999145508,11.543819952011109,9.770820999145508,-1.772998952865601,,,,
build,380,380,19,1,17.65,5,50,ok,26.870721478274586,9.704060527839234,7.160014915466308,8.43203772165277,-8.43203772165277,1000000.0,100000000.0,9.435246801376342,7.970568084716797,1.4646787166595452,10000000.0,7.160014915466308,3.084115362167359,ok,1,9.435246801376342,7.970568084716797,7.160014915466308,1.4646787166595452,6.818922245114364,6590557.8913311865,6.818922245114364,
bump,247,247,19,1,14.923076923076923,7,48,ok,26.798361550951917,9.704060527839234,9.154703470376822,9.429381999108028,-9.429381999108028,1000000.0,100000000.0,9.82995891571045,10.818752508897047,-0.9887935931865979,20000000.0,9.154703470376822,2.396301893087534,flat_or_zero_amplitude,1,9.82995891571045,10.818752508897047,9.154703470376822,-0.9887935931865979,,,,
bunny,247,247,19,1,14.23076923076923,6,31,ok,21.125256823558722,9.704060527839234,9.041856839106632,9.372958683472934,-9.372958683472934,1000000.0,100000000.0,10.23166275024414,9.373996386161217,0.8576663640829238,70000000.0,9.041856839106632,2.951650546147274,threshold_above_upper_asymptote,1,10.23166275024414,9.373996386161217,9.041856839106632,0.8576663640829238,,,,
bus,380,380,19,1,14.55,6,34,ok,20.85319790543193,9.704060527839234,8.087283492088318,8.895672009963775,-8.895672009963775,1000000.0,100000000.0,9.357482624053954,8.363608193397521,0.9938744306564331,20000000.0,8.087283492088318,2.8799184560775757,ok,1,9.357482624053954,8.363608193397521,8.087283492088318,0.9938744306564331,7.015037407211515,10352312.307172384,7.015037407211515,
butter,380,380,19,1,9.3,5,16,ok,25.064198626684203,9.704060527839234,6.885639393329621,8.294849960584427,-8.294849960584427,1000000.0,100000000.0,10.110994291305541,8.77308759689331,1.337906694412231,20000000.0,6.885639393329621,4.130458438396454,threshold_above_upper_asymptote,1,10.110994291305541,8.77308759689331,6.885639393329621,1.337906694412231,,,,
butterfly,57,57,19,1,18.666666666666668,7,27,ok,23.08087199144578,9.704060527839234,9.318732897440592,9.511396712639913,-9.511396712639913,1000000.0,100000000.0,9.70596440633138,12.09868590037028,-2.3927214940388986,10000000.0,9.318732897440592,3.377552032470703,threshold_above_upper_asymptote,1,9.70596440633138,12.09868590037028,9.318732897440592,-2.3927214940388986,,,,
buttocks,38,38,19,1,16.0,13,19,ok,22.21268312207221,29.112181583517703,24.275222778320312,26.693702180919008,-26.693702180919008,1000000.0,100000000.0,26.80387306213379,28.37975025177002,-1.5758771896362305,4000000.0,24.275222778320312,7.77480411529541,flat_or_zero_amplitude,3,26.80387306213379,28.37975025177002,24.275222778320312,-1.5758771896362305,,,,
button,380,380,19,1,14.1,5,35,ok,23.297598677811564,9.704060527839234,9.069251251220702,9.386655889529969,-9.386655889529969,1000000.0,100000000.0,10.056165266036988,9.430194997787476,0.6259702682495121,20000000.0,9.069251251220702,2.344144439697267,threshold_above_upper_asymptote,1,10.056165266036988,9.430194997787476,9.069251251220702,0.6259702682495121,,,,
buy,380,380,19,1,12.1,5,35,ok,27.89149822311601,9.704060527839234,6.7268414974212645,8.215451012630249,-8.215451012630249,1000000.0,100000000.0,8.98312406539917,6.939367747306823,2.0437563180923473,20000000.0,6.7268414974212645,3.4281677246093745,ok,1,8.98312406539917,6.939367747306823,6.7268414974212645,2.0437563180923473,6.854213213347617,7148470.883615715,6.854213213347617,
cake,380,380,19,1,12.95,5,28,ok,22.219009204871558,9.704060527839234,7.477503752708435,8.590782140273834,-8.590782140273834,1000000.0,100000000.0,9.765119886398315,7.824150002002716,1.9409698843955994,70000000.0,7.477503752708435,3.251441025733948,ok,1,9.765119886398315,7.824150002002716,7.477503752708435,1.9409698843955994,7.42885920195677,26844738.995044995,7.42885920195677,
camera,380,380,19,1,16.75,7,38,ok,25.871615597327157,9.704060527839234,8.1982306137681,8.951145570803668,-8.951145570803668,1000000.0,100000000.0,9.769764804840088,8.1982306137681,1.5715341910719882,100000000.0,8.1982306137681,2.318155322968961,ok,1,9.769764804840088,8.1982306137681,8.1982306137681,1.5715341910719882,7.593374305668603,39207964.34739747,7.593374305668603,
camping,380,380,19,1,12.4,5,41,child_never_reaches_50pct,,,,,,,,,,,,,,not_attempted_no_child_aoa,,,,,,,,,
candy,380,380,19,1,16.5,5,39,ok,23.38912238818194,9.704060527839234,7.789779294282198,8.746919911060715,-8.746919911060715,1000000.0,100000000.0,9.763690328598022,8.182014721632004,1.5816756069660176,70000000.0,7.789779294282198,4.055844437330961,ok,1,9.763690328598022,8.182014721632004,7.789779294282198,1.5816756069660176,7.5277429984617905,33708776.189844765,7.5277429984617905,
car,380,380,19,1,17.7,6,35,ok,17.496796781553705,9.704060527839234,7.151804828643799,8.427932678241516,-8.427932678241516,1000000.0,100000000.0,9.401620388031006,8.177381563186646,1.2242388248443596,20000000.0,7.151804828643799,2.2498155593872067,ok,1,9.401620388031006,8.177381563186646,7.151804828643799,1.2242388248443596,6.955669784047243,9029625.446949208,6.955669784047243,
careful,380,380,19,1,11.75,5,24,ok,26.38063961823633,9.704060527839234,6.016510236263275,7.860285382051254,-7.860285382051254,1000000.0,100000000.0,9.448146724700928,6.599674904346466,2.8484718203544617,70000000.0,6.016510236263275,4.213522493839265,ok,1,9.448146724700928,6.599674904346466,6.016510236263275,2.8484718203544617,6.921162218776732,8339925.41495311,6.921162218776732,
carrots,133,133,19,1,12.428571428571429,6,21,ok,23.78948237489513,9.704060527839234,8.902220794132777,9.303140660986006,-9.303140660986006,1000000.0,100000000.0,10.57345621926444,9.83732441493443,0.7361318043300091,30000000.0,8.902220794132777,3.329778058188303,threshold_above_upper_asymptote,1,10.57345621926444,9.83732441493443,8.902220794132777,0.7361318043300091,,,,
carry,380,380,19,1,13.55,5,47,ok,25.336988814569168,9.704060527839234,7.64414484500885,8.674102686424042,-8.674102686424042,1000000.0,100000000.0,9.77792673110962,8.050610661506653,1.727316069602967,60000000.0,7.64414484500885,2.379938769340515,ok,1,9.77792673110962,8.050610661506653,7.64414484500885,1.727316069602967,7.234091308768786,17143175.984202854,7.234091308768786,
cat,380,380,19,1,18.35,6,42,ok,18.228507346753123,9.704060527839234,8.140453708171844,8.92225711800554,-8.92225711800554,1000000.0,100000000.0,9.092539739608764,8.421319174766541,0.6712205648422227,70000000.0,8.140453708171844,1.5571389317512523,ok,1,9.092539739608764,8.421319174766541,8.140453708171844,0.6712205648422227,6.811454401616483,6478199.743746013,6.811454401616483,
