target_word,n_contexts,coherent86,dense_seed62064,dense_seed62065,d64_minus_coherent,d65_minus_coherent,d65_minus_d64,cdi_final_30m,cdi_mean_16_30m,cdi_first_month_ge_0p5
circus,3,9.690510431925455,9.85305118560791,9.90574582417806,0.16254075368245444,0.21523539225260416,0.05269463857014974,0.26,0.10266666666666667,
climb,20,9.100696516036987,9.276089096069336,9.279765152931214,0.17539258003234864,0.17906863689422609,0.0036760568618774414,0.67,0.332,26.0
clock,20,7.153065940737724,7.518703394010663,7.535155515000224,0.36563745327293873,0.3820895742624998,0.01645212098956108,0.68,0.42866666666666664,25.0
close,20,9.721881890296936,9.79806673526764,9.808678317070008,0.07618484497070313,0.08679642677307128,0.010611581802368163,0.74,0.39466666666666667,25.0
closet,20,10.47165869474411,10.490137869119645,10.515049278736115,0.018479174375534056,0.04339058399200439,0.024911409616470336,0.65,0.2966666666666667,27.0
cloud,20,10.414485144615174,10.640513253211974,10.633860325813293,0.22602810859680175,0.2193751811981201,-0.006652927398681641,0.69,0.354,27.0
clown,3,10.484495480855307,10.673699696858725,10.703787485758463,0.18920421600341797,0.21929200490315756,0.030087788899739582,0.42,0.20533333333333334,28.0
coat,20,7.870421352982521,8.167302606999874,8.168415601551533,0.29688125401735305,0.2979942485690117,0.0011129945516586304,0.67,0.46,23.0
coffee,20,8.340411275625229,8.440398174524308,8.428306955099107,0.09998689889907837,0.08789567947387696,-0.012091219425201416,0.67,0.3813333333333333,26.0
coke,2,16.319751501083374,17.93809485435486,17.966007947921753,1.6183433532714844,1.646256446838379,0.02791309356689453,0.32,0.182,
cold,20,7.523164844512939,7.787180352210998,7.781787300109864,0.2640155076980591,0.2586224555969238,-0.0053930521011352536,0.83,0.5559999999999999,22.0
comb,13,8.219862351050743,8.397094689882719,8.378222135397104,0.17723233883197492,0.15835978434636042,-0.018872554485614482,0.58,0.33999999999999997,26.0
cook,20,9.145276165008545,9.374102663993835,9.370817828178406,0.22882649898529053,0.22554166316986085,-0.0032848358154296876,0.68,0.3546666666666667,25.0
cookie,20,9.90138008594513,10.179905319213868,10.179588389396667,0.2785252332687378,0.2782083034515381,-0.000316929817199707,0.93,0.6986666666666667,19.0
