family,seed,relation,arm,checkpoint,sentence_uid,source,sentence_words,isolation,row_context,context_gain
compact_experience,43022,SEP,SEP43022,chck_100M,r2945_s00,simple_wiki,11,5.961032867431641,4.537572383880615,1.4234604835510254
compact_experience,43022,SEP,SEP43022,chck_100M,r2992_s02,switchboard,9,6.115751266479492,6.066812515258789,0.048938751220703125
compact_experience,43022,SEP,SEP43022,chck_100M,r2994_s06,switchboard,32,4.091403007507324,4.055079460144043,0.03632354736328125
compact_experience,43022,SEP,SEP43022,chck_100M,r2997_s03,switchboard,12,1.249354600906372,1.6657952070236206,-0.41644060611724854
compact_experience,43022,SEP,SEP43022,chck_100M,r2999_s05,switchboard,20,3.9665517807006836,3.0374014377593994,0.9291503429412842
compact_experience,43022,SHUF,SHUF43022,chck_100M,r0155_s04,bnc_spoken,26,3.5771682262420654,3.1940536499023438,0.3831145763397217
compact_experience,43022,SHUF,SHUF43022,chck_100M,r0165_s03,bnc_spoken,32,2.4571585655212402,2.082958936691284,0.37419962882995605
compact_experience,43022,SHUF,SHUF43022,chck_100M,r0172_s02,bnc_spoken,45,5.323546409606934,4.102770805358887,1.2207756042480469
compact_experience,43022,SHUF,SHUF43022,chck_100M,r0179_s06,bnc_spoken,13,4.679296493530273,4.135518550872803,0.5437779426574707
compact_experience,43022,SHUF,SHUF43022,chck_100M,r0451_s00,childes,16,4.152833938598633,4.190988063812256,-0.03815412521362305
compact_experience,43022,SHUF,SHUF43022,chck_100M,r0617_s02,childes,12,2.1811928749084473,1.5360766649246216,0.6451162099838257
compact_experience,43022,SHUF,SHUF43022,chck_100M,r0893_s01,childes,9,4.910699844360352,2.329324960708618,2.5813748836517334
compact_experience,43022,SHUF,SHUF43022,chck_100M,r1149_s01,childes,13,2.7710976600646973,2.682321786880493,0.0887758731842041
compact_experience,43022,SHUF,SHUF43022,chck_100M,r1254_s05,gutenberg,9,11.19145393371582,9.147045135498047,2.0444087982177734
compact_experience,43022,SHUF,SHUF43022,chck_100M,r1341_s05,gutenberg,9,2.8221356868743896,5.217205047607422,-2.3950693607330322
compact_experience,43022,SHUF,SHUF43022,chck_100M,r1448_s03,gutenberg,15,5.109827995300293,4.188165187835693,0.9216628074645996
compact_experience,43022,SHUF,SHUF43022,chck_100M,r1783_s00,gutenberg,22,7.89250373840332,7.433764457702637,0.4587392807006836
compact_experience,43022,SHUF,SHUF43022,chck_100M,r1959_s02,open_subtitles,10,5.259062767028809,4.321223258972168,0.9378395080566406
compact_experience,43022,SHUF,SHUF43022,chck_100M,r2124_s00,open_subtitles,8,4.930924415588379,5.647759914398193,-0.7168354988098145
compact_experience,43022,SHUF,SHUF43022,chck_100M,r2225_s04,open_subtitles,9,2.08618426322937,0.20148691534996033,1.8846973478794098
compact_experience,43022,SHUF,SHUF43022,chck_100M,r2438_s03,open_subtitles,10,3.2439661026000977,3.2873599529266357,-0.043393850326538086
compact_experience,43022,SHUF,SHUF43022,chck_100M,r2624_s04,simple_wiki,8,3.5742084980010986,0.1618443876504898,3.412364110350609
compact_experience,43022,SHUF,SHUF43022,chck_100M,r2704_s02,simple_wiki,12,1.167035698890686,0.37374597787857056,0.7932897210121155
compact_experience,43022,SHUF,SHUF43022,chck_100M,r2944_s05,simple_wiki,10,4.215951919555664,4.530033111572266,-0.31408119201660156
compact_experience,43022,SHUF,SHUF43022,chck_100M,r2945_s00,simple_wiki,11,4.975396156311035,4.104824542999268,0.8705716133117676
compact_experience,43022,SHUF,SHUF43022,chck_100M,r2992_s02,switchboard,9,5.1230902671813965,6.756618499755859,-1.633528232574463
compact_experience,43022,SHUF,SHUF43022,chck_100M,r2994_s06,switchboard,32,4.136679649353027,4.336392879486084,-0.19971323013305664
compact_experience,43022,SHUF,SHUF43022,chck_100M,r2997_s03,switchboard,12,2.601797342300415,1.7778929471969604,0.8239043951034546
compact_experience,43022,SHUF,SHUF43022,chck_100M,r2999_s05,switchboard,20,3.618037223815918,2.757389783859253,0.860647439956665
