family,seed,checkpoint,contrast,source,n_sentences,delta_row_context_loss,delta_isolation_loss,delta_context_gain,se_delta_context_gain
compact_experience,43022,chck_100M,ALN-minus-SEP,gutenberg,4,-1.276526391506195,0.7007905840873718,1.977316975593567,1.7267717516370944
compact_experience,43022,chck_100M,ALN-minus-SEP,open_subtitles,4,-0.19119472801685333,0.18329614400863647,0.3744908720254898,0.6154941117355833
compact_experience,43022,chck_100M,ALN-minus-SEP,simple_wiki,4,-0.9248355105519295,-0.15073490142822266,0.7741006091237068,0.7968252623676745
compact_experience,43022,chck_100M,ALN-minus-SEP,switchboard,4,-1.3891095519065857,-1.0482746958732605,0.3408348560333252,0.20740108138380328
compact_experience,43022,chck_100M,SHUF-minus-SEP,bnc_spoken,4,-0.48197704553604126,-0.06025660037994385,0.4217204451560974,0.21722683673778503
compact_experience,43022,chck_100M,SHUF-minus-SEP,childes,4,-0.21973726153373718,0.051796555519104004,0.2715338170528412,0.138358761568132
compact_experience,43022,chck_100M,SHUF-minus-SEP,gutenberg,4,0.5957019925117493,0.7369251847267151,0.14122319221496582,0.7607029475912511
compact_experience,43022,chck_100M,SHUF-minus-SEP,open_subtitles,4,0.1667102426290512,0.04095721244812012,-0.1257530301809311,0.1958234816947763
compact_experience,43022,chck_100M,SHUF-minus-SEP,simple_wiki,4,-0.7528852634131908,-0.27890995144844055,0.4739753119647503,0.8597704557272137
compact_experience,43022,chck_100M,SHUF-minus-SEP,switchboard,4,0.20080137252807617,0.014135956764221191,-0.18666541576385498,0.5979256483803674
