arm_key,basin,data_arm,seed,checkpoint,words,predictions,split,numops,n_gold_filtered,n_pred,n_scored,correct,accuracy,score_pp,pred_option0_frac,pred_option1_frac,pred_other_option_frac,pred_not_in_options_frac
basin2_max_view,seed43122_second_basin,view,43122,chck_90M,90000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_90M/Entity/chck_90M/full_second_basin_max_view_seed43122_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,ambiref,2,413,413,413,91,0.22033898305084745,22.033898305084744,0.22033898305084745,0.2542372881355932,0.5254237288135594,0.0
basin2_max_view,seed43122_second_basin,view,43122,chck_90M,90000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_90M/Entity/chck_90M/full_second_basin_max_view_seed43122_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,ambiref,3,409,409,409,99,0.24205378973105135,24.205378973105134,0.24205378973105135,0.21515892420537897,0.5427872860635696,0.0
basin2_max_view,seed43122_second_basin,view,43122,chck_90M,90000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_90M/Entity/chck_90M/full_second_basin_max_view_seed43122_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,ambiref,4,434,434,434,146,0.33640552995391704,33.6405529953917,0.33640552995391704,0.16359447004608296,0.5,0.0
basin2_max_view,seed43122_second_basin,view,43122,chck_90M,90000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_90M/Entity/chck_90M/full_second_basin_max_view_seed43122_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,ambiref,5,123,123,123,36,0.2926829268292683,29.268292682926827,0.2926829268292683,0.13008130081300814,0.5772357723577236,0.0
basin2_max_view,seed43122_second_basin,view,43122,chck_90M,90000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_90M/Entity/chck_90M/full_second_basin_max_view_seed43122_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,regular,0,517,517,517,212,0.41005802707930367,41.005802707930364,0.41005802707930367,0.29206963249516443,0.2978723404255319,0.0
basin2_max_view,seed43122_second_basin,view,43122,chck_90M,90000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_90M/Entity/chck_90M/full_second_basin_max_view_seed43122_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,regular,1,409,409,409,67,0.16381418092909536,16.381418092909534,0.16381418092909536,0.3569682151589242,0.4792176039119804,0.0
basin2_max_view,seed43122_second_basin,view,43122,chck_90M,90000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_90M/Entity/chck_90M/full_second_basin_max_view_seed43122_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,regular,2,405,405,405,77,0.19012345679012346,19.012345679012345,0.19012345679012346,0.3358024691358025,0.4740740740740741,0.0
basin2_max_view,seed43122_second_basin,view,43122,chck_90M,90000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_90M/Entity/chck_90M/full_second_basin_max_view_seed43122_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,regular,3,425,425,425,118,0.2776470588235294,27.764705882352942,0.2776470588235294,0.22588235294117648,0.4964705882352941,0.0
basin2_max_view,seed43122_second_basin,view,43122,chck_90M,90000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_90M/Entity/chck_90M/full_second_basin_max_view_seed43122_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,regular,4,388,388,388,109,0.2809278350515464,28.09278350515464,0.2809278350515464,0.25257731958762886,0.46649484536082475,0.0
basin2_max_view,seed43122_second_basin,view,43122,chck_90M,90000000,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/official_outputs/second_basin_max_view_seed43122_chck_90M/Entity/chck_90M/full_second_basin_max_view_seed43122_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,regular,5,94,94,94,30,0.3191489361702128,31.914893617021278,0.3191489361702128,0.14893617021276595,0.5319148936170213,0.0
