seed,probe_family,span_len,contrast,n_checkpoints,late_mean_delta_copy_gain_a_minus_b,late_mean_copy_gain_a,late_mean_copy_gain_b,late_mean_delta_repeated_nll_a_minus_b,late_mean_delta_unrepeated_nll_a_minus_b
43122,ALL,ALL,RminusC,3,0.24044748892947906,6.037661112654926,5.7972136237254475,-0.24807680851810346,-0.0076293195886242655
43122,ALL,ALL,RminusV,3,0.4313151450519482,6.037661112654926,5.606345967602978,-0.1253823873055251,0.30593275774642353
43122,ALL,ALL,VminusC,3,-0.19086765612246914,5.606345967602978,5.7972136237254475,-0.12269442121257838,-0.3135620773350478
43122,ALL,ALL,VminusR,3,-0.4313151450519482,5.606345967602978,6.037661112654926,0.1253823873055251,-0.30593275774642353
43122,actual_packet_source_repeat,1,CminusV,3,0.02832562356550235,6.053843202641562,6.025517579076059,-0.014566360537266676,0.013759263028235639
43122,actual_packet_source_repeat,1,RminusC,3,0.9931755877907698,7.047018790432332,6.053843202641562,-0.49739118454353487,0.4957844032472349
43122,actual_packet_source_repeat,1,RminusV,3,1.021501211356272,7.047018790432332,6.025517579076059,-0.5119575450808016,0.5095436662754705
43122,actual_packet_source_repeat,1,VminusC,3,-0.02832562356550235,6.025517579076059,6.053843202641562,0.014566360537266676,-0.013759263028235639
43122,actual_packet_source_repeat,1,VminusR,3,-1.021501211356272,6.025517579076059,7.047018790432332,0.5119575450808016,-0.5095436662754705
43122,actual_packet_source_repeat,4,CminusV,3,-0.006645723643302108,5.635351604046516,5.641997327689818,0.032815185741150076,0.02616946209784743
43122,actual_packet_source_repeat,4,RminusC,3,0.8383176265291477,6.473669230575664,5.635351604046516,-0.25412045847166964,0.5841971680574783
43122,actual_packet_source_repeat,4,RminusV,3,0.8316719028858456,6.473669230575664,5.641997327689818,-0.22130527273051956,0.6103666301553258
43122,actual_packet_source_repeat,4,VminusC,3,0.006645723643302108,5.641997327689818,5.635351604046516,-0.032815185741150076,-0.02616946209784743
43122,actual_packet_source_repeat,4,VminusR,3,-0.8316719028858456,5.641997327689818,6.473669230575664,0.22130527273051956,-0.6103666301553258
43122,actual_packet_source_repeat,8,CminusV,3,0.17379715766924253,4.950000878289214,4.7762037206199714,0.044470823454801044,0.21826798112404364
43122,actual_packet_source_repeat,8,RminusC,3,0.3310541121450526,5.281054990434266,4.950000878289214,-0.23854706807970177,0.09250704406535082
43122,actual_packet_source_repeat,8,RminusV,3,0.5048512698142952,5.281054990434266,4.7762037206199714,-0.19407624462490072,0.3107750251893944
43122,actual_packet_source_repeat,8,VminusC,3,-0.17379715766924253,4.7762037206199714,4.950000878289214,-0.044470823454801044,-0.21826798112404364
43122,actual_packet_source_repeat,8,VminusR,3,-0.5048512698142952,4.7762037206199714,5.281054990434266,0.19407624462490072,-0.3107750251893944
43122,actual_packet_source_repeat,ALL,CminusV,3,0.06515901919714769,5.546398561659097,5.4812395424619496,0.0209065495528948,0.08606556875004252
43122,actual_packet_source_repeat,ALL,RminusC,3,0.7208491088216565,6.267247670480754,5.546398561659097,-0.33001957036496876,0.39082953845668794
43122,actual_packet_source_repeat,ALL,RminusV,3,0.7860081280188043,6.267247670480754,5.4812395424619496,-0.309113020812074,0.47689510720673045
43122,actual_packet_source_repeat,ALL,VminusC,3,-0.06515901919714769,5.4812395424619496,5.546398561659097,-0.0209065495528948,-0.08606556875004252
43122,actual_packet_source_repeat,ALL,VminusR,3,-0.7860081280188043,5.4812395424619496,6.267247670480754,0.309113020812074,-0.47689510720673045
43122,random_token_span,1,CminusV,3,0.04824587762355803,0.5181184076979046,0.46987253007434665,0.5311299004157378,0.5793757780392964
43122,random_token_span,1,RminusC,3,-0.07454169095981687,0.4435767167380878,0.5181184076979046,-0.3925414688956164,-0.46708315985543375
43122,random_token_span,1,RminusV,3,-0.026295813336258838,0.4435767167380878,0.46987253007434665,0.13858843152012135,0.11229261818386267
43122,random_token_span,1,VminusC,3,-0.04824587762355803,0.46987253007434665,0.5181184076979046,-0.5311299004157378,-0.5793757780392964
43122,random_token_span,1,VminusR,3,0.026295813336258838,0.46987253007434665,0.4435767167380878,-0.13858843152012135,-0.11229261818386267
43122,random_token_span,4,CminusV,3,0.31457975210710654,7.790417426165548,7.475837674058441,0.2115750532579561,0.5261548053650623
43122,random_token_span,4,RminusC,3,-0.46046351134411206,7.329953914821436,7.790417426165548,0.06238334652557528,-0.39808016481853653
43122,random_token_span,4,RminusV,3,-0.14588375923700556,7.329953914821436,7.475837674058441,0.27395839978353137,0.12807464054652584
43122,random_token_span,4,VminusC,3,-0.31457975210710654,7.475837674058441,7.790417426165548,-0.2115750532579561,-0.5261548053650623
43122,random_token_span,4,VminusR,3,0.14588375923700556,7.475837674058441,7.329953914821436,-0.27395839978353137,-0.12807464054652584
43122,random_token_span,8,CminusV,3,0.6946535096344141,10.050534562425954,9.35588105279154,0.017988672079962093,0.7126421817143752
43122,random_token_span,8,RminusC,3,-0.5966300076346046,9.45390455479135,10.050534562425954,-0.09800736463207382,-0.6946373722666775
