arm,checkpoint,seed,role,probe_family,span_len,pair_id,mask_occurrence,source_pair_id,body_len,seq_len,repeated_nll,unrepeated_nll,copy_gain
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:129:compact:frontier_consolidation_fwcompact_medium_021431,companion,compact:frontier_consolidation_fwcompact_medium_021431,38,40,0.009188035503029823,1.0968046188354492,1.0876165833324194
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:12:compact:frontier_consolidation_fwcompact_medium_009947,companion,compact:frontier_consolidation_fwcompact_medium_009947,18,20,0.020254917442798615,2.7985000610351562,2.7782451435923576
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:130:compact:frontier_consolidation_fwcompact_medium_038498,companion,compact:frontier_consolidation_fwcompact_medium_038498,78,80,0.0016141016967594624,0.0029597545508295298,0.0013456528540700674
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:131:compact:frontier_consolidation_fwcompact_medium_023849,companion,compact:frontier_consolidation_fwcompact_medium_023849,21,23,0.3265186846256256,10.539627075195312,10.213108390569687
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:132:compact:frontier_consolidation_fwcompact_medium_050523,companion,compact:frontier_consolidation_fwcompact_medium_050523,69,71,0.0461079478263855,9.863459587097168,9.817351639270782
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:133:compact:frontier_consolidation_fwcompact_medium_007897,companion,compact:frontier_consolidation_fwcompact_medium_007897,35,37,0.38291993737220764,12.953971862792969,12.571051925420761
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:134:compact:frontier_consolidation_fwcompact_medium_032573,companion,compact:frontier_consolidation_fwcompact_medium_032573,40,42,0.0008630603551864624,0.0229890625923872,0.022126002237200737
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:135:compact:frontier_consolidation_fwcompact_medium_017134,companion,compact:frontier_consolidation_fwcompact_medium_017134,46,48,0.0023209319915622473,2.5416572093963623,2.5393362774048
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:136:compact:frontier_consolidation_fwcompact_medium_010434,companion,compact:frontier_consolidation_fwcompact_medium_010434,64,66,0.008831252343952656,15.018340110778809,15.009508858434856
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:137:compact:frontier_consolidation_fwcompact_medium_016722,companion,compact:frontier_consolidation_fwcompact_medium_016722,48,50,0.08038920164108276,0.3367484211921692,0.2563592195510864
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:138:compact:frontier_consolidation_fwcompact_medium_036756,companion,compact:frontier_consolidation_fwcompact_medium_036756,48,50,0.47040605545043945,11.983570098876953,11.513164043426514
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:139:compact:frontier_consolidation_fwcompact_medium_002054,companion,compact:frontier_consolidation_fwcompact_medium_002054,42,44,0.36815524101257324,7.475264549255371,7.107109308242798
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:13:compact:frontier_consolidation_fwcompact_medium_014872,companion,compact:frontier_consolidation_fwcompact_medium_014872,68,70,0.2732175290584564,10.827991485595703,10.554773956537247
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:140:compact:frontier_consolidation_fwcompact_medium_024386,companion,compact:frontier_consolidation_fwcompact_medium_024386,23,25,0.015354756265878677,0.02058534324169159,0.005230586975812912
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:141:compact:frontier_consolidation_fwcompact_medium_017942,companion,compact:frontier_consolidation_fwcompact_medium_017942,51,53,0.013789507560431957,0.013792917132377625,3.409571945667267e-06
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:142:compact:frontier_consolidation_fwcompact_medium_048213,companion,compact:frontier_consolidation_fwcompact_medium_048213,60,62,0.054958246648311615,2.2499985694885254,2.1950403228402138
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:143:compact:frontier_consolidation_fwcompact_medium_039594,companion,compact:frontier_consolidation_fwcompact_medium_039594,62,64,0.9408402442932129,0.031836893409490585,-0.9090033508837223
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:144:compact:frontier_consolidation_fwcompact_medium_044271,companion,compact:frontier_consolidation_fwcompact_medium_044271,57,59,1.0232727527618408,14.236278533935547,13.213005781173706
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:145:compact:frontier_consolidation_fwcompact_medium_016356,companion,compact:frontier_consolidation_fwcompact_medium_016356,40,42,0.012228869833052158,10.626315116882324,10.614086247049272
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:146:compact:frontier_consolidation_fwcompact_medium_013596,companion,compact:frontier_consolidation_fwcompact_medium_013596,39,41,1.6685307025909424,9.920122146606445,8.251591444015503
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:147:compact:frontier_consolidation_fwcompact_medium_030642,companion,compact:frontier_consolidation_fwcompact_medium_030642,49,51,0.00809235405176878,0.9665390253067017,0.9584466712549329
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:148:compact:frontier_consolidation_fwcompact_medium_013929,companion,compact:frontier_consolidation_fwcompact_medium_013929,69,71,1.9209392070770264,1.6435825824737549,-0.2773566246032715
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:149:compact:frontier_consolidation_fwcompact_medium_015468,companion,compact:frontier_consolidation_fwcompact_medium_015468,50,52,0.0085492804646492,6.662817001342773,6.654267720878124
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:14:compact:frontier_consolidation_fwcompact_medium_004256,companion,compact:frontier_consolidation_fwcompact_medium_004256,34,36,0.5062987804412842,8.611177444458008,8.104878664016724
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:150:compact:frontier_consolidation_fwcompact_medium_001103,companion,compact:frontier_consolidation_fwcompact_medium_001103,48,50,0.0006866481271572411,0.03735916689038277,0.036672518763225526
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:151:compact:frontier_consolidation_fwcompact_medium_028882,companion,compact:frontier_consolidation_fwcompact_medium_028882,52,54,0.029352741315960884,13.906975746154785,13.877623004838824
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:152:compact:frontier_consolidation_fwcompact_medium_018417,companion,compact:frontier_consolidation_fwcompact_medium_018417,60,62,4.005451679229736,10.415159225463867,6.409707546234131
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:153:compact:frontier_consolidation_fwcompact_medium_043467,companion,compact:frontier_consolidation_fwcompact_medium_043467,36,38,7.079909801483154,10.041866302490234,2.96195650100708
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:154:compact:frontier_consolidation_fwcompact_medium_013729,companion,compact:frontier_consolidation_fwcompact_medium_013729,54,56,10.355070114135742,11.465065002441406,1.109994888305664
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:155:compact:frontier_consolidation_fwcompact_medium_025676,companion,compact:frontier_consolidation_fwcompact_medium_025676,96,98,0.04022004455327988,13.162871360778809,13.122651316225529
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:156:compact:frontier_consolidation_fwcompact_medium_055496,companion,compact:frontier_consolidation_fwcompact_medium_055496,55,57,0.30669575929641724,8.504634857177734,8.197939097881317
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:157:compact:frontier_consolidation_fwcompact_medium_036974,companion,compact:frontier_consolidation_fwcompact_medium_036974,77,79,0.02817811816930771,0.024067271500825882,-0.004110846668481827
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:158:compact:frontier_consolidation_fwcompact_medium_020396,companion,compact:frontier_consolidation_fwcompact_medium_020396,97,99,0.75679612159729,1.387433409690857,0.6306372880935669
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:159:compact:frontier_consolidation_fwcompact_medium_000577,companion,compact:frontier_consolidation_fwcompact_medium_000577,39,41,0.008340172469615936,10.360952377319336,10.35261220484972
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:15:compact:frontier_consolidation_fwcompact_medium_019309,companion,compact:frontier_consolidation_fwcompact_medium_019309,106,108,0.37956953048706055,3.741300582885742,3.3617310523986816
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:160:compact:frontier_consolidation_fwcompact_medium_002798,companion,compact:frontier_consolidation_fwcompact_medium_002798,29,31,0.6342127323150635,5.441978454589844,4.80776572227478
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:161:compact:frontier_consolidation_fwcompact_medium_018143,companion,compact:frontier_consolidation_fwcompact_medium_018143,68,70,0.019857069477438927,5.823238372802734,5.8033813033252954
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:162:compact:frontier_consolidation_fwcompact_medium_060174,companion,compact:frontier_consolidation_fwcompact_medium_060174,64,66,0.08765199035406113,3.700978994369507,3.6133270040154457
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:163:compact:frontier_consolidation_fwcompact_medium_052940,companion,compact:frontier_consolidation_fwcompact_medium_052940,58,60,0.4011673629283905,9.353498458862305,8.952331095933914
