checkpoint,seed,probe_family,span_len,contrast,n,delta_copy_gain_a_minus_b,copy_gain_a,copy_gain_b,delta_repeated_nll_a_minus_b,delta_unrepeated_nll_a_minus_b
chck_80M,43022,random_token_span,ALL,CminusV,2100,0.05957066196371752,5.783497029307432,5.723926367343714,0.08708224272843257,0.14665290469215186
chck_80M,43022,random_token_span,ALL,VminusC,2100,-0.05957066196371752,5.723926367343714,5.783497029307432,-0.08708224272843257,-0.14665290469215186
chck_80M,43022,random_token_span,ALL,VminusR,2100,0.21543829296316463,5.723926367343714,5.5084880743805495,-0.4382461571977254,-0.22280786423456256
chck_90M,43022,ALL,1,RminusC,1600,0.4753952852619703,4.175968883640403,3.7005735983784325,-0.23176708035839955,0.24362820490357073
chck_90M,43022,ALL,1,RminusV,1600,0.3330618913353689,4.175968883640403,3.842906992305034,-0.15898757305112188,0.1740743182842479
chck_90M,43022,ALL,1,CminusV,1600,-0.14233339392660138,3.7005735983784325,3.842906992305034,0.07277950730727767,-0.06955388661932282
chck_90M,43022,ALL,1,VminusC,1600,0.14233339392660138,3.842906992305034,3.7005735983784325,-0.07277950730727767,0.06955388661932282
chck_90M,43022,ALL,1,VminusR,1600,-0.3330618913353689,3.842906992305034,4.175968883640403,0.15898757305112188,-0.1740743182842479
chck_90M,43022,ALL,4,RminusC,1600,0.13144868886709649,6.702771423951942,6.571322735084846,0.07761472208239617,0.20906341094949354
chck_90M,43022,ALL,4,RminusV,1600,0.10492582126669525,6.702771423951942,6.597845602685247,0.2746637341880729,0.3795895554547677
chck_90M,43022,ALL,4,CminusV,1600,-0.026522867600401234,6.571322735084846,6.597845602685247,0.1970490121056767,0.17052614450527415
chck_90M,43022,ALL,4,VminusC,1600,0.026522867600401234,6.597845602685247,6.571322735084846,-0.1970490121056767,-0.17052614450527415
chck_90M,43022,ALL,4,VminusR,1600,-0.10492582126669525,6.597845602685247,6.702771423951942,-0.2746637341880729,-0.3795895554547677
chck_90M,43022,ALL,8,RminusC,1600,0.3060367398346937,7.2234495016875915,6.917412761852898,-0.20138314447623995,0.10465359535845487
chck_90M,43022,ALL,8,RminusV,1600,0.36337923855014864,7.2234495016875915,6.860070263137443,-0.11349722616080937,0.24988201238933883
chck_90M,43022,ALL,8,CminusV,1600,0.05734249871545494,6.917412761852898,6.860070263137443,0.08788591831543058,0.14522841703088396
chck_90M,43022,ALL,8,VminusC,1600,-0.05734249871545494,6.860070263137443,6.917412761852898,-0.08788591831543058,-0.14522841703088396
chck_90M,43022,ALL,8,VminusR,1600,-0.36337923855014864,6.860070263137443,7.2234495016875915,0.11349722616080937,-0.24988201238933883
chck_90M,43022,ALL,ALL,RminusC,4800,0.3042935713212547,6.034063269759979,5.729769698438725,-0.11851183425074785,0.18578173707050638
chck_90M,43022,ALL,ALL,RminusV,4800,0.2671223170507382,6.034063269759979,5.766940952709241,0.0007263116587137297,0.2678486287094515
chck_90M,43022,ALL,ALL,CminusV,4800,-0.037171254270516485,5.729769698438725,5.766940952709241,0.11923814590946158,0.0820668916389451
chck_90M,43022,ALL,ALL,VminusC,4800,0.037171254270516485,5.766940952709241,5.729769698438725,-0.11923814590946158,-0.0820668916389451
chck_90M,43022,ALL,ALL,VminusR,4800,-0.2671223170507382,5.766940952709241,6.034063269759979,-0.0007263116587137297,-0.2678486287094515
chck_90M,43022,actual_packet_source_repeat,1,RminusC,900,0.8347425592743498,6.994039547472017,6.159296988197667,-0.48225385238260465,0.3524887068917453
chck_90M,43022,actual_packet_source_repeat,1,RminusV,900,0.5763539943385938,6.994039547472017,6.417685553133423,-0.46821826148570433,0.10813573285288935
chck_90M,43022,actual_packet_source_repeat,1,CminusV,900,-0.258388564935756,6.159296988197667,6.417685553133423,0.014035590896900318,-0.24435297403885592
chck_90M,43022,actual_packet_source_repeat,1,VminusC,900,0.258388564935756,6.417685553133423,6.159296988197667,-0.014035590896900318,0.24435297403885592
chck_90M,43022,actual_packet_source_repeat,1,VminusR,900,-0.5763539943385938,6.417685553133423,6.994039547472017,0.46821826148570433,-0.10813573285288935
chck_90M,43022,actual_packet_source_repeat,4,RminusC,900,0.58656545858158,6.3735156374836315,5.786950178902051,-0.25336059755562024,0.33320486102596014
