arm,checkpoint,seed,role,probe_family,span_len,n,mean_copy_gain,sd_copy_gain,se_copy_gain,mean_repeated_nll,mean_unrepeated_nll
D_C_43022,chck_80M,43022,C,actual_packet_source_repeat,8,900,4.863717350999311,3.715537438783308,0.1238512479594436,0.2739018488972377,5.137619199896548
D_C_43022,chck_80M,43022,C,actual_packet_source_repeat,ALL,2700,5.562268196573703,4.3013932000718125,0.08278035073172955,0.37181305110852314,5.934081247682226
D_C_43022,chck_80M,43022,C,random_token_span,1,700,0.4989755654335022,1.085403117494737,0.04102438173064706,11.92672015428543,12.425695719718933
D_C_43022,chck_80M,43022,C,random_token_span,4,700,7.494894534847034,4.203349336085259,0.15887167166871502,4.984325568689299,12.479220103536333
D_C_43022,chck_80M,43022,C,random_token_span,8,700,9.356620987641758,3.663866442092645,0.1384811348961739,2.9121259851234833,12.268746972765241
D_C_43022,chck_80M,43022,C,random_token_span,ALL,2100,5.783497029307432,5.029659571643078,0.10975617003292178,6.607723902699404,12.391220932006837
D_C_43022,chck_90M,43022,C,ALL,1,1600,3.7005735983784325,4.756192007085776,0.1189048001771444,5.531786801440612,9.232360399819045
D_C_43022,chck_90M,43022,C,ALL,4,1600,6.571322735084846,4.2851978678888125,0.10712994669722031,2.3713702905809124,8.942693025665758
D_C_43022,chck_90M,43022,C,ALL,8,1600,6.917412761852898,4.402107333566739,0.11005268333916847,1.4077318198790636,8.32514458173196
D_C_43022,chck_90M,43022,C,ALL,ALL,4800,5.729769698438725,4.711658466808034,0.06800693210352994,3.103629637300196,8.833399335738921
D_C_43022,chck_90M,43022,C,actual_packet_source_repeat,1,900,6.159296988197667,5.039753057917686,0.1679917685972562,0.5238195002707653,6.683116488468432
D_C_43022,chck_90M,43022,C,actual_packet_source_repeat,4,900,5.786950178902051,4.119405829010411,0.13731352763368038,0.2902947331700206,6.0772449120720715
D_C_43022,chck_90M,43022,C,actual_packet_source_repeat,8,900,4.908830746609399,3.780437720452157,0.12601459068173856,0.26789839515013025,5.176729141759529
D_C_43022,chck_90M,43022,C,actual_packet_source_repeat,ALL,2700,5.618359304569706,4.37739617665309,0.08424302869801001,0.360670876196972,5.979030180766678
D_C_43022,chck_90M,43022,C,random_token_span,1,700,0.5393578114679881,1.1331950683462284,0.042830747682413746,11.9706019029447,12.50995971441269
D_C_43022,chck_90M,43022,C,random_token_span,4,700,7.579801735891295,4.283270125684497,0.16189239358105076,5.047038864394916,12.626840600286211
D_C_43022,chck_90M,43022,C,random_token_span,8,700,9.499875352880252,3.7500093857004204,0.14173703212459154,2.873231937387692,12.373107290267944
D_C_43022,chck_90M,43022,C,random_token_span,ALL,2100,5.873011633413179,5.1058215274723775,0.11141816016465343,6.63029090157577,12.503302534988949
D_C_43122,chck_100M,43122,C,ALL,1,1600,3.6303220814441373,4.703902926231169,0.11759757315577923,5.6676673407784435,9.297989422222582
D_C_43122,chck_100M,43122,C,ALL,4,1600,6.574438097125421,4.2849262334856535,0.10712315583714134,2.338794034227176,8.913232131352597
D_C_43122,chck_100M,43122,C,ALL,8,1600,7.180675211693342,4.495353016154053,0.11238382540385132,1.38915971550231,8.569834927195652
D_C_43122,chck_100M,43122,C,ALL,ALL,4800,5.795145130087634,4.757763629868976,0.06867240281113661,3.1318736968359766,8.92701882692361
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,900,6.042020890310911,5.003993914576311,0.1667997971525437,0.5444373807520929,6.586458271063004
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,4,900,5.629489689684641,4.124068508514866,0.13746895028382886,0.29830265714709336,5.927792346831734
