endpoint,word,child_aoa,model_aoa_log10_step,n_subword_tokens,n_points,first_step,last_step
control,light,21.573068682350033,6.894911206501006,1,12,1000000.0,30000000.0
control,like,25.75007721668643,6.274762922185662,1,12,1000000.0,30000000.0
control,lion,22.93884161407195,6.793824706309463,1,12,1000000.0,30000000.0
control,lips,25.482076843958392,6.88368858176174,1,12,1000000.0,30000000.0
control,listen,28.048745584501315,6.773723314774458,1,12,1000000.0,30000000.0
control,loud,26.12765077192083,6.968006275681996,1,12,1000000.0,30000000.0
control,love,23.249110931637965,6.8065087247929625,1,12,1000000.0,30000000.0
control,lunch,24.37307490241634,6.963010409918432,1,12,1000000.0,30000000.0
control,make,26.76673663101711,6.282202056434359,1,12,1000000.0,30000000.0
control,man,26.239323453067815,6.353520665542943,1,12,1000000.0,30000000.0
control,meat,26.824160865348063,7.023127662817395,1,12,1000000.0,30000000.0
control,medicine,24.709281294511936,7.006469555990882,1,12,1000000.0,30000000.0
control,milk,18.255048075517685,7.126068178286753,1,12,1000000.0,30000000.0
control,money,24.59030107938586,6.908411334289533,1,12,1000000.0,30000000.0
control,monkey,21.420862525347772,6.877215259750965,1,12,1000000.0,30000000.0
control,moon,21.266352929569763,6.777444251485283,1,12,1000000.0,30000000.0
control,morning,26.726898941775957,6.9510041110058625,1,12,1000000.0,30000000.0
control,mouth,20.209807579108084,6.890375869965413,1,12,1000000.0,30000000.0
control,movie,27.917043742420812,6.682062260665693,1,12,1000000.0,30000000.0
control,muffin,26.196634213174725,6.866894413671774,2,12,1000000.0,30000000.0
control,nap,22.674625384618004,7.353592105104644,1,12,1000000.0,30000000.0
control,new,28.840785987993776,6.352696757481915,1,12,1000000.0,30000000.0
control,nice,25.83342302182803,6.7643448620605335,1,12,1000000.0,30000000.0
control,night,24.482917590787725,6.596687406916407,1,12,1000000.0,30000000.0
control,nose,17.566643472145085,6.998456161522492,1,12,1000000.0,30000000.0
control,open,22.114445562602707,6.8260890546215505,1,12,1000000.0,30000000.0
control,outside,20.586834888836407,6.903701106366022,1,12,1000000.0,30000000.0
control,oven,27.085939648491006,7.128845972142774,1,12,1000000.0,30000000.0
control,owl,23.33001152771118,7.080181849657897,1,12,1000000.0,30000000.0
control,paint,26.332309328783996,7.238889472771819,1,12,1000000.0,30000000.0
control,pancake,24.068571454323198,7.03275677146055,2,12,1000000.0,30000000.0
control,pants,21.936410314208324,7.273289872969094,1,12,1000000.0,30000000.0
control,paper,22.99233148218998,6.932670888410698,1,12,1000000.0,30000000.0
control,park,22.878206476855862,6.912847232085124,1,12,1000000.0,30000000.0
control,party,25.998215555193525,6.800682323939108,1,12,1000000.0,30000000.0
control,peas,24.90319915475007,7.13747163197839,1,12,1000000.0,30000000.0
control,pen,24.683860647952418,7.36406681105335,1,12,1000000.0,30000000.0
control,pencil,26.157410646038286,7.186971603133857,1,12,1000000.0,30000000.0
control,penguin,26.410930852292893,7.0637395111800085,2,12,1000000.0,30000000.0
control,people,27.729170763166103,6.221130598938549,1,12,1000000.0,30000000.0
control,picture,24.12466878869911,7.080758544696047,1,12,1000000.0,30000000.0
control,plant,27.17845363579105,7.2405857418881885,1,12,1000000.0,30000000.0
control,plate,23.881971479516967,7.262396650702071,1,12,1000000.0,30000000.0
control,play,22.7220598630656,6.789201115072752,1,12,1000000.0,30000000.0
control,playground,27.30454893601479,7.172559676056028,2,12,1000000.0,30000000.0
control,police,28.97367753515442,6.787406886812379,1,12,1000000.0,30000000.0
control,pool,23.89664497593775,7.251768171399072,1,12,1000000.0,30000000.0
control,potato,25.588497667339652,7.293637596424296,1,12,1000000.0,30000000.0
control,potty,21.289637906455926,7.296270737943502,2,12,1000000.0,30000000.0
control,present,25.256832955307473,6.787923509349256,1,12,1000000.0,30000000.0
control,pretzel,27.360483906307053,6.679887551010511,3,12,1000000.0,30000000.0
control,pull,26.217858907282245,6.972011738358826,1,12,1000000.0,30000000.0
control,push,24.61567138170203,7.271251240112455,1,12,1000000.0,30000000.0
control,quiet,26.982735254027116,6.848402862569759,1,12,1000000.0,30000000.0
control,rain,22.292559546340982,6.852267324359321,1,12,1000000.0,30000000.0
control,read,23.095216853951683,6.795216844272359,1,12,1000000.0,30000000.0
control,red,23.71687667589879,6.8459532723163665,1,12,1000000.0,30000000.0
control,ride,24.760593586765484,7.077418680923435,1,12,1000000.0,30000000.0
control,rock,22.67177290650117,6.682836050443802,1,12,1000000.0,30000000.0
control,room,24.722076365420904,6.733765342018982,1,12,1000000.0,30000000.0
control,run,23.46802530452093,6.953766743943578,1,12,1000000.0,30000000.0
control,sad,26.12385805343161,6.857103327313722,1,12,1000000.0,30000000.0
control,sandwich,24.988534728639095,7.342480305463326,1,12,1000000.0,30000000.0
control,sauce,28.909244090020106,7.107851147676388,1,12,1000000.0,30000000.0
control,say,27.143040225343398,6.736776284928459,1,12,1000000.0,30000000.0
control,scared,26.521437608452025,6.940447548244138,1,12,1000000.0,30000000.0
control,school,23.937530807499474,6.806866630781189,1,12,1000000.0,30000000.0
control,see,23.26497097971234,6.721265736282524,1,12,1000000.0,30000000.0
control,shake,27.550797616364726,7.0732985872191545,1,12,1000000.0,30000000.0
control,share,26.32381034652683,6.999566108370505,1,12,1000000.0,30000000.0
control,sheep,23.25988784977189,7.1570376798938655,1,12,1000000.0,30000000.0
