arm,word,z_mean_subword,child_aoa,control_model_aoa_log10_step,arm_model_aoa_log10_step,delta_model_aoa_log10_step,beneficial_for_childes_enriched_words_if_negative,control_n_points,arm_n_points
schedule,plant,0.6581950771561307,27.17845363579105,7.2405857418881885,7.030538477134059,-0.21004726475412916,-0.21004726475412916,12,12
schedule,play,1.5337406430484333,22.7220598630656,6.789201115072752,6.019613390918419,-0.7695877241543325,-0.7695877241543325,12,12
schedule,police,0.5295156064477876,28.97367753515442,6.787406886812379,7.005040843175922,0.2176339563635432,0.2176339563635432,12,12
schedule,potty,0.37182365420219343,21.289637906455926,7.296270737943502,7.020205484103634,-0.27606525383986735,-0.27606525383986735,12,12
schedule,pretzel,0.03258779444285833,27.360483906307053,6.679887551010511,6.974955695644207,0.2950681446336958,0.2950681446336958,12,12
schedule,pull,1.4771554267166829,26.217858907282245,6.972011738358826,7.434909109260659,0.4628973709018336,0.4628973709018336,12,12
schedule,rain,1.0923964062267562,22.292559546340982,6.852267324359321,6.86406946296382,0.011802138604498857,0.011802138604498857,12,12
schedule,read,1.5616166525987272,23.095216853951683,6.795216844272359,6.287772870571072,-0.507443973701287,-0.507443973701287,12,12
schedule,red,1.220810157317278,23.71687667589879,6.8459532723163665,6.021309958954243,-0.8246433133621238,-0.8246433133621238,12,12
schedule,rock,1.0675072727499477,22.67177290650117,6.682836050443802,7.189168255700804,0.5063322052570021,0.5063322052570021,12,12
schedule,room,1.353811945405839,24.722076365420904,6.733765342018982,6.6046416404195805,-0.12912370159940156,-0.12912370159940156,12,12
schedule,run,0.9706008021393572,23.46802530452093,6.953766743943578,6.73616395708788,-0.21760278685569734,-0.21760278685569734,12,12
schedule,say,1.3303527677241715,27.143040225343398,6.736776284928459,6.354690137101456,-0.38208614782700323,-0.38208614782700323,12,12
schedule,school,1.2753842492573997,23.937530807499474,6.806866630781189,6.735701705129839,-0.07116492565135069,-0.07116492565135069,12,12
schedule,see,1.4960058841196124,23.26497097971234,6.721265736282524,6.115991499280225,-0.6052742370022983,-0.6052742370022983,12,12
schedule,share,0.7831493213146077,26.32381034652683,6.999566108370505,7.165411679171562,0.1658455708010571,0.1658455708010571,12,12
schedule,sheep,1.03199092561123,23.25988784977189,7.1570376798938655,7.0680431708063525,-0.08899450908751305,-0.08899450908751305,12,12
schedule,show,1.2637206354095516,27.51748617185101,6.797579655740055,6.688955211531677,-0.10862444420837836,-0.10862444420837836,12,12
schedule,sing,1.0969330366398722,24.394043224950867,6.951662010101388,7.45785331334643,0.5061913032450418,0.5061913032450418,12,12
schedule,sink,1.1841807766211758,25.39558925497061,7.302750226548234,7.476981292844076,0.1742310662958424,0.1742310662958424,12,12
schedule,sister,1.1229732660212612,27.616276000578306,6.805444202955897,6.8832756160129,0.07783141305700259,0.07783141305700259,12,12
schedule,sit,1.5861848949820885,21.993039748466675,7.183288326007565,6.058490333637219,-1.124797992370346,-1.124797992370346,12,12
schedule,sleep,1.3069523134123486,22.902856230719685,6.801754516258583,6.812563381685518,0.010808865426934489,0.010808865426934489,12,12
schedule,slow,1.1161975476253387,28.72766020830381,6.926614802659479,6.9722954147828515,0.04568061212337238,0.04568061212337238,12,12
schedule,snow,1.1495043802913572,24.687574502270998,6.863205029190552,6.8868701752712,0.02366514608064829,0.02366514608064829,12,12
schedule,soap,1.425644304866795,22.847457883648175,7.315329208148456,6.969911419619502,-0.34541778852895444,-0.34541778852895444,12,12
schedule,soft,1.1616379950530547,26.553159844649922,6.727800993626989,6.880553094939271,0.15275210131228167,0.15275210131228167,12,12
schedule,splash,0.5660968578408749,25.71250883152326,7.229997188355873,7.023670930519233,-0.20632625783663983,-0.20632625783663983,12,12
schedule,star,0.913287921081865,22.531843509244336,6.854581006657177,6.860768036760579,0.006187030103402158,0.006187030103402158,12,12
schedule,stop,1.2575407433009702,22.7025658907012,6.895790067061806,6.595986037468107,-0.299804029593699,-0.299804029593699,12,12
schedule,store,1.392136557336276,24.24553978030457,7.138713468050218,7.127526236894574,-0.011187231155644461,-0.011187231155644461,12,12
schedule,story,1.4030739506654162,24.83326348723299,6.6525013602242,7.012344960870683,0.35984360064648335,0.35984360064648335,12,12
schedule,street,1.1840448398699284,25.889294579190338,6.883911176695794,6.912895446091443,0.028984269395648354,0.028984269395648354,12,12
schedule,stroller,-0.13226638545411448,24.699849125295277,6.729423411481897,6.977752508463257,0.24832909698135985,0.24832909698135985,12,12
schedule,swim,1.404192533862143,24.758145909832024,6.998018631325078,7.322505803736112,0.3244871724110343,0.3244871724110343,12,12
schedule,table,1.601011021122163,23.623454640728905,6.856288410539831,6.304685487479721,-0.55160292306011,-0.55160292306011,12,12
schedule,take,1.3112264405736562,26.912440144087405,6.721665762694097,6.4471721429366635,-0.27449361975743347,-0.27449361975743347,12,12
schedule,talk,1.3792506704197163,26.1666744723998,7.171714470520197,6.31785880928408,-0.8538556612361168,-0.8538556612361168,12,12
schedule,teacher,1.418303555852546,28.36884966091159,6.934604848762226,7.369476927647433,0.4348720788852072,0.4348720788852072,12,12
schedule,throw,1.5409038427789756,24.69394529214973,6.913580293048812,6.17462696100437,-0.7389533320444421,-0.7389533320444421,12,12
schedule,tired,1.4028768206230522,25.834664804067693,7.083633120129235,7.2862913912826475,0.20265827115341217,0.20265827115341217,12,12
schedule,today,1.4019187715035102,29.606093090564784,6.968663025814682,6.492451641788498,-0.47621138402618435,-0.47621138402618435,12,12
schedule,toothbrush,0.7514869862668387,21.901510940070903,6.951206392040287,7.019510257563776,0.06830386552348866,0.06830386552348866,12,12
schedule,trash,0.14487558900412284,24.991016369949445,6.954142448728937,6.948062203002613,-0.0060802457263235965,-0.0060802457263235965,12,12
schedule,uncle,0.9661751543732111,26.177142576410148,6.937097923828317,7.208711846435653,0.27161392260733663,0.27161392260733663,12,12
schedule,wait,1.4454014915249922,26.10356767864079,6.80166179407433,6.207530435846214,-0.5941313582281165,-0.5941313582281165,12,12
schedule,walk,1.3141650481225864,22.875757281123708,6.908014071647797,6.79739348105699,-0.11062059059080642,-0.11062059059080642,12,12
schedule,white,1.000376778211556,26.40244979152026,6.67530371996625,6.881971416190597,0.206667696224347,0.206667696224347,12,12
schedule,windy,0.6432687550457361,27.379365497599913,6.258833528328077,6.789136809894754,0.5303032815666766,0.5303032815666766,12,12
schedule,write,1.6985941418742538,28.395648019984414,6.892658429267161,6.405801299987649,-0.4868571292795121,-0.4868571292795121,12,12
schedule,zipper,0.46108882683759095,24.876762898753164,7.106879233730787,7.22526621675365,0.11838698302286321,0.11838698302286321,12,12
enrichment,airplane,1.81631058745617,20.857213364310372,7.041794803384003,7.021848248717487,-0.019946554666516292,-0.019946554666516292,12,12
enrichment,animal,1.380815020153746,24.330089945071023,6.847640268862069,6.812132498769566,-0.03550777009250261,-0.03550777009250261,12,12
enrichment,arm,0.8282679726299127,21.99539913263884,6.8977771461450175,6.997324234842038,0.09954708869702067,0.09954708869702067,12,12
enrichment,asleep,1.1021547885098009,24.723574946808974,7.001358476991439,6.994805005836421,-0.006553471155018364,-0.006553471155018364,12,12
enrichment,aunt,1.1225761885772838,25.525525066233225,7.138846249987527,6.996177611627181,-0.1426686383603455,-0.1426686383603455,12,12
enrichment,awake,0.943123482971127,25.8884576271836,7.03368123490646,6.875933208550605,-0.15774802635585505,-0.15774802635585505,12,12
enrichment,backyard,0.7659070265973752,27.587137860896238,7.294195627950892,7.173905890679726,-0.12028973727116643,-0.12028973727116643,12,12
enrichment,bad,1.1735486898611127,25.24613058723793,6.767849409093061,6.737082109226987,-0.030767299866074183,-0.030767299866074183,12,12
enrichment,basket,1.526335313782794,26.039532817543783,7.123375084599845,6.98495606003991,-0.13841902455993438,-0.13841902455993438,12,12
enrichment,beach,1.522399113983389,26.499831193868143,7.002926900102238,6.826128779756571,-0.17679812034566655,-0.17679812034566655,12,12
enrichment,bed,1.3251556149173058,20.670831293608018,6.847240852363097,6.68562310704825,-0.16161774531484685,-0.16161774531484685,12,12
enrichment,bedroom,1.0037214761361164,25.160391755050476,6.814303490591112,6.839426474255327,0.025122983664214615,0.025122983664214615,12,12
enrichment,better,1.29254573049085,27.4836269032841,6.177050149373433,6.027351504012865,-0.14969864536056843,-0.14969864536056843,12,12
enrichment,big,1.5819181203952595,22.607359585163238,6.766295811470597,6.318129682175511,-0.44816612929508626,-0.44816612929508626,12,12
enrichment,bird,1.5964929667754861,18.06848056468084,6.783664071918494,6.8414152062978255,0.057751134379331326,0.057751134379331326,12,12
enrichment,bite,1.6981893588330443,22.943816797389026,7.1734035713429565,6.791960398352561,-0.3814431729903953,-0.3814431729903953,12,12
enrichment,black,1.3225156103531364,25.804687037784696,6.791021696106416,6.73162127516165,-0.059400420944765386,-0.059400420944765386,12,12
enrichment,block,1.298007333179545,21.984059781669306,7.299873438178085,7.050983712696266,-0.24888972548181876,-0.24888972548181876,12,12
enrichment,blue,1.452534672851563,22.642599694308036,6.800708545466313,6.021716614010925,-0.7789919314553879,-0.7789919314553879,12,12
enrichment,boat,1.3653292509204598,21.092331322802426,6.787633436500394,6.627586637344394,-0.1600467991559995,-0.1600467991559995,12,12
enrichment,boots,1.5664699193918823,21.72477463112487,7.21823589640017,7.318486574504786,0.10025067810461596,0.10025067810461596,12,12
enrichment,bottle,1.673400085149342,20.82785610568821,6.77831311453541,6.812011576401232,0.03369846186582137,0.03369846186582137,12,12
enrichment,bottom,1.3979873239356408,22.21268312207221,6.868772978828494,6.736231770771039,-0.13254120805745462,-0.13254120805745462,12,12
enrichment,bowl,1.6923346935235966,22.558643297425284,6.991336953784412,6.985271024863336,-0.006065928921075603,-0.006065928921075603,12,12
enrichment,box,1.5570017757454278,22.744450977282813,6.8448922868892295,6.711370358384818,-0.13352192850441114,-0.13352192850441114,12,12
enrichment,boy,1.2605058277387915,23.9923879977722,6.948168732459629,6.802467501760449,-0.14570123069917962,-0.14570123069917962,12,12
enrichment,bread,1.3948784675035937,22.252228192835148,7.298353881709596,6.424802190122162,-0.8735516915874335,-0.8735516915874335,12,12
enrichment,break,1.2624187077865534,25.062903657705817,6.877870534723769,6.803024925535399,-0.0748456091883698,-0.0748456091883698,12,12
enrichment,broken,1.3856147844432507,23.62808164061539,7.1504303175660135,6.420170426407822,-0.7302598911581919,-0.7302598911581919,12,12
enrichment,brother,1.1140555538550911,27.4731814681999,6.904306659015062,6.785025874623354,-0.11928078439170786,-0.11928078439170786,12,12
enrichment,brown,1.2383096592769487,26.727189326690834,6.878577011297193,6.576331190586812,-0.30224582071038153,-0.30224582071038153,12,12
enrichment,build,1.372821229790708,26.870721478274586,6.861371600453652,6.763526656213961,-0.09784494423969115,-0.09784494423969115,12,12
enrichment,bus,1.4772418575655186,20.85319790543193,6.79231706524138,6.971458512460652,0.17914144721927183,0.17914144721927183,12,12
enrichment,butter,1.600373599855386,25.064198626684203,7.08488538028742,7.003556394304682,-0.08132898598273819,-0.08132898598273819,12,12
enrichment,button,1.5551934571362749,23.297598677811564,7.032948374200116,7.2349356116891865,0.2019872374890701,0.2019872374890701,12,12
enrichment,buy,1.3834028342837736,27.89149822311601,6.843002116480016,6.7783279816304605,-0.06467413484955564,-0.06467413484955564,12,12
enrichment,cake,1.7344421055076167,22.219009204871558,7.170307812227342,6.992826354383653,-0.17748145784368852,-0.17748145784368852,12,12
enrichment,camera,1.2652754570442966,25.871615597327157,6.821746912276205,6.920719646276162,0.09897273399995754,0.09897273399995754,12,12
enrichment,candy,1.6647398586274693,23.38912238818194,7.056695652294762,7.005059233655225,-0.05163641863953661,-0.05163641863953661,12,12
enrichment,car,0.9054608714661728,17.496796781553705,6.804825635156404,6.980647931933387,0.1758222967769827,0.1758222967769827,12,12
enrichment,careful,1.5583530750166226,26.38063961823633,6.825420552109719,6.811183186983201,-0.014237365126517965,-0.014237365126517965,12,12
enrichment,carry,1.050293348686746,25.336988814569168,6.888600415674404,6.837392443652737,-0.05120797202166649,-0.05120797202166649,12,12
enrichment,cat,1.4470361335700284,18.228507346753123,6.912722798085997,6.486106721114071,-0.42661607697192583,-0.42661607697192583,12,12
enrichment,catch,1.2310264887573292,25.372205870213676,6.949783024753164,6.88585348618092,-0.0639295385722436,-0.0639295385722436,12,12
enrichment,chair,1.5582454436931725,21.225459750312105,7.0169674190658755,6.066642579840133,-0.9503248392257424,-0.9503248392257424,12,12
enrichment,chocolate,1.7522263152103055,24.58033128800783,7.11383324063434,7.271594480043061,0.1577612394087211,0.1577612394087211,12,12
enrichment,climb,1.5192599078608253,25.58444891978825,7.083097894694771,6.81153633807409,-0.27156155662068127,-0.27156155662068127,12,12
enrichment,clock,1.2978843699494234,23.99618230263423,7.0756230630531665,6.990025839503405,-0.08559722354976174,-0.08559722354976174,12,12
enrichment,coat,1.227788803717347,22.922576688186258,7.074251054576936,7.228788504790666,0.15453745021372978,0.15453745021372978,12,12
enrichment,coffee,1.641129384994618,24.665622637597178,7.0247390521686,6.971522759564077,-0.05321629260452365,-0.05321629260452365,12,12
