word,token_ids,z_mean_subword,n_subword_pieces
loud,2339,1.605348616186995,1
love,961,1.0354114513265975,1
lunch,2782,1.5786761072994662,1
mad,3461,0.20070099709348144,1
mailman,5398 772,0.6495830892733824,2
make,629,1.398834189267378,1
man,479,1.0078851827109023,1
meat,3761,1.5285336122091167,1
medicine,5497,0.9922237639402172,1
melon,5055 209,0.5810484588817959,2
milk,1867,1.6838353565662185,1
mittens,208 437 820,0.1670027683359091,3
mommy,2574,1.8620549497940344,1
money,1170,1.0320992555045971,1
monkey,4429,1.6893371159860726,1
moon,2191,1.6290145560267943,1
moose,208 2682,0.46685283169774927,2
mop,208 366,0.25013841319040403,2
morning,1263,1.1251561489142516,1
motorcycle,11080,1.4942204301469284,1
mouse,4447,1.6641359435379028,1
mouth,2376,1.5428020308661552,1
movie,1933,0.9636430528133968,1
muffin,11139 193,0.6902932372372905,2
nail,7027,1.6185655085197173,1
nap,4668,1.0242333499761667,1
napkin,9163,1.8144125759049972,1
naughty,10606,1.3249592484859647,1
necklace,10599,1.677529052767836,1
new,790,0.7141718337039652,1
nice,1102,1.518388318186535,1
night,914,1.0707901217996245,1
noisy,14816,1.206325779023036,1
noodles,11919,1.7940498089662074,1
nose,3071,1.5145545069709399,1
nurse,4574,0.7978602615196466,1
nuts,5568,1.6380738451978434,1
old,789,0.7725141072840963,1
open,1217,1.3424801237246689,1
outside,1881,1.3585345772523496,1
oven,9254,1.4918969630489352,1
owie,2515 379,0.4590008029010477,2
owl,4102,1.820597412960502,1
paint,3061,1.4548744473801416,1
pajamas,11368,1.8531471865969895,1
pancake,7492 420,0.26379857428834996,2
pants,7042,1.6856543619659279,1
paper,1619,1.5652154461114525,1
park,2645,0.8354214238999201,1
party,1628,0.9280370184185907,1
pattycake,2760 622 6124,0.5604288508687348,3
peas,6439,1.6859120530609817,1
peekaboo,16081,1.8773639020073045,1
pen,2626,0.7563744986719998,1
pencil,2966,1.817052390887064,1
penguin,11142 193,0.93312212089497,2
penis,2626 206,0.8376020845442712,2
penny,6581,1.4880264921499489,1
people,605,0.8665252479168912,1
person,1281,0.8415071634443494,1
pick,1254,1.4975374143517923,1
pickle,5787,1.7951067608871734,1
picnic,4952,1.7526313561120062,1
picture,1984,1.608679616262791,1
pig,5515,1.3754455755544273,1
pillow,6449,1.6066916278973562,1
pizza,7375,1.5998029911908191,1
plant,3754,0.6581950771561307,1
plate,3317,1.651998995886726,1
play,625,1.5337406430484333,1
playground,625 2685,1.1274343325597256,2
police,2802,0.5295156064477876,1
pony,6253,1.3211107561005047,1
pool,4556,1.4219901202081684,1
poor,1714,0.8278581238559425,1
pop,1461,1.0317884946681817,1
popcorn,14962,1.6791264408458384,1
popsicle,12630,1.8252756983923195,1
porch,10458,1.2062513804081227,1
potato,8492,1.5377415998810935,1
potty,2185 622,0.37182365420219343,2
pour,4972,1.723703863885441,1
present,1685,1.087507635956237,1
pretend,4349,1.6275210654691092,1
pretty,1396,1.4385550973168637,1
pretzel,1095 94 411,0.03258779444285833,3
pudding,15393,1.4526156668725496,1
pull,1965,1.4771554267166829,1
pumpkin,10130,1.786099499713243,1
puppy,8183,1.654148190653686,1
purse,8511,1.4014066572848867,1
push,3613,1.5780121599441852,1
put,563,1.6502327179097547,1
puzzle,3564,1.7975384277224356,1
quiet,2136,1.2986487540120333,1
radio,4584,0.7413023628128563,1
rain,3055,1.0923964062267562,1
raisin,11104 193,0.8821556577427918,2
read,953,1.5616166525987272,1
red,1227,1.220810157317278,1
refrigerator,9685,1.7739407166963546,1
ride,2690,1.5651270170878917,1
rip,12371,1.2089247613809007,1
rock,1709,1.0675072727499477,1
roof,4639,1.1432086396996202,1
room,975,1.353811945405839,1
rooster,13665 1547,0.42393626497602366,2
run,1105,0.9706008021393572,1
sad,3522,0.7649543020227656,1
salt,5319,1.3889853328780057,1
sandbox,2694 7624,0.7529611365272099,2
sandwich,5102,1.7857118390837563,1
sauce,8091,1.5141140120076544,1
say,516,1.3303527677241715,1
scared,3405,1.5618569628739611,1
scarf,3980 74,-0.515859982300679,2
school,965,1.2753842492573997,1
scissors,7371,1.7258901421008548,1
see,469,1.4960058841196124,1
shake,7032,1.295001967573812,1
share,3243,0.7831493213146077,1
sheep,6577,1.03199092561123,1
shirt,4988,1.6020530160948874,1
shoe,5582,1.6955557496415887,1
shopping,7934,1.4056459782531883,1
shorts,1762 87,0.5030411131707045,2
shoulder,5607,1.0347577779746542,1
shovel,10414,1.7523739229041402,1
show,876,1.2637206354095516,1
shower,7949,1.3034209512257677,1
sick,2743,1.0100356089009304,1
sidewalk,12916,1.5967767055259823,1
sing,1038,1.0969330366398722,1
sink,6187,1.1841807766211758,1
sister,2068,1.1229732660212612,1
sit,1104,1.5861848949820885,1
skate,1257 441,-0.10328221044041055,2
sky,3736,1.0740385803132357,1
sled,860 214,0.04394237382621419,2
sleep,1401,1.3069523134123486,1
sleepy,9270,1.537264466881337,1
slipper,15664,1.5934249608266635,1
slow,2382,1.1161975476253387,1
smile,4194,0.6351673619243062,1
snack,11162,1.6581639617039194,1
sneaker,9115 202,0.7311280587787748,2
snow,2669,1.1495043802913572,1
snowman,11357,1.8326350832289307,1
snowsuit,1437 1419 4958,0.2929543497005713,3
soap,7663,1.425644304866795,1
sock,12162,1.5135419811782553,1
soda,10942,1.6007067367916312,1
sofa,10101,1.1351605010788395,1
soft,1843,1.1616379950530547,1
soup,4936,1.728919087522828,1
spaghetti,9416,1.838894998942046,1
spill,9377,1.5160108862958102,1
splash,4614 1465,0.5660968578408749,2
spoon,3762,1.82192912232972,1
sprinkler,13088 2148,0.49247760452035666,2
squirrel,12392,1.5780227808075573,1
stairs,4449,1.5250414567842443,1
stand,1154,1.2187673101171956,1
star,2233,0.913287921081865,1
stay,1150,1.2303398132698955,1
stick,1212,1.7425914988899278,1
sticky,10586,1.7060913746262798,1
stone,3813,0.3822412520229301,1
stop,1340,1.2575407433009702,1
store,2358,1.392136557336276,1
story,1369,1.4030739506654162,1
stove,6975,1.573559433855767,1
strawberry,11026,1.8096861952859333,1
street,2471,1.1840448398699284,1
stroller,4251 218 202,-0.13226638545411448,3
stuck,3661,1.607116684704343,1
sun,1612,1.076089248840704,1
sweater,12755,1.6501357348519963,1
sweep,12845,0.8130180444619585,1
swim,2684,1.404192533862143,1
table,1386,1.601011021122163,1
take,672,1.3112264405736562,1
talk,770,1.3792506704197163,1
tape,2175,1.7787117937054067,1
taste,4427,1.481783287168087,1
teacher,3103,1.418303555852546,1
tear,6012,1.1980267013050567,1
teddybear,5916 70 465,0.47006599084284045,3
telephone,4073,1.65328863792136,1
think,498,1.3108862153984802,1
thirsty,9785,1.597460764912135,1
throw,2595,1.5409038427789756,1
tiger,3951,1.6679243106606205,1
tights,190 4522,0.4361646170711121,2
time,533,1.005003397479987,1
tiny,3006,1.467274557563632,1
tired,2864,1.4028768206230522,1
tissue,9487,0.8737197038670638,1
toast,7964,1.3871813064865053,1
today,1348,1.4019187715035102,1
toe,8880,1.6103310105004476,1
tomorrow,2295,1.4165039538397761,1
tongue,5460,1.2615594755705166,1
tonight,2636,1.1942452772205132,1
tooth,5347,1.3476374540812046,1
toothbrush,5347 1453 1617,0.7514869862668387,3
touch,2408,1.2791689622149773,1
towel,9665,1.7636367598136256,1
tractor,12328,1.7808194025714768,1
train,2116,1.364354286723787,1
trash,553 1465,0.14487558900412284,2
tray,9205,1.4520730593788738,1
tree,2098,1.3286855034025997,1
tricycle,13489,1.8560212131440623,1
truck,2676,1.6767087193160066,1
tummy,9057,1.8454930362414654,1
tuna,6095 69,0.09864472532617141,2
turkey,9435,1.3309796184421059,1
turtle,4801,1.7359457890520642,1
tv,5442,1.397966712467921,1
uncle,2990,0.9661751543732111,1
underpants,765 84 1440,0.05134743852407279,3
vacuum,14635,1.6036456726731136,1
vagina,435 485 916,-0.33306481874852406,3
vanilla,3658 5363,0.5260070603379029,2
vitamins,13816,1.510765257409708,1
wait,1068,1.4454014915249922,1
wake,5043,1.3128371033462445,1
walk,1226,1.3141650481225864,1
walker,1226 202,0.6389507807112471,2
wash,3970,1.550983241402313,1
wet,4178,1.240862698112819,1
white,1590,1.000376778211556,1
wind,1378,0.9038069230798695,1
window,2324,1.239131974466927,1
windy,1378 93,0.6432687550457361,2
wipe,8979,1.6785602131159392,1
wish,2099,0.8813891053175583,1
wolf,8084,1.2532650471389295,1
woods,4363,0.8060783140236792,1
write,1470,1.6985941418742538,1
yard,6014,1.130530011587918,1
yellow,1633,1.6899129911400423,1
yesterday,2946,1.508668398722237,1
yogurt,15398,1.4788641147216284,1
yucky,215 5992,0.3657745723784279,2
zebra,11981,1.8378454132459123,1
zipper,2122 9388,0.46108882683759095,2
zoo,4672,1.711750539553132,1
