contrast,macro_group,quantity,n,mean,median,min,max,checkpoints
VminusB,split_regular,delta_pred_option4_macro_pp,3,0.38700912288361317,0.2763590217616964,0.1682042149307075,0.7164641319584356,chck_80M;chck_90M;chck_100M
VminusB,split_move_contents,delta_accuracy_pp,3,2.687654442136362,2.8076449787745936,2.402042980825476,2.8532753668090174,chck_80M;chck_90M;chck_100M
VminusB,split_move_contents,gain_wrong_to_correct_macro_pp,3,9.08117541003523,8.989240382296295,8.679294157646773,9.574991690162628,chck_80M;chck_90M;chck_100M
VminusB,split_move_contents,loss_correct_to_wrong_macro_pp,3,6.393520967898869,6.277251176821295,6.181595403521701,6.72171632335361,chck_80M;chck_90M;chck_100M
VminusB,split_move_contents,both_correct_macro_pp,3,19.876663851319197,20.05908433197684,19.288513441324106,20.28239378065664,chck_80M;chck_90M;chck_100M
VminusB,split_move_contents,both_wrong_macro_pp,3,64.6486397707467,64.76106088487529,64.41477854515966,64.77007988220517,chck_80M;chck_90M;chck_100M
VminusB,split_move_contents,delta_pred_option0_macro_pp,3,2.687654442136363,2.8076449787745936,2.4020429808254766,2.853275366809018,chck_80M;chck_90M;chck_100M
VminusB,split_move_contents,delta_pred_option1_macro_pp,3,-1.1037054419337475,-1.0338686861001125,-1.2983045965411844,-0.9789430431599456,chck_80M;chck_90M;chck_100M
VminusB,split_move_contents,delta_pred_option2_macro_pp,3,-0.7545964608868085,-0.7377557247288359,-0.7945688659551806,-0.7314647919764092,chck_80M;chck_90M;chck_100M
VminusB,split_move_contents,delta_pred_option3_macro_pp,3,0.006951834061695343,0.24352904013832566,-0.7847678431333226,0.562094305180083,chck_80M;chck_90M;chck_100M
VminusB,split_move_contents,delta_pred_option4_macro_pp,3,-0.8363043733775019,-0.9280769647355395,-1.2858405408363973,-0.2949956145605686,chck_80M;chck_90M;chck_100M
BminusR,all_18_subtasks,delta_accuracy_pp,3,1.0234178269613625,1.090430974026523,0.5799830811307078,1.3998394257268563,chck_80M;chck_90M;chck_100M
BminusR,all_18_subtasks,gain_wrong_to_correct_macro_pp,3,10.24505160169216,10.254173122698672,10.208330432101569,10.272651250276235,chck_80M;chck_90M;chck_100M
BminusR,all_18_subtasks,loss_correct_to_wrong_macro_pp,3,9.221633774730796,9.182220276249712,8.808491006374714,9.674190041567963,chck_80M;chck_90M;chck_100M
BminusR,all_18_subtasks,both_correct_macro_pp,3,14.849649349753301,14.855385732772133,14.674314681647937,15.01924763483984,chck_80M;chck_90M;chck_100M
BminusR,all_18_subtasks,both_wrong_macro_pp,3,65.68366527382375,65.52588083863422,65.21625110296124,66.30886387987577,chck_80M;chck_90M;chck_100M
BminusR,all_18_subtasks,delta_pred_option0_macro_pp,3,1.023417826961362,1.090430974026523,0.5799830811307078,1.3998394257268558,chck_80M;chck_90M;chck_100M
BminusR,all_18_subtasks,delta_pred_option1_macro_pp,3,0.7697880642816003,0.7708043566378521,0.5895653455525113,0.9489944906544376,chck_80M;chck_90M;chck_100M
BminusR,all_18_subtasks,delta_pred_option2_macro_pp,3,-6.488808202608097,-6.216791273319979,-7.198313771634908,-6.051319562869405,chck_80M;chck_90M;chck_100M
BminusR,all_18_subtasks,delta_pred_option3_macro_pp,3,2.627871347405241,2.6288980028243545,2.2261173580609204,3.0285986813304473,chck_80M;chck_90M;chck_100M
BminusR,all_18_subtasks,delta_pred_option4_macro_pp,3,2.0677309639598938,2.1294385845946824,1.8934439882599046,2.1803103190250934,chck_80M;chck_90M;chck_100M
BminusR,zero_ops,delta_accuracy_pp,3,-13.03717774261319,-13.271466432176615,-13.663132590185931,-12.176934205477025,chck_80M;chck_90M;chck_100M
BminusR,zero_ops,gain_wrong_to_correct_macro_pp,3,6.240511375959252,6.240511375959252,6.1092777801587275,6.371744971759777,chck_80M;chck_90M;chck_100M
BminusR,zero_ops,loss_correct_to_wrong_macro_pp,3,19.27768911857244,19.511977808135864,18.28621198563575,20.034877561945706,chck_80M;chck_90M;chck_100M
BminusR,zero_ops,both_correct_macro_pp,3,28.882786837257026,28.75045262633071,28.62468045594431,29.273227429496057,chck_80M;chck_90M;chck_100M
BminusR,zero_ops,both_wrong_macro_pp,3,45.59901266821128,45.62283035996057,44.8429248399638,46.33128280470946,chck_80M;chck_90M;chck_100M
BminusR,zero_ops,delta_pred_option0_macro_pp,3,-13.03717774261319,-13.271466432176613,-13.663132590185931,-12.176934205477027,chck_80M;chck_90M;chck_100M
BminusR,zero_ops,delta_pred_option1_macro_pp,3,4.813067014382337,4.662424090515742,4.660889263701468,5.115887688929802,chck_80M;chck_90M;chck_100M
BminusR,zero_ops,delta_pred_option2_macro_pp,3,2.324426667739209,2.5821581971184377,1.4822894956492185,2.9088323104499705,chck_80M;chck_90M;chck_100M
BminusR,zero_ops,delta_pred_option3_macro_pp,3,2.370759416172344,2.390216297633301,2.3256168144291665,2.3964451364545654,chck_80M;chck_90M;chck_100M
BminusR,zero_ops,delta_pred_option4_macro_pp,3,3.5289246443192996,3.638202673723407,3.18231188444344,3.7662593747910518,chck_80M;chck_90M;chck_100M
