arm,epoch,subset,n,a_correct,b_correct,joint_correct,a_acc,b_acc,joint_acc,expected_joint_independent_count,gating_count,gating_frac,mean_a_margin,mean_b_margin,mean_joint_min_margin
answer_corrupt_update_state,5,both_entities_in_source_115,115,58,64,7,0.5043478260869565,0.5565217391304348,0.06086956521739131,32.278260869565216,-25.278260869565216,-0.21981096408317577,-0.012299571102187212,0.2809387006401709,-1.2917075929058737
answer_corrupt_update_state,5,not_both_entities_in_source_85,85,37,55,7,0.43529411764705883,0.6470588235294118,0.08235294117647059,23.941176470588236,-16.941176470588236,-0.1993079584775087,-0.3252656492729667,0.6309025775370614,-1.4030893472939068
answer_corrupt_update_state,10,all_pairs,200,108,117,25,0.54,0.585,0.125,63.18,-38.18,-0.19090000000000001,0.11407310001188922,0.4322625127690574,-1.2374310937054431
answer_corrupt_update_state,10,updated_entity_in_source_119,119,68,66,15,0.5714285714285714,0.5546218487394958,0.12605042016806722,37.714285714285715,-22.714285714285715,-0.19087635054021607,0.2032779563489472,0.30750553875936604,-1.2073204354923448
answer_corrupt_update_state,10,updated_entity_not_in_source_81,81,40,51,10,0.49382716049382713,0.6296296296296297,0.12345679012345678,25.185185185185187,-15.185185185185187,-0.18747142203932327,-0.016980948186998395,0.6155474498944065,-1.2816677397222174
answer_corrupt_update_state,10,both_entities_in_source_115,115,65,64,14,0.5652173913043478,0.5565217391304348,0.12173913043478261,36.17391304347826,-22.173913043478258,-0.19281663516068048,0.1907634108839379,0.2993991137584875,-1.2406064505279177
answer_corrupt_update_state,10,not_both_entities_in_source_85,85,43,53,11,0.5058823529411764,0.6235294117647059,0.12941176470588237,26.811764705882354,-15.811764705882354,-0.1860207612456747,0.010315620596764578,0.6120188761362991,-1.2331350227103306
answer_corrupt_update_state,15,all_pairs,200,113,117,30,0.565,0.585,0.15,66.105,-36.105000000000004,-0.18052499999999996,0.286654413084637,0.42940151730865356,-1.191373453069908
answer_corrupt_update_state,15,updated_entity_in_source_119,119,69,65,15,0.5798319327731093,0.5462184873949579,0.12605042016806722,37.6890756302521,-22.6890756302521,-0.19066450109455546,0.35144435980425315,0.3095073003395814,-1.185016883324768
answer_corrupt_update_state,15,updated_entity_not_in_source_81,81,44,52,15,0.5432098765432098,0.6419753086419753,0.18518518518518517,28.246913580246915,-13.246913580246915,-0.16354214296601127,0.19146918271878122,0.60554240396692,-1.2007121172633854
answer_corrupt_update_state,15,both_entities_in_source_115,115,66,63,14,0.5739130434782609,0.5478260869565217,0.12173913043478261,36.15652173913043,-22.156521739130433,-0.19266540642722113,0.3375901307081539,0.2986234560121935,-1.2154712764121913
answer_corrupt_update_state,15,not_both_entities_in_source_85,85,47,54,16,0.5529411764705883,0.6352941176470588,0.18823529411764706,29.858823529411765,-13.858823529411765,-0.16304498269896195,0.2177413833587024,0.606336541415629,-1.158770515606819
answer_corrupt_update_state,20,all_pairs,200,116,113,30,0.58,0.565,0.15,65.54,-35.540000000000006,-0.17769999999999994,0.4379425030621907,0.42770255911637445,-1.148917451529509
answer_corrupt_update_state,20,updated_entity_in_source_119,119,71,60,13,0.5966386554621849,0.5042016806722689,0.1092436974789916,35.79831932773109,-22.798319327731093,-0.19158251535908477,0.4877522472302475,0.30068125077815,-1.1762721030234973
answer_corrupt_update_state,20,updated_entity_not_in_source_81,81,45,53,17,0.5555555555555556,0.654320987654321,0.20987654320987653,29.444444444444443,-12.444444444444443,-0.1536351165980796,0.3647652245930701,0.6143141108725314,-1.1087297536556253
answer_corrupt_update_state,20,both_entities_in_source_115,115,69,58,12,0.6,0.5043478260869565,0.10434782608695652,34.8,-22.799999999999997,-0.19826086956521738,0.47685117181386005,0.28658156407804436,-1.2059284402190298
answer_corrupt_update_state,20,not_both_entities_in_source_85,85,47,55,18,0.5529411764705883,0.6470588235294118,0.21176470588235294,30.41176470588235,-12.411764705882351,-0.14602076124567478,0.38530136298640266,0.6186309641682328,-1.0717849374201576
