sentence_uid,source,row_example_id,axis_row_index,sentence_words,row_words,char_start,char_end,mode,input_form,add_special_tokens,n_target_tokens,n_masked,target_truncated_right,input_content_len,min_masked_input_edge_distance,mean_masked_input_edge_distance,min_masked_target_edge_distance,mean_masked_target_edge_distance,masked_target_edge_bins,loss,endpoint,endpoint_path,description
r0013_s02,bnc_spoken,920000013,13,16,160,129,206,row_context,with_special,True,19,5,False,189,32,38.8,0,2.8,0_edge_token;1;4-7;8-15;0_edge_token,2.971787214279175,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0015_s04,bnc_spoken,920000015,15,11,160,710,768,row_context,with_special,True,13,2,False,197,25,26.5,1,2.5,4-7;1,2.6595027446746826,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0017_s02,bnc_spoken,920000017,17,21,160,307,420,row_context,with_special,True,27,1,False,191,91,91.0,1,1.0,1,8.189301490783691,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0021_s02,bnc_spoken,920000021,21,13,160,363,433,row_context,with_special,True,18,4,False,197,82,86.75,1,4.25,1;2-3;8-15;4-7,1.7543221712112427,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0022_s00,bnc_spoken,920000022,22,14,160,0,70,row_context,with_special,True,19,1,False,191,5,5.0,5,5.0,4-7,0.0009870424401015043,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0023_s02,bnc_spoken,920000023,23,11,160,142,197,row_context,with_special,True,14,2,False,186,38,40.5,3,4.0,4-7;2-3,1.7933712005615234,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0027_s01,bnc_spoken,920000027,27,11,160,230,286,row_context,with_special,True,12,3,False,198,55,59.0,0,0.3333333333333333,0_edge_token;1;0_edge_token,4.228603839874268,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0027_s03,bnc_spoken,920000027,27,9,160,413,462,row_context,with_special,True,10,3,False,198,92,93.66666666666667,2,3.3333333333333335,4-7;4-7;2-3,0.1709054857492447,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0027_s04,bnc_spoken,920000027,27,13,160,583,648,row_context,with_special,True,18,3,False,198,49,52.666666666666664,1,5.333333333333333,1;8-15;4-7,0.24136348068714142,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0027_s06,bnc_spoken,920000027,27,12,160,774,830,row_context,with_special,True,12,2,False,198,2,6.5,0,1.0,0_edge_token;2-3,4.610938549041748,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0029_s01,bnc_spoken,920000029,29,10,160,196,240,row_context,with_special,True,11,1,False,199,53,53.0,0,0.0,0_edge_token,2.6905159950256348,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0029_s02,bnc_spoken,920000029,29,8,160,265,297,row_context,with_special,True,10,2,False,199,72,74.0,1,2.5,1;4-7,0.8852265477180481,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0031_s03,bnc_spoken,920000031,31,8,160,284,333,row_context,with_special,True,10,2,False,194,77,77.5,4,4.0,4-7;4-7,9.241028785705566,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0031_s07,bnc_spoken,920000031,31,10,160,760,805,row_context,with_special,True,12,1,False,194,11,11.0,0,0.0,0_edge_token,2.875474214553833,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0040_s06,bnc_spoken,920000040,40,15,160,596,670,row_context,with_special,True,18,1,False,177,29,29.0,7,7.0,4-7,1.6490755081176758,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0041_s06,bnc_spoken,920000041,41,23,160,520,615,row_context,with_special,True,25,7,False,195,39,49.285714285714285,0,5.714285714285714,2-3;4-7;8-15;8-15;8-15;1;0_edge_token,3.211333751678467,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0042_s09,bnc_spoken,920000042,42,9,160,747,784,row_context,with_special,True,11,2,False,201,7,7.5,3,3.5,4-7;2-3,0.016641799360513687,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0043_s06,bnc_spoken,920000043,43,18,160,697,794,row_context,with_special,True,21,1,False,198,15,15.0,6,6.0,4-7,0.9788144826889038,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0044_s00,bnc_spoken,920000044,44,9,160,0,50,row_context,with_special,True,10,1,False,199,0,0.0,0,0.0,0_edge_token,4.014386177062988,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0045_s04,bnc_spoken,920000045,45,8,160,443,483,row_context,with_special,True,9,3,False,196,88,89.66666666666667,1,2.3333333333333335,1;2-3;4-7,3.926405191421509,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0045_s07,bnc_spoken,920000045,45,10,160,592,645,row_context,with_special,True,14,3,False,196,45,51.0,0,2.3333333333333335,0_edge_token;4-7;1,1.0249552726745605,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0045_s08,bnc_spoken,920000045,45,29,160,679,832,row_context,with_special,True,31,6,False,196,6,15.0,2,7.333333333333333,4-7;8-15;8-15;8-15;4-7;2-3,5.923234462738037,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0046_s07,bnc_spoken,920000046,46,12,160,612,678,row_context,with_special,True,14,1,False,190,47,47.0,4,4.0,4-7,1.3983887434005737,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0047_s01,bnc_spoken,920000047,47,9,160,74,128,row_context,with_special,True,10,2,False,196,18,18.5,2,2.5,2-3;2-3,2.9571003913879395,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0047_s02,bnc_spoken,920000047,47,9,160,152,199,row_context,with_special,True,10,2,False,196,33,33.5,1,1.5,1;2-3,2.5479493141174316,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0047_s03,bnc_spoken,920000047,47,12,160,200,254,row_context,with_special,True,15,1,False,196,42,42.0,0,0.0,0_edge_token,2.817396402359009,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0048_s06,bnc_spoken,920000048,48,8,160,551,589,row_context,with_special,True,11,2,False,202,66,68.5,1,2.5,1;4-7,0.9039610028266907,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0049_s06,bnc_spoken,920000049,49,10,160,512,554,row_context,with_special,True,11,1,False,195,72,72.0,0,0.0,0_edge_token,4.6803154945373535,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0052_s06,bnc_spoken,920000052,52,26,160,667,784,row_context,with_special,True,30,4,False,202,5,8.75,5,8.75,8-15;8-15;4-7;4-7,0.8175339698791504,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0058_s04,bnc_spoken,920000058,58,12,160,575,637,row_context,with_special,True,23,1,False,211,56,56.0,2,2.0,2-3,7.335502624511719,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0060_s05,bnc_spoken,920000060,60,14,160,534,593,row_context,with_special,True,15,2,False,186,43,44.0,2,3.0,4-7;2-3,0.14958041906356812,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0062_s01,bnc_spoken,920000062,62,15,160,123,195,row_context,with_special,True,16,2,False,188,34,38.5,2,3.0,4-7;2-3,1.310036063194275,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0064_s01,bnc_spoken,920000064,64,28,160,97,226,row_context,with_special,True,30,9,False,178,21,30.11111111111111,0,6.444444444444445,0_edge_token;1;2-3;4-7;4-7;8-15;8-15;8-15;4-7,3.9832143783569336,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0066_s03,bnc_spoken,920000066,66,14,160,451,519,row_context,with_special,True,17,1,False,183,73,73.0,4,4.0,4-7,1.6236003637313843,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0067_s02,bnc_spoken,920000067,67,28,160,135,266,row_context,with_special,True,33,3,False,196,51,55.0,2,9.0,8-15;8-15;2-3,2.075587749481201,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0067_s05,bnc_spoken,920000067,67,14,160,477,546,row_context,with_special,True,17,4,False,196,70,74.25,0,3.75,0_edge_token;2-3;4-7;8-15,4.20408296585083,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0067_s08,bnc_spoken,920000067,67,10,160,718,774,row_context,with_special,True,16,4,False,196,18,19.5,3,4.5,2-3;4-7;4-7;4-7,4.91469669342041,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0069_s09,bnc_spoken,920000069,69,12,160,711,777,row_context,with_special,True,15,2,False,199,16,17.5,4,5.5,4-7;4-7,3.1658687591552734,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0070_s01,bnc_spoken,920000070,70,10,160,114,154,row_context,with_special,True,13,1,False,224,36,36.0,4,4.0,4-7,0.009051126427948475,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0070_s02,bnc_spoken,920000070,70,8,160,193,236,row_context,with_special,True,11,1,False,224,57,57.0,0,0.0,0_edge_token,7.741436958312988,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0073_s01,bnc_spoken,920000073,73,17,160,118,200,row_context,with_special,True,22,4,False,198,36,40.5,5,6.75,4-7;8-15;8-15;4-7,2.103483200073242,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0073_s07,bnc_spoken,920000073,73,10,160,670,729,row_context,with_special,True,10,1,False,198,24,24.0,1,1.0,1,2.6077475547790527,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0075_s00,bnc_spoken,920000075,75,10,160,0,49,row_context,with_special,True,13,2,False,187,8,9.5,1,2.5,4-7;1,1.8047051429748535,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0079_s01,bnc_spoken,920000079,79,22,160,96,194,row_context,with_special,True,24,2,False,191,39,42.5,2,5.5,8-15;2-3,7.987532138824463,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0079_s02,bnc_spoken,920000079,79,30,160,195,336,row_context,with_special,True,38,3,False,191,65,74.33333333333333,1,10.0,16+;8-15;1,1.611871361732483,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0080_s00,bnc_spoken,920000080,80,29,160,0,135,row_context,with_special,True,33,4,False,191,1,7.0,1,7.0,1;4-7;8-15;8-15,1.9183619022369385,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0081_s06,bnc_spoken,920000081,81,12,160,577,633,row_context,with_special,True,16,2,False,189,46,50.5,2,3.0,4-7;2-3,0.6132481694221497,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0082_s03,bnc_spoken,920000082,82,14,160,198,264,row_context,with_special,True,17,1,False,196,49,49.0,0,0.0,0_edge_token,3.5830118656158447,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0082_s05,bnc_spoken,920000082,82,32,160,431,597,row_context,with_special,True,39,7,False,196,54,77.57142857142857,2,7.571428571428571,2-3;4-7;8-15;8-15;8-15;8-15;2-3,5.0860466957092285,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0085_s03,bnc_spoken,920000085,85,13,160,371,431,row_context,with_special,True,16,2,False,186,79,80.0,0,1.0,2-3;0_edge_token,4.6073455810546875,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0087_s00,bnc_spoken,920000087,87,10,160,0,59,row_context,with_special,True,12,1,False,185,7,7.0,4,4.0,4-7,0.7635363936424255,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0087_s05,bnc_spoken,920000087,87,12,160,525,580,row_context,with_special,True,14,3,False,185,53,58.333333333333336,2,2.6666666666666665,2-3;4-7;2-3,4.248872756958008,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0088_s00,bnc_spoken,920000088,88,16,160,14,84,row_context,with_special,True,17,1,False,190,12,12.0,7,7.0,4-7,0.00305459788069129,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0090_s00,bnc_spoken,920000090,90,13,160,0,67,row_context,with_special,True,15,1,False,193,8,8.0,6,6.0,4-7,8.09450626373291,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0091_s02,bnc_spoken,920000091,91,34,160,265,412,row_context,with_special,True,36,2,False,189,60,77.0,0,0.5,1;0_edge_token,2.0018310546875,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0092_s00,bnc_spoken,920000092,92,23,160,27,133,row_context,with_special,True,25,2,False,184,13,16.5,7,8.5,4-7;8-15,0.13278105854988098,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0097_s02,bnc_spoken,920000097,97,11,160,415,477,row_context,with_special,True,14,2,False,199,98,98.5,2,2.5,2-3;2-3,2.0712637901306152,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0098_s05,bnc_spoken,920000098,98,12,160,352,412,row_context,with_special,True,15,3,False,183,86,87.0,1,2.0,1;2-3;2-3,5.509451389312744,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0098_s07,bnc_spoken,920000098,98,18,160,554,644,row_context,with_special,True,20,4,False,183,37,41.0,5,6.5,4-7;8-15;4-7;4-7,2.8994877338409424,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0099_s03,bnc_spoken,920000099,99,21,160,366,478,row_context,with_special,True,25,3,False,194,84,85.66666666666667,1,2.6666666666666665,1;2-3;4-7,4.216739177703857,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0100_s06,bnc_spoken,920000100,100,10,160,732,796,row_context,with_special,True,16,1,False,203,16,16.0,1,1.0,1,14.675590515136719,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0102_s01,bnc_spoken,920000102,102,14,160,205,284,row_context,with_special,True,18,2,False,198,47,48.5,2,3.5,2-3;4-7,0.6620826721191406,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0102_s05,bnc_spoken,920000102,102,45,160,557,762,row_context,with_special,True,55,7,False,198,14,36.142857142857146,4,17.285714285714285,8-15;16+;16+;16+;16+;16+;4-7,2.2575926780700684,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0104_s03,bnc_spoken,920000104,104,27,160,440,579,row_context,with_special,True,41,6,False,211,55,69.16666666666667,0,7.833333333333333,8-15;8-15;16+;4-7;2-3;0_edge_token,4.034862041473389,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0108_s04,bnc_spoken,920000108,108,45,160,573,801,row_context,with_special,True,52,8,False,192,8,32.25,6,12.875,4-7;4-7;8-15;8-15;16+;16+;16+;8-15,2.94716477394104,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0109_s01,bnc_spoken,920000109,109,19,160,46,160,row_context,with_special,True,24,1,False,193,18,18.0,4,4.0,4-7,0.2657153606414795,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0109_s02,bnc_spoken,920000109,109,18,160,161,250,row_context,with_special,True,22,4,False,193,38,47.25,0,2.75,0_edge_token;2-3;4-7;2-3,2.5072224140167236,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0110_s02,bnc_spoken,920000110,110,27,160,351,506,row_context,with_special,True,28,6,False,191,78,87.66666666666667,1,6.833333333333333,1;4-7;8-15;8-15;8-15;4-7,2.6020519733428955,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0115_s01,bnc_spoken,920000115,115,23,160,81,214,row_context,with_special,True,32,6,False,216,23,36.666666666666664,2,7.0,4-7;8-15;8-15;4-7;2-3;2-3,4.592154502868652,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0117_s03,bnc_spoken,920000117,117,41,160,408,621,row_context,with_special,True,55,6,False,211,57,82.5,0,14.833333333333334,8-15;16+;16+;16+;8-15;0_edge_token,5.874128818511963,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
