word,child_aoa,subword_len,char_len,logfreq,official_record_model_aoa,official_refit_model_aoa,per_piece_model_aoa,progress_norm_model_aoa
hammer,26.73579634805976,1,6,3.015779968857769,,,,
hand,21.18568722469747,1,4,5.954035228449029,6.62526957036802,6.62526957036802,6.62526957036802,6.625296257517078
happy,23.945755954119555,1,5,5.437231123228431,6.812943307417245,6.812943307417245,6.812943307417245,6.812943243985079
hard,28.11969960472,1,4,5.632304374688495,6.767609294056566,6.767609294056566,6.767609294056566,6.767609293997789
hat,18.89138270526583,1,3,4.813037649749785,,,,
have,25.902575376900778,1,4,8.416511711975142,6.164576892633637,6.164576892633637,6.164576892633637,6.1645665025437095
head,21.410556416835345,1,4,6.154656375158736,6.202633285656266,6.202633285656266,6.202633285656266,6.2026046570917215
hear,26.993574492322516,1,4,5.6640189475394065,6.928941659965837,6.928941659965837,6.928941659965837,6.928939540052193
heavy,24.999180520722337,1,5,4.604219734452096,,,,
helicopter,24.729719482953705,1,10,2.230551890094214,,,,
help,22.549129293001915,1,4,6.199098443121272,6.762969848645443,6.762969848645443,6.762969848645443,6.7629695240856185
hide,25.18501031653013,1,4,3.9397354439946817,7.006675550610438,7.006675550610438,7.006675550610438,7.006677599646677
high,26.708808302132432,1,4,5.886117920242595,6.2692286962661905,6.2692286962661905,6.2692286962661905,6.269238996451401
hit,24.603751287542018,1,3,4.894138930322471,,,,
hold,25.248945239146906,1,4,5.537747567424928,6.929925278223938,6.929925278223938,6.929925278223938,6.929925642455538
home,21.78006375395454,1,4,6.5919548996104025,6.145889296395868,6.145889296395868,6.145889296395868,6.144513524871061
horse,21.207865708611973,1,5,5.0225968024954994,6.943982458613435,6.943982458613435,6.943982458613435,6.943982502532317
hose,28.234924324341566,2,4,1.5902550930173263,7.059519928906555,7.059519928906555,7.0595199306777845,7.059519915482683
hot,18.922355478495714,1,3,5.331776320291702,7.009675725836855,7.009675725836855,7.009675725836855,7.009675956305117
house,23.090503002489797,1,5,6.55137314931198,6.828859930831892,6.828859930831892,6.828859930831892,6.828859450034046
hug,22.06053977399637,1,3,3.144367772693139,,,,
hungry,24.654359259781693,1,6,5.572933196231209,,,,
hurry,27.95475143625973,1,5,4.363162317027485,7.611284748137397,7.611284748137397,7.611284748137397,7.611283942102794
hurt,24.746533842465965,1,4,4.982955724989513,7.019692536873989,7.019692536873989,7.019692536873989,7.019692434380415
ice,23.464365625838706,1,3,4.882839800656867,6.969358070339734,6.969358070339734,6.969358070339734,6.969357543839504
jacket,23.477574623889407,1,6,3.3143678063274216,,,,
jeans,28.96130506431679,2,5,1.4122057429043915,7.121627995621856,7.121627995621856,7.121617370574065,7.121622600543816
jelly,28.223958940535663,1,5,2.526128564329582,,,,
juice,19.337110489192803,1,5,4.398207515277686,7.048880183503259,7.048880183503259,7.048880183503259,7.048879760539119
jump,22.877728721484658,1,4,4.4807967311483345,6.888864240276477,6.888864240276477,6.888864240276477,6.888864237600211
keys,22.06723590327549,1,4,3.4080074735907044,7.985453922997175,7.985453922997175,7.985453922997175,7.985454681803709
kick,24.711999260850668,1,4,3.1181711207465685,,,,
kiss,21.57034386718253,1,4,3.9628111722602513,,,,
kitchen,24.044183513123148,1,7,4.8243458757409154,,,,
kitty,20.292166245251202,1,5,4.726546757154605,,,,
knee,22.63315001657779,1,4,3.178262141982904,,,,
knife,25.31616693081719,1,5,3.968497852356125,7.101383783709279,7.101383783709279,7.101383783709279,7.101382158189135
knock,26.086781584080928,1,5,4.023653821599331,,,,
ladder,27.93590548210792,1,6,2.9341227919222996,,,,
lamp,29.426392592767808,1,4,2.7729011734218263,,,,
later,28.08468448252086,1,5,5.793943054364158,6.705415892846113,6.705415892846113,6.705415892846113,6.7054173835594515
leg,22.967834744581136,1,3,3.9570919687957242,7.6238206977176874,7.6238206977176874,7.6238206977176874,7.623802437180137
lick,27.831628726846333,2,4,1.610437412767184,6.926051283003704,6.926051283003704,6.926051318223696,6.926051454215851
light,21.573068682350033,1,5,5.55800497504286,,,,
like,25.75007721668643,1,4,7.952476164256436,6.072690167001678,6.072690167001678,6.072690167001678,6.081852538543627
lion,22.93884161407195,1,4,3.8587277083699223,,,,
lips,25.482076843958392,1,4,3.788837904857768,6.918610198029957,6.918610198029957,6.918610198029957,6.918617586619687
listen,28.048745584501315,1,6,5.082056326324518,6.8930996963837945,6.8930996963837945,6.8930996963837945,6.893102158384912
lollipop,27.842830450401625,1,8,3.472121719998854,,,,
look,24.098423511314476,1,4,7.14748452410013,,,,
loud,26.12765077192083,1,4,4.426103326914633,,,,
love,23.249110931637965,1,4,6.137089701992454,,,,
lunch,24.37307490241634,1,5,4.61020747750536,7.167632149891429,7.167632149891429,7.167632149891429,7.167632660846113
mad,28.357752575026606,1,3,4.104377397922475,,,,
make,26.76673663101711,1,4,7.0313038839767765,6.403938853337971,6.403938853337971,6.403938853337971,6.404829726978338
man,26.239323453067815,1,3,6.920577719002021,6.465362138587407,6.465362138587407,6.465362138587407,6.465359812942224
meat,26.824160865348063,1,4,4.138441189276013,7.015557777180096,7.015557777180096,7.015557777180096,7.015557777192017
medicine,24.709281294511936,1,8,3.8629377977376547,,,,
milk,18.255048075517685,1,4,5.192428933788718,7.01555211682633,7.01555211682633,7.01555211682633,7.0155521127285105
money,24.59030107938586,1,5,5.9110811564085735,6.853425664564013,6.853425664564013,6.853425664564013,6.853426069716078
monkey,21.420862525347772,1,6,4.005604419049677,,,,
moon,21.266352929569763,1,4,5.002636723984989,6.738854432443212,6.738854432443212,6.738854432443212,6.73841360004538
morning,26.726898941775957,1,7,5.821580325017661,6.87618761822901,6.87618761822901,6.87618761822901,6.87618904129335
motorcycle,25.351378212033644,1,10,2.5729938367753697,,,,
mouse,23.380858578636253,1,5,4.254264283369275,,,,
mouth,20.209807579108084,1,5,4.778324854957229,6.934749786714387,6.934749786714387,6.934749786714387,6.934750233035869
movie,27.917043742420812,1,5,5.21224191507981,6.82037385986426,6.82037385986426,6.82037385986426,6.820877643292565
muffin,26.196634213174725,2,6,0.9951019122984449,7.116312424969118,7.116312424969118,7.116312418501921,7.116312409575913
nap,22.674625384618004,1,3,3.211045245753012,,,,
napkin,25.073543767799908,1,6,2.833507418459159,,,,
necklace,26.69518885859007,1,8,2.6465293444539597,,,,
new,28.840785987993776,1,3,6.741116108230288,,,,
nice,25.83342302182803,1,4,6.035493394175703,6.775518309868604,6.775518309868604,6.775518309868604,6.775518683993105
night,24.482917590787725,1,5,6.329373251515157,6.827511424036405,6.827511424036405,6.827511424036405,6.827506420642884
noisy,28.973349302766035,1,5,2.0924811551876394,,,,
noodles,24.271362933789078,1,7,2.425245105729933,,,,
nose,17.566643472145085,1,4,4.477393631045933,7.0278514736201645,7.0278514736201645,7.0278514736201645,7.027859640386526
nuts,28.18287000352459,1,4,3.698953539685411,,,,
open,22.114445562602707,1,4,5.77052169747249,6.920970558511345,6.920970558511345,6.920970558511345,6.920970147021917
outside,20.586834888836407,1,7,5.230065292031813,7.23621999228753,7.23621999228753,7.23621999228753,7.236216854633017
oven,27.085939648491006,1,4,2.7729011734218263,7.464501723988421,7.464501723988421,7.464501723988421,7.464528142506328
owl,23.33001152771118,1,3,4.072524902082175,7.497369176259697,7.497369176259697,7.497369176259697,7.497334028163864
paint,26.332309328783996,1,5,3.8374072120473564,,,,
pancake,24.068571454323198,2,7,1.7056567701746432,7.340379299371006,7.340379299371006,7.340380597661737,7.3403698002117395
pants,21.936410314208324,1,5,3.3605489831843465,,,,
paper,22.99233148218998,1,5,5.44718985548696,6.992769717321313,6.992769717321313,6.992769717321313,6.992769825489006
park,22.878206476855862,1,4,4.86911013149487,7.011278533482302,7.011278533482302,7.011278533482302,7.0112788175458975
party,25.998215555193525,1,5,5.749090392360743,6.774502719629837,6.774502719629837,6.774502719629837,6.77450146548049
peas,24.90319915475007,1,4,3.086714921265862,7.693100493413458,7.693100493413458,7.693100493413458,7.693114991884319
peekaboo,19.940203977737045,1,8,1.9322457868612555,,,,
pen,24.683860647952418,1,3,4.109315273151922,,,,
pencil,26.157410646038286,1,6,4.4497436926567815,,,,
penguin,26.410930852292893,2,7,2.2518179759403925,,,,
people,27.729170763166103,1,6,7.132980661780615,6.489754730413168,6.489754730413168,6.489754730413168,6.488482172311757
pick,28.31028812070495,1,4,5.034384372267097,,,,
pickle,27.302972502756642,1,6,3.5891972308407842,,,,
picture,24.12466878869911,1,7,5.201283201534827,6.996694425710756,6.996694425710756,6.996694425710756,6.99669455294815
pig,21.20230905137065,1,3,3.0958038272782065,,,,
pillow,22.865174886366972,1,6,3.3879432659837394,,,,
pizza,21.47922641023574,1,5,3.262126866862516,,,,
plant,27.17845363579105,1,5,3.9040916351018655,7.056240705853564,7.056240705853564,7.056240705853564,7.056242788005144
plate,23.881971479516967,1,5,4.37456133856261,7.064608734029831,7.064608734029831,7.064608734029831,7.064618493911538
play,22.7220598630656,1,4,6.2902812735777855,6.919007946701774,6.919007946701774,6.919007946701774,6.919007570108701
playground,27.30454893601479,2,10,1.7925924555319468,7.590312073033341,7.590312073033341,7.590312203616278,7.590312046673765
police,28.97367753515442,1,6,4.842650473402354,6.7920832092694035,6.7920832092694035,6.7920832092694035,6.792083215588299
pool,23.89664497593775,1,4,3.730621025693575,7.007857843782048,7.007857843782048,7.007857843782048,7.007857841987345
popcorn,24.633992570816577,1,7,2.0674954706614352,7.449459670105915,7.449459670105915,7.449459670105915,7.449484256461813
potato,25.588497667339652,1,6,3.0682854662356998,,,,
potty,21.289637906455926,2,5,-0.5025268209512956,7.356714549600795,7.356714549600795,7.356714400161334,7.3567140156235
pour,29.221134877679074,1,4,3.475222017010129,,,,
present,25.256832955307473,1,7,5.075205064745556,6.764039963125825,6.764039963125825,6.764039963125825,6.764039963523993
pretty,25.930457910420653,1,6,5.684276803264252,6.757649407248499,6.757649407248499,6.757649407248499,6.757649406697006
pretzel,27.360483906307053,3,7,-0.3495574761698683,6.80538974212662,6.80538974212662,6.805389576735299,6.805389828784012
pull,26.217858907282245,1,4,4.487568383907911,7.043710316464036,7.043710316464036,7.043710316464036,7.043715225042713
pumpkin,26.156771484666216,1,7,2.7475913757227426,,,,
puppy,21.310724116497493,1,5,3.0303752169975304,,,,
purse,25.85696928901372,1,5,2.9655307648208695,,,,
push,24.61567138170203,1,4,4.25851629175974,,,,
put,26.847988805835868,1,3,7.124482288250216,,,,
puzzle,24.23101072594643,1,6,4.300070639499242,,,,
quiet,26.982735254027116,1,5,4.541218159495575,6.8639244850976375,6.8639244850976375,6.8639244850976375,6.863924290184585
rain,22.292559546340982,1,4,4.259929619675022,7.596682465375077,7.596682465375077,7.596682465375077,7.596680492761308
read,23.095216853951683,1,4,5.9181005289211,6.631909101168658,6.631909101168658,6.631909101168658,6.631909013900262
red,23.71687667589879,1,3,5.790281220272818,6.815927419453885,6.815927419453885,6.815927419453885,6.815927185986208
refrigerator,25.702396416486902,1,12,2.7729011734218263,,,,
ride,24.760593586765484,1,4,4.705060768802887,7.096882540438076,7.096882540438076,7.096882540438076,7.096886412695508
rock,22.67177290650117,1,4,4.839491037892427,7.496319211313169,7.496319211313169,7.496319211313169,7.496328717200972
room,24.722076365420904,1,4,6.2540307142686755,6.661195674007505,6.661195674007505,6.661195674007505,6.6596618549723186
run,23.46802530452093,1,3,5.4076425126620284,7.061584026063985,7.061584026063985,7.061584026063985,7.061632462545757
sad,26.12385805343161,1,3,4.065687852972296,7.475357749248126,7.475357749248126,7.475357749248126,7.475353345866503
sandbox,29.300954082525678,2,7,0.7443154671343447,,,,
sandwich,24.988534728639095,1,8,3.7519716172799193,,,,
sauce,28.909244090020106,1,5,2.9909709564522804,7.319872108142166,7.319872108142166,7.319872108142166,7.319872103093965
say,27.143040225343398,1,3,7.005158720929226,6.511298938458566,6.511298938458566,6.511298938458566,6.51131651875294
scared,26.521437608452025,1,6,4.363162317027485,6.96017397948407,6.96017397948407,6.96017397948407,6.9601737883982695
school,23.937530807499474,1,6,6.263788662566112,6.768111892217804,6.768111892217804,6.768111892217804,6.768111997810212
scissors,26.046729785327116,1,8,3.1947880293391107,,,,
see,23.26497097971234,1,3,7.6188430602245445,6.202283222258764,6.202283222258764,6.202283222258764,6.202292962920031
shake,27.550797616364726,1,5,3.321612902319313,,,,
share,26.32381034652683,1,5,4.370776083901027,7.241295858971136,7.241295858971136,7.241295858971136,7.2413037398256
sheep,23.25988784977189,1,5,3.3743399274922727,7.2715208872495625,7.2715208872495625,7.2715208872495625,7.27129460173896
shirt,21.81321042623773,1,5,3.8156222311417918,,,,
shoe,16.358286285273284,1,4,3.605633705510669,,,,
shopping,26.165070893047815,1,8,3.1225851645499145,,,,
shorts,25.133809045982208,2,6,1.482740259388143,7.243287674079747,7.243287674079747,7.243312182941286,7.243264484857901
shoulder,27.277177561827035,1,8,3.61105303864943,,,,
shovel,26.187099976529097,1,6,2.667575368536492,,,,
show,27.51748617185101,1,4,5.925605154002995,6.587529914318318,6.587529914318318,6.587529914318318,6.587548172889776
shower,24.142481410581965,1,6,3.0958038272782065,,,,
sick,26.810475954734216,1,4,4.538014910800683,6.786725490645874,6.786725490645874,6.786725490645874,6.786725491879184
sidewalk,28.316857414922413,1,8,2.2412414627529937,,,,
sing,24.394043224950867,1,4,4.955157819626969,6.958359906364102,6.958359906364102,6.958359906364102,6.958362470141482
