pair_index,pair_id,probe_id,rewrite_pos,token_class,target_token_id,target_piece,source_token_len,unrelated_source_token_len,neutral_source_token_len,true_source_target_count,unrelated_source_target_count,neutral_source_target_count,true_source_contains_target,unrelated_source_contains_target,neutral_source_contains_target
8,compact:frontier_consolidation_fwcompact_medium_008076,rewritecond:8:17:compact:frontier_consolidation_fwcompact_medium_008076,17,nonoverlap,2693,ient,56,56,56,0,0,0,0,0,0
8,compact:frontier_consolidation_fwcompact_medium_008076,rewritecond:8:1:compact:frontier_consolidation_fwcompact_medium_008076,1,overlap,1826, front,56,56,56,3,0,0,1,0,0
8,compact:frontier_consolidation_fwcompact_medium_008076,rewritecond:8:26:compact:frontier_consolidation_fwcompact_medium_008076,26,overlap,665,able,56,56,56,1,0,0,1,0,0
9,compact:frontier_consolidation_fwcompact_medium_016698,rewritecond:9:0:compact:frontier_consolidation_fwcompact_medium_016698,0,nonoverlap,5305,Art,15,15,15,0,0,0,0,0,0
9,compact:frontier_consolidation_fwcompact_medium_016698,rewritecond:9:8:compact:frontier_consolidation_fwcompact_medium_016698,8,nonoverlap,4658,ishes,15,15,15,0,0,0,0,0,0
9,compact:frontier_consolidation_fwcompact_medium_016698,rewritecond:9:2:compact:frontier_consolidation_fwcompact_medium_016698,2,overlap,9930, upd,15,15,15,1,0,0,1,0,0
9,compact:frontier_consolidation_fwcompact_medium_016698,rewritecond:9:6:compact:frontier_consolidation_fwcompact_medium_016698,6,overlap,3539, research,15,15,15,1,0,0,1,0,0
10,compact:frontier_consolidation_fwcompact_medium_018372,rewritecond:10:11:compact:frontier_consolidation_fwcompact_medium_018372,11,nonoverlap,11619, united,19,19,19,0,0,0,0,0,0
10,compact:frontier_consolidation_fwcompact_medium_018372,rewritecond:10:13:compact:frontier_consolidation_fwcompact_medium_018372,13,nonoverlap,1767, form,19,19,19,0,0,0,0,0,0
10,compact:frontier_consolidation_fwcompact_medium_018372,rewritecond:10:7:compact:frontier_consolidation_fwcompact_medium_018372,7,overlap,11337, Upper,19,19,19,1,0,0,1,0,0
10,compact:frontier_consolidation_fwcompact_medium_018372,rewritecond:10:17:compact:frontier_consolidation_fwcompact_medium_018372,17,overlap,3604, Canada,19,19,19,2,0,0,1,0,0
11,compact:frontier_consolidation_fwcompact_medium_003770,rewritecond:11:11:compact:frontier_consolidation_fwcompact_medium_003770,11,nonoverlap,1558, death,21,21,21,0,0,0,0,0,0
11,compact:frontier_consolidation_fwcompact_medium_003770,rewritecond:11:12:compact:frontier_consolidation_fwcompact_medium_003770,12,nonoverlap,10807, tested,21,21,21,0,0,0,0,0,0
11,compact:frontier_consolidation_fwcompact_medium_003770,rewritecond:11:0:compact:frontier_consolidation_fwcompact_medium_003770,0,overlap,4271,Louis,21,21,21,1,0,0,1,0,0
11,compact:frontier_consolidation_fwcompact_medium_003770,rewritecond:11:14:compact:frontier_consolidation_fwcompact_medium_003770,14,overlap,9986, treaty,21,21,21,1,0,0,1,0,0
12,compact:frontier_consolidation_fwcompact_medium_045363,rewritecond:12:0:compact:frontier_consolidation_fwcompact_medium_045363,0,nonoverlap,3804,High,33,33,33,0,0,0,0,0,0
12,compact:frontier_consolidation_fwcompact_medium_045363,rewritecond:12:12:compact:frontier_consolidation_fwcompact_medium_045363,12,nonoverlap,214,ed,33,33,33,0,0,0,0,0,0
12,compact:frontier_consolidation_fwcompact_medium_045363,rewritecond:12:1:compact:frontier_consolidation_fwcompact_medium_045363,1,overlap,4448, heat,33,33,33,1,0,0,1,0,0
12,compact:frontier_consolidation_fwcompact_medium_045363,rewritecond:12:15:compact:frontier_consolidation_fwcompact_medium_045363,15,overlap,9007, vehicles,33,33,33,1,0,0,1,0,0
13,compact:frontier_consolidation_fwcompact_medium_029453,rewritecond:13:0:compact:frontier_consolidation_fwcompact_medium_029453,0,nonoverlap,5999,Say,38,38,38,0,0,0,0,0,0
13,compact:frontier_consolidation_fwcompact_medium_029453,rewritecond:13:21:compact:frontier_consolidation_fwcompact_medium_029453,21,nonoverlap,1183, nothing,38,38,38,0,0,0,0,0,0
13,compact:frontier_consolidation_fwcompact_medium_029453,rewritecond:13:2:compact:frontier_consolidation_fwcompact_medium_029453,2,overlap,6141, flu,38,38,38,1,0,0,1,0,0
13,compact:frontier_consolidation_fwcompact_medium_029453,rewritecond:13:19:compact:frontier_consolidation_fwcompact_medium_029453,19,overlap,2874,uses,38,38,38,1,0,0,1,0,0
14,compact:frontier_consolidation_fwcompact_medium_055603,rewritecond:14:2:compact:frontier_consolidation_fwcompact_medium_055603,2,nonoverlap,12856, immunity,42,42,42,0,0,0,0,0,0
14,compact:frontier_consolidation_fwcompact_medium_055603,rewritecond:14:25:compact:frontier_consolidation_fwcompact_medium_055603,25,nonoverlap,1400, believe,42,42,42,0,0,0,0,0,0
14,compact:frontier_consolidation_fwcompact_medium_055603,rewritecond:14:0:compact:frontier_consolidation_fwcompact_medium_055603,0,overlap,6558,Americans,42,42,42,1,0,0,1,0,0
14,compact:frontier_consolidation_fwcompact_medium_055603,rewritecond:14:22:compact:frontier_consolidation_fwcompact_medium_055603,22,overlap,3281, seeing,42,42,42,1,0,0,1,0,0
15,compact:frontier_consolidation_fwcompact_medium_015561,rewritecond:15:0:compact:frontier_consolidation_fwcompact_medium_015561,0,nonoverlap,12253,Engine,56,56,56,0,0,0,0,0,0
15,compact:frontier_consolidation_fwcompact_medium_015561,rewritecond:15:21:compact:frontier_consolidation_fwcompact_medium_015561,21,nonoverlap,9445, residents,56,56,56,0,0,0,0,0,0
15,compact:frontier_consolidation_fwcompact_medium_015561,rewritecond:15:2:compact:frontier_consolidation_fwcompact_medium_015561,2,overlap,15636, solutions,56,56,56,1,0,0,1,0,0
15,compact:frontier_consolidation_fwcompact_medium_015561,rewritecond:15:25:compact:frontier_consolidation_fwcompact_medium_015561,25,overlap,3665, environment,56,56,56,1,0,0,1,0,0
16,compact:frontier_consolidation_fwcompact_medium_053929,rewritecond:16:7:compact:frontier_consolidation_fwcompact_medium_053929,7,nonoverlap,11346, functions,60,60,60,0,0,0,0,0,0
16,compact:frontier_consolidation_fwcompact_medium_053929,rewritecond:16:20:compact:frontier_consolidation_fwcompact_medium_053929,20,nonoverlap,5824, transfer,60,60,60,0,0,0,0,0,0
16,compact:frontier_consolidation_fwcompact_medium_053929,rewritecond:16:1:compact:frontier_consolidation_fwcompact_medium_053929,1,overlap,1014, ac,60,60,60,1,0,0,1,0,0
16,compact:frontier_consolidation_fwcompact_medium_053929,rewritecond:16:30:compact:frontier_consolidation_fwcompact_medium_053929,30,overlap,1040,ness,60,60,60,1,0,0,1,0,0
17,compact:frontier_consolidation_fwcompact_medium_059238,rewritecond:17:1:compact:frontier_consolidation_fwcompact_medium_059238,1,nonoverlap,457, said,60,60,60,0,0,0,0,0,0
17,compact:frontier_consolidation_fwcompact_medium_059238,rewritecond:17:12:compact:frontier_consolidation_fwcompact_medium_059238,12,nonoverlap,1172, though,60,60,60,0,0,0,0,0,0
17,compact:frontier_consolidation_fwcompact_medium_059238,rewritecond:17:9:compact:frontier_consolidation_fwcompact_medium_059238,9,overlap,4750, distrib,60,60,60,1,0,0,1,0,0
17,compact:frontier_consolidation_fwcompact_medium_059238,rewritecond:17:29:compact:frontier_consolidation_fwcompact_medium_059238,29,overlap,2971, likely,60,60,60,1,0,0,1,0,0
18,compact:frontier_consolidation_fwcompact_medium_040052,rewritecond:18:2:compact:frontier_consolidation_fwcompact_medium_040052,2,nonoverlap,631, work,12,12,12,0,0,0,0,0,0
18,compact:frontier_consolidation_fwcompact_medium_040052,rewritecond:18:3:compact:frontier_consolidation_fwcompact_medium_040052,3,nonoverlap,1190, best,12,12,12,0,0,0,0,0,0
18,compact:frontier_consolidation_fwcompact_medium_040052,rewritecond:18:1:compact:frontier_consolidation_fwcompact_medium_040052,1,overlap,783,yes,12,12,12,1,0,0,1,0,0
18,compact:frontier_consolidation_fwcompact_medium_040052,rewritecond:18:9:compact:frontier_consolidation_fwcompact_medium_040052,9,overlap,1992, feet,12,12,12,1,0,0,1,0,0
19,compact:frontier_consolidation_fwcompact_medium_037371,rewritecond:19:0:compact:frontier_consolidation_fwcompact_medium_037371,0,overlap,3429,San,15,15,15,1,0,0,1,0,0
19,compact:frontier_consolidation_fwcompact_medium_037371,rewritecond:19:6:compact:frontier_consolidation_fwcompact_medium_037371,6,overlap,4301, formed,15,15,15,1,0,0,1,0,0
20,compact:frontier_consolidation_fwcompact_medium_050000,rewritecond:20:1:compact:frontier_consolidation_fwcompact_medium_050000,1,nonoverlap,6233, ensure,13,13,13,0,0,0,0,0,0
20,compact:frontier_consolidation_fwcompact_medium_050000,rewritecond:20:3:compact:frontier_consolidation_fwcompact_medium_050000,3,overlap,2186, company,13,13,13,1,0,0,1,0,0
20,compact:frontier_consolidation_fwcompact_medium_050000,rewritecond:20:7:compact:frontier_consolidation_fwcompact_medium_050000,7,overlap,4354,ability,13,13,13,1,0,0,1,0,0
21,compact:frontier_consolidation_fwcompact_medium_027762,rewritecond:21:2:compact:frontier_consolidation_fwcompact_medium_027762,2,nonoverlap,8403, offers,13,13,13,0,0,0,0,0,0
21,compact:frontier_consolidation_fwcompact_medium_027762,rewritecond:21:5:compact:frontier_consolidation_fwcompact_medium_027762,5,nonoverlap,16370, choices,13,13,13,0,0,0,0,0,0
21,compact:frontier_consolidation_fwcompact_medium_027762,rewritecond:21:1:compact:frontier_consolidation_fwcompact_medium_027762,1,overlap,2321, program,13,13,13,1,0,0,1,0,0
22,compact:frontier_consolidation_fwcompact_medium_043414,rewritecond:22:0:compact:frontier_consolidation_fwcompact_medium_043414,0,nonoverlap,11819,Climate,15,15,15,0,0,0,0,0,0
22,compact:frontier_consolidation_fwcompact_medium_043414,rewritecond:22:1:compact:frontier_consolidation_fwcompact_medium_043414,1,nonoverlap,2992, caused,15,15,15,0,0,0,0,0,0
22,compact:frontier_consolidation_fwcompact_medium_043414,rewritecond:22:3:compact:frontier_consolidation_fwcompact_medium_043414,3,overlap,15642, Queens,15,15,15,1,0,0,1,0,0
22,compact:frontier_consolidation_fwcompact_medium_043414,rewritecond:22:7:compact:frontier_consolidation_fwcompact_medium_043414,7,overlap,3779, development,15,15,15,1,0,0,1,0,0
23,compact:frontier_consolidation_fwcompact_medium_027814,rewritecond:23:0:compact:frontier_consolidation_fwcompact_medium_027814,0,nonoverlap,5808,Water,16,16,16,0,0,0,0,0,0
23,compact:frontier_consolidation_fwcompact_medium_027814,rewritecond:23:7:compact:frontier_consolidation_fwcompact_medium_027814,7,nonoverlap,352, so,16,16,16,0,0,0,0,0,0
23,compact:frontier_consolidation_fwcompact_medium_027814,rewritecond:23:1:compact:frontier_consolidation_fwcompact_medium_027814,1,overlap,2512, cannot,16,16,16,1,0,0,1,0,0
23,compact:frontier_consolidation_fwcompact_medium_027814,rewritecond:23:14:compact:frontier_consolidation_fwcompact_medium_027814,14,overlap,9838, rot,16,16,16,1,0,0,1,0,0
24,compact:frontier_consolidation_fwcompact_medium_027660,rewritecond:24:6:compact:frontier_consolidation_fwcompact_medium_027660,6,nonoverlap,12053, lacked,22,22,22,0,0,0,0,0,0
24,compact:frontier_consolidation_fwcompact_medium_027660,rewritecond:24:15:compact:frontier_consolidation_fwcompact_medium_027660,15,nonoverlap,6315, growth,22,22,22,0,0,0,0,0,0
24,compact:frontier_consolidation_fwcompact_medium_027660,rewritecond:24:2:compact:frontier_consolidation_fwcompact_medium_027660,2,overlap,4651,orough,22,22,22,1,0,0,1,0,0
24,compact:frontier_consolidation_fwcompact_medium_027660,rewritecond:24:14:compact:frontier_consolidation_fwcompact_medium_027660,14,overlap,446,ard,22,22,22,1,0,0,1,0,0
25,compact:frontier_consolidation_fwcompact_medium_018113,rewritecond:25:1:compact:frontier_consolidation_fwcompact_medium_018113,1,nonoverlap,2138,ising,20,20,20,0,0,0,0,0,0
25,compact:frontier_consolidation_fwcompact_medium_018113,rewritecond:25:14:compact:frontier_consolidation_fwcompact_medium_018113,14,nonoverlap,4928, waste,20,20,20,0,0,0,0,0,0
25,compact:frontier_consolidation_fwcompact_medium_018113,rewritecond:25:6:compact:frontier_consolidation_fwcompact_medium_018113,6,overlap,522, more,20,20,20,2,0,0,1,0,0
25,compact:frontier_consolidation_fwcompact_medium_018113,rewritecond:25:13:compact:frontier_consolidation_fwcompact_medium_018113,13,overlap,522, more,20,20,20,2,0,0,1,0,0
26,compact:frontier_consolidation_fwcompact_medium_050993,rewritecond:26:0:compact:frontier_consolidation_fwcompact_medium_050993,0,overlap,5830,Both,15,15,15,1,0,0,1,0,0
26,compact:frontier_consolidation_fwcompact_medium_050993,rewritecond:26:12:compact:frontier_consolidation_fwcompact_medium_050993,12,overlap,6288, reasons,15,15,15,1,0,0,1,0,0
27,compact:frontier_consolidation_fwcompact_medium_015632,rewritecond:27:5:compact:frontier_consolidation_fwcompact_medium_015632,5,nonoverlap,7737, lets,22,22,22,0,0,0,0,0,0
27,compact:frontier_consolidation_fwcompact_medium_015632,rewritecond:27:1:compact:frontier_consolidation_fwcompact_medium_015632,1,overlap,1176, second,22,22,22,1,0,0,1,0,0
27,compact:frontier_consolidation_fwcompact_medium_015632,rewritecond:27:17:compact:frontier_consolidation_fwcompact_medium_015632,17,overlap,4000, experience,22,22,22,1,0,0,1,0,0
28,compact:frontier_consolidation_fwcompact_medium_026879,rewritecond:28:2:compact:frontier_consolidation_fwcompact_medium_026879,2,nonoverlap,14869, engineers,56,56,56,0,0,0,0,0,0
28,compact:frontier_consolidation_fwcompact_medium_026879,rewritecond:28:19:compact:frontier_consolidation_fwcompact_medium_026879,19,nonoverlap,10719, options,56,56,56,0,0,0,0,0,0
28,compact:frontier_consolidation_fwcompact_medium_026879,rewritecond:28:0:compact:frontier_consolidation_fwcompact_medium_026879,0,overlap,8808,Columbia,56,56,56,1,0,0,1,0,0
28,compact:frontier_consolidation_fwcompact_medium_026879,rewritecond:28:15:compact:frontier_consolidation_fwcompact_medium_026879,15,overlap,1213, light,56,56,56,1,0,0,1,0,0
29,compact:frontier_consolidation_fwcompact_medium_059184,rewritecond:29:1:compact:frontier_consolidation_fwcompact_medium_059184,1,nonoverlap,542, has,46,46,46,0,0,0,0,0,0
29,compact:frontier_consolidation_fwcompact_medium_059184,rewritecond:29:18:compact:frontier_consolidation_fwcompact_medium_059184,18,nonoverlap,3231, occur,46,46,46,0,0,0,0,0,0
29,compact:frontier_consolidation_fwcompact_medium_059184,rewritecond:29:0:compact:frontier_consolidation_fwcompact_medium_059184,0,overlap,5035,Iran,46,46,46,1,0,0,1,0,0
29,compact:frontier_consolidation_fwcompact_medium_059184,rewritecond:29:22:compact:frontier_consolidation_fwcompact_medium_059184,22,overlap,3602, areas,46,46,46,1,1,0,1,1,0
30,compact:frontier_consolidation_fwcompact_medium_035107,rewritecond:30:2:compact:frontier_consolidation_fwcompact_medium_035107,2,nonoverlap,8190, illegal,53,53,53,0,0,0,0,0,0
30,compact:frontier_consolidation_fwcompact_medium_035107,rewritecond:30:17:compact:frontier_consolidation_fwcompact_medium_035107,17,nonoverlap,661,ions,53,53,53,0,2,0,0,1,0
30,compact:frontier_consolidation_fwcompact_medium_035107,rewritecond:30:0:compact:frontier_consolidation_fwcompact_medium_035107,0,overlap,12189,Track,53,53,53,1,0,0,1,0,0
30,compact:frontier_consolidation_fwcompact_medium_035107,rewritecond:30:24:compact:frontier_consolidation_fwcompact_medium_035107,24,overlap,6520, border,53,53,53,1,0,0,1,0,0
31,compact:frontier_consolidation_fwcompact_medium_048225,rewritecond:31:2:compact:frontier_consolidation_fwcompact_medium_048225,2,nonoverlap,4542, suspect,55,55,55,0,0,0,0,0,0
31,compact:frontier_consolidation_fwcompact_medium_048225,rewritecond:31:23:compact:frontier_consolidation_fwcompact_medium_048225,23,nonoverlap,2971, likely,55,55,55,0,0,0,0,0,0
31,compact:frontier_consolidation_fwcompact_medium_048225,rewritecond:31:3:compact:frontier_consolidation_fwcompact_medium_048225,3,overlap,1797, someone,55,55,55,1,0,0,1,0,0
31,compact:frontier_consolidation_fwcompact_medium_048225,rewritecond:31:28:compact:frontier_consolidation_fwcompact_medium_048225,28,overlap,6318,iner,55,55,55,1,0,0,1,0,0
32,compact:frontier_consolidation_fwcompact_medium_042222,rewritecond:32:3:compact:frontier_consolidation_fwcompact_medium_042222,3,nonoverlap,849, start,50,50,50,0,0,0,0,0,0
32,compact:frontier_consolidation_fwcompact_medium_042222,rewritecond:32:17:compact:frontier_consolidation_fwcompact_medium_042222,17,nonoverlap,755, before,50,50,50,0,0,0,0,0,0
32,compact:frontier_consolidation_fwcompact_medium_042222,rewritecond:32:1:compact:frontier_consolidation_fwcompact_medium_042222,1,overlap,3303, video,50,50,50,1,0,0,1,0,0
32,compact:frontier_consolidation_fwcompact_medium_042222,rewritecond:32:24:compact:frontier_consolidation_fwcompact_medium_042222,24,overlap,1348, today,50,50,50,1,0,0,1,0,0
33,compact:frontier_consolidation_fwcompact_medium_038001,rewritecond:33:0:compact:frontier_consolidation_fwcompact_medium_038001,0,nonoverlap,1120,New,14,14,14,0,0,0,0,0,0
33,compact:frontier_consolidation_fwcompact_medium_038001,rewritecond:33:4:compact:frontier_consolidation_fwcompact_medium_038001,4,nonoverlap,1888, others,14,14,14,0,0,0,0,0,0
33,compact:frontier_consolidation_fwcompact_medium_038001,rewritecond:33:1:compact:frontier_consolidation_fwcompact_medium_038001,1,overlap,3412, host,14,14,14,2,0,0,1,0,0
33,compact:frontier_consolidation_fwcompact_medium_038001,rewritecond:33:5:compact:frontier_consolidation_fwcompact_medium_038001,5,overlap,11569, questioned,14,14,14,1,0,0,1,0,0
34,compact:frontier_consolidation_fwcompact_medium_054480,rewritecond:34:2:compact:frontier_consolidation_fwcompact_medium_054480,2,nonoverlap,2591, usually,13,13,13,0,0,0,0,0,0
34,compact:frontier_consolidation_fwcompact_medium_054480,rewritecond:34:4:compact:frontier_consolidation_fwcompact_medium_054480,4,nonoverlap,1258, bad,13,13,13,0,0,0,0,0,0
34,compact:frontier_consolidation_fwcompact_medium_054480,rewritecond:34:5:compact:frontier_consolidation_fwcompact_medium_054480,5,overlap,2525, result,13,13,13,1,0,0,1,0,0
35,compact:frontier_consolidation_fwcompact_medium_012743,rewritecond:35:2:compact:frontier_consolidation_fwcompact_medium_012743,2,nonoverlap,820,ens,13,13,13,0,0,0,0,0,0
35,compact:frontier_consolidation_fwcompact_medium_012743,rewritecond:35:6:compact:frontier_consolidation_fwcompact_medium_012743,6,nonoverlap,1942,ically,13,13,13,0,0,0,0,0,0
35,compact:frontier_consolidation_fwcompact_medium_012743,rewritecond:35:1:compact:frontier_consolidation_fwcompact_medium_012743,1,overlap,4481, thick,13,13,13,1,0,0,1,0,0
35,compact:frontier_consolidation_fwcompact_medium_012743,rewritecond:35:4:compact:frontier_consolidation_fwcompact_medium_012743,4,overlap,6560,ams,13,13,13,1,0,0,1,0,0
36,compact:frontier_consolidation_fwcompact_medium_007894,rewritecond:36:1:compact:frontier_consolidation_fwcompact_medium_007894,1,nonoverlap,1767, form,11,11,11,0,0,0,0,0,0
36,compact:frontier_consolidation_fwcompact_medium_007894,rewritecond:36:2:compact:frontier_consolidation_fwcompact_medium_007894,2,nonoverlap,11348, differently,11,11,11,0,0,0,0,0,0
36,compact:frontier_consolidation_fwcompact_medium_007894,rewritecond:36:4:compact:frontier_consolidation_fwcompact_medium_007894,4,overlap,1252, different,11,11,11,2,0,0,1,0,0
36,compact:frontier_consolidation_fwcompact_medium_007894,rewritecond:36:5:compact:frontier_consolidation_fwcompact_medium_007894,5,overlap,7486, materials,11,11,11,1,0,0,1,0,0
37,compact:frontier_consolidation_fwcompact_medium_028263,rewritecond:37:2:compact:frontier_consolidation_fwcompact_medium_028263,2,nonoverlap,1751, comes,21,21,21,0,0,0,0,0,0
37,compact:frontier_consolidation_fwcompact_medium_028263,rewritecond:37:4:compact:frontier_consolidation_fwcompact_medium_028263,4,nonoverlap,3006, tiny,21,21,21,0,0,0,0,0,0
37,compact:frontier_consolidation_fwcompact_medium_028263,rewritecond:37:0:compact:frontier_consolidation_fwcompact_medium_028263,0,overlap,4805,Mat,21,21,21,1,0,0,1,0,0
37,compact:frontier_consolidation_fwcompact_medium_028263,rewritecond:37:10:compact:frontier_consolidation_fwcompact_medium_028263,10,overlap,1540,ages,21,21,21,1,0,0,1,0,0
38,compact:frontier_consolidation_fwcompact_medium_017745,rewritecond:38:0:compact:frontier_consolidation_fwcompact_medium_017745,0,nonoverlap,7818,Walk,13,13,13,0,0,0,0,0,0
38,compact:frontier_consolidation_fwcompact_medium_017745,rewritecond:38:3:compact:frontier_consolidation_fwcompact_medium_017745,3,nonoverlap,1956,ges,13,13,13,0,0,0,0,0,0
38,compact:frontier_consolidation_fwcompact_medium_017745,rewritecond:38:4:compact:frontier_consolidation_fwcompact_medium_017745,4,overlap,15038, cogn,13,13,13,1,0,0,1,0,0
38,compact:frontier_consolidation_fwcompact_medium_017745,rewritecond:38:6:compact:frontier_consolidation_fwcompact_medium_017745,6,overlap,6498, pause,13,13,13,1,0,0,1,0,0
39,compact:frontier_consolidation_fwcompact_medium_020368,rewritecond:39:9:compact:frontier_consolidation_fwcompact_medium_020368,9,nonoverlap,897, found,18,18,18,0,0,0,0,0,0
39,compact:frontier_consolidation_fwcompact_medium_020368,rewritecond:39:10:compact:frontier_consolidation_fwcompact_medium_020368,10,nonoverlap,12666, yearly,18,18,18,0,0,0,0,0,0
39,compact:frontier_consolidation_fwcompact_medium_020368,rewritecond:39:6:compact:frontier_consolidation_fwcompact_medium_020368,6,overlap,790, new,18,18,18,1,0,0,1,0,0
39,compact:frontier_consolidation_fwcompact_medium_020368,rewritecond:39:7:compact:frontier_consolidation_fwcompact_medium_020368,7,overlap,4851, cases,18,18,18,1,0,0,1,0,0
