example_id,source,words,loss,n_masked,axis,axis_path,arm,relation,seed,description,checkpoint
920000039,bnc_spoken,160,3.6681315898895264,33,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000040,bnc_spoken,160,3.5881612300872803,29,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000041,bnc_spoken,160,3.5767481327056885,34,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000042,bnc_spoken,160,3.859776258468628,40,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000043,bnc_spoken,160,2.749127149581909,36,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000044,bnc_spoken,160,3.2417688369750977,32,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000045,bnc_spoken,160,2.0394294261932373,23,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000046,bnc_spoken,160,3.031956911087036,20,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000047,bnc_spoken,160,3.314162492752075,28,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000048,bnc_spoken,160,3.459829807281494,20,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000049,bnc_spoken,160,4.970953464508057,36,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000050,bnc_spoken,160,4.360739707946777,43,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000051,bnc_spoken,160,3.8128297328948975,29,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000052,bnc_spoken,160,3.2503163814544678,37,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000053,bnc_spoken,160,3.8428561687469482,25,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000054,bnc_spoken,160,1.963162899017334,30,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000055,bnc_spoken,160,3.6555447578430176,25,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000056,bnc_spoken,160,3.356665849685669,22,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000057,bnc_spoken,160,3.6929214000701904,27,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000058,bnc_spoken,160,3.21052885055542,26,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000059,bnc_spoken,160,3.5697383880615234,28,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000060,bnc_spoken,160,2.896796226501465,37,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000061,bnc_spoken,160,3.8151707649230957,32,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000062,bnc_spoken,160,3.343743085861206,34,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000063,bnc_spoken,160,3.9367592334747314,25,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000064,bnc_spoken,160,3.433842897415161,31,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000065,bnc_spoken,160,3.2000865936279297,38,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000066,bnc_spoken,160,3.4959309101104736,39,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000067,bnc_spoken,160,3.2741026878356934,30,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000068,bnc_spoken,160,2.7288289070129395,32,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000069,bnc_spoken,160,2.634111166000366,26,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000070,bnc_spoken,160,3.7681732177734375,28,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000071,bnc_spoken,160,2.99605131149292,31,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000072,bnc_spoken,160,3.368490219116211,21,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
