family,seed,checkpoint,contrast,source,n_sentences,delta_row_context_loss,delta_isolation_loss,delta_context_gain,se_delta_context_gain
crv,43022,chck_100M,REPEAT-minus-REPEAT_SPLIT,bnc_spoken,120,0.04112892883955889,0.13342626485876583,0.09229733601920695,0.0821637948916057
crv,43022,chck_100M,REPEAT-minus-REPEAT_SPLIT,childes,113,0.03512242022271087,0.21378150023793646,0.1786590800152256,0.10699605948106343
crv,43022,chck_100M,REPEAT-minus-REPEAT_SPLIT,gutenberg,120,-0.03054131058015628,0.12315136637480464,0.15369267695496092,0.07607332474944412
crv,43022,chck_100M,REPEAT-minus-REPEAT_SPLIT,open_subtitles,120,0.00020201285587972961,0.15669633694463603,0.1564943240887563,0.10214786056532024
crv,43022,chck_100M,REPEAT-minus-REPEAT_SPLIT,simple_wiki,115,0.1405636065558571,0.20500403574222456,0.06444042918636747,0.08472120231937726
crv,43022,chck_100M,REPEAT-minus-REPEAT_SPLIT,switchboard,51,-0.3429789286216392,-0.2941539374490579,0.04882499117258133,0.10329289257387939
crv,43022,chck_100M,VIEW-minus-REPEAT,bnc_spoken,120,-0.03851083748886595,0.01224506051124384,0.05075589800010979,0.07675301502384295
crv,43022,chck_100M,VIEW-minus-REPEAT,childes,113,0.002221700677435051,-0.17314883657624616,-0.1753705372536812,0.10920883787136568
crv,43022,chck_100M,VIEW-minus-REPEAT,gutenberg,120,0.09494531198045782,-0.11164372831020349,-0.2065890402906613,0.1083119057461776
crv,43022,chck_100M,VIEW-minus-REPEAT,open_subtitles,120,0.027221883369929856,-0.16417517086520092,-0.1913970542351308,0.1033697861158292
crv,43022,chck_100M,VIEW-minus-REPEAT,simple_wiki,115,-0.02584936079852607,0.10408334233190703,0.1299327031304331,0.0803935759157499
crv,43022,chck_100M,VIEW-minus-REPEAT,switchboard,51,0.040199769916487674,-0.029939279325452504,-0.07013904924194019,0.10610034249313945
crv,43122,chck_100M,VIEW-minus-CLEAN,bnc_spoken,120,-0.022575153634534217,0.012620408815564588,0.035195562450098805,0.08258284365066695
crv,43122,chck_100M,VIEW-minus-CLEAN,childes,113,0.03347469276182747,0.3570954780781775,0.32362078531635,0.11784551864599369
crv,43122,chck_100M,VIEW-minus-CLEAN,gutenberg,120,-0.016346483736075848,-0.026778915736455626,-0.010432432000379776,0.0726761984899915
crv,43122,chck_100M,VIEW-minus-CLEAN,open_subtitles,120,0.003863544953370971,-0.0679319821089545,-0.07179552706232546,0.12251137779974973
crv,43122,chck_100M,VIEW-minus-CLEAN,simple_wiki,115,-0.007600522511031316,0.06367214991022711,0.07127267242125843,0.08266134311407519
crv,43122,chck_100M,VIEW-minus-CLEAN,switchboard,51,-0.14215081944769503,-0.052020436481517905,0.09013038296617713,0.16415853949284986
crv,43122,chck_100M,REPEAT-minus-CLEAN,bnc_spoken,120,-0.021105450641092222,0.0044395521186136955,0.025545002759705917,0.1209606790338357
crv,43122,chck_100M,REPEAT-minus-CLEAN,childes,113,-0.002662240914173909,0.23234713444287233,0.23500937535704625,0.10451175220902556
crv,43122,chck_100M,REPEAT-minus-CLEAN,gutenberg,120,-0.03295477263236535,0.08220224112737924,0.11515701375974459,0.10793562718629386
crv,43122,chck_100M,REPEAT-minus-CLEAN,open_subtitles,120,0.031594481030697355,-0.16552384237317408,-0.19711832340387142,0.12299023535231358
crv,43122,chck_100M,REPEAT-minus-CLEAN,simple_wiki,115,-0.005224122481582606,0.06205898685299832,0.06728310933458093,0.10442731936533074
crv,43122,chck_100M,REPEAT-minus-CLEAN,switchboard,51,-0.012376598064221587,0.11868798858760034,0.13106458665182194,0.12791123221601983
crv,43122,chck_100M,VIEW_SPLIT-minus-CLEAN,bnc_spoken,120,-0.07802389593659124,-0.1623777591700976,-0.08435386323350637,0.07893468961783066
crv,43122,chck_100M,VIEW_SPLIT-minus-CLEAN,childes,113,0.08818115760539963,0.3011316886718265,0.21295053106642683,0.11097680192384746
crv,43122,chck_100M,VIEW_SPLIT-minus-CLEAN,gutenberg,120,-0.11104797646330553,0.023650505168673893,0.13469848163197942,0.10239523533644114
crv,43122,chck_100M,VIEW_SPLIT-minus-CLEAN,open_subtitles,120,0.005705504113696709,-0.033234300403273666,-0.03893980451697037,0.10792808811994457
crv,43122,chck_100M,VIEW_SPLIT-minus-CLEAN,simple_wiki,115,-0.05897016069325416,0.04241220501615949,0.10138236570941365,0.08202701361645395
