endpoint,anchor,input_form,bin_field,bin,n_masked_tokens,delta_isolation_token_loss,se_delta,fraction_improved
coherent_special_98098_alpha075,chck82_slow_scale1p75,no_special,input_edge_bin,0_edge_token,203,0.07938107891271196,0.031484248177692416,0.39408866995073893
coherent_special_98098_alpha075,chck82_slow_scale1p75,no_special,input_edge_bin,1,188,0.18829918618692007,0.05332485633956073,0.425531914893617
coherent_special_98098_alpha075,chck82_slow_scale1p75,no_special,input_edge_bin,16+,231,-0.017470158594363124,0.010731859146970295,0.5151515151515151
coherent_special_98098_alpha075,chck82_slow_scale1p75,no_special,input_edge_bin,2-3,380,0.0640587911893243,0.023347173242466355,0.48157894736842105
coherent_special_98098_alpha075,chck82_slow_scale1p75,no_special,input_edge_bin,4-7,677,-0.00639821174751284,0.007912456140979539,0.5036927621861153
coherent_special_98098_alpha075,chck82_slow_scale1p75,no_special,input_edge_bin,8-15,557,-0.013996342833391738,0.00834134504663731,0.5350089766606823
coherent_special_98098_alpha075,chck82_slow_scale1p75,no_special,distance_to_boundary_special_bin,NA,2236,0.02669668503032266,0.007532598893980171,0.49239713774597493
chck82_slow_scale1p75,coherent86_alpha075,no_special,target_edge_bin,0_edge_token,203,0.028519628433570303,0.015569257455258938,0.4630541871921182
chck82_slow_scale1p75,coherent86_alpha075,no_special,target_edge_bin,1,188,0.003145696754782353,0.011653922513825027,0.5
chck82_slow_scale1p75,coherent86_alpha075,no_special,target_edge_bin,16+,231,0.007567108448081271,0.008596706775095992,0.4805194805194805
chck82_slow_scale1p75,coherent86_alpha075,no_special,target_edge_bin,2-3,380,-0.00034220880309619945,0.007133368704183431,0.5263157894736842
chck82_slow_scale1p75,coherent86_alpha075,no_special,target_edge_bin,4-7,677,0.014269480200624643,0.0054007056732562056,0.4711964549483013
chck82_slow_scale1p75,coherent86_alpha075,no_special,target_edge_bin,8-15,557,0.0076466092603326,0.005668681191236684,0.47755834829443444
chck82_slow_scale1p75,coherent86_alpha075,no_special,input_edge_bin,0_edge_token,203,0.028519628433570303,0.015569257455258938,0.4630541871921182
chck82_slow_scale1p75,coherent86_alpha075,no_special,input_edge_bin,1,188,0.003145696754782353,0.011653922513825027,0.5
chck82_slow_scale1p75,coherent86_alpha075,no_special,input_edge_bin,16+,231,0.007567108448081271,0.008596706775095992,0.4805194805194805
chck82_slow_scale1p75,coherent86_alpha075,no_special,input_edge_bin,2-3,380,-0.00034220880309619945,0.007133368704183431,0.5263157894736842
chck82_slow_scale1p75,coherent86_alpha075,no_special,input_edge_bin,4-7,677,0.014269480200624643,0.0054007056732562056,0.4711964549483013
chck82_slow_scale1p75,coherent86_alpha075,no_special,input_edge_bin,8-15,557,0.0076466092603326,0.005668681191236684,0.47755834829443444
chck82_slow_scale1p75,coherent86_alpha075,no_special,distance_to_boundary_special_bin,NA,2236,0.009802521342608323,0.0031442233538203634,0.4847942754919499
coherent_special_98097_alpha075,coherent86_alpha075,no_special,target_edge_bin,0_edge_token,203,0.07095888264983631,0.032730512510039854,0.4187192118226601
coherent_special_98097_alpha075,coherent86_alpha075,no_special,target_edge_bin,1,188,0.18000557575532125,0.045817531666037234,0.425531914893617
coherent_special_98097_alpha075,coherent86_alpha075,no_special,target_edge_bin,16+,231,0.003413766762644891,0.009025930185664265,0.48917748917748916
coherent_special_98097_alpha075,coherent86_alpha075,no_special,target_edge_bin,2-3,380,0.055832340786750326,0.020813221947686696,0.49473684210526314
coherent_special_98097_alpha075,coherent86_alpha075,no_special,target_edge_bin,4-7,677,0.00566338334873866,0.006576970422435034,0.51698670605613
coherent_special_98097_alpha075,coherent86_alpha075,no_special,target_edge_bin,8-15,557,-0.0012453114944803029,0.007059803673145122,0.518850987432675
coherent_special_98097_alpha075,coherent86_alpha075,no_special,input_edge_bin,0_edge_token,203,0.07095888264983631,0.032730512510039854,0.4187192118226601
coherent_special_98097_alpha075,coherent86_alpha075,no_special,input_edge_bin,1,188,0.18000557575532125,0.045817531666037234,0.425531914893617
coherent_special_98097_alpha075,coherent86_alpha075,no_special,input_edge_bin,16+,231,0.003413766762644891,0.009025930185664265,0.48917748917748916
coherent_special_98097_alpha075,coherent86_alpha075,no_special,input_edge_bin,2-3,380,0.055832340786750326,0.020813221947686696,0.49473684210526314
coherent_special_98097_alpha075,coherent86_alpha075,no_special,input_edge_bin,4-7,677,0.00566338334873866,0.006576970422435034,0.51698670605613
coherent_special_98097_alpha075,coherent86_alpha075,no_special,input_edge_bin,8-15,557,-0.0012453114944803029,0.007059803673145122,0.518850987432675
coherent_special_98097_alpha075,coherent86_alpha075,no_special,distance_to_boundary_special_bin,NA,2236,0.03282247006517165,0.006718746337039078,0.4941860465116279
coherent_special_98098_alpha075,coherent86_alpha075,no_special,target_edge_bin,0_edge_token,203,0.10790070734628227,0.034954801163667754,0.3645320197044335
coherent_special_98098_alpha075,coherent86_alpha075,no_special,target_edge_bin,1,188,0.19144488294170245,0.05221968540262406,0.4148936170212766
coherent_special_98098_alpha075,coherent86_alpha075,no_special,target_edge_bin,16+,231,-0.009903050146281853,0.009850253718676483,0.5324675324675324
coherent_special_98098_alpha075,coherent86_alpha075,no_special,target_edge_bin,2-3,380,0.0637165823862281,0.022824463069922675,0.4842105263157895
coherent_special_98098_alpha075,coherent86_alpha075,no_special,target_edge_bin,4-7,677,0.007871268453111802,0.007240582060658354,0.5051698670605613
coherent_special_98098_alpha075,coherent86_alpha075,no_special,target_edge_bin,8-15,557,-0.006349733573059137,0.007762615627646857,0.5206463195691203
coherent_special_98098_alpha075,coherent86_alpha075,no_special,input_edge_bin,0_edge_token,203,0.10790070734628227,0.034954801163667754,0.3645320197044335
coherent_special_98098_alpha075,coherent86_alpha075,no_special,input_edge_bin,1,188,0.19144488294170245,0.05221968540262406,0.4148936170212766
coherent_special_98098_alpha075,coherent86_alpha075,no_special,input_edge_bin,16+,231,-0.009903050146281853,0.009850253718676483,0.5324675324675324
coherent_special_98098_alpha075,coherent86_alpha075,no_special,input_edge_bin,2-3,380,0.0637165823862281,0.022824463069922675,0.4842105263157895
coherent_special_98098_alpha075,coherent86_alpha075,no_special,input_edge_bin,4-7,677,0.007871268453111802,0.007240582060658354,0.5051698670605613
coherent_special_98098_alpha075,coherent86_alpha075,no_special,input_edge_bin,8-15,557,-0.006349733573059137,0.007762615627646857,0.5206463195691203
coherent_special_98098_alpha075,coherent86_alpha075,no_special,distance_to_boundary_special_bin,NA,2236,0.036499206372930984,0.007441135139318745,0.4879248658318426
coherent86_alpha075,chck82_slow_scale1p75,with_special,target_edge_bin,0_edge_token,203,0.02893384910083096,0.011842595920864233,0.4187192118226601
coherent86_alpha075,chck82_slow_scale1p75,with_special,target_edge_bin,1,188,-0.004838582180379122,0.011576797130526398,0.4946808510638298
coherent86_alpha075,chck82_slow_scale1p75,with_special,target_edge_bin,16+,231,-0.007258943039661846,0.008300498935354669,0.5108225108225108
coherent86_alpha075,chck82_slow_scale1p75,with_special,target_edge_bin,2-3,380,0.0034270954544952377,0.007629792712580294,0.4631578947368421
coherent86_alpha075,chck82_slow_scale1p75,with_special,target_edge_bin,4-7,677,-0.014276386863579026,0.005516163543459788,0.5258493353028065
coherent86_alpha075,chck82_slow_scale1p75,with_special,target_edge_bin,8-15,557,-0.01084764391461881,0.005829301989512887,0.5080789946140036
coherent86_alpha075,chck82_slow_scale1p75,with_special,input_edge_bin,0_edge_token,203,0.02893384910083096,0.011842595920864233,0.4187192118226601
coherent86_alpha075,chck82_slow_scale1p75,with_special,input_edge_bin,1,188,-0.004838582180379122,0.011576797130526398,0.4946808510638298
coherent86_alpha075,chck82_slow_scale1p75,with_special,input_edge_bin,16+,231,-0.007258943039661846,0.008300498935354669,0.5108225108225108
coherent86_alpha075,chck82_slow_scale1p75,with_special,input_edge_bin,2-3,380,0.0034270954544952377,0.007629792712580294,0.4631578947368421
coherent86_alpha075,chck82_slow_scale1p75,with_special,input_edge_bin,4-7,677,-0.014276386863579026,0.005516163543459788,0.5258493353028065
coherent86_alpha075,chck82_slow_scale1p75,with_special,input_edge_bin,8-15,557,-0.01084764391461881,0.005829301989512887,0.5080789946140036
coherent86_alpha075,chck82_slow_scale1p75,with_special,distance_to_boundary_special_bin,0_edge_token,203,0.02893384910083096,0.011842595920864233,0.4187192118226601
coherent86_alpha075,chck82_slow_scale1p75,with_special,distance_to_boundary_special_bin,1,188,-0.004838582180379122,0.011576797130526398,0.4946808510638298
coherent86_alpha075,chck82_slow_scale1p75,with_special,distance_to_boundary_special_bin,16+,231,-0.007258943039661846,0.008300498935354669,0.5108225108225108
coherent86_alpha075,chck82_slow_scale1p75,with_special,distance_to_boundary_special_bin,2-3,380,0.0034270954544952377,0.007629792712580294,0.4631578947368421
coherent86_alpha075,chck82_slow_scale1p75,with_special,distance_to_boundary_special_bin,4-7,677,-0.014276386863579026,0.005516163543459788,0.5258493353028065
coherent86_alpha075,chck82_slow_scale1p75,with_special,distance_to_boundary_special_bin,8-15,557,-0.01084764391461881,0.005829301989512887,0.5080789946140036
coherent_special_98097_alpha075,chck82_slow_scale1p75,with_special,target_edge_bin,0_edge_token,203,-1.496660253902286,0.1360315622173864,0.8029556650246306
coherent_special_98097_alpha075,chck82_slow_scale1p75,with_special,target_edge_bin,1,188,0.06365413327828603,0.03630043724253714,0.4574468085106383
coherent_special_98097_alpha075,chck82_slow_scale1p75,with_special,target_edge_bin,16+,231,-0.0017784791291757887,0.01164702363875411,0.4935064935064935
coherent_special_98097_alpha075,chck82_slow_scale1p75,with_special,target_edge_bin,2-3,380,-0.016346157062415795,0.02403683299226192,0.49473684210526314
coherent_special_98097_alpha075,chck82_slow_scale1p75,with_special,target_edge_bin,4-7,677,-0.006889214729563078,0.009534849408640982,0.5155096011816839
coherent_special_98097_alpha075,chck82_slow_scale1p75,with_special,target_edge_bin,8-15,557,-0.019073648769784738,0.010186505013754326,0.578096947935368
coherent_special_98097_alpha075,chck82_slow_scale1p75,with_special,input_edge_bin,0_edge_token,203,-1.496660253902286,0.1360315622173864,0.8029556650246306
coherent_special_98097_alpha075,chck82_slow_scale1p75,with_special,input_edge_bin,1,188,0.06365413327828603,0.03630043724253714,0.4574468085106383
coherent_special_98097_alpha075,chck82_slow_scale1p75,with_special,input_edge_bin,16+,231,-0.0017784791291757887,0.01164702363875411,0.4935064935064935
coherent_special_98097_alpha075,chck82_slow_scale1p75,with_special,input_edge_bin,2-3,380,-0.016346157062415795,0.02403683299226192,0.49473684210526314
coherent_special_98097_alpha075,chck82_slow_scale1p75,with_special,input_edge_bin,4-7,677,-0.006889214729563078,0.009534849408640982,0.5155096011816839
coherent_special_98097_alpha075,chck82_slow_scale1p75,with_special,input_edge_bin,8-15,557,-0.019073648769784738,0.010186505013754326,0.578096947935368
coherent_special_98097_alpha075,chck82_slow_scale1p75,with_special,distance_to_boundary_special_bin,0_edge_token,203,-1.496660253902286,0.1360315622173864,0.8029556650246306
coherent_special_98097_alpha075,chck82_slow_scale1p75,with_special,distance_to_boundary_special_bin,1,188,0.06365413327828603,0.03630043724253714,0.4574468085106383
coherent_special_98097_alpha075,chck82_slow_scale1p75,with_special,distance_to_boundary_special_bin,16+,231,-0.0017784791291757887,0.01164702363875411,0.4935064935064935
coherent_special_98097_alpha075,chck82_slow_scale1p75,with_special,distance_to_boundary_special_bin,2-3,380,-0.016346157062415795,0.02403683299226192,0.49473684210526314
coherent_special_98097_alpha075,chck82_slow_scale1p75,with_special,distance_to_boundary_special_bin,4-7,677,-0.006889214729563078,0.009534849408640982,0.5155096011816839
coherent_special_98097_alpha075,chck82_slow_scale1p75,with_special,distance_to_boundary_special_bin,8-15,557,-0.019073648769784738,0.010186505013754326,0.578096947935368
coherent_special_98098_alpha075,chck82_slow_scale1p75,with_special,target_edge_bin,0_edge_token,203,-1.4116592867167441,0.13215845729689193,0.8078817733990148
coherent_special_98098_alpha075,chck82_slow_scale1p75,with_special,target_edge_bin,1,188,0.04602220349228291,0.03709412702460691,0.48404255319148937
coherent_special_98098_alpha075,chck82_slow_scale1p75,with_special,target_edge_bin,16+,231,-0.02586467053736933,0.012541983357523157,0.5411255411255411
coherent_special_98098_alpha075,chck82_slow_scale1p75,with_special,target_edge_bin,2-3,380,-0.009084977863533008,0.01690897859204897,0.5
coherent_special_98098_alpha075,chck82_slow_scale1p75,with_special,target_edge_bin,4-7,677,-0.007829081837569786,0.008920062931172026,0.5228951255539144
coherent_special_98098_alpha075,chck82_slow_scale1p75,with_special,target_edge_bin,8-15,557,-0.0248656579672503,0.009958995577697246,0.5727109515260324
coherent_special_98098_alpha075,chck82_slow_scale1p75,with_special,input_edge_bin,0_edge_token,203,-1.4116592867167441,0.13215845729689193,0.8078817733990148
coherent_special_98098_alpha075,chck82_slow_scale1p75,with_special,input_edge_bin,1,188,0.04602220349228291,0.03709412702460691,0.48404255319148937
coherent_special_98098_alpha075,chck82_slow_scale1p75,with_special,input_edge_bin,16+,231,-0.02586467053736933,0.012541983357523157,0.5411255411255411
coherent_special_98098_alpha075,chck82_slow_scale1p75,with_special,input_edge_bin,2-3,380,-0.009084977863533008,0.01690897859204897,0.5
coherent_special_98098_alpha075,chck82_slow_scale1p75,with_special,input_edge_bin,4-7,677,-0.007829081837569786,0.008920062931172026,0.5228951255539144
coherent_special_98098_alpha075,chck82_slow_scale1p75,with_special,input_edge_bin,8-15,557,-0.0248656579672503,0.009958995577697246,0.5727109515260324
coherent_special_98098_alpha075,chck82_slow_scale1p75,with_special,distance_to_boundary_special_bin,0_edge_token,203,-1.4116592867167441,0.13215845729689193,0.8078817733990148
coherent_special_98098_alpha075,chck82_slow_scale1p75,with_special,distance_to_boundary_special_bin,1,188,0.04602220349228291,0.03709412702460691,0.48404255319148937
coherent_special_98098_alpha075,chck82_slow_scale1p75,with_special,distance_to_boundary_special_bin,16+,231,-0.02586467053736933,0.012541983357523157,0.5411255411255411
coherent_special_98098_alpha075,chck82_slow_scale1p75,with_special,distance_to_boundary_special_bin,2-3,380,-0.009084977863533008,0.01690897859204897,0.5
coherent_special_98098_alpha075,chck82_slow_scale1p75,with_special,distance_to_boundary_special_bin,4-7,677,-0.007829081837569786,0.008920062931172026,0.5228951255539144
coherent_special_98098_alpha075,chck82_slow_scale1p75,with_special,distance_to_boundary_special_bin,8-15,557,-0.0248656579672503,0.009958995577697246,0.5727109515260324
chck82_slow_scale1p75,coherent86_alpha075,with_special,target_edge_bin,0_edge_token,203,-0.02893384910083096,0.011842595920864233,0.5812807881773399
chck82_slow_scale1p75,coherent86_alpha075,with_special,target_edge_bin,1,188,0.004838582180379122,0.011576797130526398,0.5053191489361702
chck82_slow_scale1p75,coherent86_alpha075,with_special,target_edge_bin,16+,231,0.007258943039661846,0.008300498935354669,0.48917748917748916
chck82_slow_scale1p75,coherent86_alpha075,with_special,target_edge_bin,2-3,380,-0.0034270954544952377,0.007629792712580294,0.5368421052631579
chck82_slow_scale1p75,coherent86_alpha075,with_special,target_edge_bin,4-7,677,0.014276386863579026,0.005516163543459788,0.4741506646971935
chck82_slow_scale1p75,coherent86_alpha075,with_special,target_edge_bin,8-15,557,0.01084764391461881,0.005829301989512887,0.4919210053859964
chck82_slow_scale1p75,coherent86_alpha075,with_special,input_edge_bin,0_edge_token,203,-0.02893384910083096,0.011842595920864233,0.5812807881773399
chck82_slow_scale1p75,coherent86_alpha075,with_special,input_edge_bin,1,188,0.004838582180379122,0.011576797130526398,0.5053191489361702
chck82_slow_scale1p75,coherent86_alpha075,with_special,input_edge_bin,16+,231,0.007258943039661846,0.008300498935354669,0.48917748917748916
chck82_slow_scale1p75,coherent86_alpha075,with_special,input_edge_bin,2-3,380,-0.0034270954544952377,0.007629792712580294,0.5368421052631579
chck82_slow_scale1p75,coherent86_alpha075,with_special,input_edge_bin,4-7,677,0.014276386863579026,0.005516163543459788,0.4741506646971935
chck82_slow_scale1p75,coherent86_alpha075,with_special,input_edge_bin,8-15,557,0.01084764391461881,0.005829301989512887,0.4919210053859964
chck82_slow_scale1p75,coherent86_alpha075,with_special,distance_to_boundary_special_bin,0_edge_token,203,-0.02893384910083096,0.011842595920864233,0.5812807881773399
chck82_slow_scale1p75,coherent86_alpha075,with_special,distance_to_boundary_special_bin,1,188,0.004838582180379122,0.011576797130526398,0.5053191489361702
chck82_slow_scale1p75,coherent86_alpha075,with_special,distance_to_boundary_special_bin,16+,231,0.007258943039661846,0.008300498935354669,0.48917748917748916
chck82_slow_scale1p75,coherent86_alpha075,with_special,distance_to_boundary_special_bin,2-3,380,-0.0034270954544952377,0.007629792712580294,0.5368421052631579
chck82_slow_scale1p75,coherent86_alpha075,with_special,distance_to_boundary_special_bin,4-7,677,0.014276386863579026,0.005516163543459788,0.4741506646971935
chck82_slow_scale1p75,coherent86_alpha075,with_special,distance_to_boundary_special_bin,8-15,557,0.01084764391461881,0.005829301989512887,0.4919210053859964
coherent_special_98097_alpha075,coherent86_alpha075,with_special,target_edge_bin,0_edge_token,203,-1.5255941030031168,0.13664336383365047,0.8275862068965517
coherent_special_98097_alpha075,coherent86_alpha075,with_special,target_edge_bin,1,188,0.06849271545866516,0.036577687298687746,0.4574468085106383
coherent_special_98097_alpha075,coherent86_alpha075,with_special,target_edge_bin,16+,231,0.005480463910486057,0.010647411908537404,0.47186147186147187
coherent_special_98097_alpha075,coherent86_alpha075,with_special,target_edge_bin,2-3,380,-0.01977325251691103,0.026137222945362176,0.5105263157894737
coherent_special_98097_alpha075,coherent86_alpha075,with_special,target_edge_bin,4-7,677,0.007387172134015948,0.009153898981943976,0.5022156573116692
coherent_special_98097_alpha075,coherent86_alpha075,with_special,target_edge_bin,8-15,557,-0.008226004855165928,0.009855313111076819,0.5547576301615799
coherent_special_98097_alpha075,coherent86_alpha075,with_special,input_edge_bin,0_edge_token,203,-1.5255941030031168,0.13664336383365047,0.8275862068965517
coherent_special_98097_alpha075,coherent86_alpha075,with_special,input_edge_bin,1,188,0.06849271545866516,0.036577687298687746,0.4574468085106383
coherent_special_98097_alpha075,coherent86_alpha075,with_special,input_edge_bin,16+,231,0.005480463910486057,0.010647411908537404,0.47186147186147187
coherent_special_98097_alpha075,coherent86_alpha075,with_special,input_edge_bin,2-3,380,-0.01977325251691103,0.026137222945362176,0.5105263157894737
coherent_special_98097_alpha075,coherent86_alpha075,with_special,input_edge_bin,4-7,677,0.007387172134015948,0.009153898981943976,0.5022156573116692
coherent_special_98097_alpha075,coherent86_alpha075,with_special,input_edge_bin,8-15,557,-0.008226004855165928,0.009855313111076819,0.5547576301615799
coherent_special_98097_alpha075,coherent86_alpha075,with_special,distance_to_boundary_special_bin,0_edge_token,203,-1.5255941030031168,0.13664336383365047,0.8275862068965517
coherent_special_98097_alpha075,coherent86_alpha075,with_special,distance_to_boundary_special_bin,1,188,0.06849271545866516,0.036577687298687746,0.4574468085106383
coherent_special_98097_alpha075,coherent86_alpha075,with_special,distance_to_boundary_special_bin,16+,231,0.005480463910486057,0.010647411908537404,0.47186147186147187
coherent_special_98097_alpha075,coherent86_alpha075,with_special,distance_to_boundary_special_bin,2-3,380,-0.01977325251691103,0.026137222945362176,0.5105263157894737
coherent_special_98097_alpha075,coherent86_alpha075,with_special,distance_to_boundary_special_bin,4-7,677,0.007387172134015948,0.009153898981943976,0.5022156573116692
coherent_special_98097_alpha075,coherent86_alpha075,with_special,distance_to_boundary_special_bin,8-15,557,-0.008226004855165928,0.009855313111076819,0.5547576301615799
coherent_special_98098_alpha075,coherent86_alpha075,with_special,target_edge_bin,0_edge_token,203,-1.4405931358175752,0.13276542213219247,0.8325123152709359
coherent_special_98098_alpha075,coherent86_alpha075,with_special,target_edge_bin,1,188,0.050860785672662036,0.036900746043168516,0.44148936170212766
coherent_special_98098_alpha075,coherent86_alpha075,with_special,target_edge_bin,16+,231,-0.018605727497707485,0.011174297964132234,0.5324675324675324
coherent_special_98098_alpha075,coherent86_alpha075,with_special,target_edge_bin,2-3,380,-0.012512073318028246,0.018546510638821397,0.5026315789473684
coherent_special_98098_alpha075,coherent86_alpha075,with_special,target_edge_bin,4-7,677,0.006447305026009239,0.008269059220740484,0.49039881831610044
coherent_special_98098_alpha075,coherent86_alpha075,with_special,target_edge_bin,8-15,557,-0.01401801405263149,0.009688796065681711,0.585278276481149
coherent_special_98098_alpha075,coherent86_alpha075,with_special,input_edge_bin,0_edge_token,203,-1.4405931358175752,0.13276542213219247,0.8325123152709359
coherent_special_98098_alpha075,coherent86_alpha075,with_special,input_edge_bin,1,188,0.050860785672662036,0.036900746043168516,0.44148936170212766
coherent_special_98098_alpha075,coherent86_alpha075,with_special,input_edge_bin,16+,231,-0.018605727497707485,0.011174297964132234,0.5324675324675324
coherent_special_98098_alpha075,coherent86_alpha075,with_special,input_edge_bin,2-3,380,-0.012512073318028246,0.018546510638821397,0.5026315789473684
coherent_special_98098_alpha075,coherent86_alpha075,with_special,input_edge_bin,4-7,677,0.006447305026009239,0.008269059220740484,0.49039881831610044
coherent_special_98098_alpha075,coherent86_alpha075,with_special,input_edge_bin,8-15,557,-0.01401801405263149,0.009688796065681711,0.585278276481149
coherent_special_98098_alpha075,coherent86_alpha075,with_special,distance_to_boundary_special_bin,0_edge_token,203,-1.4405931358175752,0.13276542213219247,0.8325123152709359
coherent_special_98098_alpha075,coherent86_alpha075,with_special,distance_to_boundary_special_bin,1,188,0.050860785672662036,0.036900746043168516,0.44148936170212766
coherent_special_98098_alpha075,coherent86_alpha075,with_special,distance_to_boundary_special_bin,16+,231,-0.018605727497707485,0.011174297964132234,0.5324675324675324
coherent_special_98098_alpha075,coherent86_alpha075,with_special,distance_to_boundary_special_bin,2-3,380,-0.012512073318028246,0.018546510638821397,0.5026315789473684
coherent_special_98098_alpha075,coherent86_alpha075,with_special,distance_to_boundary_special_bin,4-7,677,0.006447305026009239,0.008269059220740484,0.49039881831610044
coherent_special_98098_alpha075,coherent86_alpha075,with_special,distance_to_boundary_special_bin,8-15,557,-0.01401801405263149,0.009688796065681711,0.585278276481149
