token_class,contrast,role_a,role_b,n,delta_T,T_a,T_b,delta_U,U_a,U_b,delta_N,N_a,N_b,delta_A_T,A_T_a,A_T_b,delta_A_U,A_U_a,A_U_b,delta_G,G_a,G_b
overlap,ALNminusOFF,ALN,OFF,3170,-1.4292839922848333,1.6429709757726076,3.072254968057441,0.24266678064466252,8.19309063445714,7.950423853812478,0.21965845657312322,8.480897511944903,8.26123905537178,1.6489424488579552,6.8379265361722945,5.188984087314339,-0.023008324071538744,0.2878068774877621,0.31081520155930087,1.6719507729294936,6.550119658684532,4.878168885755039
overlap,ALNminusSEP,ALN,SEP,3170,-3.5858557702230067,1.6429709757726076,5.228826745995614,0.4277859872876899,8.19309063445714,7.765304647169451,0.5320899164689736,8.480897511944903,7.948807595475929,4.11794568669198,6.8379265361722945,2.7199808494803137,0.10430392918128473,0.2878068774877621,0.1835029483064774,4.013641757510696,6.550119658684532,2.536477901173837
overlap,ALNminusSHUF,ALN,SHUF,3170,-1.9748743628375363,1.6429709757726076,3.617845338610144,0.3286115076501597,8.19309063445714,7.864479126806981,0.37649563451860324,8.480897511944903,8.1044018774263,2.351369997356138,6.8379265361722945,4.486556538816156,0.04788412686844268,0.2878068774877621,0.23992275061931945,2.3034858704876946,6.550119658684532,4.246633788196838
overlap,SHUFminusOFF,SHUF,OFF,3170,0.545590370552703,3.617845338610144,3.072254968057441,-0.08594472700549716,7.864479126806981,7.950423853812478,-0.15683717794548002,8.1044018774263,8.26123905537178,-0.702427548498183,4.486556538816156,5.188984087314339,-0.07089245093998142,0.23992275061931945,0.31081520155930087,-0.631535097558201,4.246633788196838,4.878168885755039
overlap,SEPminusOFF,SEP,OFF,3170,2.1565717779381735,5.228826745995614,3.072254968057441,-0.1851192066430274,7.765304647169451,7.950423853812478,-0.3124314598958504,7.948807595475929,8.26123905537178,-2.4690032378340256,2.7199808494803137,5.188984087314339,-0.12731225325282347,0.1835029483064774,0.31081520155930087,-2.3416909845812017,2.536477901173837,4.878168885755039
overlap,DUPminusOFF,DUP,OFF,3170,-0.5206682409613874,2.5515867270960535,3.072254968057441,0.12299355218411367,8.073417405996592,7.950423853812478,0.03617712234442649,8.297416177716206,8.26123905537178,0.556845363305813,5.745829450620152,5.188984087314339,-0.08681642983968593,0.22399877171961494,0.31081520155930087,0.6436617931454993,5.521830678900538,4.878168885755039
overlap,ALNminusDUP,ALN,DUP,3170,-0.9086157513234459,1.6429709757726076,2.5515867270960535,0.11967322846054884,8.19309063445714,8.073417405996592,0.18348133422869672,8.480897511944903,8.297416177716206,1.0920970855521421,6.8379265361722945,5.745829450620152,0.06380810576814719,0.2878068774877621,0.22399877171961494,1.0282889797839943,6.550119658684532,5.521830678900538
overlap,DUPminusALN,DUP,ALN,3170,0.9086157513234459,2.5515867270960535,1.6429709757726076,-0.11967322846054884,8.073417405996592,8.19309063445714,-0.18348133422869672,8.297416177716206,8.480897511944903,-1.0920970855521421,5.745829450620152,6.8379265361722945,-0.06380810576814719,0.22399877171961494,0.2878068774877621,-1.0282889797839943,5.521830678900538,6.550119658684532
overlap,SHUFminusSEP,SHUF,SEP,3170,-1.6109814073854705,3.617845338610144,5.228826745995614,0.09917447963753023,7.864479126806981,7.765304647169451,0.1555942819503704,8.1044018774263,7.948807595475929,1.7665756893358426,4.486556538816156,2.7199808494803137,0.05641980231284205,0.23992275061931945,0.1835029483064774,1.7101558870230007,4.246633788196838,2.536477901173837
overlap,SEPminusSHUF,SEP,SHUF,3170,1.6109814073854705,5.228826745995614,3.617845338610144,-0.09917447963753023,7.765304647169451,7.864479126806981,-0.1555942819503704,7.948807595475929,8.1044018774263,-1.7665756893358426,2.7199808494803137,4.486556538816156,-0.05641980231284205,0.1835029483064774,0.23992275061931945,-1.7101558870230007,2.536477901173837,4.246633788196838
