group,contrast,role_a,role_b,n,delta_accuracy_pct,acc_a,acc_b,mean_relevant_updates,mean_total_ops,mean_prefix_words
rel0_total_ops_2,ALNminusDUP,ALN,DUP,212,-1.8867924528301856,37.735849056603776,39.62264150943396,0.0,2.0,77.93867924528301
rel0_total_ops_2,DUPminusALN,DUP,ALN,212,1.8867924528301856,39.62264150943396,37.735849056603776,0.0,2.0,77.93867924528301
rel0_total_ops_2,SHUFminusSEP,SHUF,SEP,212,3.7735849056603783,18.867924528301888,15.09433962264151,0.0,2.0,77.93867924528301
rel0_total_ops_2,SEPminusSHUF,SEP,SHUF,212,-3.7735849056603783,15.09433962264151,18.867924528301888,0.0,2.0,77.93867924528301
rel0_total_ops_3,ALNminusOFF,ALN,OFF,172,17.441860465116278,43.02325581395349,25.581395348837212,0.0,3.0,85.88372093023256
rel0_total_ops_3,ALNminusSEP,ALN,SEP,172,30.813953488372096,43.02325581395349,12.209302325581394,0.0,3.0,85.88372093023256
rel0_total_ops_3,ALNminusSHUF,ALN,SHUF,172,21.511627906976745,43.02325581395349,21.511627906976745,0.0,3.0,85.88372093023256
rel0_total_ops_3,SHUFminusOFF,SHUF,OFF,172,-4.069767441860467,21.511627906976745,25.581395348837212,0.0,3.0,85.88372093023256
rel0_total_ops_3,SEPminusOFF,SEP,OFF,172,-13.372093023255818,12.209302325581394,25.581395348837212,0.0,3.0,85.88372093023256
rel0_total_ops_3,DUPminusOFF,DUP,OFF,172,13.372093023255815,38.95348837209303,25.581395348837212,0.0,3.0,85.88372093023256
rel0_total_ops_3,ALNminusDUP,ALN,DUP,172,4.0697674418604635,43.02325581395349,38.95348837209303,0.0,3.0,85.88372093023256
rel0_total_ops_3,DUPminusALN,DUP,ALN,172,-4.0697674418604635,38.95348837209303,43.02325581395349,0.0,3.0,85.88372093023256
rel0_total_ops_3,SHUFminusSEP,SHUF,SEP,172,9.302325581395351,21.511627906976745,12.209302325581394,0.0,3.0,85.88372093023256
rel0_total_ops_3,SEPminusSHUF,SEP,SHUF,172,-9.302325581395351,12.209302325581394,21.511627906976745,0.0,3.0,85.88372093023256
rel0_total_ops_4,ALNminusOFF,ALN,OFF,131,19.847328244274806,38.93129770992366,19.083969465648856,0.0,4.0,93.36641221374046
rel0_total_ops_4,ALNminusSEP,ALN,SEP,131,23.664122137404576,38.93129770992366,15.267175572519085,0.0,4.0,93.36641221374046
rel0_total_ops_4,ALNminusSHUF,ALN,SHUF,131,20.610687022900763,38.93129770992366,18.3206106870229,0.0,4.0,93.36641221374046
rel0_total_ops_4,SHUFminusOFF,SHUF,OFF,131,-0.7633587786259568,18.3206106870229,19.083969465648856,0.0,4.0,93.36641221374046
rel0_total_ops_4,SEPminusOFF,SEP,OFF,131,-3.8167938931297716,15.267175572519085,19.083969465648856,0.0,4.0,93.36641221374046
rel0_total_ops_4,DUPminusOFF,DUP,OFF,131,17.557251908396942,36.6412213740458,19.083969465648856,0.0,4.0,93.36641221374046
rel0_total_ops_4,ALNminusDUP,ALN,DUP,131,2.2900763358778633,38.93129770992366,36.6412213740458,0.0,4.0,93.36641221374046
rel0_total_ops_4,DUPminusALN,DUP,ALN,131,-2.2900763358778633,36.6412213740458,38.93129770992366,0.0,4.0,93.36641221374046
rel0_total_ops_4,SHUFminusSEP,SHUF,SEP,131,3.0534351145038148,18.3206106870229,15.267175572519085,0.0,4.0,93.36641221374046
rel0_total_ops_4,SEPminusSHUF,SEP,SHUF,131,-3.0534351145038148,15.267175572519085,18.3206106870229,0.0,4.0,93.36641221374046
rel0_total_ops_5,ALNminusOFF,ALN,OFF,104,18.269230769230774,40.38461538461539,22.115384615384613,0.0,5.0,100.5673076923077
rel0_total_ops_5,ALNminusSEP,ALN,SEP,104,27.884615384615387,40.38461538461539,12.5,0.0,5.0,100.5673076923077
rel0_total_ops_5,ALNminusSHUF,ALN,SHUF,104,19.230769230769234,40.38461538461539,21.153846153846153,0.0,5.0,100.5673076923077
rel0_total_ops_5,SHUFminusOFF,SHUF,OFF,104,-0.9615384615384599,21.153846153846153,22.115384615384613,0.0,5.0,100.5673076923077
rel0_total_ops_5,SEPminusOFF,SEP,OFF,104,-9.615384615384613,12.5,22.115384615384613,0.0,5.0,100.5673076923077
rel0_total_ops_5,DUPminusOFF,DUP,OFF,104,16.346153846153854,38.46153846153847,22.115384615384613,0.0,5.0,100.5673076923077
rel0_total_ops_5,ALNminusDUP,ALN,DUP,104,1.9230769230769198,40.38461538461539,38.46153846153847,0.0,5.0,100.5673076923077
rel0_total_ops_5,DUPminusALN,DUP,ALN,104,-1.9230769230769198,38.46153846153847,40.38461538461539,0.0,5.0,100.5673076923077
rel0_total_ops_5,SHUFminusSEP,SHUF,SEP,104,8.653846153846153,21.153846153846153,12.5,0.0,5.0,100.5673076923077
rel0_total_ops_5,SEPminusSHUF,SEP,SHUF,104,-8.653846153846153,12.5,21.153846153846153,0.0,5.0,100.5673076923077
rel0_total_ops_6,ALNminusOFF,ALN,OFF,88,17.045454545454547,42.04545454545455,25.0,0.0,6.0,107.64772727272727
rel0_total_ops_6,ALNminusSEP,ALN,SEP,88,27.272727272727273,42.04545454545455,14.772727272727273,0.0,6.0,107.64772727272727
