family,screen,category,rows,fraction,inherited_aln_pair_text_hit_rows,arm_map
representation_frontier_studies_DeBERTa_split_locality,heldout2647,absent_from_every_stream,2647,1.0,904,"{""C"": ""max_C_clean"", ""RS"": ""split_RS_repeat"", ""VS"": ""split_VS_view""}"
representation_frontier_studies_DeBERTa_split_locality,heldout2647,present_identically_in_every_arm,0,0.0,0,"{""C"": ""max_C_clean"", ""RS"": ""split_RS_repeat"", ""VS"": ""split_VS_view""}"
representation_frontier_studies_DeBERTa_split_locality,heldout2647,differentially_present_some_arms,0,0.0,0,"{""C"": ""max_C_clean"", ""RS"": ""split_RS_repeat"", ""VS"": ""split_VS_view""}"
RoBERTa_CRV_same_input_streams,heldout6992,absent_from_every_stream,6992,1.0,2354,"{""C"": ""max_C_clean"", ""R"": ""max_R_repeat"", ""V"": ""max_V_view""}"
RoBERTa_CRV_same_input_streams,heldout6992,present_identically_in_every_arm,0,0.0,0,"{""C"": ""max_C_clean"", ""R"": ""max_R_repeat"", ""V"": ""max_V_view""}"
RoBERTa_CRV_same_input_streams,heldout6992,differentially_present_some_arms,0,0.0,0,"{""C"": ""max_C_clean"", ""R"": ""max_R_repeat"", ""V"": ""max_V_view""}"
RoBERTa_CRV_same_input_streams,heldout2647,absent_from_every_stream,2647,1.0,904,"{""C"": ""max_C_clean"", ""R"": ""max_R_repeat"", ""V"": ""max_V_view""}"
RoBERTa_CRV_same_input_streams,heldout2647,present_identically_in_every_arm,0,0.0,0,"{""C"": ""max_C_clean"", ""R"": ""max_R_repeat"", ""V"": ""max_V_view""}"
RoBERTa_CRV_same_input_streams,heldout2647,differentially_present_some_arms,0,0.0,0,"{""C"": ""max_C_clean"", ""R"": ""max_R_repeat"", ""V"": ""max_V_view""}"
RoBERTa_repeat_split_same_input_streams,heldout6992,absent_from_every_stream,6992,1.0,2354,"{""C"": ""max_C_clean"", ""R"": ""max_R_repeat"", ""RS"": ""split_RS_repeat""}"
RoBERTa_repeat_split_same_input_streams,heldout6992,present_identically_in_every_arm,0,0.0,0,"{""C"": ""max_C_clean"", ""R"": ""max_R_repeat"", ""RS"": ""split_RS_repeat""}"
RoBERTa_repeat_split_same_input_streams,heldout6992,differentially_present_some_arms,0,0.0,0,"{""C"": ""max_C_clean"", ""R"": ""max_R_repeat"", ""RS"": ""split_RS_repeat""}"
RoBERTa_repeat_split_same_input_streams,heldout2647,absent_from_every_stream,2647,1.0,904,"{""C"": ""max_C_clean"", ""R"": ""max_R_repeat"", ""RS"": ""split_RS_repeat""}"
RoBERTa_repeat_split_same_input_streams,heldout2647,present_identically_in_every_arm,0,0.0,0,"{""C"": ""max_C_clean"", ""R"": ""max_R_repeat"", ""RS"": ""split_RS_repeat""}"
RoBERTa_repeat_split_same_input_streams,heldout2647,differentially_present_some_arms,0,0.0,0,"{""C"": ""max_C_clean"", ""R"": ""max_R_repeat"", ""RS"": ""split_RS_repeat""}"
causal_GPT_C_R_RS_same_input_streams,heldout6992,absent_from_every_stream,6992,1.0,2354,"{""C"": ""max_C_clean"", ""R"": ""max_R_repeat"", ""RS"": ""split_RS_repeat""}"
causal_GPT_C_R_RS_same_input_streams,heldout6992,present_identically_in_every_arm,0,0.0,0,"{""C"": ""max_C_clean"", ""R"": ""max_R_repeat"", ""RS"": ""split_RS_repeat""}"
causal_GPT_C_R_RS_same_input_streams,heldout6992,differentially_present_some_arms,0,0.0,0,"{""C"": ""max_C_clean"", ""R"": ""max_R_repeat"", ""RS"": ""split_RS_repeat""}"
causal_GPT_C_R_RS_same_input_streams,heldout2647,absent_from_every_stream,2647,1.0,904,"{""C"": ""max_C_clean"", ""R"": ""max_R_repeat"", ""RS"": ""split_RS_repeat""}"
causal_GPT_C_R_RS_same_input_streams,heldout2647,present_identically_in_every_arm,0,0.0,0,"{""C"": ""max_C_clean"", ""R"": ""max_R_repeat"", ""RS"": ""split_RS_repeat""}"
causal_GPT_C_R_RS_same_input_streams,heldout2647,differentially_present_some_arms,0,0.0,0,"{""C"": ""max_C_clean"", ""R"": ""max_R_repeat"", ""RS"": ""split_RS_repeat""}"
hash_mixed_and_half_view_controls,heldout6992,absent_from_every_stream,6992,1.0,2354,"{""C"": ""max_C_clean"", ""HM"": ""HM_hash_mixed"", ""HV"": ""HV_half_view"", ""R"": ""max_R_repeat"", ""V"": ""max_V_view""}"
hash_mixed_and_half_view_controls,heldout6992,present_identically_in_every_arm,0,0.0,0,"{""C"": ""max_C_clean"", ""HM"": ""HM_hash_mixed"", ""HV"": ""HV_half_view"", ""R"": ""max_R_repeat"", ""V"": ""max_V_view""}"
hash_mixed_and_half_view_controls,heldout6992,differentially_present_some_arms,0,0.0,0,"{""C"": ""max_C_clean"", ""HM"": ""HM_hash_mixed"", ""HV"": ""HV_half_view"", ""R"": ""max_R_repeat"", ""V"": ""max_V_view""}"
hash_mixed_and_half_view_controls,heldout2647,absent_from_every_stream,2647,1.0,904,"{""C"": ""max_C_clean"", ""HM"": ""HM_hash_mixed"", ""HV"": ""HV_half_view"", ""R"": ""max_R_repeat"", ""V"": ""max_V_view""}"
hash_mixed_and_half_view_controls,heldout2647,present_identically_in_every_arm,0,0.0,0,"{""C"": ""max_C_clean"", ""HM"": ""HM_hash_mixed"", ""HV"": ""HV_half_view"", ""R"": ""max_R_repeat"", ""V"": ""max_V_view""}"
hash_mixed_and_half_view_controls,heldout2647,differentially_present_some_arms,0,0.0,0,"{""C"": ""max_C_clean"", ""HM"": ""HM_hash_mixed"", ""HV"": ""HV_half_view"", ""R"": ""max_R_repeat"", ""V"": ""max_V_view""}"
current_compactview_base_dose21_dose25,heldout6992,absent_from_every_stream,2647,0.378576,904,"{""BASE0"": ""current_base_compact_view_reinvest"", ""DOSE21"": ""current_dose21_probe_clean"", ""DOSE25"": ""current_dose25_probe_clean""}"
current_compactview_base_dose21_dose25,heldout6992,present_identically_in_every_arm,4345,0.621424,1450,"{""BASE0"": ""current_base_compact_view_reinvest"", ""DOSE21"": ""current_dose21_probe_clean"", ""DOSE25"": ""current_dose25_probe_clean""}"
current_compactview_base_dose21_dose25,heldout6992,differentially_present_some_arms,0,0.0,0,"{""BASE0"": ""current_base_compact_view_reinvest"", ""DOSE21"": ""current_dose21_probe_clean"", ""DOSE25"": ""current_dose25_probe_clean""}"
current_compactview_base_dose21_dose25,heldout2647,absent_from_every_stream,2647,1.0,904,"{""BASE0"": ""current_base_compact_view_reinvest"", ""DOSE21"": ""current_dose21_probe_clean"", ""DOSE25"": ""current_dose25_probe_clean""}"
current_compactview_base_dose21_dose25,heldout2647,present_identically_in_every_arm,0,0.0,0,"{""BASE0"": ""current_base_compact_view_reinvest"", ""DOSE21"": ""current_dose21_probe_clean"", ""DOSE25"": ""current_dose25_probe_clean""}"
current_compactview_base_dose21_dose25,heldout2647,differentially_present_some_arms,0,0.0,0,"{""BASE0"": ""current_base_compact_view_reinvest"", ""DOSE21"": ""current_dose21_probe_clean"", ""DOSE25"": ""current_dose25_probe_clean""}"
