case_id,family,train_group,actor_group,event_pol,affected_query,final_pol,affected_slot,query_slot,mode,alpha,layer,margin_correct_foil,head_correct,state0_minus_state1
F196_01031,clean_dirty,heldout_family,train_actor,1,0,0,B,A,none,1.0,4,2.7920046895742416,True,2.7920046895742416
F196_01032,clean_dirty,heldout_family,train_actor,1,1,1,B,B,none,1.0,4,-2.4582967162132263,False,2.4582967162132263
F196_01033,clean_dirty,heldout_family,train_actor,0,1,0,A,A,none,1.0,4,-2.3456439077854156,False,-2.3456439077854156
F196_01034,clean_dirty,heldout_family,train_actor,0,0,1,A,B,none,1.0,4,2.7174052298069,True,-2.7174052298069
F196_01035,clean_dirty,heldout_family,train_actor,0,0,1,B,A,none,1.0,4,2.368310868740082,True,-2.368310868740082
F196_01036,clean_dirty,heldout_family,train_actor,0,1,0,B,B,none,1.0,4,-2.606019988656044,False,-2.606019988656044
F196_01037,clean_dirty,heldout_family,train_actor,1,1,1,A,A,none,1.0,4,-2.938820004463196,False,2.938820004463196
F196_01038,clean_dirty,heldout_family,train_actor,1,0,0,A,B,none,1.0,4,2.7733774334192276,True,2.7733774334192276
F196_01039,clean_dirty,heldout_family,train_actor,1,0,0,B,A,none,1.0,4,3.046909436583519,True,3.046909436583519
F196_01040,clean_dirty,heldout_family,train_actor,1,1,1,B,B,none,1.0,4,-2.7145367711782455,False,2.7145367711782455
F196_01041,clean_dirty,heldout_family,train_actor,0,1,0,A,A,none,1.0,4,-2.3386955559253693,False,-2.3386955559253693
F196_01042,clean_dirty,heldout_family,train_actor,0,0,1,A,B,none,1.0,4,2.6947668939828873,True,-2.6947668939828873
F196_01043,clean_dirty,heldout_family,train_actor,0,0,1,B,A,none,1.0,4,2.3559675216674805,True,-2.3559675216674805
F196_01044,clean_dirty,heldout_family,train_actor,0,1,0,B,B,none,1.0,4,-2.590685933828354,False,-2.590685933828354
F196_01045,clean_dirty,heldout_family,train_actor,1,1,1,A,A,none,1.0,4,-2.793079376220703,False,2.793079376220703
F196_01046,clean_dirty,heldout_family,train_actor,1,0,0,A,B,none,1.0,4,2.6418446600437164,True,2.6418446600437164
F196_01047,clean_dirty,heldout_family,train_actor,1,0,0,B,A,none,1.0,4,2.9136209934949875,True,2.9136209934949875
F196_01048,clean_dirty,heldout_family,train_actor,1,1,1,B,B,none,1.0,4,-2.570793181657791,False,2.570793181657791
F196_01049,clean_dirty,heldout_family,train_actor,0,1,0,A,A,none,1.0,4,-2.5239200443029404,False,-2.5239200443029404
F196_01050,clean_dirty,heldout_family,train_actor,0,0,1,A,B,none,1.0,4,2.8436194360256195,True,-2.8436194360256195
F196_01051,clean_dirty,heldout_family,train_actor,0,0,1,B,A,none,1.0,4,2.5310658663511276,True,-2.5310658663511276
F196_01052,clean_dirty,heldout_family,train_actor,0,1,0,B,B,none,1.0,4,-2.7518501430749893,False,-2.7518501430749893
F196_01053,clean_dirty,heldout_family,train_actor,1,1,1,A,A,none,1.0,4,-2.6981420814990997,False,2.6981420814990997
F196_01054,clean_dirty,heldout_family,train_actor,1,0,0,A,B,none,1.0,4,2.5678874254226685,True,2.5678874254226685
F196_01055,clean_dirty,heldout_family,train_actor,1,0,0,B,A,none,1.0,4,2.803227335214615,True,2.803227335214615
F196_01056,clean_dirty,heldout_family,train_actor,1,1,1,B,B,none,1.0,4,-2.490606278181076,False,2.490606278181076
F196_01057,clean_dirty,heldout_family,train_actor,0,1,0,A,A,none,1.0,4,-2.3680926263332367,False,-2.3680926263332367
F196_01058,clean_dirty,heldout_family,train_actor,0,0,1,A,B,none,1.0,4,2.7149390131235123,True,-2.7149390131235123
F196_01059,clean_dirty,heldout_family,train_actor,0,0,1,B,A,none,1.0,4,2.371089905500412,True,-2.371089905500412
F196_01060,clean_dirty,heldout_family,train_actor,0,1,0,B,B,none,1.0,4,-2.611377775669098,False,-2.611377775669098
F196_01061,clean_dirty,heldout_family,train_actor,1,1,1,A,A,none,1.0,4,-2.815926656126976,False,2.815926656126976
F196_01062,clean_dirty,heldout_family,train_actor,1,0,0,A,B,none,1.0,4,2.6746883243322372,True,2.6746883243322372
F196_01063,clean_dirty,heldout_family,train_actor,1,0,0,B,A,none,1.0,4,2.934463396668434,True,2.934463396668434
F196_01064,clean_dirty,heldout_family,train_actor,1,1,1,B,B,none,1.0,4,-2.6135443449020386,False,2.6135443449020386
F196_01065,clean_dirty,heldout_family,train_actor,0,1,0,A,A,none,1.0,4,-2.4039543867111206,False,-2.4039543867111206
F196_01066,clean_dirty,heldout_family,train_actor,0,0,1,A,B,none,1.0,4,2.7506447434425354,True,-2.7506447434425354
F196_01067,clean_dirty,heldout_family,train_actor,0,0,1,B,A,none,1.0,4,2.4202060252428055,True,-2.4202060252428055
F196_01068,clean_dirty,heldout_family,train_actor,0,1,0,B,B,none,1.0,4,-2.652670919895172,False,-2.652670919895172
F196_01069,clean_dirty,heldout_family,train_actor,1,1,1,A,A,none,1.0,4,-2.832097128033638,False,2.832097128033638
F196_01070,clean_dirty,heldout_family,train_actor,1,0,0,A,B,none,1.0,4,2.6885929256677628,True,2.6885929256677628
F196_01071,clean_dirty,heldout_family,train_actor,1,0,0,B,A,none,1.0,4,2.93385511636734,True,2.93385511636734
F196_01072,clean_dirty,heldout_family,train_actor,1,1,1,B,B,none,1.0,4,-2.6286832094192505,False,2.6286832094192505
F196_01073,clean_dirty,heldout_family,heldout_actor,0,1,0,A,A,none,1.0,4,-2.4844807535409927,False,-2.4844807535409927
F196_01074,clean_dirty,heldout_family,heldout_actor,0,0,1,A,B,none,1.0,4,2.853570818901062,True,-2.853570818901062
F196_01075,clean_dirty,heldout_family,heldout_actor,0,0,1,B,A,none,1.0,4,2.495970845222473,True,-2.495970845222473
F196_01076,clean_dirty,heldout_family,heldout_actor,0,1,0,B,B,none,1.0,4,-2.7600870728492737,False,-2.7600870728492737
F196_01077,clean_dirty,heldout_family,heldout_actor,1,1,1,A,A,none,1.0,4,-2.694430261850357,False,2.694430261850357
F196_01078,clean_dirty,heldout_family,heldout_actor,1,0,0,A,B,none,1.0,4,2.536603808403015,True,2.536603808403015
F196_01079,clean_dirty,heldout_family,heldout_actor,1,0,0,B,A,none,1.0,4,2.797151669859886,True,2.797151669859886
F196_01080,clean_dirty,heldout_family,heldout_actor,1,1,1,B,B,none,1.0,4,-2.463141441345215,False,2.463141441345215
F196_01081,clean_dirty,heldout_family,heldout_actor,0,1,0,A,A,none,1.0,4,-2.3767261058092117,False,-2.3767261058092117
F196_01082,clean_dirty,heldout_family,heldout_actor,0,0,1,A,B,none,1.0,4,2.726169690489769,True,-2.726169690489769
F196_01083,clean_dirty,heldout_family,heldout_actor,0,0,1,B,A,none,1.0,4,2.400289550423622,True,-2.400289550423622
F196_01084,clean_dirty,heldout_family,heldout_actor,0,1,0,B,B,none,1.0,4,-2.6485739797353745,False,-2.6485739797353745
F196_01085,clean_dirty,heldout_family,heldout_actor,1,1,1,A,A,none,1.0,4,-2.8922386318445206,False,2.8922386318445206
F196_01086,clean_dirty,heldout_family,heldout_actor,1,0,0,A,B,none,1.0,4,2.7482433915138245,True,2.7482433915138245
F196_01087,clean_dirty,heldout_family,heldout_actor,1,0,0,B,A,none,1.0,4,2.9883985817432404,True,2.9883985817432404
F196_01088,clean_dirty,heldout_family,heldout_actor,1,1,1,B,B,none,1.0,4,-2.6686086654663086,False,2.6686086654663086
F196_01089,clean_dirty,heldout_family,train_actor,0,1,0,A,A,none,1.0,4,-2.534073829650879,False,-2.534073829650879
F196_01090,clean_dirty,heldout_family,train_actor,0,0,1,A,B,none,1.0,4,2.6484242379665375,True,-2.6484242379665375
F196_01091,clean_dirty,heldout_family,train_actor,0,0,1,B,A,none,1.0,4,2.616664856672287,True,-2.616664856672287
F196_01092,clean_dirty,heldout_family,train_actor,0,1,0,B,B,none,1.0,4,-2.6577672362327576,False,-2.6577672362327576
F196_01093,clean_dirty,heldout_family,train_actor,1,1,1,A,A,none,1.0,4,-2.904484748840332,False,2.904484748840332
F196_01094,clean_dirty,heldout_family,train_actor,1,0,0,A,B,none,1.0,4,2.9976464211940765,True,2.9976464211940765
F196_01095,clean_dirty,heldout_family,train_actor,1,0,0,B,A,none,1.0,4,3.132532998919487,True,3.132532998919487
F196_01096,clean_dirty,heldout_family,train_actor,1,1,1,B,B,none,1.0,4,-3.0464687198400497,False,3.0464687198400497
F196_01097,clean_dirty,heldout_family,train_actor,0,1,0,A,A,none,1.0,4,-2.397680312395096,False,-2.397680312395096
F196_01098,clean_dirty,heldout_family,train_actor,0,0,1,A,B,none,1.0,4,2.50015164911747,True,-2.50015164911747
F196_01099,clean_dirty,heldout_family,train_actor,0,0,1,B,A,none,1.0,4,2.487781435251236,True,-2.487781435251236
F196_01100,clean_dirty,heldout_family,train_actor,0,1,0,B,B,none,1.0,4,-2.499178782105446,False,-2.499178782105446
F196_01101,clean_dirty,heldout_family,train_actor,1,1,1,A,A,none,1.0,4,-3.1788805723190308,False,3.1788805723190308
F196_01102,clean_dirty,heldout_family,train_actor,1,0,0,A,B,none,1.0,4,3.2505484521389008,True,3.2505484521389008
F196_01103,clean_dirty,heldout_family,train_actor,1,0,0,B,A,none,1.0,4,3.388138845562935,True,3.388138845562935
F196_01104,clean_dirty,heldout_family,train_actor,1,1,1,B,B,none,1.0,4,-3.2976893484592438,False,3.2976893484592438
F196_01105,clean_dirty,heldout_family,train_actor,0,1,0,A,A,none,1.0,4,-2.3716525733470917,False,-2.3716525733470917
F196_01106,clean_dirty,heldout_family,train_actor,0,0,1,A,B,none,1.0,4,2.481524497270584,True,-2.481524497270584
F196_01107,clean_dirty,heldout_family,train_actor,0,0,1,B,A,none,1.0,4,2.4593506157398224,True,-2.4593506157398224
F196_01108,clean_dirty,heldout_family,train_actor,0,1,0,B,B,none,1.0,4,-2.474990740418434,False,-2.474990740418434
F196_01109,clean_dirty,heldout_family,train_actor,1,1,1,A,A,none,1.0,4,-3.0678606927394867,False,3.0678606927394867
F196_01110,clean_dirty,heldout_family,train_actor,1,0,0,A,B,none,1.0,4,3.154735490679741,True,3.154735490679741
F196_01111,clean_dirty,heldout_family,train_actor,1,0,0,B,A,none,1.0,4,3.2795466631650925,True,3.2795466631650925
F196_01112,clean_dirty,heldout_family,train_actor,1,1,1,B,B,none,1.0,4,-3.2043943852186203,False,3.2043943852186203
F196_01113,clean_dirty,heldout_family,train_actor,0,1,0,A,A,none,1.0,4,-2.5470656752586365,False,-2.5470656752586365
F196_01114,clean_dirty,heldout_family,train_actor,0,0,1,A,B,none,1.0,4,2.6663647890090942,True,-2.6663647890090942
F196_01115,clean_dirty,heldout_family,train_actor,0,0,1,B,A,none,1.0,4,2.6229028403759003,True,-2.6229028403759003
F196_01116,clean_dirty,heldout_family,train_actor,0,1,0,B,B,none,1.0,4,-2.664083555340767,False,-2.664083555340767
F196_01117,clean_dirty,heldout_family,train_actor,1,1,1,A,A,none,1.0,4,-2.9295950531959534,False,2.9295950531959534
F196_01118,clean_dirty,heldout_family,train_actor,1,0,0,A,B,none,1.0,4,3.0191936790943146,True,3.0191936790943146
F196_01119,clean_dirty,heldout_family,train_actor,1,0,0,B,A,none,1.0,4,3.1409378945827484,True,3.1409378945827484
F196_01120,clean_dirty,heldout_family,train_actor,1,1,1,B,B,none,1.0,4,-3.061731234192848,False,3.061731234192848
F196_01121,clean_dirty,heldout_family,train_actor,0,1,0,A,A,none,1.0,4,-2.3948354721069336,False,-2.3948354721069336
F196_01122,clean_dirty,heldout_family,train_actor,0,0,1,A,B,none,1.0,4,2.491272911429405,True,-2.491272911429405
F196_01123,clean_dirty,heldout_family,train_actor,0,0,1,B,A,none,1.0,4,2.4786691069602966,True,-2.4786691069602966
F196_01124,clean_dirty,heldout_family,train_actor,0,1,0,B,B,none,1.0,4,-2.4918004274368286,False,-2.4918004274368286
F196_01125,clean_dirty,heldout_family,train_actor,1,1,1,A,A,none,1.0,4,-3.097460627555847,False,3.097460627555847
F196_01126,clean_dirty,heldout_family,train_actor,1,0,0,A,B,none,1.0,4,3.165409177541733,True,3.165409177541733
F196_01127,clean_dirty,heldout_family,train_actor,1,0,0,B,A,none,1.0,4,3.2957077771425247,True,3.2957077771425247
F196_01128,clean_dirty,heldout_family,train_actor,1,1,1,B,B,none,1.0,4,-3.2057247310876846,False,3.2057247310876846
F196_01129,clean_dirty,heldout_family,train_actor,0,1,0,A,A,none,1.0,4,-2.4329557716846466,False,-2.4329557716846466
F196_01130,clean_dirty,heldout_family,train_actor,0,0,1,A,B,none,1.0,4,2.5626669973134995,True,-2.5626669973134995
F196_01131,clean_dirty,heldout_family,train_actor,0,0,1,B,A,none,1.0,4,2.5243683457374573,True,-2.5243683457374573
F196_01132,clean_dirty,heldout_family,train_actor,0,1,0,B,B,none,1.0,4,-2.5723342299461365,False,-2.5723342299461365
F196_01133,clean_dirty,heldout_family,train_actor,1,1,1,A,A,none,1.0,4,-3.0931185483932495,False,3.0931185483932495
F196_01134,clean_dirty,heldout_family,train_actor,1,0,0,A,B,none,1.0,4,3.177963301539421,True,3.177963301539421
F196_01135,clean_dirty,heldout_family,train_actor,1,0,0,B,A,none,1.0,4,3.2878628075122833,True,3.2878628075122833
F196_01136,clean_dirty,heldout_family,train_actor,1,1,1,B,B,none,1.0,4,-3.2226858735084534,False,3.2226858735084534
F196_01137,clean_dirty,heldout_family,heldout_actor,0,1,0,A,A,none,1.0,4,-2.5669201612472534,False,-2.5669201612472534
F196_01138,clean_dirty,heldout_family,heldout_actor,0,0,1,A,B,none,1.0,4,2.6694221943616867,True,-2.6694221943616867
F196_01139,clean_dirty,heldout_family,heldout_actor,0,0,1,B,A,none,1.0,4,2.6337833404541016,True,-2.6337833404541016
F196_01140,clean_dirty,heldout_family,heldout_actor,0,1,0,B,B,none,1.0,4,-2.6727132946252823,False,-2.6727132946252823
F196_01141,clean_dirty,heldout_family,heldout_actor,1,1,1,A,A,none,1.0,4,-2.879595845937729,False,2.879595845937729
F196_01142,clean_dirty,heldout_family,heldout_actor,1,0,0,A,B,none,1.0,4,2.9799557626247406,True,2.9799557626247406
F196_01143,clean_dirty,heldout_family,heldout_actor,1,0,0,B,A,none,1.0,4,3.104382574558258,True,3.104382574558258
F196_01144,clean_dirty,heldout_family,heldout_actor,1,1,1,B,B,none,1.0,4,-3.040449023246765,False,3.040449023246765
F196_01145,clean_dirty,heldout_family,heldout_actor,0,1,0,A,A,none,1.0,4,-2.4065304696559906,False,-2.4065304696559906
F196_01146,clean_dirty,heldout_family,heldout_actor,0,0,1,A,B,none,1.0,4,2.504422187805176,True,-2.504422187805176
F196_01147,clean_dirty,heldout_family,heldout_actor,0,0,1,B,A,none,1.0,4,2.4725874960422516,True,-2.4725874960422516
F196_01148,clean_dirty,heldout_family,heldout_actor,0,1,0,B,B,none,1.0,4,-2.511294350028038,False,-2.511294350028038
F196_01149,clean_dirty,heldout_family,heldout_actor,1,1,1,A,A,none,1.0,4,-3.129396438598633,False,3.129396438598633
F196_01150,clean_dirty,heldout_family,heldout_actor,1,0,0,A,B,none,1.0,4,3.220220595598221,True,3.220220595598221
F196_01151,clean_dirty,heldout_family,heldout_actor,1,0,0,B,A,none,1.0,4,3.3320771157741547,True,3.3320771157741547
F196_01152,clean_dirty,heldout_family,heldout_actor,1,1,1,B,B,none,1.0,4,-3.2536412179470062,False,3.2536412179470062
F196_01153,clean_dirty,heldout_family,train_actor,0,1,0,A,A,none,1.0,4,-2.7132396399974823,False,-2.7132396399974823
F196_01154,clean_dirty,heldout_family,train_actor,0,0,1,A,B,none,1.0,4,2.678154930472374,True,-2.678154930472374
F196_01155,clean_dirty,heldout_family,train_actor,0,0,1,B,A,none,1.0,4,2.903997480869293,True,-2.903997480869293
F196_01156,clean_dirty,heldout_family,train_actor,0,1,0,B,B,none,1.0,4,-2.7228783518075943,False,-2.7228783518075943
F196_01157,clean_dirty,heldout_family,train_actor,1,1,1,A,A,none,1.0,4,-3.078045889735222,False,3.078045889735222
F196_01158,clean_dirty,heldout_family,train_actor,1,0,0,A,B,none,1.0,4,3.134757936000824,True,3.134757936000824
F196_01159,clean_dirty,heldout_family,train_actor,1,0,0,B,A,none,1.0,4,2.9613581895828247,True,2.9613581895828247
F196_01160,clean_dirty,heldout_family,train_actor,1,1,1,B,B,none,1.0,4,-2.9006892144680023,False,2.9006892144680023
F196_01161,clean_dirty,heldout_family,train_actor,0,1,0,A,A,none,1.0,4,-2.5686245262622833,False,-2.5686245262622833
F196_01162,clean_dirty,heldout_family,train_actor,0,0,1,A,B,none,1.0,4,2.546264737844467,True,-2.546264737844467
F196_01163,clean_dirty,heldout_family,train_actor,0,0,1,B,A,none,1.0,4,2.793018326163292,True,-2.793018326163292
F196_01164,clean_dirty,heldout_family,train_actor,0,1,0,B,B,none,1.0,4,-2.5907544791698456,False,-2.5907544791698456
F196_01165,clean_dirty,heldout_family,train_actor,1,1,1,A,A,none,1.0,4,-3.386574700474739,False,3.386574700474739
F196_01166,clean_dirty,heldout_family,train_actor,1,0,0,A,B,none,1.0,4,3.422632247209549,True,3.422632247209549
F196_01167,clean_dirty,heldout_family,train_actor,1,0,0,B,A,none,1.0,4,3.2346514463424683,True,3.2346514463424683
F196_01168,clean_dirty,heldout_family,train_actor,1,1,1,B,B,none,1.0,4,-3.180929258465767,False,3.180929258465767
F196_01169,clean_dirty,heldout_family,train_actor,0,1,0,A,A,none,1.0,4,-2.567251294851303,False,-2.567251294851303
F196_01170,clean_dirty,heldout_family,train_actor,0,0,1,A,B,none,1.0,4,2.509388953447342,True,-2.509388953447342
F196_01171,clean_dirty,heldout_family,train_actor,0,0,1,B,A,none,1.0,4,2.766031265258789,True,-2.766031265258789
F196_01172,clean_dirty,heldout_family,train_actor,0,1,0,B,B,none,1.0,4,-2.5350065529346466,False,-2.5350065529346466
F196_01173,clean_dirty,heldout_family,train_actor,1,1,1,A,A,none,1.0,4,-3.1846466958522797,False,3.1846466958522797
F196_01174,clean_dirty,heldout_family,train_actor,1,0,0,A,B,none,1.0,4,3.2769318521022797,True,3.2769318521022797
F196_01175,clean_dirty,heldout_family,train_actor,1,0,0,B,A,none,1.0,4,3.0607433170080185,True,3.0607433170080185
F196_01176,clean_dirty,heldout_family,train_actor,1,1,1,B,B,none,1.0,4,-3.0339697897434235,False,3.0339697897434235
F196_01177,clean_dirty,heldout_family,train_actor,0,1,0,A,A,none,1.0,4,-2.7353944182395935,False,-2.7353944182395935
F196_01178,clean_dirty,heldout_family,train_actor,0,0,1,A,B,none,1.0,4,2.7003144323825836,True,-2.7003144323825836
F196_01179,clean_dirty,heldout_family,train_actor,0,0,1,B,A,none,1.0,4,2.91318042576313,True,-2.91318042576313
F196_01180,clean_dirty,heldout_family,train_actor,0,1,0,B,B,none,1.0,4,-2.7337236553430557,False,-2.7337236553430557
F196_01181,clean_dirty,heldout_family,train_actor,1,1,1,A,A,none,1.0,4,-3.0898026823997498,False,3.0898026823997498
