i,item_id,split_key,source,target_kind,target_text,target_id,nll_base,top1_base,rank_base,nll_true,top1_true,rank_true,nll_decoy,top1_decoy,rank_decoy,changed_frac_bin,changed_target_frac_proxy,content_overlap,decoy_pair_id,decoy_row_index,doc_id,example_id,overlap_bin,pair_id,rewrite_words,row_index,source_words,target_char_end,target_char_start,target_id_in_decoy_source,target_id_in_source
39,edit:frontier_consolidation_fwcompact_medium_037995:0:0-2,row:2716,compact_edit,function,In,565,4.597341060638428,0,12,4.117543697357178,0,4,5.559128761291504,0,15,0p2_0p4,0.34615384615384615,0.5384615384615384,frontier_consolidation_fwcompact_medium_026364,1909,10010,752716,0p4_0p6,frontier_consolidation_fwcompact_medium_037995,26,2716,48,2,0,True,False
40,edit:frontier_consolidation_fwcompact_medium_007012:0:85-92,row:995,compact_edit,content,rations,13742,4.013678550720215,0,7,6.400143623352051,0,70,5.050324440002441,0,25,0p4_0p6,0.5238095238095238,0.4117647058823529,frontier_consolidation_fwcompact_medium_050287,1261,14327,750995,0p4_0p6,frontier_consolidation_fwcompact_medium_007012,18,995,29,92,85,False,False
41,edit:frontier_consolidation_fwcompact_medium_061405:0:0-1,row:1367,compact_edit,content,E,367,11.064865112304688,0,3887,10.836148262023926,0,3101,10.021463394165039,0,2678,0p4_0p6,0.4,0.4444444444444444,frontier_consolidation_fwcompact_medium_000944,1156,12931,751367,0p4_0p6,frontier_consolidation_fwcompact_medium_061405,20,1367,31,1,0,False,False
42,edit:frontier_consolidation_fwcompact_medium_022587:0:50-52,row:1215,compact_edit,content,-l,2648,8.830464363098145,0,678,11.385953903198242,0,2769,8.296760559082031,0,525,0p2_0p4,0.36363636363636365,0.5833333333333334,frontier_consolidation_fwcompact_medium_036761,1035,10377,751215,0p4_0p6,frontier_consolidation_fwcompact_medium_022587,11,1215,15,52,50,False,False
43,edit:frontier_consolidation_fwcompact_medium_052825:0:45-48,row:1827,compact_edit,content,its,1194,6.073808193206787,0,11,9.343683242797852,0,505,5.297771453857422,0,29,0p4_0p6,0.42857142857142855,0.5,frontier_consolidation_fwcompact_medium_005431,1492,1001,751827,0p4_0p6,frontier_consolidation_fwcompact_medium_052825,7,1827,12,48,45,False,False
44,edit:frontier_consolidation_fwcompact_medium_008899:0:24-26,row:2853,compact_edit,content,'s,249,9.631003379821777,0,539,11.637721061706543,0,65,9.297126770019531,0,316,0p2_0p4,0.26666666666666666,0.6153846153846154,frontier_consolidation_fwcompact_medium_051019,1803,13085,752853,0p6_0p8,frontier_consolidation_fwcompact_medium_008899,15,2853,25,26,24,False,False
45,edit:frontier_consolidation_fwcompact_medium_006567:0:11-16,row:2767,compact_edit,content,-year,4586,6.296286582946777,0,74,4.73951530456543,0,4,6.802440643310547,0,120,ge0p6,0.6,0.75,frontier_consolidation_fwcompact_medium_045840,1735,2595,752767,0p6_0p8,frontier_consolidation_fwcompact_medium_006567,9,2767,13,16,11,False,False
46,edit:frontier_consolidation_fwcompact_medium_004205:0:3-7,row:1953,compact_edit,content,vent,1039,9.874934196472168,0,2010,11.107702255249023,0,2959,8.52126693725586,0,638,0p4_0p6,0.5714285714285714,0.625,frontier_consolidation_fwcompact_medium_035762,997,9084,751953,0p6_0p8,frontier_consolidation_fwcompact_medium_004205,7,1953,14,7,3,False,False
47,edit:frontier_consolidation_fwcompact_medium_030959:0:20-26,row:1946,compact_edit,content,-sized,16169,11.926420211791992,0,1211,10.586198806762695,0,597,10.441651344299316,0,599,lt0p2,0.16666666666666666,0.7368421052631579,frontier_consolidation_fwcompact_medium_007126,2201,7574,751946,0p6_0p8,frontier_consolidation_fwcompact_medium_030959,18,1946,28,26,20,False,False
48,edit:frontier_consolidation_fwcompact_medium_020719:0:20-24,row:557,compact_edit,content,ores,7565,6.695445537567139,0,78,5.968147277832031,0,62,6.293949127197266,0,62,0p4_0p6,0.4666666666666667,0.4,frontier_consolidation_fwcompact_medium_009944,513,12187,750557,0p4_0p6,frontier_consolidation_fwcompact_medium_020719,15,557,21,24,20,False,False
49,edit:frontier_consolidation_fwcompact_medium_055989:0:0-4,row:162,compact_edit,content,Like,3033,8.565642356872559,0,441,9.85382080078125,0,833,10.15353012084961,0,1562,0p2_0p4,0.23076923076923078,0.4444444444444444,frontier_consolidation_fwcompact_medium_046914,220,2561,750162,0p4_0p6,frontier_consolidation_fwcompact_medium_055989,13,162,24,4,0,False,False
50,edit:frontier_consolidation_fwcompact_medium_016040:0:0-3,row:1549,compact_edit,content,Med,3362,11.14912223815918,0,4922,11.329048156738281,0,3297,12.550387382507324,0,7385,0p2_0p4,0.375,0.5,frontier_consolidation_fwcompact_medium_008352,1275,7395,751549,0p4_0p6,frontier_consolidation_fwcompact_medium_016040,8,1549,13,3,0,False,False
51,edit:frontier_consolidation_fwcompact_medium_034504:0:86-90,row:1231,compact_edit,content,ally,456,5.547466278076172,0,31,5.365488529205322,0,28,5.958014011383057,0,50,0p4_0p6,0.5882352941176471,0.38461538461538464,frontier_consolidation_fwcompact_medium_016066,178,12664,751231,lt0p4,frontier_consolidation_fwcompact_medium_034504,17,1231,33,90,86,False,False
52,edit:frontier_consolidation_fwcompact_medium_053556:0:2-5,row:2469,compact_edit,content,ove,562,10.332315444946289,0,1559,10.697159767150879,0,592,9.682387351989746,0,921,0p2_0p4,0.25,0.4444444444444444,frontier_consolidation_fwcompact_medium_016547,1944,16870,752469,0p4_0p6,frontier_consolidation_fwcompact_medium_053556,15,2469,26,5,2,False,False
53,edit:frontier_consolidation_fwcompact_medium_011245:0:3-6,row:828,compact_edit,content,ure,537,9.276312828063965,0,378,7.9508376121521,0,192,8.511544227600098,0,262,0p4_0p6,0.4666666666666667,0.5,frontier_consolidation_fwcompact_medium_061319,727,8456,750828,0p4_0p6,frontier_consolidation_fwcompact_medium_011245,15,828,20,6,3,False,False
54,edit:frontier_consolidation_fwcompact_medium_041247:0:12-15,row:116,compact_edit,content,ays,2251,5.463438987731934,0,28,4.122735977172852,0,4,5.252826690673828,0,19,0p2_0p4,0.2,0.5454545454545454,frontier_consolidation_fwcompact_medium_045173,187,963,750116,0p4_0p6,frontier_consolidation_fwcompact_medium_041247,14,116,18,15,12,False,False
55,edit:frontier_consolidation_fwcompact_medium_014789:0:128-134,row:577,compact_edit,content,stream,7942,7.385848045349121,0,195,9.890120506286621,0,87,6.665719985961914,0,135,0p2_0p4,0.2916666666666667,0.52,frontier_consolidation_fwcompact_medium_000778,1514,12573,750577,0p4_0p6,frontier_consolidation_fwcompact_medium_014789,24,577,34,134,128,False,False
56,edit:frontier_consolidation_fwcompact_medium_029203:0:60-64,row:1639,compact_edit,content,seen,13649,7.762585639953613,0,378,5.932548999786377,0,67,7.91564416885376,0,454,0p2_0p4,0.2857142857142857,0.5833333333333334,frontier_consolidation_fwcompact_medium_055908,1347,2068,751639,0p4_0p6,frontier_consolidation_fwcompact_medium_029203,14,1639,27,64,60,False,False
57,edit:frontier_consolidation_fwcompact_medium_003642:0:14-16,row:2212,compact_edit,content,'s,249,3.491976499557495,0,8,4.42912483215332,0,6,4.4840826988220215,0,13,0p2_0p4,0.23529411764705882,0.5384615384615384,frontier_consolidation_fwcompact_medium_008790,1124,16149,752212,0p4_0p6,frontier_consolidation_fwcompact_medium_003642,17,2212,22,16,14,False,False
58,edit:frontier_consolidation_fwcompact_medium_017392:0:0-3,row:2862,compact_edit,function,The,308,4.859525680541992,0,9,5.969911575317383,0,9,5.320621967315674,0,11,0p4_0p6,0.42857142857142855,0.44,frontier_consolidation_fwcompact_medium_039509,2951,15522,752862,0p4_0p6,frontier_consolidation_fwcompact_medium_017392,21,2862,36,3,0,False,False
59,edit:frontier_consolidation_fwcompact_medium_049672:0:83-87,row:1253,compact_edit,content,ives,2799,7.65000057220459,0,374,7.9280104637146,0,231,6.395779609680176,0,93,0p4_0p6,0.5384615384615384,0.4117647058823529,frontier_consolidation_fwcompact_medium_060029,1072,15939,751253,0p4_0p6,frontier_consolidation_fwcompact_medium_049672,13,1253,27,87,83,False,False
60,edit:frontier_consolidation_fwcompact_medium_018829:0:15-18,row:79,compact_edit,content,ces,1204,13.60934066772461,0,5475,17.492033004760742,0,8141,14.007173538208008,0,5370,0p4_0p6,0.4,0.5333333333333333,frontier_consolidation_fwcompact_medium_004245,162,7656,750079,0p4_0p6,frontier_consolidation_fwcompact_medium_018829,10,79,17,18,15,False,False
61,edit:frontier_consolidation_fwcompact_medium_026047:0:7-9,row:1171,compact_edit,content,'s,249,4.429874420166016,0,6,4.026230335235596,0,11,4.548417091369629,0,9,0p2_0p4,0.2727272727272727,0.5555555555555556,frontier_consolidation_fwcompact_medium_054362,1013,12141,751171,0p4_0p6,frontier_consolidation_fwcompact_medium_026047,11,1171,16,9,7,False,False
62,edit:frontier_consolidation_fwcompact_medium_010084:0:72-75,row:2638,compact_edit,content,ils,3286,6.708947658538818,0,142,8.388973236083984,0,22,5.76468563079834,0,51,0p2_0p4,0.23529411764705882,0.45454545454545453,frontier_consolidation_fwcompact_medium_039819,2199,9381,752638,0p4_0p6,frontier_consolidation_fwcompact_medium_010084,17,2638,35,75,72,False,False
63,edit:frontier_consolidation_fwcompact_medium_038922:0:0-1,row:1683,compact_edit,function,A,263,6.541945934295654,0,49,9.155441284179688,0,1129,7.8828630447387695,0,105,0p2_0p4,0.25,0.5,frontier_consolidation_fwcompact_medium_032130,1403,5828,751683,0p4_0p6,frontier_consolidation_fwcompact_medium_038922,12,1683,16,1,0,True,False
64,edit:frontier_consolidation_fwcompact_medium_042868:0:44-45,row:1854,compact_edit,content,s,87,3.940126895904541,0,7,3.8602211475372314,0,10,3.6575424671173096,0,4,0p4_0p6,0.4,0.6666666666666666,frontier_consolidation_fwcompact_medium_037330,888,1000,751854,0p6_0p8,frontier_consolidation_fwcompact_medium_042868,15,1854,21,45,44,False,False
65,edit:frontier_consolidation_fwcompact_medium_023535:0:50-52,row:388,compact_edit,content,er,202,6.514585018157959,0,158,5.710907936096191,0,57,6.195370197296143,0,102,0p4_0p6,0.5,0.4166666666666667,frontier_consolidation_fwcompact_medium_022670,962,16512,750388,0p4_0p6,frontier_consolidation_fwcompact_medium_023535,18,388,41,52,50,False,False
66,edit:frontier_consolidation_fwcompact_medium_021734:0:2-5,row:2276,compact_edit,content,ban,4703,9.010160446166992,0,1350,10.934714317321777,0,400,11.964054107666016,0,4530,0p4_0p6,0.5,0.42857142857142855,frontier_consolidation_fwcompact_medium_058159,1818,6529,752276,0p4_0p6,frontier_consolidation_fwcompact_medium_021734,12,2276,28,5,2,False,False
67,edit:frontier_consolidation_fwcompact_medium_017210:0:38-42,row:2327,compact_edit,content,ning,967,8.051126480102539,0,222,6.727079391479492,0,111,7.8270263671875,0,150,0p2_0p4,0.2727272727272727,0.5833333333333334,frontier_consolidation_fwcompact_medium_016019,1859,7,752327,0p4_0p6,frontier_consolidation_fwcompact_medium_017210,11,2327,20,42,38,False,False
68,edit:frontier_consolidation_fwcompact_medium_047126:0:21-23,row:2377,compact_edit,content,ks,787,8.519844055175781,0,620,6.128750801086426,0,70,6.297764301300049,0,91,lt0p2,0.15,0.5294117647058824,frontier_consolidation_fwcompact_medium_044323,2360,7046,752377,0p4_0p6,frontier_consolidation_fwcompact_medium_047126,20,2377,29,23,21,False,False
69,edit:frontier_consolidation_fwcompact_medium_048103:0:0-4,row:1375,compact_edit,content,Dire,6428,10.001482009887695,0,2099,10.893020629882812,0,2949,10.563262939453125,0,2771,0p4_0p6,0.4,0.625,frontier_consolidation_fwcompact_medium_023401,288,1620,751375,0p6_0p8,frontier_consolidation_fwcompact_medium_048103,15,1375,23,4,0,False,False
70,edit:frontier_consolidation_fwcompact_medium_020778:0:44-50,row:2603,compact_edit,content,ations,895,3.4208765029907227,0,3,5.785837650299072,0,8,3.5158638954162598,0,2,0p2_0p4,0.2777777777777778,0.38461538461538464,frontier_consolidation_fwcompact_medium_010979,152,2985,752603,lt0p4,frontier_consolidation_fwcompact_medium_020778,18,2603,24,50,44,False,False
71,edit:frontier_consolidation_fwcompact_medium_034422:0:52-58,row:2151,compact_edit,content,itched,3548,5.14711332321167,0,18,2.972581624984741,1,1,3.2550556659698486,0,2,0p2_0p4,0.35714285714285715,0.6666666666666666,frontier_consolidation_fwcompact_medium_049294,1228,14376,752151,0p6_0p8,frontier_consolidation_fwcompact_medium_034422,14,2151,22,58,52,False,False
72,edit:frontier_consolidation_fwcompact_medium_055261:0:67-71,row:1624,compact_edit,content,orse,8779,12.94161319732666,0,6438,13.015756607055664,0,4922,12.822797775268555,0,6083,0p2_0p4,0.25,0.6111111111111112,frontier_consolidation_fwcompact_medium_019179,671,12447,751624,0p6_0p8,frontier_consolidation_fwcompact_medium_055261,16,1624,29,71,67,False,False
73,edit:frontier_consolidation_fwcompact_medium_017389:0:0-3,row:1147,compact_edit,content,Air,4384,12.712322235107422,0,8717,11.970927238464355,0,4704,14.05341911315918,0,9349,0p2_0p4,0.36363636363636365,0.46153846153846156,frontier_consolidation_fwcompact_medium_009313,998,15522,751147,0p4_0p6,frontier_consolidation_fwcompact_medium_017389,11,1147,18,3,0,False,False
