role,seed,overlap_bin,overlap_class,n_pairs,mean_delta,median_delta,se_pair_delta,frac_positive
R,43022,high,overlap,17,3.769937917379376,2.7618643258077404,0.7182800676251043,1.0
R,43022,low,ALL,498,1.2117911610441086,0.908007264447709,0.06853304427934859,0.8132530120481928
R,43022,low,nonoverlap,495,0.007564061777728923,0.0029855618874231973,0.047409927965437956,0.503030303030303
R,43022,low,overlap,440,2.7359414364057364,2.2422128543257713,0.13028125779486766,0.8931818181818182
R,43022,partial,ALL,217,1.6299077840622074,1.3248059873779614,0.1218896494128141,0.847926267281106
R,43022,partial,nonoverlap,216,-0.17589755659350942,-0.03160342496509354,0.10904739836143543,0.48148148148148145
R,43022,partial,overlap,206,3.596896411086249,3.087226254244645,0.2120048830337463,0.941747572815534
R,43122,ALL,ALL,732,1.4210958314408761,1.0933767755826316,0.06518677960706744,0.8183060109289617
R,43122,ALL,nonoverlap,727,-0.16227993924504802,-0.08499077955881755,0.051224832325428515,0.4580467675378267
R,43122,ALL,overlap,663,3.3023770420933967,2.714538335800171,0.12301233477468666,0.9155354449472096
R,43122,high,ALL,17,1.909640716216291,1.3760867516199748,0.44963436050851047,0.8823529411764706
R,43122,high,nonoverlap,16,-0.3903612465752909,-0.135199174284935,0.3984154427670743,0.375
R,43122,high,overlap,17,3.9680725024907324,3.716331754216096,0.7273105903881085,1.0
R,43122,low,ALL,498,1.2900831254173901,0.9211733986934025,0.07728441896788579,0.8052208835341366
R,43122,low,nonoverlap,495,-0.09837725795005833,-0.07335609859890409,0.05526125467514316,0.4626262626262626
R,43122,low,overlap,440,3.035263819167581,2.3080130060358597,0.1483862875420559,0.9045454545454545
R,43122,partial,ALL,217,1.6834878340146735,1.4917866985003152,0.1227584396681039,0.8433179723502304
R,43122,partial,nonoverlap,216,-0.2918286722253073,-0.09185638030370077,0.11259403401959801,0.4537037037037037
R,43122,partial,overlap,206,3.8179741064652624,3.377436677614848,0.22468060995073602,0.9320388349514563
R,43222,ALL,ALL,732,1.3188650827059019,1.0069048175840483,0.05967423236545089,0.8032786885245902
R,43222,ALL,nonoverlap,727,-0.1272110588755786,-0.09660388032595317,0.04552805739813791,0.4607977991746905
R,43222,ALL,overlap,663,3.0464019722099303,2.4087490240732827,0.11395150154379427,0.9095022624434389
R,43222,high,ALL,17,1.8188797032743618,1.3665332396825154,0.38089705999508155,0.8823529411764706
R,43222,high,nonoverlap,16,-0.06468931300332768,0.029180489480495453,0.23386573658027252,0.5625
R,43222,high,overlap,17,3.3970590852127938,2.358686031152805,0.6148943109404431,1.0
R,43222,low,ALL,498,1.2099894977642411,0.9192957718235751,0.0713505134265955,0.7811244979919679
R,43222,low,nonoverlap,495,-0.06737538885709847,-0.09660388032595317,0.04647925144192959,0.45252525252525255
R,43222,low,overlap,440,2.830212046670336,2.095999677975972,0.13766644403578787,0.8886363636363637
R,43222,partial,ALL,217,1.5295553718823216,1.1643022006998458,0.1113453308813727,0.847926267281106
R,43222,partial,nonoverlap,216,-0.26896570976957707,-0.10552088473923504,0.10818165490471526,0.4722222222222222
R,43222,partial,overlap,206,3.479229138794264,3.153671081662954,0.20981579120623808,0.9466019417475728
V,43022,ALL,ALL,732,1.321501684271362,0.9973859047361959,0.05824962010964327,0.8101092896174863
V,43022,ALL,nonoverlap,727,-0.05189601798663828,-0.02935229738553365,0.04480918843012088,0.4828060522696011
V,43022,ALL,overlap,663,2.9568730418250024,2.3777626554171243,0.1081817462380805,0.9125188536953243
V,43022,high,ALL,17,1.7475942441717314,1.559711866080761,0.32461133091587807,1.0
V,43022,high,nonoverlap,16,-0.1043860013790739,0.042748623838027314,0.2263025917393731,0.5625
V,43022,high,overlap,17,3.3468636425685294,3.2424565137674413,0.6142447497801399,1.0
V,43022,low,ALL,498,1.2098638930863237,0.898136834303538,0.07142324282516593,0.7811244979919679
V,43022,low,nonoverlap,495,0.01403931858902327,-0.016759978400336373,0.04867332108939987,0.4868686868686869
V,43022,low,overlap,440,2.716894324620212,2.095475325981776,0.13104917263009708,0.8977272727272727
V,43022,partial,ALL,217,1.5443221750171807,1.226683994134267,0.10329196451083128,0.8617511520737328
V,43022,partial,nonoverlap,216,-0.19910968405457116,-0.05195838212966919,0.09937427578624665,0.4675925925925926
V,43022,partial,overlap,206,3.437265252298148,3.0630201498667398,0.19628918669734882,0.9368932038834952
V,43122,ALL,ALL,732,1.3857469521379953,1.0709509517376623,0.06390604039121232,0.8046448087431693
V,43122,ALL,nonoverlap,727,-0.06776139346609268,-0.01809615393479665,0.04637965523000516,0.4938101788170564
V,43122,ALL,overlap,663,3.1126857962923484,2.444070339202881,0.12023260348106694,0.9095022624434389
V,43122,high,ALL,17,1.8383106683838193,0.9933792079488437,0.47787311026793106,0.9411764705882353
V,43122,high,nonoverlap,16,0.15481067850487312,-0.17773683943475288,0.28739792194100156,0.4375
V,43122,high,overlap,17,3.2468435901998594,1.8111444314320881,0.722958332509934,0.9411764705882353
V,43122,low,ALL,498,1.2592128841990324,0.9266335815191269,0.07698078725363484,0.7771084337349398
V,43122,low,nonoverlap,495,-0.0129856003167716,0.0074823300043741865,0.049882567425259754,0.509090909090909
V,43122,low,overlap,440,2.8562078982702754,2.221335331598918,0.14637143712454964,0.8954545454545455
V,43122,partial,ALL,217,1.6406795911123013,1.3679543783267338,0.11539694114717412,0.8571428571428571
V,43122,partial,nonoverlap,216,-0.2097760729126176,-0.0771648014585177,0.10346332103649425,0.46296296296296297
V,43122,partial,overlap,206,3.649431391599555,2.9963776984562474,0.2152903355779497,0.9368932038834952
V,43222,ALL,ALL,732,1.3653623313949557,1.0969287911430001,0.06274281112194205,0.8060109289617486
V,43222,ALL,nonoverlap,727,-0.1269702184264254,-0.035207112630208336,0.04753604946730201,0.47730398899587345
V,43222,ALL,overlap,663,3.136534207185306,2.5011439323425293,0.11746473048001295,0.9110105580693816
V,43222,high,ALL,17,1.6780505660549263,1.1441866176901385,0.40252292961168146,0.8823529411764706
V,43222,high,nonoverlap,16,0.08567269697474936,-0.03233812004327774,0.2486996453004866,0.5
V,43222,high,overlap,17,3.0068725820245024,2.014001884187261,0.6123563316478002,1.0
V,43222,low,ALL,498,1.2929281053712243,0.9989920059839885,0.07570735643448251,0.7951807228915663
V,43222,low,nonoverlap,495,-0.02872612427378661,-0.01006015141805013,0.051964922082662506,0.49292929292929294
V,43222,low,overlap,440,2.9522382365415316,2.2749141228074827,0.1414863616527794,0.8977272727272727
V,43222,partial,ALL,217,1.5070975598308944,1.318886732061704,0.11589078149465025,0.8248847926267281
V,43222,partial,nonoverlap,216,-0.36786426125964294,-0.20518755912780762,0.10339535973499941,0.4398148148148148
V,43222,partial,overlap,206,3.540876317432853,3.209807662914197,0.2188409158243372,0.9320388349514563
