seed,overlap_bin,overlap_class,contrast,n_pairs,mean_delta_diff,median_delta_diff,se_pair_delta_diff,frac_positive
43122,low,ALL,VminusR,498,-0.030870241218357488,-0.023438229536016847,0.043013441263908325,0.4939759036144578
43122,low,nonoverlap,VminusC,495,-0.0012332637385098213,0.014877994855244957,0.041685899397464185,0.509090909090909
43122,low,nonoverlap,RminusC,495,-0.08662492137179655,-0.07296464840571093,0.05010752174529273,0.46060606060606063
43122,low,nonoverlap,VminusR,495,0.08539165763328671,0.06927898195054796,0.04495946040436905,0.5515151515151515
43122,low,overlap,VminusC,440,-0.04620691328080175,-0.006039164960384369,0.07634657893477687,0.4909090909090909
43122,low,overlap,RminusC,440,0.13284900761650395,0.1105415622393291,0.08401633453448357,0.5613636363636364
43122,low,overlap,VminusR,440,-0.17905592089730568,-0.07477103848941626,0.07963642316418143,0.4590909090909091
43122,partial,ALL,VminusC,217,0.03039173073961728,0.02187698714745534,0.06537562208278774,0.5345622119815668
43122,partial,ALL,RminusC,217,0.07319997364198952,-0.0025715073570608538,0.07034328688146109,0.4976958525345622
43122,partial,ALL,VminusR,217,-0.04280824290237224,0.08183934539556503,0.0626647787553454,0.5483870967741935
43122,partial,nonoverlap,VminusC,216,-0.009030407098210083,0.0023072262605031337,0.08710723653228136,0.5
43122,partial,nonoverlap,RminusC,216,-0.09108300641089978,-0.06689778622239828,0.09029048025070976,0.4675925925925926
43122,partial,nonoverlap,VminusR,216,0.08205259931268968,0.06399373710155487,0.06856107578126512,0.5185185185185185
43122,partial,overlap,VminusC,206,0.0683108959949807,-0.0048065269365906715,0.1000844625565026,0.49029126213592233
43122,partial,overlap,RminusC,206,0.2368536108606879,0.10002954242130113,0.10921822242689479,0.558252427184466
43122,partial,overlap,VminusR,206,-0.16854271486570713,-0.033318838647877026,0.099299093991515,0.47572815533980584
43222,ALL,ALL,VminusC,732,0.022407344627795995,0.024068925684938902,0.03532910323154492,0.5150273224043715
43222,ALL,ALL,RminusC,732,-0.024089904061257824,0.01842648287614168,0.03591834950887763,0.505464480874317
43222,ALL,ALL,VminusR,732,0.04649724868905381,0.03180406987667084,0.03469411667561689,0.5136612021857924
43222,ALL,nonoverlap,VminusC,727,-0.02263192957610629,0.0023580019672711783,0.036894625313108685,0.5006877579092159
43222,ALL,nonoverlap,RminusC,727,-0.022872770025259507,0.003892291647692522,0.03725497362487752,0.5034387895460798
43222,ALL,nonoverlap,VminusR,727,0.00024084044915320042,-0.035910199085871376,0.037521516775745646,0.48005502063273725
43222,ALL,overlap,VminusC,663,0.05574115811929698,0.05719401190678308,0.06255110551233854,0.5369532428355958
43222,ALL,overlap,RminusC,663,-0.03439107685607918,0.008031929843127728,0.06469175407716078,0.5037707390648567
43222,ALL,overlap,VminusR,663,0.09013223497537617,0.03731371586521467,0.06261473795192785,0.530920060331825
43222,high,ALL,VminusC,17,-0.1880906854107142,0.23909022907416028,0.24593940778392354,0.6470588235294118
43222,high,ALL,RminusC,17,-0.04726154819127855,0.18111761830126244,0.2023601962548633,0.6470588235294118
43222,high,ALL,VminusR,17,-0.14082913721943557,-0.05574796659251047,0.19628641860849502,0.47058823529411764
43222,high,nonoverlap,VminusC,16,0.20769133851960453,0.37749270213923103,0.21046857020495713,0.625
43222,high,nonoverlap,RminusC,16,0.057329328541527474,0.07771062913040319,0.21650303558952494,0.5
43222,high,nonoverlap,VminusR,16,0.15036200997807705,-0.026309670880436883,0.20206466722311958,0.5
43222,high,overlap,VminusC,17,-0.6365365079749417,-0.05368836844960845,0.43710648022054716,0.47058823529411764
43222,high,overlap,RminusC,17,-0.24635000478664987,-0.08929625898599625,0.26239901846273045,0.4117647058823529
43222,high,overlap,VminusR,17,-0.39018650318829184,0.1368974385162196,0.3642692454760331,0.5882352941176471
43222,low,ALL,VminusC,498,0.028673161760132376,0.030447415619467677,0.041383228158589996,0.5220883534136547
43222,low,ALL,RminusC,498,-0.054265445846850655,-0.03711924225919776,0.04343812351397269,0.4859437751004016
43222,low,ALL,VminusR,498,0.082938607606983,0.07534851816793298,0.04249096742845759,0.5441767068273092
43222,low,nonoverlap,VminusC,495,-0.013074369428263344,-0.00016394505898157524,0.04107496784521373,0.498989898989899
43222,low,nonoverlap,RminusC,495,-0.051723634011575204,-0.03951724370320639,0.042712310488078206,0.47878787878787876
43222,low,nonoverlap,VminusR,495,0.03864926458331187,-0.010873476664225334,0.04189937533492926,0.4909090909090909
43222,low,overlap,VminusC,440,0.05673141648276765,0.06041581990818151,0.07493043396493387,0.5363636363636364
43222,low,overlap,RminusC,440,-0.06529477338842818,-0.018435782132049383,0.08140040468866894,0.4909090909090909
43222,low,overlap,VminusR,440,0.12202618987119586,0.05953303972880053,0.079793969325719,0.5431818181818182
43222,partial,ALL,VminusC,217,0.024518356511441863,-0.050506303707758604,0.06924834428515614,0.48847926267281105
43222,partial,ALL,RminusC,217,0.04697616856286927,0.07206999013821286,0.0667705256516427,0.5391705069124424
43222,partial,ALL,VminusR,217,-0.022457812051427394,-0.09486786151925722,0.06247093354149761,0.4470046082949309
43222,partial,nonoverlap,VminusC,216,-0.06159565440348421,-0.004087209701538086,0.07931193698343317,0.49537037037037035
43222,partial,nonoverlap,RminusC,216,0.03730289708658164,0.1325430969397227,0.07653001404960447,0.5601851851851852
43222,partial,nonoverlap,VminusR,216,-0.09889855149006586,-0.12696185118208328,0.08022431507215301,0.4537037037037037
43222,partial,overlap,VminusC,206,0.11075575347694239,0.06185426035275077,0.11578527687441405,0.5436893203883495
43222,partial,overlap,RminusC,206,0.04910857483835417,0.04685019775449003,0.11220723952960623,0.5388349514563107
43222,partial,overlap,VminusR,206,0.061647178638588186,0.00261697567475494,0.10272762781657438,0.5
