column,subgroup,n_items,gain_82_84,gain_82_84_per_item,loss_82_84,loss_82_84_per_item,gain_84_86,gain_84_86_per_item,loss_84_86,loss_84_86_per_item,transient_gain_84_only_vs82_86,transient_gain_84_only_vs82_86_per_item,persistent_gain_82_to_84_through_86,persistent_gain_82_to_84_through_86_per_item,persistent_gain_82_to_84_through_92,persistent_gain_82_to_84_through_92_per_item,recovered_loss_84_only_vs82_86,recovered_loss_84_only_vs82_86_per_item,net_82_to_84,net_84_to_86,mean_flip_count_late80_92,frac_any_flip_late80_92,frac_82_84_gains_lost_by_86,frac_82_84_gains_persist_through_92
EWoK,social-properties,328,5,0.01524390243902439,10,0.03048780487804878,7,0.021341463414634148,7,0.021341463414634148,0,0.0,5,0.01524390243902439,4,0.012195121951219513,4,0.012195121951219513,-5,0,0.2621951219512195,0.15548780487804878,0.0,0.8
EWoK,physical-dynamics,120,3,0.025,5,0.041666666666666664,2,0.016666666666666666,1,0.008333333333333333,0,0.0,3,0.025,1,0.008333333333333333,2,0.016666666666666666,-2,1,0.2916666666666667,0.15833333333333333,0.0,0.3333333333333333
EWoK,physical-relations,818,14,0.017114914425427872,12,0.014669926650366748,17,0.02078239608801956,14,0.017114914425427872,4,0.004889975550122249,10,0.012224938875305624,6,0.007334963325183374,5,0.006112469437652812,2,3,0.24083129584352078,0.11858190709046455,0.2857142857142857,0.42857142857142855
EWoK,quantitative-properties,314,14,0.044585987261146494,12,0.03821656050955414,7,0.022292993630573247,9,0.028662420382165606,4,0.012738853503184714,10,0.03184713375796178,8,0.025477707006369428,2,0.006369426751592357,2,-2,0.3057324840764331,0.17197452229299362,0.2857142857142857,0.5714285714285714
EWoK,social-interactions,294,13,0.04421768707482993,11,0.03741496598639456,7,0.023809523809523808,11,0.03741496598639456,5,0.017006802721088437,8,0.027210884353741496,6,0.02040816326530612,5,0.017006802721088437,2,-4,0.32653061224489793,0.18027210884353742,0.38461538461538464,0.46153846153846156
EWoK,material-properties,170,7,0.041176470588235294,6,0.03529411764705882,6,0.03529411764705882,7,0.041176470588235294,4,0.023529411764705882,3,0.01764705882352941,1,0.0058823529411764705,3,0.01764705882352941,1,-1,0.3235294117647059,0.14705882352941177,0.5714285714285714,0.14285714285714285
EWoK,spatial-relations,490,14,0.02857142857142857,13,0.026530612244897958,20,0.04081632653061224,16,0.0326530612244898,8,0.0163265306122449,6,0.012244897959183673,5,0.01020408163265306,7,0.014285714285714285,1,4,0.2938775510204082,0.1510204081632653,0.5714285714285714,0.35714285714285715
EWoK,physical-interactions,556,19,0.0341726618705036,19,0.0341726618705036,18,0.03237410071942446,19,0.0341726618705036,10,0.017985611510791366,9,0.01618705035971223,5,0.008992805755395683,9,0.01618705035971223,0,-1,0.2823741007194245,0.1564748201438849,0.5263157894736842,0.2631578947368421
Entity,move_contents,2227,50,0.0224517287831163,32,0.014369106421194431,40,0.01796138302649304,46,0.020655590480466997,24,0.010776829815895825,26,0.011674898967220475,8,0.003592276605298608,12,0.005388414907947912,18,-6,0.19398293668612482,0.10282891782667265,0.48,0.16
Entity,ambiref,2315,37,0.015982721382289417,45,0.019438444924406047,38,0.016414686825053995,33,0.014254859611231102,15,0.0064794816414686825,22,0.009503239740820735,12,0.005183585313174946,19,0.008207343412526998,-8,5,0.1654427645788337,0.08639308855291576,0.40540540540540543,0.32432432432432434
Entity,regular,2238,47,0.02100089365504915,46,0.020554066130473638,41,0.01831992850759607,30,0.013404825737265416,18,0.00804289544235925,29,0.012957998212689902,17,0.007596067917783735,20,0.008936550491510277,1,11,0.1867739052725648,0.09785522788203753,0.3829787234042553,0.3617021276595745
GlobalPIQA,global_piqa_nonparallel,100,4,0.04,0,0.0,0,0.0,3,0.03,0,0.0,4,0.04,2,0.02,0,0.0,4,-3,0.17,0.12,0.0,0.5
GlobalPIQA,spatial,22,0,0.0,2,0.09090909090909091,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-2,0,0.18181818181818182,0.13636363636363635,,
GlobalPIQA,time,4,0,0.0,1,0.25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-1,0,0.5,0.25,,
GlobalPIQA,counting,7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,,
GlobalPIQA,object_properties,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,,
GlobalPIQA,object_properties_interactions,36,1,0.027777777777777776,1,0.027777777777777776,2,0.05555555555555555,1,0.027777777777777776,1,0.027777777777777776,0,0.0,0,0.0,0,0.0,0,1,0.2222222222222222,0.1111111111111111,1.0,0.0
GlobalPIQA,"object_properties_interactions, affordances",21,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.047619047619047616,0.047619047619047616,,
GlobalPIQA,"object_properties_interactions, spatial",3,0,0.0,0,0.0,0,0.0,2,0.6666666666666666,0,0.0,0,0.0,0,0.0,0,0.0,0,-2,1.0,0.6666666666666666,,
GlobalPIQA,"spatial, counting",1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,,
GlobalPIQA,"time, counting",7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,,
Supplement,subject_aux_inversion,3867,30,0.007757951900698216,41,0.01060253426428756,45,0.011636927851047323,24,0.0062063615205585725,10,0.002585983966899405,20,0.00517196793379881,9,0.0023273855702094647,18,0.004654771140418929,-11,21,0.10188776829583657,0.056374450478407036,0.3333333333333333,0.3
Supplement,hypernym,842,13,0.015439429928741092,17,0.020190023752969122,16,0.019002375296912115,12,0.014251781472684086,7,0.00831353919239905,6,0.007125890736342043,5,0.0059382422802850355,5,0.0059382422802850355,-4,4,0.16033254156769597,0.08907363420427554,0.5384615384615384,0.38461538461538464
Supplement,qa_congruence_tricky,165,3,0.01818181818181818,1,0.006060606060606061,1,0.006060606060606061,5,0.030303030303030304,0,0.0,3,0.01818181818181818,2,0.012121212121212121,0,0.0,2,-4,0.14545454545454545,0.08484848484848485,0.0,0.6666666666666666
Supplement,turn_taking,280,4,0.014285714285714285,2,0.007142857142857143,2,0.007142857142857143,5,0.017857142857142856,3,0.010714285714285714,1,0.0035714285714285713,1,0.0035714285714285713,1,0.0035714285714285713,2,-3,0.08571428571428572,0.03571428571428571,0.75,0.25
Supplement,qa_congruence_easy,64,1,0.015625,0,0.0,0,0.0,1,0.015625,0,0.0,1,0.015625,1,0.015625,0,0.0,1,-1,0.140625,0.0625,0.0,1.0
