arm,step,stage_length,rows_or_chunks,charged_words,active_tokens,visible_words,hidden_words,hidden_tokens_total,boundary_hidden_tokens,pad_slots,masked_tokens,masked_per_active,active_per_word,log_loss,log_lr,cumulative_word_exposure
row256_baseline_log_order,55,256,256,39652,54461,39183,469,860,35,11075,8286,0.15214557206074072,1.3734742257641481,6.7838111517080035,0.0003642384105960265,2173741
row256_baseline_log_order,56,256,256,39748,54824,39152,596,1268,40,10712,8021,0.14630453815847075,1.3792895240012075,6.63938950291448,0.0003708609271523179,2213489
row256_baseline_log_order,57,256,256,39403,54657,38759,644,1119,36,10879,8196,0.14995334540863933,1.3871278836636804,6.636541285533449,0.00037748344370860926,2252892
row256_baseline_log_order,58,256,256,39700,54796,39096,604,1098,36,10740,8211,0.14984670413898823,1.3802518891687658,6.686903973587421,0.00038410596026490067,2292592
row256_baseline_log_order,59,256,256,39582,54448,38932,650,1188,39,11088,8064,0.14810461357625623,1.3755747562023142,6.7523572074752005,0.0003907284768211921,2332174
row256_baseline_log_order,60,256,256,39435,53909,38859,576,1301,35,11627,8104,0.15032740358752714,1.3670343603397996,6.753904130298788,0.00039735099337748344,2371609
row256_baseline_log_order,61,256,256,39381,53772,38843,538,994,26,11764,8123,0.1510637506508964,1.3654300297097586,6.664402687474746,0.00040397350993377486,2410990
row256_baseline_log_order,62,256,256,39546,54709,38843,703,1356,27,10827,8191,0.14971942459193185,1.3834268952612148,6.563634009926532,0.0004105960264900662,2450536
row256_baseline_log_order,63,256,256,39760,54557,39315,445,837,25,10979,8211,0.15050314350129224,1.3721579476861168,6.536237031123392,0.0004172185430463576,2490296
row256_baseline_log_order,64,256,256,40012,55552,39462,550,976,36,9984,8234,0.1482214861751152,1.3883834849545136,6.450078863642418,0.00042384105960264904,2530308
row256_baseline_log_order,65,256,256,39743,54883,39156,587,1022,29,10653,8178,0.14900788951041305,1.3809475882545355,6.444007398039066,0.0004304635761589404,2570051
row256_baseline_log_order,66,256,256,39392,53530,38958,434,818,28,12006,8094,0.1512049318139361,1.3589053614947197,6.479484882005974,0.0004370860927152318,2609443
row256_baseline_log_order,67,256,256,39233,53378,38705,528,996,32,12158,7959,0.14910637341226723,1.360538322330691,6.5621295025606585,0.00044370860927152317,2648676
row256_baseline_log_order,68,256,256,39003,53448,38546,457,877,27,12088,8070,0.1509878760664571,1.3703561264518114,6.601082540769707,0.0004503311258278146,2687679
row256_baseline_log_order,69,256,256,39488,53021,39114,374,693,21,12515,7960,0.1501291940929066,1.3427117098865478,6.661247969452459,0.000456953642384106,2727167
row256_baseline_log_order,70,256,256,39555,54026,39015,540,943,19,11510,8302,0.15366675304483027,1.3658450259132853,6.46031363496893,0.00046357615894039735,2766722
row256_baseline_log_order,71,256,256,39652,54012,39293,359,631,21,11524,8141,0.15072576464489373,1.3621507111873297,6.646240712559321,0.00047019867549668876,2806374
row256_baseline_log_order,72,256,256,39682,53907,39334,348,617,27,11629,8200,0.15211382566271542,1.3584748752583036,6.525495722584608,0.0004768211920529801,2846056
row256_baseline_log_order,73,256,256,39574,54606,39031,543,949,27,10930,8283,0.15168662784309417,1.3798453530095518,6.442873452145251,0.00048344370860927153,2885630
row256_baseline_log_order,74,256,256,39636,54245,39208,428,716,23,11291,7978,0.14707346299198082,1.368579069532748,6.497748661949749,0.0004900662251655629,2925266
row256_baseline_log_order,75,256,256,39572,54465,39059,513,895,23,11071,8210,0.15073900670155146,1.3763519660365915,6.383988107862485,0.0004966887417218543,2964838
row256_baseline_log_order,76,256,256,39682,54881,38976,706,1252,19,10655,8170,0.14886754978954464,1.3830200090721234,6.3774507827828835,0.0005033112582781457,3004520
row256_baseline_log_order,77,256,256,38893,54021,38319,574,983,34,11515,8124,0.15038596101516077,1.3889645951713676,6.333655230462521,0.0005099337748344371,3043413
row256_baseline_log_order,78,256,256,39867,54802,39259,608,1175,39,10734,8365,0.15264041458340938,1.3746206135400205,6.432398824412453,0.0005165562913907284,3083280
row256_baseline_log_order,79,256,256,39468,53954,38957,511,882,20,11582,8176,0.15153649405048744,1.3670315192054323,6.345814693347347,0.0005231788079470198,3122748
row256_baseline_log_order,80,256,256,39295,53671,38765,530,966,33,11865,7986,0.14879543887760616,1.3658480722738262,6.465530229934379,0.0005298013245033113,3162043
row256_baseline_log_order,81,256,256,39329,53317,38888,441,745,28,12219,8282,0.1553350713656057,1.3556663022197362,6.512217181225786,0.0005364238410596027,3201372
row256_baseline_log_order,82,256,256,39443,54000,38778,665,1218,28,11536,7966,0.14751851851851852,1.3690642192530995,6.405903018721078,0.0005430463576158941,3240815
row256_baseline_log_order,83,256,256,39585,54856,39042,543,911,34,10680,8576,0.1563365903456322,1.3857774409498547,6.291884831027754,0.0005496688741721855,3280400
row256_baseline_log_order,84,256,256,39519,54116,38991,528,902,29,11420,8078,0.14927193436321975,1.3693666337710975,6.3275193619120085,0.0005562913907284768,3319919
row256_baseline_log_order,85,256,256,39560,54742,39161,399,661,19,10794,8057,0.1471813232983815,1.3837714863498483,6.3838452684445794,0.0005629139072847682,3359479
row256_baseline_log_order,86,256,256,39754,53927,39287,467,744,22,11609,8113,0.15044411890147794,1.3565175831362881,6.38180221730179,0.0005695364238410596,3399233
row256_baseline_log_order,87,256,256,39387,53843,38965,422,785,33,11693,8262,0.15344613041621008,1.3670246528042247,6.351653978744393,0.0005761589403973509,3438620
row256_baseline_log_order,88,256,256,39313,54051,38744,569,1062,24,11485,8112,0.15008047954709441,1.37488871365706,6.265788074075823,0.0005827814569536423,3477933
row256_baseline_log_order,89,256,256,39780,54833,39410,370,635,18,10703,8124,0.1481589553735889,1.3784062342885872,6.375142779155413,0.0005894039735099338,3517713
row256_baseline_log_order,90,256,256,39416,53953,38894,522,981,28,11583,7853,0.14555261060552704,1.368809620458697,6.220616362314383,0.0005960264900662253,3557129
row256_baseline_log_order,91,256,256,39628,54336,39160,468,843,22,11200,8284,0.1524587750294464,1.3711517109114768,6.316244869229875,0.0006026490066225166,3596757
row256_baseline_log_order,92,256,256,39657,53417,39195,462,1030,23,12119,7950,0.14882902446786603,1.3469753133116473,6.32699235640232,0.000609271523178808,3636414
row256_baseline_log_order,93,256,256,39627,55309,38992,635,1125,34,10227,8285,0.14979478927480158,1.3957402780932193,6.252632790498152,0.0006158940397350994,3676041
row256_baseline_log_order,94,256,256,39529,54088,38991,538,956,23,11448,8130,0.15031060494009763,1.3683118722962888,6.231715790665311,0.0006225165562913907,3715570
row256_baseline_log_order,95,256,256,39430,53733,38865,565,1013,24,11803,8132,0.15134088921147154,1.3627441034745118,6.293727670581366,0.0006291390728476821,3755000
row256_baseline_log_order,96,256,256,39582,54531,38999,583,1029,31,11005,8159,0.14962131631549028,1.3776716689404274,6.229327875224526,0.0006357615894039735,3794582
row256_baseline_log_order,97,256,256,39084,53299,38649,435,1039,34,12237,7931,0.14880204131409594,1.3637038174188927,6.421290474481503,0.0006423841059602648,3833666
row256_baseline_log_order,98,256,256,39529,53938,39008,521,934,31,11598,8139,0.15089547257962846,1.3645171899112045,6.213793288637604,0.0006490066225165562,3873195
row256_baseline_log_order,99,256,256,39332,53519,38771,561,995,23,12017,8042,0.1502643920850539,1.3606986677514492,6.291525983952729,0.0006556291390728477,3912527
row256_baseline_log_order,100,256,256,39571,53106,39276,295,528,19,12430,7868,0.1481565171543705,1.3420434156326604,6.340369470906124,0.0006622516556291392,3952098
row256_baseline_log_order,101,256,256,39476,54849,38771,705,1242,28,10687,8177,0.14908202519644842,1.3894264869794306,6.377387746703848,0.0006688741721854305,3991574
row256_baseline_log_order,102,256,256,39326,53809,38949,377,690,17,11727,8131,0.15110855061420952,1.3682805268778926,6.130074890611972,0.0006754966887417219,4030900
row256_baseline_log_order,103,256,256,39734,54044,39345,389,701,21,11492,8067,0.14926726371105026,1.3601449640106709,6.251942285067443,0.0006821192052980133,4070634
row256_baseline_log_order,104,256,256,39598,53889,39050,548,1166,29,11647,8085,0.1500306184935701,1.360902065760897,6.28635791484854,0.0006887417218543046,4110232
row256_baseline_log_order,105,256,256,39650,55011,39044,606,1133,35,10525,8181,0.1487157114031739,1.3874148802017654,6.088956900380844,0.000695364238410596,4149882
row256_baseline_log_order,106,256,256,39493,54477,38924,569,1053,23,11059,8122,0.14909044183783982,1.3794090091915023,6.102364119741313,0.0007019867549668874,4189375
row256_baseline_log_order,107,256,256,39935,55077,39345,590,1083,16,10459,8174,0.14841040724803456,1.3791661449856016,6.2532620152314085,0.0007086092715231787,4229310
row256_baseline_log_order,108,256,256,39304,53898,38707,597,1051,19,11638,8260,0.15325243979368436,1.3713108080602483,6.227883142709155,0.0007152317880794702,4268614
row256_baseline_log_order,109,256,256,39767,55231,39239,528,906,35,10305,8385,0.15181691441400663,1.3888651394372218,6.297383294534882,0.0007218543046357617,4308381
row256_baseline_log_order,110,256,256,39648,54210,39163,485,861,23,11326,8038,0.1482752259730677,1.3672820823244551,6.282973879336955,0.000728476821192053,4348029
row256_baseline_log_order,111,256,256,39386,53727,39008,378,682,35,11809,7898,0.14700243825264764,1.3641141522368354,6.199597082490648,0.0007350993377483444,4387415
row256_baseline_log_order,112,256,256,39575,54633,38937,638,1145,32,10903,8328,0.15243534127725,1.3804927353126974,6.149693129500097,0.0007417218543046358,4426990
row256_baseline_log_order,113,256,256,39582,54049,39125,457,761,16,11487,8108,0.15001202612444264,1.3654944166540346,6.224527036961394,0.0007483443708609272,4466572
row256_baseline_log_order,114,256,256,39340,53963,38791,549,1113,29,11573,8215,0.1522339380686767,1.3717081850533808,6.156493028430625,0.0007549668874172185,4505912
row256_baseline_log_order,115,256,256,40066,55219,39668,398,678,24,10317,8379,0.1517412484833119,1.3782009684021366,6.057672193474637,0.0007615894039735099,4545978
row256_baseline_log_order,116,256,256,39641,54542,39278,363,654,28,10994,7968,0.14608925231931355,1.3758986907494766,6.136910648769643,0.0007682119205298013,4585619
row256_baseline_log_order,117,256,256,39477,54350,38936,541,918,31,11186,8142,0.1498068077276909,1.3767510195810218,6.163640994458724,0.0007748344370860926,4625096
row256_baseline_log_order,118,256,256,39285,53710,38730,555,1001,25,11826,7851,0.14617389685347235,1.3671884943362607,6.121824407255614,0.0007814569536423842,4664381
row256_baseline_log_order,119,256,256,39517,53927,38933,584,1005,37,11609,8187,0.15181634431731786,1.3646531872358731,6.0940726283008075,0.0007880794701986756,4703898
row256_baseline_log_order,120,256,256,39556,54658,39033,523,920,26,10878,8158,0.14925536975374146,1.3817878450803924,6.125533560965393,0.0007947019867549669,4743454
row256_baseline_log_order,121,256,256,39361,53722,38756,605,1308,26,11814,7991,0.14874725438367895,1.364853535225223,6.148243927863136,0.0008013245033112583,4782815
row256_baseline_log_order,122,256,256,39635,54966,39104,531,954,22,10570,8256,0.15020194301932102,1.3868045919010976,5.994560323771118,0.0008079470198675497,4822450
row256_baseline_log_order,123,256,256,39748,54259,39319,429,721,23,11277,8237,0.15180891649311634,1.3650749723256517,6.161875535898508,0.0008145695364238411,4862198
row256_baseline_log_order,124,256,256,39621,54479,39110,511,902,34,11057,8171,0.1499843976578131,1.3750031548926074,6.236757277391952,0.0008211920529801324,4901819
row256_baseline_log_order,125,256,256,39479,54240,38921,558,1062,25,11296,8192,0.15103244837758112,1.373894982142405,6.038441653014161,0.0008278145695364238,4941298
row256_baseline_log_order,126,256,256,39664,54221,39103,561,1123,35,11315,8111,0.1495914866933476,1.3670078660750302,6.117159740740531,0.0008344370860927153,4980962
row256_baseline_log_order,127,256,256,39638,54776,39024,614,1085,30,10760,8455,0.15435592230173797,1.3819062515767697,6.002066504863647,0.0008410596026490066,5020600
row256_baseline_log_order,128,256,256,39753,54533,39329,424,747,15,11003,8123,0.148955678213192,1.3717958393077252,6.02211372267946,0.0008476821192052981,5060353
row256_baseline_log_order,129,256,256,39620,54775,39029,591,1044,35,10761,8183,0.1493929712460064,1.3825088339222615,5.948306310763937,0.0008543046357615895,5099973
row256_baseline_log_order,130,256,256,39561,53754,39135,426,752,43,11782,8151,0.15163522714588681,1.3587624175324182,5.939128769203105,0.0008609271523178808,5139534
row256_baseline_log_order,131,256,256,39612,54373,39024,588,1028,24,11163,8272,0.15213433137770585,1.3726396041603555,5.943969512585284,0.0008675496688741722,5179146
row256_baseline_log_order,132,256,256,39576,54000,39211,365,674,21,11536,8204,0.15192592592592594,1.364463311097635,5.8678481832822325,0.0008741721854304636,5218722
row256_baseline_log_order,133,256,256,39017,52462,38538,479,851,29,13074,7881,0.15022301856581907,1.3445933823717866,6.0086588284158875,0.0008807947019867549,5257739
row256_baseline_log_order,134,256,256,39216,53954,38738,478,890,26,11582,8273,0.1533343218297068,1.3758159934720522,5.8559179591913555,0.0008874172185430463,5296955
row256_baseline_log_order,135,256,256,39307,53305,38901,406,765,22,12231,7881,0.14784729387487103,1.356119775103671,5.942426187135048,0.0008940397350993377,5336262
row256_baseline_log_order,136,256,256,39119,52481,38730,389,726,20,13055,7915,0.15081648596634972,1.3415731485978681,5.8512484775791425,0.0009006622516556292,5375381
row256_baseline_log_order,137,256,256,39702,54385,39232,470,849,14,11151,7978,0.14669486071527074,1.3698302352526321,5.792901697120561,0.0009072847682119206,5415083
row256_baseline_log_order,138,256,256,39480,53845,38969,511,906,25,11691,8133,0.15104466524282664,1.363855116514691,5.748001805709676,0.000913907284768212,5454563
row256_baseline_log_order,139,256,256,39462,53700,38965,497,950,20,11836,7968,0.14837988826815643,1.3608027976280979,5.652737618510024,0.0009205298013245034,5494025
row256_baseline_log_order,140,256,256,39704,54593,39077,627,1198,24,10943,8263,0.1513564010037917,1.375,5.503816994255368,0.0009271523178807947,5533729
row256_baseline_log_order,141,256,256,39618,54420,39072,546,912,23,11116,8131,0.1494119808893789,1.373618052400424,5.43146826821842,0.0009337748344370861,5573347
row256_baseline_log_order,142,256,256,39681,54011,39347,334,637,20,11525,8143,0.15076558478828386,1.3611300118444596,5.636849552762607,0.0009403973509933775,5613028
row256_baseline_log_order,143,256,256,39847,55184,39184,663,1394,59,10352,8333,0.1510039141780226,1.3848972319120636,5.3960679929310515,0.0009470198675496688,5652875
row256_baseline_log_order,144,256,256,39399,53731,38941,458,821,32,11805,7979,0.14849900429919413,1.3637655778065434,5.48511043953289,0.0009536423841059602,5692274
row256_baseline_log_order,145,256,256,39737,54618,39272,465,836,40,10918,8048,0.14735069024863598,1.3744872536930317,5.477532968547187,0.0009602649006622517,5732011
row256_baseline_log_order,146,256,256,39587,54175,39097,490,871,16,11361,8406,0.15516382095062298,1.3685048121858185,5.27483196687392,0.0009668874172185431,5771598
row256_baseline_log_order,147,256,256,39318,54130,38805,513,956,16,11406,8232,0.15207832994642528,1.3767231293555116,5.25336196546536,0.0009735099337748345,5810916
row256_baseline_log_order,148,256,256,39709,54855,39155,554,973,34,10681,8297,0.1512533041655273,1.3814248658994184,5.311240663237639,0.0009801324503311258,5850625
row256_baseline_log_order,149,256,256,39437,54011,38753,684,1248,31,11525,8307,0.15380200329562496,1.3695514364682913,5.191643313895469,0.0009867549668874172,5890062
row256_baseline_log_order,150,256,256,39909,55540,39277,632,1124,23,9996,8313,0.1496759092545913,1.3916660402415495,5.239818518735091,0.0009933774834437086,5929971
row256_baseline_log_order,151,256,256,39752,55100,39105,647,1122,18,10436,8136,0.14765880217785843,1.3860937814449588,5.278261403770221,0.001,5969723
row256_baseline_log_order,152,256,256,39926,54938,39468,458,943,27,10598,8203,0.14931377188831046,1.3759955918449132,5.2690146195805685,0.0009999995636690794,6009649
row256_baseline_log_order,153,256,256,39761,54108,39351,410,716,19,11428,8212,0.15177053300805796,1.3608309650159705,5.366864378894762,0.0009999982546770793,6049410
row256_baseline_log_order,154,256,256,39705,54379,39345,360,611,35,11157,8380,0.15410360617150004,1.3695756201989673,5.169614116843959,0.0009999960730262842,6089115
row256_baseline_log_order,155,256,256,39607,54302,39013,594,1056,28,11234,8123,0.14958933372619793,1.3710202741939557,5.090082118564912,0.0009999930187205017,6128722
row256_baseline_log_order,156,256,256,39512,53744,39042,470,806,20,11792,7898,0.14695593926763917,1.3601943713302287,5.219747949051054,0.0009999890917650627,6168234
row256_baseline_log_order,157,256,256,39469,53971,38991,478,846,20,11565,8040,0.1489688907005614,1.3674276014087006,5.281327020232357,0.000999984292166821,6207703
row256_baseline_log_order,158,256,256,39283,53161,38784,499,946,20,12375,8101,0.15238614773988451,1.3532825904335208,5.262988750823647,0.0009999786199341536,6246986
row256_baseline_log_order,159,256,256,39654,53767,39178,476,897,28,11769,8023,0.1492179217735786,1.3559035658445555,5.166443688902462,0.00099997207507696,6286640
row256_baseline_log_order,160,256,256,40049,54746,39640,409,739,20,10790,8485,0.15498849230994044,1.3669754550675424,5.10039313945197,0.0009999646576066635,6326689
row256_baseline_log_order,161,256,256,39478,54192,38982,496,859,33,11344,8094,0.14935783879539416,1.3727139166117839,5.096544077227314,0.0009999563675362096,6366167
row256_baseline_log_order,162,256,256,39497,53598,39006,491,861,24,11938,7973,0.14875555058024553,1.3570144567941869,5.105699259230383,0.0009999472048800673,6405664
row256_baseline_log_order,163,256,256,39695,54607,39095,600,1058,34,10929,8274,0.15151903602102296,1.3756644413654113,4.877947319525003,0.0009999371696542286,6445359
row256_baseline_log_order,164,256,256,39657,55385,39084,573,962,31,10151,8396,0.15159339171255756,1.3966008523085458,4.959743331647476,0.000999926261876208,6485016
row256_baseline_log_order,165,256,256,39696,54484,39037,659,1394,16,11052,8183,0.15019088172674547,1.3725312374042724,4.984321419656327,0.000999914481565043,6524712
row256_baseline_log_order,166,256,256,39659,54395,39124,535,961,46,11141,8280,0.1522198731501057,1.3715676139085706,4.859790790081024,0.0009999018287412944,6564371
row256_baseline_log_order,167,256,256,39338,53685,38721,617,1130,33,11851,7930,0.14771351401695074,1.3647109664955006,5.191890999768752,0.0009998883034270452,6603709
row256_baseline_log_order,168,256,256,39904,55553,39358,546,984,41,9983,8114,0.14605871870106024,1.3921661988773055,4.8850029719002235,0.0009998739056459017,6643613
row256_baseline_log_order,169,256,256,39712,54231,39338,374,697,24,11305,8136,0.15002489351109144,1.3656073730862208,5.0132404892845495,0.0009998586354229924,6683325
row256_baseline_log_order,170,256,256,39289,53190,38991,298,520,22,12346,8095,0.15219026132731717,1.353814044643539,5.0276597272768075,0.000999842492784969,6722614
row256_baseline_log_order,171,256,256,39563,53345,39073,490,853,21,12191,7961,0.14923610460211828,1.3483557869726766,4.915589295863926,0.0009998254777600056,6762177
row256_baseline_log_order,172,256,256,39654,53988,39174,480,863,27,11548,8173,0.15138549307253463,1.3614767740959297,4.883328266160135,0.0009998075903777986,6801831
row256_baseline_log_order,173,256,256,39346,53481,38954,392,713,24,12055,7979,0.1491931714066678,1.3592487165150207,4.926636017449055,0.0009997888306695678,6841177
row256_baseline_log_order,174,256,256,39435,54566,38922,513,902,29,10970,8316,0.1524025950225415,1.383694687460378,4.995805093334981,0.0009997691986680546,6880612
row256_baseline_log_order,175,256,256,39710,54274,39220,490,1135,51,11262,8227,0.15158270995320042,1.366759002770083,4.810187438662524,0.0009997486944075234,6920322
row256_baseline_log_order,176,256,256,39905,55391,39299,606,1077,30,10145,8362,0.15096315285876766,1.3880716702167648,4.588781181233719,0.0009997273179237604,6960227
