arm,checkpoint,group,n,accuracy_pct,stale_pick_pct,mean_relevant_updates,mean_total_ops,mean_prefix_words
R,chck_90M,rel_ge1,5239,20.633708723038747,51.666666666666664,2.5831265508684864,8.527772475663294,129.96087039511357
R,chck_90M,rel_ge2,3916,22.34422880490296,51.840168243953734,3.1179775280898876,9.274770173646578,136.0349846782431
R,chck_90M,rel_ge3,2650,23.660377358490567,50.63985374771481,3.6520754716981134,9.80188679245283,140.93735849056603
R,chck_90M,rel_updates_0,1541,40.23361453601557,nan,0.0,3.388059701492537,88.73329007138221
R,chck_90M,rel_updates_1,1323,15.570672713529856,33.333333333333336,1.0,6.316704459561603,111.98185941043084
R,chck_90M,rel_updates_2,1266,19.589257503949447,53.46534653465346,2.0,8.171406003159557,125.77330173775671
R,chck_90M,rel_updates_3,1230,21.382113821138212,51.260504201680675,3.0,9.44308943089431,137.81463414634146
R,chck_90M,rel_updates_4,1112,25.809352517985612,53.08641975308642,4.0,10.02158273381295,142.931654676259
R,chck_90M,rel_updates_5,308,25.0,39.39393939393939,5.0,10.441558441558442,146.2077922077922
V,chck_100M,ALL,6780,25.84070796460177,39.67213114754098,1.9960176991150442,7.359587020648967,120.59041297935103
V,chck_100M,rel_ge1,5239,22.466119488451994,39.67213114754098,2.5831265508684864,8.527772475663294,129.96087039511357
V,chck_100M,rel_ge2,3916,24.5658835546476,39.31718061674009,3.1179775280898876,9.274770173646578,136.0349846782431
V,chck_100M,rel_ge3,2650,25.69811320754717,38.752362948960304,3.6520754716981134,9.80188679245283,140.93735849056603
V,chck_100M,rel_updates_0,1541,37.3134328358209,nan,0.0,3.388059701492537,88.73329007138221
V,chck_100M,rel_updates_1,1323,16.250944822373395,85.71428571428571,1.0,6.316704459561603,111.98185941043084
V,chck_100M,rel_updates_2,1266,22.195892575039494,40.105540897097626,2.0,8.171406003159557,125.77330173775671
V,chck_100M,rel_updates_3,1230,23.577235772357724,41.666666666666664,3.0,9.44308943089431,137.81463414634146
V,chck_100M,rel_updates_4,1112,27.51798561151079,36.440677966101696,4.0,10.02158273381295,142.931654676259
V,chck_100M,rel_updates_5,308,27.5974025974026,36.92307692307692,5.0,10.441558441558442,146.2077922077922
V,chck_80M,ALL,6780,25.870206489675518,40.21978021978022,1.9960176991150442,7.359587020648967,120.59041297935103
V,chck_80M,rel_ge1,5239,22.866959343386142,40.21978021978022,2.5831265508684864,8.527772475663294,129.96087039511357
V,chck_80M,rel_ge2,3916,24.948927477017364,40.02217294900222,3.1179775280898876,9.274770173646578,136.0349846782431
V,chck_80M,rel_ge3,2650,25.88679245283019,39.056603773584904,3.6520754716981134,9.80188679245283,140.93735849056603
V,chck_80M,rel_updates_0,1541,36.08046722907203,nan,0.0,3.388059701492537,88.73329007138221
V,chck_80M,rel_updates_1,1323,16.70445956160242,62.5,1.0,6.316704459561603,111.98185941043084
V,chck_80M,rel_updates_2,1266,22.98578199052133,41.39784946236559,2.0,8.171406003159557,125.77330173775671
V,chck_80M,rel_updates_3,1230,24.146341463414632,40.43478260869565,3.0,9.44308943089431,137.81463414634146
V,chck_80M,rel_updates_4,1112,27.607913669064747,39.224137931034484,4.0,10.02158273381295,142.931654676259
V,chck_80M,rel_updates_5,308,26.623376623376622,33.8235294117647,5.0,10.441558441558442,146.2077922077922
V,chck_90M,ALL,6780,26.002949852507374,39.539978094194964,1.9960176991150442,7.359587020648967,120.59041297935103
V,chck_90M,rel_ge1,5239,22.69517083412865,39.539978094194964,2.5831265508684864,8.527772475663294,129.96087039511357
V,chck_90M,rel_ge2,3916,24.69356486210419,39.29359823399559,3.1179775280898876,9.274770173646578,136.0349846782431
V,chck_90M,rel_ge3,2650,25.962264150943398,38.89943074003795,3.6520754716981134,9.80188679245283,140.93735849056603
V,chck_90M,rel_updates_0,1541,37.248539909149905,nan,0.0,3.388059701492537,88.73329007138221
V,chck_90M,rel_updates_1,1323,16.780045351473923,71.42857142857143,1.0,6.316704459561603,111.98185941043084
V,chck_90M,rel_updates_2,1266,22.03791469194313,39.84168865435356,2.0,8.171406003159557,125.77330173775671
V,chck_90M,rel_updates_3,1230,23.983739837398375,41.150442477876105,3.0,9.44308943089431,137.81463414634146
V,chck_90M,rel_updates_4,1112,27.697841726618705,37.71186440677966,4.0,10.02158273381295,142.931654676259
V,chck_90M,rel_updates_5,308,27.5974025974026,35.38461538461539,5.0,10.441558441558442,146.2077922077922
