i,item_id,split_key,source,target_kind,target_text,target_id,nll_base,top1_base,rank_base,nll_true,top1_true,rank_true,nll_decoy,top1_decoy,rank_decoy,changed_frac_bin,changed_target_frac_proxy,content_overlap,decoy_pair_id,decoy_row_index,doc_id,example_id,overlap_bin,pair_id,rewrite_words,row_index,source_words,target_char_end,target_char_start
15,edit:frontier_consolidation_fwcompact_medium_039007:0:42-53,row:2850,compact_edit,content,backgrounds,1071,10.615694999694824,0,2404,8.198911666870117,0,358,10.159553527832031,0,2555,0p4_0p6,0.5,0.4166666666666667,frontier_consolidation_fwcompact_medium_003547,2193,6156,752850,0p4_0p6,frontier_consolidation_fwcompact_medium_039007,12,2850,24,53,42
16,edit:frontier_consolidation_fwcompact_medium_014843:0:97-108,row:1954,compact_edit,content,reinforcing,2613,8.472243309020996,0,521,11.6061372756958,0,6183,11.375083923339844,0,5887,0p4_0p6,0.4117647058823529,0.55,frontier_consolidation_fwcompact_medium_060787,2856,11483,751954,0p4_0p6,frontier_consolidation_fwcompact_medium_014843,17,1954,33,108,97
17,edit:frontier_consolidation_fwcompact_medium_040187:0:142-147,row:1163,compact_edit,content,maths,87,6.712725639343262,0,92,0.620858371257782,1,1,6.24428653717041,0,57,0p2_0p4,0.34782608695652173,0.6470588235294118,frontier_consolidation_fwcompact_medium_024795,478,13328,751163,0p6_0p8,frontier_consolidation_fwcompact_medium_040187,23,1163,31,147,142
18,edit:frontier_consolidation_fwcompact_medium_007012:0:10-20,row:995,compact_edit,content,replicates,243,7.09191370010376,0,119,5.397229194641113,0,26,9.857137680053711,0,2176,0p4_0p6,0.5238095238095238,0.4117647058823529,frontier_consolidation_fwcompact_medium_002367,1146,14327,750995,0p4_0p6,frontier_consolidation_fwcompact_medium_007012,18,995,29,20,10
19,edit:frontier_consolidation_fwcompact_medium_052825:0:42-48,row:1827,compact_edit,content,traits,1194,7.444104194641113,0,282,8.388128280639648,0,837,9.607744216918945,0,2149,0p4_0p6,0.42857142857142855,0.5,frontier_consolidation_fwcompact_medium_006271,1475,1001,751827,0p4_0p6,frontier_consolidation_fwcompact_medium_052825,7,1827,12,48,42
20,edit:frontier_consolidation_fwcompact_medium_006567:0:6-7,row:2767,compact_edit,number,4,24,1.9889980554580688,0,4,0.1081591248512268,1,1,1.728778600692749,0,2,ge0p6,0.6,0.75,frontier_consolidation_fwcompact_medium_056436,1709,2595,752767,0p6_0p8,frontier_consolidation_fwcompact_medium_006567,9,2767,13,7,6
21,edit:frontier_consolidation_fwcompact_medium_048166:0:75-82,row:215,compact_edit,content,tainted,1365,11.897245407104492,0,1767,4.268659591674805,0,8,8.652889251708984,0,283,0p2_0p4,0.26666666666666666,0.5714285714285714,frontier_consolidation_fwcompact_medium_027891,228,8595,750215,0p4_0p6,frontier_consolidation_fwcompact_medium_048166,15,215,21,82,75
22,edit:frontier_consolidation_fwcompact_medium_030959:0:112-122,row:1946,compact_edit,content,coastlines,11857,7.617993354797363,0,230,7.487961769104004,0,217,8.109848022460938,0,383,lt0p2,0.16666666666666666,0.7368421052631579,frontier_consolidation_fwcompact_medium_052685,2039,7574,751946,0p6_0p8,frontier_consolidation_fwcompact_medium_030959,18,1946,28,122,112
23,edit:frontier_consolidation_fwcompact_medium_029203:0:28-38,row:1639,compact_edit,content,copy-drawn,2031,10.068758964538574,0,223,9.998126029968262,0,2546,9.757359504699707,0,2323,0p2_0p4,0.2857142857142857,0.5833333333333334,frontier_consolidation_fwcompact_medium_050546,1326,2068,751639,0p4_0p6,frontier_consolidation_fwcompact_medium_029203,14,1639,27,38,28
24,edit:frontier_consolidation_fwcompact_medium_003642:0:7-16,row:2212,compact_edit,content,eclipse's,14500,11.500493049621582,0,1550,0.3392397463321686,1,1,10.38414192199707,0,3504,0p2_0p4,0.23529411764705882,0.5384615384615384,frontier_consolidation_fwcompact_medium_036584,1002,16149,752212,0p4_0p6,frontier_consolidation_fwcompact_medium_003642,17,2212,22,16,7
25,edit:frontier_consolidation_fwcompact_medium_017392:0:8-16,row:2862,compact_edit,content,abrasion,86,9.851407051086426,0,1590,0.4613971412181854,1,1,11.717927932739258,0,6525,0p4_0p6,0.42857142857142855,0.44,frontier_consolidation_fwcompact_medium_056343,2835,15522,752862,0p4_0p6,frontier_consolidation_fwcompact_medium_017392,21,2862,36,16,8
26,edit:frontier_consolidation_fwcompact_medium_049672:0:77-87,row:1253,compact_edit,content,objectives,2799,8.426851272583008,0,583,5.73491907119751,0,33,8.460777282714844,0,767,0p4_0p6,0.5384615384615384,0.4117647058823529,frontier_consolidation_fwcompact_medium_051051,1048,15939,751253,0p4_0p6,frontier_consolidation_fwcompact_medium_049672,13,1253,27,87,77
27,edit:frontier_consolidation_fwcompact_medium_018829:0:8-18,row:79,compact_edit,content,reinforces,2613,10.640878677368164,0,2281,1.1771339178085327,1,1,12.382696151733398,0,7943,0p4_0p6,0.4,0.5333333333333333,frontier_consolidation_fwcompact_medium_016483,132,7656,750079,0p4_0p6,frontier_consolidation_fwcompact_medium_018829,10,79,17,18,8
28,edit:frontier_consolidation_fwcompact_medium_010084:0:68-75,row:2638,compact_edit,content,fossils,3286,9.486883163452148,0,1059,8.860218048095703,0,29,10.55622386932373,0,1724,0p2_0p4,0.23529411764705882,0.45454545454545453,frontier_consolidation_fwcompact_medium_018086,2096,9381,752638,0p4_0p6,frontier_consolidation_fwcompact_medium_010084,17,2638,35,75,68
29,edit:frontier_consolidation_fwcompact_medium_020778:0:39-50,row:2603,compact_edit,content,allegations,895,6.047423362731934,0,32,4.742537498474121,0,16,5.601040363311768,0,23,0p2_0p4,0.2777777777777778,0.38461538461538464,frontier_consolidation_fwcompact_medium_019213,952,2985,752603,lt0p4,frontier_consolidation_fwcompact_medium_020778,18,2603,24,50,39
30,edit:frontier_consolidation_fwcompact_medium_014103:0:83-90,row:1570,compact_edit,content,publish,558,2.6643753051757812,1,1,4.6047210693359375,0,10,2.1905760765075684,1,1,0p2_0p4,0.3125,0.42857142857142855,frontier_consolidation_fwcompact_medium_058637,976,9043,751570,0p4_0p6,frontier_consolidation_fwcompact_medium_014103,16,1570,25,90,83
31,edit:frontier_consolidation_fwcompact_medium_008904:0:80-90,row:1091,compact_edit,content,three-inch,3926,8.024815559387207,0,131,7.73507833480835,0,158,8.793920516967773,0,1029,lt0p2,0.1724137931034483,0.5161290322580645,frontier_consolidation_fwcompact_medium_023844,815,4714,751091,0p4_0p6,frontier_consolidation_fwcompact_medium_008904,29,1091,45,90,80
32,edit:frontier_consolidation_fwcompact_medium_010703:0:26-37,row:2010,compact_edit,content,horse-drawn,2031,10.422574996948242,0,505,12.31692123413086,0,3170,8.884686470031738,0,466,0p2_0p4,0.23529411764705882,0.75,frontier_consolidation_fwcompact_medium_037525,2555,11604,752010,0p6_0p8,frontier_consolidation_fwcompact_medium_010703,17,2010,22,37,26
33,edit:frontier_consolidation_fwcompact_medium_036859:0:42-51,row:2283,compact_edit,content,reachable,6645,14.049077987670898,0,8936,10.605867385864258,0,3629,10.808470726013184,0,4284,0p4_0p6,0.47619047619047616,0.43333333333333335,frontier_consolidation_fwcompact_medium_004643,1046,2997,752283,0p4_0p6,frontier_consolidation_fwcompact_medium_036859,21,2283,44,51,42
34,edit:frontier_consolidation_fwcompact_medium_001434:0:53-61,row:199,compact_edit,content,sourcing,6860,12.698797225952148,0,1642,10.959955215454102,0,2989,11.426965713500977,0,4461,0p2_0p4,0.3684210526315789,0.5263157894736842,frontier_consolidation_fwcompact_medium_026352,259,8013,750199,0p4_0p6,frontier_consolidation_fwcompact_medium_001434,18,199,30,61,53
35,edit:frontier_consolidation_fwcompact_medium_029971:0:84-89,row:2848,compact_edit,content,Zones,1820,11.349775314331055,0,4106,0.026228569447994232,1,1,9.571682929992676,0,1695,0p4_0p6,0.42857142857142855,0.47368421052631576,frontier_consolidation_fwcompact_medium_053713,2207,9177,752848,0p4_0p6,frontier_consolidation_fwcompact_medium_029971,14,2848,25,89,84
36,edit:frontier_consolidation_fwcompact_medium_030048:0:39-41,row:1462,compact_edit,content,rb,86,10.704253196716309,0,1724,11.885906219482422,0,3076,12.2772798538208,0,4199,ge0p6,0.6153846153846154,0.36,frontier_consolidation_fwcompact_medium_017273,2829,9856,751462,lt0p4,frontier_consolidation_fwcompact_medium_030048,25,1462,43,41,39
37,edit:frontier_consolidation_fwcompact_medium_036343:0:89-98,row:1620,compact_edit,content,thank-you,17,5.588789939880371,0,29,5.775162220001221,0,38,6.21744441986084,0,64,0p4_0p6,0.5333333333333333,0.7894736842105263,frontier_consolidation_fwcompact_medium_045424,1673,13615,751620,0p6_0p8,frontier_consolidation_fwcompact_medium_036343,30,1620,38,98,89
38,edit:frontier_consolidation_fwcompact_medium_044289:0:70-79,row:2631,compact_edit,content,unchecked,2440,8.819212913513184,0,142,7.6088666915893555,0,200,9.186946868896484,0,1051,ge0p6,0.8,0.5333333333333333,frontier_consolidation_fwcompact_medium_040594,2046,11245,752631,0p4_0p6,frontier_consolidation_fwcompact_medium_044289,15,2631,22,79,70
39,edit:frontier_consolidation_fwcompact_medium_014246:0:57-72,row:388,compact_edit,content,lighthouse-like,4754,11.39810562133789,0,2637,0.25795790553092957,1,1,10.664385795593262,0,3493,0p2_0p4,0.2857142857142857,0.4444444444444444,frontier_consolidation_fwcompact_medium_037006,372,10471,750388,0p4_0p6,frontier_consolidation_fwcompact_medium_014246,14,388,28,72,57
40,edit:frontier_consolidation_fwcompact_medium_029908:0:45-54,row:2619,compact_edit,content,mid-first,1834,7.214113235473633,0,125,12.462074279785156,0,8220,11.530150413513184,0,5957,0p4_0p6,0.4,0.5,frontier_consolidation_fwcompact_medium_007440,2035,1004,752619,0p4_0p6,frontier_consolidation_fwcompact_medium_029908,10,2619,15,54,45
41,edit:frontier_consolidation_fwcompact_medium_032280:0:24-34,row:208,compact_edit,content,dissipates,774,7.317445755004883,0,144,11.927576065063477,0,6915,10.982335090637207,0,4833,ge0p6,0.7,0.36363636363636365,frontier_consolidation_fwcompact_medium_040416,150,13818,750208,lt0p4,frontier_consolidation_fwcompact_medium_032280,10,208,18,34,24
42,edit:frontier_consolidation_fwcompact_medium_002736:0:87-96,row:2788,compact_edit,content,fountains,1708,12.093644142150879,0,1295,9.981486320495605,0,2167,10.960504531860352,0,2272,ge0p6,0.6,0.6,frontier_consolidation_fwcompact_medium_018245,1751,16919,752788,0p6_0p8,frontier_consolidation_fwcompact_medium_002736,15,2788,26,96,87
43,edit:frontier_consolidation_fwcompact_medium_003612:0:17-27,row:2059,compact_edit,content,wide-angle,17,3.879610776901245,0,11,10.366865158081055,0,3023,4.897387504577637,0,14,0p2_0p4,0.2857142857142857,0.4166666666666667,frontier_consolidation_fwcompact_medium_035783,1603,15423,752059,0p4_0p6,frontier_consolidation_fwcompact_medium_003612,28,2059,47,27,17
44,edit:frontier_consolidation_fwcompact_medium_044948:0:80-90,row:166,compact_edit,content,Israelites,3107,12.965786933898926,0,2410,0.1804744303226471,1,1,11.853919982910156,0,1608,0p2_0p4,0.35714285714285715,0.5333333333333333,frontier_consolidation_fwcompact_medium_057197,214,14233,750166,0p4_0p6,frontier_consolidation_fwcompact_medium_044948,14,166,25,90,80
45,edit:frontier_consolidation_fwcompact_medium_032629:0:17-27,row:502,compact_edit,content,freighters,406,8.802799224853516,0,545,13.437792778015137,0,10684,12.319802284240723,0,8038,0p2_0p4,0.38461538461538464,0.5882352941176471,frontier_consolidation_fwcompact_medium_054735,468,76,750502,0p4_0p6,frontier_consolidation_fwcompact_medium_032629,13,502,24,27,17
46,edit:frontier_consolidation_fwcompact_medium_047752:0:17-27,row:2874,compact_edit,content,blue-green,2826,8.078046798706055,0,84,7.2803239822387695,0,243,9.59477424621582,0,1803,0p2_0p4,0.38461538461538464,0.6,frontier_consolidation_fwcompact_medium_031696,1826,9285,752874,0p6_0p8,frontier_consolidation_fwcompact_medium_047752,13,2874,22,27,17
47,edit:frontier_consolidation_fwcompact_medium_025508:0:60-65,row:1061,compact_edit,content,coats,1667,6.482415676116943,0,79,0.030343512073159218,1,1,9.091562271118164,0,886,ge0p6,0.6363636363636364,0.38461538461538464,frontier_consolidation_fwcompact_medium_051022,2372,2338,751061,lt0p4,frontier_consolidation_fwcompact_medium_025508,11,1061,15,65,60
48,edit:frontier_consolidation_fwcompact_medium_017724:0:67-73,row:1972,compact_edit,content,Dragut,75,8.468032836914062,0,67,0.0415511354804039,1,1,8.309698104858398,0,365,0p4_0p6,0.4,0.5714285714285714,frontier_consolidation_fwcompact_medium_054283,1596,8130,751972,0p4_0p6,frontier_consolidation_fwcompact_medium_017724,15,1972,24,73,67
49,edit:frontier_consolidation_fwcompact_medium_015761:0:79-86,row:431,compact_edit,content,tweened,73,7.1065568923950195,0,150,7.788250923156738,0,411,9.257104873657227,0,1581,0p4_0p6,0.42857142857142855,0.9,frontier_consolidation_fwcompact_medium_057871,1482,2875,750431,ge0p8,frontier_consolidation_fwcompact_medium_015761,14,431,19,86,79
50,edit:frontier_consolidation_fwcompact_medium_001508:0:42-51,row:2410,compact_edit,content,repayment,251,11.819395065307617,0,3319,10.770204544067383,0,3904,13.996763229370117,0,11998,0p2_0p4,0.25,0.5,frontier_consolidation_fwcompact_medium_034881,1898,5376,752410,0p4_0p6,frontier_consolidation_fwcompact_medium_001508,12,2410,17,51,42
51,edit:frontier_consolidation_fwcompact_medium_054361:0:88-93,row:2810,compact_edit,content,veins,1035,5.384210109710693,0,17,6.847784042358398,0,139,7.546640872955322,0,345,0p2_0p4,0.2,0.6428571428571429,frontier_consolidation_fwcompact_medium_003935,1773,12016,752810,0p6_0p8,frontier_consolidation_fwcompact_medium_054361,15,2810,25,93,88
52,edit:frontier_consolidation_fwcompact_medium_054447:0:60-69,row:1865,compact_edit,content,sterilize,321,9.094104766845703,0,230,11.376251220703125,0,4970,11.855353355407715,0,6121,0p2_0p4,0.2857142857142857,0.4375,frontier_consolidation_fwcompact_medium_031204,2178,9089,751865,0p4_0p6,frontier_consolidation_fwcompact_medium_054447,14,1865,30,69,60
53,edit:frontier_consolidation_fwcompact_medium_021655:0:23-33,row:1120,compact_edit,content,durability,307,9.837482452392578,0,1119,7.23081111907959,0,193,9.745706558227539,0,2154,0p2_0p4,0.25,0.5714285714285714,frontier_consolidation_fwcompact_medium_032663,2175,6598,751120,0p4_0p6,frontier_consolidation_fwcompact_medium_021655,16,1120,22,33,23
54,edit:frontier_consolidation_fwcompact_medium_056214:0:52-62,row:1174,compact_edit,content,nationally,456,8.090485572814941,0,162,7.927534580230713,0,354,9.0014066696167,0,530,0p2_0p4,0.24,0.4583333333333333,frontier_consolidation_fwcompact_medium_044908,457,7007,751174,0p4_0p6,frontier_consolidation_fwcompact_medium_056214,24,1174,40,62,52
55,edit:frontier_consolidation_fwcompact_medium_057870:0:78-87,row:1012,compact_edit,content,sufferers,196,7.625257968902588,0,116,11.517340660095215,0,6203,11.942484855651855,0,7288,0p2_0p4,0.3333333333333333,0.5263157894736842,frontier_consolidation_fwcompact_medium_029850,2920,5445,751012,0p4_0p6,frontier_consolidation_fwcompact_medium_057870,18,1012,30,87,78
56,edit:frontier_consolidation_fwcompact_medium_018858:0:55-67,row:1963,compact_edit,content,dramatically,9457,8.515250205993652,0,463,7.799715042114258,0,389,9.279337882995605,0,1706,0p2_0p4,0.3333333333333333,0.4166666666666667,frontier_consolidation_fwcompact_medium_046268,1596,13422,751963,0p4_0p6,frontier_consolidation_fwcompact_medium_018858,9,1963,16,67,55
57,edit:frontier_consolidation_fwcompact_medium_015318:0:12-20,row:1416,compact_edit,content,Ottawa's,9507,11.334297180175781,0,1242,0.19585277140140533,1,1,13.1423978805542,0,10027,ge0p6,0.6,0.6,frontier_consolidation_fwcompact_medium_048637,330,4826,751416,0p6_0p8,frontier_consolidation_fwcompact_medium_015318,10,1416,13,20,12
58,edit:frontier_consolidation_fwcompact_medium_024139:0:32-36,row:2702,compact_edit,content,QCEW,39,6.767510414123535,0,117,6.872869968414307,0,165,8.008248329162598,0,585,0p4_0p6,0.4166666666666667,0.5714285714285714,frontier_consolidation_fwcompact_medium_002971,2104,10058,752702,0p4_0p6,frontier_consolidation_fwcompact_medium_024139,11,2702,21,36,32
59,edit:frontier_consolidation_fwcompact_medium_051936:0:29-40,row:2848,compact_edit,content,test-takers,2001,9.280813217163086,0,696,12.786627769470215,0,9430,12.409975051879883,0,8866,0p4_0p6,0.4375,0.5,frontier_consolidation_fwcompact_medium_034628,1189,13930,752848,0p4_0p6,frontier_consolidation_fwcompact_medium_051936,16,2848,25,40,29
60,edit:frontier_consolidation_fwcompact_medium_027016:0:90-95,row:57,compact_edit,content,usage,594,6.809103965759277,0,115,14.490389823913574,0,11640,8.17339038848877,0,509,0p2_0p4,0.23076923076923078,0.6153846153846154,frontier_consolidation_fwcompact_medium_039038,2062,7636,750057,0p6_0p8,frontier_consolidation_fwcompact_medium_027016,13,57,19,95,90
61,edit:frontier_consolidation_fwcompact_medium_010430:0:75-83,row:2398,compact_edit,content,Laureate,196,7.57379674911499,0,333,8.436626434326172,0,44,8.165504455566406,0,678,0p4_0p6,0.4090909090909091,0.5714285714285714,frontier_consolidation_fwcompact_medium_016225,1473,7464,752398,0p4_0p6,frontier_consolidation_fwcompact_medium_010430,22,2398,34,83,75
62,edit:frontier_consolidation_fwcompact_medium_047815:0:27-35,row:2464,compact_edit,content,must-see,17,5.457282066345215,0,14,8.551132202148438,0,893,5.974888324737549,0,36,0p2_0p4,0.3,0.8571428571428571,frontier_consolidation_fwcompact_medium_027923,1474,12074,752464,ge0p8,frontier_consolidation_fwcompact_medium_047815,10,2464,14,35,27
63,edit:frontier_consolidation_fwcompact_medium_047873:0:64-71,row:2768,compact_edit,content,obesity,219,7.94044828414917,0,214,7.613836765289307,0,218,8.157355308532715,0,583,0p4_0p6,0.42857142857142855,0.47058823529411764,frontier_consolidation_fwcompact_medium_017779,2172,7886,752768,0p4_0p6,frontier_consolidation_fwcompact_medium_047873,14,2768,22,71,64
