endpoint,anchor,input_form,source,n_common_sentences_filtered,delta_row_context_loss,delta_isolation_loss,delta_context_gain,se_delta_context_gain
clean_pres64_u0080,coherent86_alpha075,no_special,open_subtitles,120,0.046546369444210235,0.07275620165795166,0.026209832213741416,0.020616062774291503
clean_pres64_u0080,coherent86_alpha075,no_special,simple_wiki,108,0.03821059254308542,0.0672804375903474,0.02906984504726198,0.026878503339530187
clean_pres64_u0080,coherent86_alpha075,no_special,switchboard,51,0.018954267579258655,0.0034900765738212595,-0.015464191005437397,0.016135570889115807
clean_pres65_u0080,coherent86_alpha075,no_special,bnc_spoken,120,0.024154006710644656,0.05719598548215193,0.033041978771507274,0.020968560048118902
clean_pres65_u0080,coherent86_alpha075,no_special,childes,106,0.0031544810932280357,0.0218569856734009,0.018702504580172866,0.013502307027164026
clean_pres65_u0080,coherent86_alpha075,no_special,gutenberg,119,0.036556178226503505,0.06714325611080442,0.030587077884300918,0.021871536607358594
clean_pres65_u0080,coherent86_alpha075,no_special,open_subtitles,120,0.046634469610095645,0.07255980865569048,0.025925339045594836,0.02017443748494174
clean_pres65_u0080,coherent86_alpha075,no_special,simple_wiki,108,0.03815264104762011,0.06683128403016815,0.028678642982548033,0.02648845249494847
clean_pres65_u0080,coherent86_alpha075,no_special,switchboard,51,0.020222507051977458,0.005134456425759138,-0.015088050626218319,0.015988407972970034
dense64_u0080,coherent86_alpha075,no_special,bnc_spoken,120,0.040458042156630354,0.09858978617412503,0.058131744017494685,0.0296740553546228
dense64_u0080,coherent86_alpha075,no_special,childes,106,0.006409214908457353,0.04664853718592019,0.04023932227746284,0.01840594213496614
dense64_u0080,coherent86_alpha075,no_special,gutenberg,119,0.07142654141927716,0.10786619170435838,0.036439650285081206,0.029185896579341813
dense64_u0080,coherent86_alpha075,no_special,open_subtitles,120,0.07215610899220337,0.11736010363723229,0.045203994645028917,0.028281351996984002
dense64_u0080,coherent86_alpha075,no_special,simple_wiki,108,0.06175671748092605,0.10989489972039505,0.048138182239469,0.03767422232551322
dense64_u0080,coherent86_alpha075,no_special,switchboard,51,0.035187547369038355,0.02067657509891718,-0.014510972270121178,0.021806586688443055
dense65_u0080,coherent86_alpha075,no_special,bnc_spoken,120,0.043579966417261556,0.10085553438984789,0.05727556797258634,0.02989927231439021
dense65_u0080,coherent86_alpha075,no_special,childes,106,0.007486353324634794,0.04764335946348646,0.04015700613885167,0.018565056700883306
dense65_u0080,coherent86_alpha075,no_special,gutenberg,119,0.0723755456929823,0.1094919737240597,0.037116428031077404,0.02947896536612154
dense65_u0080,coherent86_alpha075,no_special,open_subtitles,120,0.07668720195967277,0.11961642586344776,0.04292922390377498,0.028641688069839327
dense65_u0080,coherent86_alpha075,no_special,simple_wiki,108,0.06563953189524235,0.11364949891274725,0.0480099670175049,0.0380838040984045
dense65_u0080,coherent86_alpha075,no_special,switchboard,51,0.03875515997117641,0.023376306053251028,-0.015378853917925381,0.022107948960795296
clean_pres64_u0080,chck82_slow_scale1p75,with_special,bnc_spoken,120,0.02192337217760117,0.040353474765530944,0.01843010258792977,0.02443093249215241
clean_pres64_u0080,chck82_slow_scale1p75,with_special,childes,106,-0.006498989419186437,0.043491752448834686,0.04999074186802112,0.019221397302088484
clean_pres64_u0080,chck82_slow_scale1p75,with_special,gutenberg,119,0.04481929855835976,0.07234638309528847,0.027527084536928714,0.02355606965037701
clean_pres64_u0080,chck82_slow_scale1p75,with_special,open_subtitles,120,0.04802369441846774,0.048130363329619286,0.00010666891115154916,0.02879831418467162
clean_pres64_u0080,chck82_slow_scale1p75,with_special,simple_wiki,107,0.04518405447287537,0.07723490932138166,0.0320508548485063,0.028912330741636023
clean_pres64_u0080,chck82_slow_scale1p75,with_special,switchboard,51,0.02925197177511804,0.021301714173865085,-0.007950257601252958,0.018404375289675024
clean_pres65_u0080,chck82_slow_scale1p75,with_special,bnc_spoken,120,0.02263069152540993,0.0406998110357866,0.01806911951037667,0.024005415812948662
clean_pres65_u0080,chck82_slow_scale1p75,with_special,childes,106,-0.0067144009036331585,0.04152915065204516,0.04824355155567832,0.01884698963249498
clean_pres65_u0080,chck82_slow_scale1p75,with_special,gutenberg,119,0.04467273381452601,0.0729272800669888,0.028254546252462792,0.022867828588343145
clean_pres65_u0080,chck82_slow_scale1p75,with_special,open_subtitles,120,0.0473318058589939,0.04793857780423423,0.0006067719452403253,0.02802186640685703
clean_pres65_u0080,chck82_slow_scale1p75,with_special,simple_wiki,107,0.04527430453938301,0.07751235115193875,0.032238046612555735,0.02858152801590151
clean_pres65_u0080,chck82_slow_scale1p75,with_special,switchboard,51,0.03028730343223787,0.022933662595117792,-0.0073536408371200745,0.018264930594782267
coherent86_alpha075,chck82_slow_scale1p75,with_special,bnc_spoken,120,-0.020335571005610596,0.0028447520652359042,0.023180323070846498,0.009288869882951634
coherent86_alpha075,chck82_slow_scale1p75,with_special,childes,106,-0.009408226871614115,0.018036183131012223,0.02744441000262634,0.013213800514475724
coherent86_alpha075,chck82_slow_scale1p75,with_special,gutenberg,119,-0.008283794041676056,-0.004282885026617148,0.004000909015058908,0.010171418848289298
coherent86_alpha075,chck82_slow_scale1p75,with_special,open_subtitles,120,-0.030674844937069186,-0.008775889903093533,0.021898955033975653,0.009378026799304802
coherent86_alpha075,chck82_slow_scale1p75,with_special,simple_wiki,107,-0.002800645585232806,-0.00023672339793677643,0.0025639221872960295,0.010185569057341795
coherent86_alpha075,chck82_slow_scale1p75,with_special,switchboard,51,0.001310028391433697,-0.008467631250181618,-0.009777659641615316,0.009649170449285219
