target,frame_id,subtype,alt_a,alt_b,form,delta1,delta2,correct_margin_c1,correct_margin_c2,interaction,min_signed_margin,crossed_success,same_a_bias,same_b_bias,prior_ratio
scale1p75_80M,D_0060,empty_full,empty,full,last_event_only,0.9870214462280273,0.44084596633911133,0.9870214462280273,-0.44084596633911133,0.546175479888916,-0.44084596633911133,False,True,False,4.861915367483296
scale1p75_80M,D_0060,empty_full,empty,full,no_context,-0.20162630081176758,-0.20162630081176758,-0.20162630081176758,0.20162630081176758,0.0,-0.20162630081176758,False,False,True,4.861915367483296
scale1p75_80M,D_0061,open_closed,open,closed,explicit_final_state,5.113465175032616,-3.237006261944771,5.113465175032616,3.237006261944771,8.350471436977386,3.237006261944771,True,False,False,4.846875
scale1p75_80M,D_0061,open_closed,open,closed,full_v3,-4.041422933340073,3.8396985828876495,-4.041422933340073,-3.8396985828876495,-7.881121516227722,-4.041422933340073,False,False,False,4.846875
scale1p75_80M,D_0061,open_closed,open,closed,initial_plus_last,-3.6317406073212624,4.0778950452804565,-3.6317406073212624,-4.0778950452804565,-7.709635652601719,-4.0778950452804565,False,False,False,4.846875
scale1p75_80M,D_0061,open_closed,open,closed,last_event_only,-0.41259288787841797,-1.7545892000198364,-0.41259288787841797,1.7545892000198364,1.3419963121414185,-0.41259288787841797,False,False,True,4.846875
scale1p75_80M,D_0061,open_closed,open,closed,no_context,-0.08724689483642578,-0.08724689483642578,-0.08724689483642578,0.08724689483642578,0.0,-0.08724689483642578,False,False,True,4.846875
scale1p75_80M,D_0062,open_closed,open,closed,explicit_final_state,4.545187033712864,-4.346838101744652,4.545187033712864,4.346838101744652,8.892025135457516,4.346838101744652,True,False,False,4.846875
scale1p75_80M,D_0062,open_closed,open,closed,full_v3,-5.87104232236743,2.4633616656064987,-5.87104232236743,-2.4633616656064987,-8.334403987973928,-5.87104232236743,False,False,False,4.846875
scale1p75_80M,D_0062,open_closed,open,closed,initial_plus_last,-5.3713505156338215,3.08957776427269,-5.3713505156338215,-3.08957776427269,-8.460928279906511,-5.3713505156338215,False,False,False,4.846875
scale1p75_80M,D_0062,open_closed,open,closed,last_event_only,-0.7750988006591797,-2.33443546295166,-0.7750988006591797,2.33443546295166,1.5593366622924805,-0.7750988006591797,False,False,True,4.846875
scale1p75_80M,D_0062,open_closed,open,closed,no_context,0.018377304077148438,0.018377304077148438,0.018377304077148438,-0.018377304077148438,0.0,-0.018377304077148438,False,True,False,4.846875
scale1p75_80M,D_0063,empty_full,empty,full,explicit_final_state,5.9689028561115265,-7.546469941735268,5.9689028561115265,7.546469941735268,13.515372797846794,5.9689028561115265,True,False,False,4.861915367483296
scale1p75_80M,D_0063,empty_full,empty,full,full_v3,-7.291660882532597,5.547909796237946,-7.291660882532597,-5.547909796237946,-12.839570678770542,-7.291660882532597,False,False,False,4.861915367483296
scale1p75_80M,D_0063,empty_full,empty,full,initial_plus_last,-7.449909448623657,5.280999839305878,-7.449909448623657,-5.280999839305878,-12.730909287929535,-7.449909448623657,False,False,False,4.861915367483296
scale1p75_80M,D_0063,empty_full,empty,full,last_event_only,1.5632238388061523,0.8981084823608398,1.5632238388061523,-0.8981084823608398,0.6651153564453125,-0.8981084823608398,False,True,False,4.861915367483296
scale1p75_80M,D_0063,empty_full,empty,full,no_context,0.3623075485229492,0.3623075485229492,0.3623075485229492,-0.3623075485229492,0.0,-0.3623075485229492,False,True,False,4.861915367483296
scale1p75_80M,D_0064,empty_full,empty,full,explicit_final_state,6.209809809923172,-7.375594109296799,6.209809809923172,7.375594109296799,13.58540391921997,6.209809809923172,True,False,False,4.861915367483296
scale1p75_80M,D_0064,empty_full,empty,full,full_v3,-7.198462016880512,5.8771268129348755,-7.198462016880512,-5.8771268129348755,-13.075588829815388,-7.198462016880512,False,False,False,4.861915367483296
