pair_id,source,original_words,rewrite_words,pair_words,len_ratio,content_jaccard_common_def,content_overlap_min_common_def,stored_content_overlap,stored_content_jaccard,longest_common_contiguous_words_common_def
rw2s1_027242,simple_wiki,22,24,46,1.0909090909090908,0.2727272727272727,0.5,0.46153846153846156,,6
rw2s1_031600,open_subtitles,25,23,48,0.92,0.5,0.6666666666666666,0.6666666666666666,,8
rw2s0_023991,simple_wiki,18,16,34,0.8888888888888888,0.7333333333333333,0.8461538461538461,0.8461538461538461,,11
rw2s0_028346,simple_wiki,19,20,39,1.0526315789473684,0.75,0.9,0.9,,5
rw2s0_001246,open_subtitles,18,15,33,0.8333333333333334,0.7,0.875,0.875,,3
rw2s1_029777,gutenberg,19,19,38,1.0,0.375,0.6,0.5,,3
rw2s0_015324,simple_wiki,18,17,35,0.9444444444444444,0.7142857142857143,0.9090909090909091,0.9090909090909091,,8
rw2s1_013362,gutenberg,28,30,58,1.0714285714285714,0.75,0.8571428571428571,0.8571428571428571,,9
rw2s1_017595,gutenberg,30,28,58,0.9333333333333333,0.28,0.4375,0.4375,,6
rw2s1_031577,gutenberg,33,33,66,1.0,0.7222222222222222,0.8666666666666667,0.875,,20
rw2s1_011982,simple_wiki,21,19,40,0.9047619047619048,0.75,0.9,0.9,,6
rw2s1_018912,simple_wiki,18,18,36,1.0,0.75,0.8571428571428571,0.875,,16
rw2s0_028811,simple_wiki,22,25,47,1.1363636363636365,0.875,0.9333333333333333,0.9333333333333333,,19
rw2s0_001469,gutenberg,20,17,37,0.85,0.5,0.7142857142857143,0.7142857142857143,,5
rw2s1_009243,simple_wiki,18,16,34,0.8888888888888888,0.7777777777777778,1.0,0.7777777777777778,,8
rw2s1_010428,gutenberg,27,25,52,0.9259259259259259,0.5,0.7,0.7,,9
rw2s1_009890,simple_wiki,24,22,46,0.9166666666666666,0.75,0.9230769230769231,0.9230769230769231,,8
rw2s0_014072,simple_wiki,24,28,52,1.1666666666666667,0.36363636363636365,0.5333333333333333,0.5333333333333333,,4
rw2s0_017450,simple_wiki,21,21,42,1.0,0.6923076923076923,0.8181818181818182,0.8333333333333334,,13
rw2s1_019014,gutenberg,29,29,58,1.0,0.25,0.4,0.4375,,7
rw2s1_006347,gutenberg,20,20,40,1.0,1.0,1.0,0.8888888888888888,,15
rw2s1_031255,open_subtitles,19,19,38,1.0,0.5454545454545454,0.75,0.75,,5
rw2s0_017073,simple_wiki,19,17,36,0.8947368421052632,0.8461538461538461,0.9166666666666666,0.9230769230769231,,10
rw2s0_025618,simple_wiki,28,29,57,1.0357142857142858,0.55,0.7333333333333333,0.75,,9
rw2s0_006890,simple_wiki,18,18,36,1.0,0.8333333333333334,0.9090909090909091,0.9090909090909091,,9
rw2s1_015978,simple_wiki,31,23,54,0.7419354838709677,0.875,0.9333333333333333,0.9375,,7
rw2s0_015386,simple_wiki,23,20,43,0.8695652173913043,0.6875,0.8461538461538461,0.8461538461538461,,6
rw2s1_025602,simple_wiki,21,18,39,0.8571428571428571,0.5,0.7777777777777778,0.7,,6
