column,subtask,n_items,score_82,score_84,score_alpha075,delta_84_minus_82,gains_82_to_84,losses_82_to_84,net_items_82_to_84,delta_alpha075_minus_82,gains_82_to_alpha075,losses_82_to_alpha075,net_items_82_to_alpha075,delta_alpha075_minus_84,gains_84_to_alpha075,losses_84_to_alpha075,net_items_84_to_alpha075
BLiMP,existential_there_quantifiers_1,930,98.81720430107526,98.81720430107526,98.9247311827957,0.0,3,3,0,0.10752688172043179,1,0,1,0.10752688172043179,3,2,1
BLiMP,existential_there_quantifiers_2,911,40.065861690450056,47.63995609220637,40.944017563117455,7.574094401756312,75,6,69,0.8781558726673993,18,10,8,-6.695938529088913,9,70,-61
BLiMP,existential_there_subject_raising,924,78.8961038961039,78.24675324675324,78.8961038961039,-0.6493506493506516,9,15,-6,0.0,5,5,0,0.6493506493506516,15,9,6
BLiMP,expletive_it_object_raising,759,68.51119894598155,66.66666666666667,67.72068511198945,-1.8445322793148762,5,19,-14,-0.7905138339920939,1,7,-6,1.0540184453227823,17,9,8
BLiMP,inchoative,855,44.7953216374269,45.380116959064324,45.02923976608187,0.5847953216374222,17,12,5,0.2339181286549703,9,7,2,-0.3508771929824519,10,13,-3
BLiMP,intransitive,868,56.68202764976959,57.94930875576037,57.25806451612903,1.267281105990783,15,4,11,0.5760368663594448,8,3,5,-0.6912442396313381,8,14,-6
BLiMP,irregular_past_participle_adjectives,961,91.57127991675338,92.40374609781477,91.57127991675338,0.8324661810613918,13,5,8,0.0,4,4,0,-0.8324661810613918,5,13,-8
BLiMP,irregular_past_participle_verbs,942,79.83014861995754,80.36093418259023,79.83014861995754,0.530785562632687,17,12,5,0.0,8,8,0,-0.530785562632687,8,13,-5
BLiMP,irregular_plural_subject_verb_agreement_1,804,72.13930348258707,72.38805970149254,72.2636815920398,0.24875621890546995,15,13,2,0.12437810945273498,7,6,1,-0.12437810945273498,11,12,-1
BLiMP,irregular_plural_subject_verb_agreement_2,892,81.27802690582959,78.47533632286995,80.71748878923766,-2.8026905829596416,7,32,-25,-0.5605381165919283,6,11,-5,2.2421524663677133,28,8,20
BLiMP,left_branch_island_echo_question,947,37.69799366420275,41.49947201689546,38.54276663146779,3.801478352692712,41,5,36,0.8447729672650439,12,4,8,-2.956705385427668,5,33,-28
BLiMP,left_branch_island_simple_question,951,52.26077812828601,52.47108307045215,51.20925341745531,0.2103049421661396,22,20,2,-1.051524710830705,8,18,-10,-1.2618296529968447,16,28,-12
BLiMP,matrix_question_npi_licensor_present,929,40.90419806243273,41.33476856835307,41.65769644779333,0.4305705059203433,25,21,4,0.7534983853606008,14,7,7,0.32292787944025747,22,19,3
BLiMP,npi_present_1,909,33.663366336633665,29.482948294829484,31.463146314631462,-4.180418041804181,9,47,-38,-2.2002200220022026,3,23,-20,1.9801980198019784,28,10,18
BLiMP,npi_present_2,914,39.49671772428884,33.8074398249453,34.901531728665205,-5.689277899343544,10,62,-52,-4.595185995623638,4,46,-42,1.0940919037199066,28,18,10
BLiMP,only_npi_licensor_present,882,80.0453514739229,74.94331065759637,80.38548752834467,-5.102040816326536,5,50,-45,0.3401360544217624,11,8,3,5.442176870748298,52,4,48
BLiMP,only_npi_scope,837,74.67144563918758,71.92353643966547,75.02986857825567,-2.7479091995221125,11,34,-23,0.35842293906809175,12,9,3,3.1063321385902043,37,11,26
BLiMP,passive_1,840,77.38095238095238,76.30952380952381,77.26190476190476,-1.0714285714285694,10,19,-9,-0.1190476190476204,6,7,-1,0.952380952380949,19,11,8
BLiMP,passive_2,903,73.20044296788483,72.75747508305648,73.75415282392026,-0.4429678848283487,9,13,-4,0.5537098560354394,10,5,5,0.9966777408637881,15,6,9
BLiMP,principle_A_c_command,946,49.471458773784356,47.46300211416491,50.7399577167019,-2.0084566596194477,19,38,-19,1.268498942917546,20,8,12,3.2769556025369937,47,16,31
BLiMP,principle_A_case_1,912,99.89035087719299,99.78070175438596,99.89035087719299,-0.10964912280702777,0,1,-1,0.0,0,0,0,0.10964912280702777,1,0,1
BLiMP,principle_A_case_2,915,84.59016393442623,84.48087431693989,83.82513661202186,-0.10928961748633981,10,11,-1,-0.7650273224043644,3,10,-7,-0.6557377049180246,10,16,-6
BLiMP,principle_A_domain_1,914,74.83588621444201,74.945295404814,77.02407002188184,0.10940919037199137,16,15,1,2.1881838074398274,24,4,20,2.078774617067836,27,8,19
BLiMP,principle_A_domain_2,915,54.09836065573771,55.19125683060109,53.442622950819676,1.0928961748633839,35,25,10,-0.6557377049180317,6,12,-6,-1.7486338797814156,21,37,-16
BLiMP,principle_A_domain_3,941,57.17321997874601,56.64187035069075,56.748140276301804,-0.5313496280552599,30,35,-5,-0.4250797024442079,14,18,-4,0.10626992561105197,26,25,1
BLiMP,principle_A_reconstruction,967,40.641158221303,41.26163391933816,41.88210961737332,0.6204756980351576,29,23,6,1.2409513960703151,21,9,12,0.6204756980351576,30,24,6
BLiMP,regular_plural_subject_verb_agreement_1,890,75.61797752808988,73.37078651685393,75.28089887640449,-2.247191011235955,3,23,-20,-0.3370786516853883,6,9,-3,1.910112359550567,20,3,17
BLiMP,regular_plural_subject_verb_agreement_2,945,73.65079365079364,72.16931216931216,72.80423280423281,-1.481481481481481,7,21,-14,-0.8465608465608341,2,10,-8,0.6349206349206469,16,10,6
BLiMP,sentential_negation_npi_licensor_present,919,99.23830250272034,99.56474428726877,99.45593035908597,0.32644178454842177,3,0,3,0.21762785636562398,2,0,2,-0.10881392818279778,0,1,-1
BLiMP,sentential_negation_npi_scope,871,70.26406429391504,67.62342135476464,69.5752009184845,-2.6406429391503963,12,35,-23,-0.6888633754305431,7,13,-6,1.9517795637198532,27,10,17
BLiMP,sentential_subject_island,961,32.25806451612903,31.841831425598336,32.778355879292405,-0.4162330905306959,17,21,-4,0.5202913631633734,15,10,5,0.9365244536940693,24,15,9
BLiMP,superlative_quantifiers_1,979,97.03779366700715,95.40347293156282,96.73135852911133,-1.6343207354443336,4,20,-16,-0.3064351378958179,2,5,-3,1.3278855975485158,17,4,13
BLiMP,superlative_quantifiers_2,986,80.22312373225152,82.04868154158216,82.25152129817444,1.8255578093306326,32,14,18,2.0283975659229156,21,1,20,0.20283975659228304,18,16,2
BLiMP,tough_vs_raising_1,948,35.970464135021096,34.07172995780591,36.60337552742616,-1.8987341772151893,6,24,-18,0.6329113924050631,11,5,6,2.5316455696202524,30,6,24
BLiMP,tough_vs_raising_2,920,73.58695652173913,74.78260869565217,73.3695652173913,1.1956521739130466,20,9,11,-0.21739130434782794,5,7,-2,-1.4130434782608745,8,21,-13
BLiMP,transitive,868,71.08294930875576,70.96774193548387,70.73732718894009,-0.11520737327188613,10,11,-1,-0.3456221198156726,5,8,-3,-0.23041474654378646,8,10,-2
BLiMP,wh_island,960,55.208333333333336,55.833333333333336,57.604166666666664,0.625,27,21,6,2.3958333333333286,28,5,23,1.7708333333333286,30,13,17
BLiMP,wh_questions_object_gap,859,53.66705471478463,54.48195576251455,54.59837019790454,0.8149010477299186,24,17,7,0.93131548311991,14,6,8,0.11641443538999141,19,18,1
BLiMP,wh_questions_subject_gap,898,78.39643652561247,79.06458797327394,77.95100222717149,0.6681514476614723,21,15,6,-0.44543429844098625,7,11,-4,-1.1135857461024585,10,20,-10
BLiMP,wh_questions_subject_gap_long_distance,857,92.53208868144691,92.41540256709452,92.18203033838974,-0.11668611435239029,6,7,-1,-0.3500583430571709,2,5,-3,-0.23337222870478058,4,6,-2
BLiMP,wh_vs_that_no_gap,861,88.6178861788618,88.26945412311267,88.73403019744484,-0.3484320557491287,12,15,-3,0.11614401858304291,7,6,1,0.46457607433217163,16,12,4
BLiMP,wh_vs_that_no_gap_long_distance,875,95.42857142857143,94.51428571428572,95.2,-0.914285714285711,5,13,-8,-0.22857142857142776,2,4,-2,0.6857142857142833,10,4,6
BLiMP,wh_vs_that_with_gap,919,44.28726877040261,44.50489662676823,43.96082698585419,0.21762785636561688,17,15,2,-0.32644178454842177,10,13,-3,-0.5440696409140386,12,17,-5
BLiMP,wh_vs_that_with_gap_long_distance,910,13.186813186813186,15.164835164835164,13.406593406593407,1.978021978021978,24,6,18,0.21978021978022078,7,5,2,-1.7582417582417573,5,21,-16
COMPS,base,49340,53.29550060802594,53.50425618159708,53.24483177948926,0.20875557357113905,1638,1535,103,-0.0506688285366792,844,869,-25,-0.25942440210781825,1487,1615,-128
COMPS,wugs,13896,52.18048359240069,52.04375359815774,52.02216465169833,-0.1367299942429483,366,385,-19,-0.1583189407023582,199,221,-22,-0.021588946459409897,366,369,-3
COMPS,wugs_dist_before,13896,38.010938399539434,37.73747841105354,37.47841105354059,-0.2734599884858966,481,519,-38,-0.5325273459988438,250,324,-74,-0.2590673575129472,451,487,-36
COMPS,wugs_dist_in_between,13896,65.27777777777777,65.53684513529073,65.44329303396661,0.2590673575129614,516,480,36,0.16551525618884,277,254,23,-0.0935521013241214,454,467,-13
EWoK,agent-properties,2210,50.40723981900452,49.366515837104075,50.36199095022624,-1.0407239819004488,45,68,-23,-0.04524886877828038,29,30,-1,0.9954751131221684,72,50,22
EWoK,material-dynamics,770,50.64935064935065,52.33766233766234,50.51948051948052,1.6883116883116855,35,22,13,-0.12987012987013458,20,21,-1,-1.8181818181818201,12,26,-14
EWoK,material-properties,170,50.588235294117645,51.1764705882353,51.76470588235294,0.5882352941176521,7,6,1,1.176470588235297,3,1,2,0.588235294117645,7,6,1
EWoK,physical-dynamics,120,53.333333333333336,51.666666666666664,52.5,-1.6666666666666714,3,5,-2,-0.8333333333333357,2,3,-1,0.8333333333333357,4,3,1
EWoK,physical-interactions,556,48.56115107913669,48.56115107913669,48.56115107913669,0.0,19,19,0,0.0,4,4,0,0.0,19,19,0
EWoK,physical-relations,818,49.75550122249389,50.0,49.877750611246945,0.24449877750610938,14,12,2,0.12224938875305469,5,4,1,-0.12224938875305469,12,13,-1
EWoK,quantitative-properties,314,49.044585987261144,49.681528662420384,48.72611464968153,0.63694267515924,14,12,2,-0.31847133757961643,8,9,-1,-0.9554140127388564,9,12,-3
EWoK,social-interactions,294,53.40136054421769,54.08163265306123,54.08163265306123,0.6802721088435391,13,11,2,0.6802721088435391,9,7,2,0.0,9,9,0
EWoK,social-properties,328,47.86585365853659,46.34146341463415,46.646341463414636,-1.5243902439024382,5,10,-5,-1.2195121951219505,4,8,-4,0.30487804878048763,9,8,1
EWoK,social-relations,1548,50.064599483204134,50.45219638242894,50.645994832041346,0.38759689922480334,68,62,6,0.5813953488372121,27,18,9,0.19379844961240877,66,63,3
EWoK,spatial-relations,490,46.93877551020408,47.142857142857146,46.53061224489796,0.20408163265306456,14,13,1,-0.408163265306122,6,8,-2,-0.6122448979591866,14,17,-3
Entity,ambiref_0_ops,508,26.181102362204726,25.393700787401574,25.19685039370079,-0.7874015748031518,10,14,-4,-0.984251968503937,3,8,-5,-0.19685039370078528,10,11,-1
Entity,ambiref_1_ops,428,15.186915887850468,14.25233644859813,14.953271028037383,-0.934579439252337,4,8,-4,-0.2336448598130847,1,2,-1,0.7009345794392523,6,3,3
Entity,ambiref_2_ops,413,23.97094430992736,24.455205811138015,24.93946731234867,0.4842615012106535,8,6,2,0.968523002421307,6,2,4,0.4842615012106535,6,4,2
Entity,ambiref_3_ops,409,27.383863080684595,26.405867970660147,26.65036674816626,-0.9779951100244482,5,9,-4,-0.7334963325183352,1,4,-3,0.24449877750611293,8,7,1
Entity,ambiref_4_ops,434,34.7926267281106,35.25345622119816,34.56221198156682,0.4608294930875587,6,4,2,-0.23041474654377936,3,4,-1,-0.6912442396313381,5,8,-3
Entity,ambiref_5_ops,123,32.520325203252035,32.520325203252035,31.70731707317073,0.0,4,4,0,-0.8130081300813039,1,2,-1,-0.8130081300813039,2,3,-1
Entity,move_contents_0_ops,516,45.15503875968992,46.31782945736434,45.542635658914726,1.1627906976744171,16,10,6,0.38759689922480334,4,2,2,-0.7751937984496138,13,17,-4
Entity,move_contents_1_ops,437,16.933638443935926,16.247139588100687,17.162471395881006,-0.6864988558352394,2,5,-3,0.2288329519450798,2,1,1,0.9153318077803192,7,3,4
Entity,move_contents_2_ops,399,21.05263157894737,22.305764411027567,21.55388471177945,1.2531328320801975,8,3,5,0.5012531328320797,4,2,2,-0.7518796992481178,4,7,-3
Entity,move_contents_3_ops,406,27.832512315270936,29.310344827586206,26.600985221674875,1.4778325123152705,13,7,6,-1.2315270935960605,2,7,-5,-2.709359605911331,9,20,-11
Entity,move_contents_4_ops,353,30.311614730878187,31.444759206798867,31.161473087818695,1.1331444759206803,8,4,4,0.8498583569405085,5,2,3,-0.28328611898017186,7,8,-1
Entity,move_contents_5_ops,116,42.241379310344826,42.241379310344826,43.10344827586207,0.0,3,3,0,0.8620689655172455,1,0,1,0.8620689655172455,4,3,1
Entity,regular_0_ops,517,40.81237911025145,40.2321083172147,40.61895551257253,-0.5802707930367461,13,16,-3,-0.19342359767891537,4,5,-1,0.38684719535783074,15,13,2
Entity,regular_1_ops,409,15.403422982885086,16.13691931540342,15.647921760391197,0.7334963325183352,7,4,3,0.24449877750611115,4,3,1,-0.4889975550122241,6,8,-2
Entity,regular_2_ops,405,22.962962962962962,23.45679012345679,21.97530864197531,0.49382716049382935,7,5,2,-0.9876543209876516,1,5,-4,-1.481481481481481,5,11,-6
Entity,regular_3_ops,425,30.352941176470587,29.176470588235293,31.058823529411764,-1.1764705882352935,5,10,-5,0.7058823529411775,5,2,3,1.882352941176471,12,4,8
Entity,regular_4_ops,388,27.835051546391753,28.350515463917525,27.577319587628867,0.5154639175257714,10,8,2,-0.2577319587628857,1,2,-1,-0.773195876288657,8,11,-3
Entity,regular_5_ops,94,28.72340425531915,30.851063829787233,29.78723404255319,2.1276595744680833,5,3,2,1.0638297872340416,2,1,1,-1.0638297872340416,3,4,-1
GlobalPIQA,global_piqa_nonparallel,100,47.0,51.0,48.0,4.0,4,0,4,1.0,1,0,1,-3.0,0,3,-3
GlobalPIQA,global_piqa_parallel,103,28.155339805825243,25.24271844660194,29.12621359223301,-2.9126213592233015,1,4,-3,0.9708737864077683,2,1,1,3.88349514563107,6,2,4
Supplement,hypernym,842,49.7624703087886,49.287410926365794,49.8812351543943,-0.4750593824228062,13,17,-4,0.11876484560569622,10,9,1,0.5938242280285024,17,12,5
Supplement,qa_congruence_easy,64,67.1875,68.75,70.3125,1.5625,1,0,1,3.125,2,0,2,1.5625,1,0,1
Supplement,qa_congruence_tricky,165,49.09090909090909,50.303030303030305,49.696969696969695,1.212121212121211,3,1,2,0.606060606060602,2,1,1,-0.6060606060606091,2,3,-1
Supplement,subject_aux_inversion,3867,81.14817688130334,80.8637186449444,80.78613912593742,-0.28445823635894385,30,41,-11,-0.3620377553659182,13,27,-14,-0.07757951900697435,42,45,-3
Supplement,turn_taking,280,67.5,68.21428571428571,67.5,0.7142857142857082,4,2,2,0.0,0,0,0,-0.7142857142857082,2,4,-2
