column,subgroup,n_items,score_82,score_84,score_alpha075,delta_84_minus_82,gains_82_to_84,losses_82_to_84,net_items_82_to_84,delta_alpha075_minus_82,gains_82_to_alpha075,losses_82_to_alpha075,net_items_82_to_alpha075,delta_alpha075_minus_84,gains_84_to_alpha075,losses_84_to_alpha075,net_items_84_to_alpha075
BLiMP,subject_verb_agreement,5190,63.71868978805395,62.96724470134875,63.603082851637765,-0.7514450867052034,91,130,-39,-0.11560693641618514,48,54,-6,0.6358381502890182,119,86,33
COMPS,co-occurrence,22757,50.718460253987786,51.109548710286944,50.58223843213077,0.39108845629915834,763,674,89,-0.13622182185701348,391,422,-31,-0.5273102781561718,613,733,-120
COMPS,overlap,22757,52.66950828316562,52.304785340774266,52.48494968581096,-0.36472294239135294,709,792,-83,-0.18455859735465907,408,450,-42,0.18016434503669387,752,711,41
COMPS,random,22757,54.81829766665202,55.0555872918223,54.91497121764732,0.23728962517027696,762,708,54,0.09667355099529829,402,380,22,-0.14061607417497868,693,725,-32
COMPS,taxonomic,22757,52.27841982686646,52.37509337786176,52.071889967921955,0.09667355099529829,767,745,22,-0.20652985894450637,369,416,-47,-0.30320340993980466,700,769,-69
EWoK,agent-properties,2210,50.40723981900452,49.366515837104075,50.36199095022624,-1.0407239819004488,45,68,-23,-0.04524886877828038,29,30,-1,0.9954751131221684,72,50,22
EWoK,material-dynamics,770,50.64935064935065,52.33766233766234,50.51948051948052,1.6883116883116855,35,22,13,-0.12987012987013458,20,21,-1,-1.8181818181818201,12,26,-14
EWoK,material-properties,170,50.588235294117645,51.1764705882353,51.76470588235294,0.5882352941176521,7,6,1,1.176470588235297,3,1,2,0.588235294117645,7,6,1
EWoK,physical-dynamics,120,53.333333333333336,51.666666666666664,52.5,-1.6666666666666714,3,5,-2,-0.8333333333333357,2,3,-1,0.8333333333333357,4,3,1
EWoK,physical-interactions,556,48.56115107913669,48.56115107913669,48.56115107913669,0.0,19,19,0,0.0,4,4,0,0.0,19,19,0
EWoK,physical-relations,818,49.75550122249389,50.0,49.877750611246945,0.24449877750610938,14,12,2,0.12224938875305469,5,4,1,-0.12224938875305469,12,13,-1
EWoK,quantitative-properties,314,49.044585987261144,49.681528662420384,48.72611464968153,0.63694267515924,14,12,2,-0.31847133757961643,8,9,-1,-0.9554140127388564,9,12,-3
EWoK,social-interactions,294,53.40136054421769,54.08163265306123,54.08163265306123,0.6802721088435391,13,11,2,0.6802721088435391,9,7,2,0.0,9,9,0
EWoK,social-properties,328,47.86585365853659,46.34146341463415,46.646341463414636,-1.5243902439024382,5,10,-5,-1.2195121951219505,4,8,-4,0.30487804878048763,9,8,1
EWoK,social-relations,1548,50.064599483204134,50.45219638242894,50.645994832041346,0.38759689922480334,68,62,6,0.5813953488372121,27,18,9,0.19379844961240877,66,63,3
EWoK,spatial-relations,490,46.93877551020408,47.142857142857146,46.53061224489796,0.20408163265306456,14,13,1,-0.408163265306122,6,8,-2,-0.6122448979591866,14,17,-3
Entity,ambiref,2315,25.91792656587473,25.572354211663068,25.615550755939523,-0.34557235421166155,37,45,-8,-0.3023758099352065,15,22,-7,0.04319654427645503,37,36,1
Entity,move_contents,2227,29.636281993713517,30.444544229905702,29.815895823978448,0.808262236192185,50,32,18,0.17961383026493039,18,14,4,-0.6286484059272546,44,58,-14
Entity,regular,2238,28.194816800714925,28.239499553172475,28.15013404825737,0.04468275245755038,47,46,1,-0.04468275245755393,17,18,-1,-0.08936550491510431,49,51,-2
GlobalPIQA,counting,7,28.571428571428573,28.571428571428573,28.571428571428573,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0
GlobalPIQA,global_piqa_nonparallel,100,47.0,51.0,48.0,4.0,4,0,4,1.0,1,0,1,-3.0,0,3,-3
GlobalPIQA,object_properties,2,50.0,50.0,50.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0
GlobalPIQA,object_properties_interactions,36,36.111111111111114,36.111111111111114,38.888888888888886,0.0,1,1,0,2.7777777777777715,1,0,1,2.7777777777777715,2,1,1
GlobalPIQA,"object_properties_interactions, affordances",21,33.333333333333336,33.333333333333336,33.333333333333336,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0
GlobalPIQA,"object_properties_interactions, spatial",3,66.66666666666667,66.66666666666667,33.333333333333336,0.0,0,0,0,-33.333333333333336,0,1,-1,-33.333333333333336,0,1,-1
GlobalPIQA,spatial,22,9.090909090909092,0.0,9.090909090909092,-9.090909090909092,0,2,-2,0.0,0,0,0,9.090909090909092,2,0,2
GlobalPIQA,"spatial, counting",1,100.0,100.0,100.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0
GlobalPIQA,time,4,25.0,0.0,50.0,-25.0,0,1,-1,25.0,1,0,1,50.0,2,0,2
GlobalPIQA,"time, counting",7,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0
Supplement,hypernym,842,49.7624703087886,49.287410926365794,49.8812351543943,-0.4750593824228062,13,17,-4,0.11876484560569622,10,9,1,0.5938242280285024,17,12,5
Supplement,qa_congruence_easy,64,67.1875,68.75,70.3125,1.5625,1,0,1,3.125,2,0,2,1.5625,1,0,1
Supplement,qa_congruence_tricky,165,49.09090909090909,50.303030303030305,49.696969696969695,1.212121212121211,3,1,2,0.606060606060602,2,1,1,-0.6060606060606091,2,3,-1
Supplement,subject_aux_inversion,3867,81.14817688130334,80.8637186449444,80.78613912593742,-0.28445823635894385,30,41,-11,-0.3620377553659182,13,27,-14,-0.07757951900697435,42,45,-3
Supplement,turn_taking,280,67.5,68.21428571428571,67.5,0.7142857142857082,4,2,2,0.0,0,0,0,-0.7142857142857082,2,4,-2
