mode,word,pred_model_aoa,pred_model_status,measured_model_aoa,child_aoa,oracle_only
current,duck,,threshold_above_upper_asymptote,,18.166198717402246,0
current,dump,,threshold_above_upper_asymptote,,,0
current,ear,7.048050902413066,ok,7.010246635039565,18.557045885439496,0
current,eat,,threshold_below_lower_asymptote,6.9433926538932065,20.38286318166485,0
current,egg,7.099502929550547,ok,7.14665871429845,21.979637752951344,0
current,elephant,,threshold_above_upper_asymptote,,22.548457510004862,0
current,empty,7.016807058655934,ok,7.046955949563199,26.529972503464574,0
current,eye,6.88588899068483,ok,7.0449611325621655,17.56441529060678,0
current,face,6.869320939943969,ok,,23.708999528999072,0
current,fall,6.9080764294363215,ok,7.311190153082224,23.398800241984326,0
current,farm,7.06378962476433,ok,7.004468250936978,28.02073014859909,0
current,fast,6.983278971390847,ok,7.090780030209967,25.50491253156236,0
current,feed,7.035412020822015,ok,7.485859577282093,27.19892571562119,0
current,find,,threshold_below_lower_asymptote,6.446143622353852,25.64249106636554,0
current,fine,6.964076419390942,ok,,,0
current,finger,6.988455790016489,ok,6.793246330576963,21.849311819029033,0
current,finish,7.0534171485464,ok,7.457667094338411,27.879604149197586,0
current,fireman,,threshold_above_upper_asymptote,,28.027488402045414,0
current,first,,threshold_below_lower_asymptote,,28.986200167021508,0
current,fit,6.9994948002023705,ok,7.019049910868102,29.91292643388448,0
current,fix,6.965126031599405,ok,7.3785185784242815,25.022576246429,0
current,flag,6.990012203580497,ok,7.053213277398209,27.41475309249198,0
current,flower,7.0546599038171465,ok,7.143130270855823,21.001766818807774,0
current,food,6.810580979062453,ok,6.8271030633788685,23.482138731792105,0
current,foot,7.0665608321017315,ok,,21.095607950124922,0
current,fork,,threshold_above_upper_asymptote,,21.87941295589893,0
current,friend,,threshold_below_lower_asymptote,6.748480914606483,26.671894161677375,0
current,frog,7.0541385129280325,ok,,22.223801199230163,0
current,full,6.929005780826311,ok,,27.37585639496008,0
current,game,,threshold_below_lower_asymptote,6.8527454292611765,26.554617597246853,0
current,garage,,threshold_above_upper_asymptote,,27.447544584468154,0
current,garbage,,threshold_above_upper_asymptote,,25.304431824858803,0
current,garden,6.979553385077873,ok,6.666555008268576,29.741359401871044,0
current,gentle,,threshold_above_upper_asymptote,,28.36573384565024,0
current,get,,threshold_below_lower_asymptote,6.4194071814240194,24.364636413972246,0
current,giraffe,,threshold_above_upper_asymptote,,24.13249839791901,0
current,girl,,threshold_below_lower_asymptote,6.8424017439871045,24.667729430346036,0
current,give,6.71617859140153,ok,6.266033750653779,25.598843914428592,0
current,glass,6.979718511635929,ok,,26.12412706803039,0
current,glasses,7.236271760906672,ok,7.228702708803273,23.829833304182998,0
current,gloves,,threshold_above_upper_asymptote,,27.18554578254517,0
current,glue,,threshold_above_upper_asymptote,,,0
current,go,,threshold_below_lower_asymptote,6.607180174809331,19.7106217091394,0
current,good,,threshold_below_lower_asymptote,6.205265101934544,24.339939004434495,0
current,goose,,threshold_above_upper_asymptote,,,0
current,grandma,,threshold_above_upper_asymptote,,17.654354032398764,0
current,grandpa,,threshold_above_upper_asymptote,7.3344399405342635,18.888869147169988,0
current,grapes,,threshold_above_upper_asymptote,,22.395948946531167,0
current,grass,6.953017251611338,ok,7.0484150077420615,23.607923804559615,0
current,green,6.899233912397183,ok,6.904017142316343,24.21157425029654,0
current,gum,,threshold_above_upper_asymptote,,,0
current,hair,6.963000776667273,ok,7.45106966055981,19.9970789541941,0
current,hamburger,,threshold_above_upper_asymptote,,25.368250047773458,0
current,hammer,,threshold_above_upper_asymptote,,26.73579634805976,0
current,hand,,threshold_below_lower_asymptote,6.62526957036802,21.18568722469747,0
current,happy,,threshold_below_lower_asymptote,6.812943307417245,23.945755954119555,0
current,hard,6.608646450172606,ok,6.767609294056566,28.11969960472,0
current,hat,7.062107497320773,ok,,18.89138270526583,0
current,hate,7.0617482967240885,ok,,,0
current,have,,threshold_below_lower_asymptote,6.164576892633637,25.902575376900778,0
current,head,6.714469157663183,ok,6.202633285656266,21.410556416835345,0
current,hear,,threshold_below_lower_asymptote,6.928941659965837,26.993574492322516,0
current,heavy,7.112703783232657,ok,,24.999180520722337,0
current,helicopter,,threshold_above_upper_asymptote,,24.729719482953705,0
current,help,,threshold_below_lower_asymptote,6.762969848645443,22.549129293001915,0
current,hen,,threshold_above_upper_asymptote,,,0
current,hide,6.998869495433955,ok,7.006675550610438,25.18501031653013,0
current,high,6.837779770704628,ok,6.2692286962661905,26.708808302132432,0
current,hit,7.107570003530467,ok,,24.603751287542018,0
current,hold,6.88070782902639,ok,6.929925278223938,25.248945239146906,0
current,home,6.700078763350885,ok,6.145889296395868,21.78006375395454,0
current,horse,6.532767939427648,ok,6.943982458613435,21.207865708611973,0
current,hose,,threshold_below_lower_asymptote,7.059519928906555,28.234924324341566,0
current,hot,6.956140607919488,ok,7.009675725836855,18.922355478495714,0
current,house,,threshold_below_lower_asymptote,6.828859930831892,23.090503002489797,0
current,hug,,threshold_above_upper_asymptote,,22.06053977399637,0
current,hungry,7.302718181011556,ok,,24.654359259781693,0
current,hurry,6.969887206024519,ok,7.611284748137397,27.95475143625973,0
