i,item_id,split_key,source,target_kind,target_text,target_id,nll_base,top1_base,rank_base,nll_true,top1_true,rank_true,nll_reversed,top1_reversed,rank_reversed,nll_shuffled,top1_shuffled,rank_shuffled,example_id,mid_len_bin,mid_words,neighbor_mid_overlap,neighbor_overlap_bin,next_words,prev_words,row_index,shuffle_next_words,shuffle_prev_words,shuffle_row_index,source,target_char_end,target_char_start
21,disc:40435:21:35-38,row:40435,open_subtitles,content,'re,447,2.780233383178711,0,5,0.8961954712867737,1,1,1.1297203302383423,1,1,2.2412960529327393,0,3,50570,8_15,10,0.08388157894736842,0p05_0p15,11,7,40435,10,7,43209,open_subtitles,38,35
22,disc:41488:22:8-10,row:41488,switchboard,content,'t,294,0.003935569431632757,1,1,0.003270160872489214,1,1,0.003388855140656233,1,1,0.0033311136066913605,1,1,62350,8_15,11,0.1513157894736842,0p15_0p30,4,9,41488,3,7,3978,switchboard,10,8
23,disc:12550:23:73-75,row:12550,switchboard,content,'s,249,2.2196924686431885,0,3,0.653262197971344,1,1,0.43831226229667664,1,1,0.7500587105751038,1,1,62377,16_30,18,0.13214285714285715,0p05_0p15,3,16,12550,3,13,57346,switchboard,75,73
24,disc:56291:24:12-13,row:56291,simple_wiki,number,2,22,0.19761112332344055,1,1,0.00625035772100091,1,1,0.010083802975714207,1,1,0.014120666310191154,1,1,59569,8_15,14,0.05357142857142857,0p05_0p15,15,31,56291,11,29,16570,simple_wiki,13,12
25,disc:5383:25:17-19,row:5383,simple_wiki,content,ij,5128,6.19483757019043,0,117,8.671066284179688,0,386,10.237640380859375,0,580,7.179303169250488,0,76,58636,lt8,6,0.1527777777777778,0p15_0p30,13,9,5383,13,8,44130,simple_wiki,19,17
26,disc:9154:26:14-16,row:9154,childes,content,'t,294,0.0021033799275755882,1,1,0.0009139174944721162,1,1,0.0010236029047518969,1,1,0.0008002892718650401,1,1,13774,lt8,7,0.16083916083916083,0p15_0p30,9,5,9154,10,5,43374,childes,16,14
27,disc:43698:27:20-25,row:43698,simple_wiki,content,ating,1127,2.9767165184020996,0,3,3.0454890727996826,0,2,3.3384504318237305,0,3,2.83113431930542,0,2,56229,16_30,20,0.11383928571428571,0p05_0p15,17,10,43698,17,7,58787,simple_wiki,25,20
28,disc:28496:28:9-11,row:28496,switchboard,content,'s,249,4.333959579467773,0,3,1.3420525789260864,0,3,0.8991425037384033,0,2,2.330939531326294,0,3,62380,16_30,23,0.09427609427609428,0p05_0p15,15,5,28496,18,5,45269,switchboard,11,9
29,disc:53693:29:38-40,row:53693,gutenberg,content,oo,275,6.89716100692749,0,129,11.469733238220215,0,943,11.774541854858398,0,1195,9.687189102172852,0,782,32211,8_15,14,0.0125,lt0p05,27,35,53693,21,32,18399,gutenberg,40,38
30,disc:43195:30:11-13,row:43195,open_subtitles,content,'m,451,2.569502592086792,0,4,1.871199607849121,0,2,2.1484127044677734,0,2,2.5916123390197754,0,3,42073,lt8,4,0.0,lt0p05,7,3,43195,7,3,23971,open_subtitles,13,11
31,disc:11530:31:44-47,row:11530,switchboard,content,ils,3286,8.562155723571777,0,576,7.518187999725342,0,271,7.749443054199219,0,341,8.199718475341797,0,451,62478,8_15,13,0.10795454545454546,0p05_0p15,14,11,11530,13,8,29034,switchboard,47,44
32,disc:13393:32:6-8,row:13393,bnc_spoken,content,'d,832,1.9502463340759277,0,2,0.47754278779029846,1,1,0.4433921277523041,1,1,1.4261677265167236,1,1,3527,8_15,10,0.06666666666666667,0p05_0p15,7,3,13393,7,3,24909,bnc_spoken,8,6
33,disc:44610:33:18-20,row:44610,childes,content,is,206,8.729280471801758,0,179,6.808659076690674,0,92,6.561315536499023,0,75,7.843994617462158,0,164,8844,lt8,5,0.05555555555555555,0p05_0p15,5,3,44610,6,3,12132,childes,20,18
34,disc:30420:34:12-14,row:30420,bnc_spoken,content,'s,249,2.3297793865203857,0,3,1.059196949005127,0,2,1.2372617721557617,0,2,1.106243371963501,0,2,2285,8_15,11,0.03571428571428571,lt0p05,6,4,30420,6,4,57749,bnc_spoken,14,12
35,disc:18211:35:9-11,row:18211,childes,content,'s,249,1.4860248565673828,0,2,1.8643990755081177,0,2,1.9357542991638184,0,2,1.4408655166625977,0,2,4794,lt8,4,0.17142857142857143,0p15_0p30,4,8,18211,4,6,28101,childes,11,9
36,disc:62565:36:53-55,row:62565,open_subtitles,content,ou,198,4.934903144836426,0,23,4.497907638549805,0,12,4.616885185241699,0,14,4.691985607147217,0,14,47850,8_15,14,0.025,lt0p05,6,7,62565,6,7,21112,open_subtitles,55,53
37,disc:39262:37:24-25,row:39262,simple_wiki,number,0,20,0.09602519869804382,1,1,0.001848180778324604,1,1,0.002163333585485816,1,1,0.3074425458908081,1,1,53730,8_15,9,0.08823529411764706,0p05_0p15,16,11,39262,16,13,37687,simple_wiki,25,24
38,disc:23165:38:71-75,row:23165,gutenberg,content,able,665,6.594109058380127,0,56,6.548463821411133,0,58,6.185476303100586,0,47,5.992485046386719,0,45,34985,gt30,33,0.11211180124223603,0p05_0p15,22,3,23165,26,6,52656,gutenberg,75,71
39,disc:37429:39:8-10,row:37429,bnc_spoken,content,'d,832,6.953710556030273,0,56,4.966187000274658,0,21,5.064143180847168,0,21,7.920990467071533,0,58,92,lt8,5,0.0,lt0p05,6,4,37429,7,5,20081,bnc_spoken,10,8
40,disc:12521:40:53-55,row:12521,bnc_spoken,content,'s,249,3.8968939781188965,0,5,4.321413993835449,0,7,4.144710063934326,0,5,3.552298069000244,0,4,3787,16_30,17,0.05233990147783251,0p05_0p15,14,12,12521,13,8,62917,bnc_spoken,55,53
41,disc:35051:41:19-20,row:35051,simple_wiki,number,0,20,1.9633861780166626,0,2,2.1506400108337402,0,2,1.7717198133468628,1,1,1.5069684982299805,0,2,54691,16_30,18,0.12303921568627452,0p05_0p15,3,43,35051,5,36,15274,simple_wiki,20,19
42,disc:11713:42:6-8,row:11713,bnc_spoken,content,'m,451,2.8538384437561035,0,5,3.18742036819458,0,4,2.871483087539673,0,4,2.2274327278137207,0,4,3766,8_15,12,0.021739130434782608,lt0p05,17,12,11713,19,12,37003,bnc_spoken,8,6
43,disc:43866:43:30-32,row:43866,simple_wiki,content,ay,251,6.936005592346191,0,223,6.224435329437256,0,99,6.286801815032959,0,104,7.107550621032715,0,209,61894,8_15,8,0.23333333333333334,0p15_0p30,9,8,43866,8,7,29802,simple_wiki,32,30
44,disc:40753:44:9-11,row:40753,childes,content,'t,294,1.3837307691574097,1,1,1.0038410425186157,1,1,0.8943027853965759,1,1,1.2036895751953125,1,1,7827,lt8,5,0.05,0p05_0p15,6,4,40753,6,3,31969,childes,11,9
45,disc:13314:45:41-42,row:13314,simple_wiki,content,T,56,3.07741641998291,0,5,4.007229804992676,0,14,3.280642509460449,0,8,3.0556986331939697,0,5,55791,8_15,10,0.10817307692307693,0p05_0p15,5,41,13314,5,37,22134,simple_wiki,42,41
46,disc:36400:46:10-12,row:36400,childes,content,'s,249,2.249298095703125,0,3,0.7420326471328735,1,1,0.7539824843406677,1,1,1.420316219329834,0,3,21424,lt8,6,0.35,ge0p30,6,6,36400,6,7,22171,childes,12,10
47,disc:28212:47:8-10,row:28212,switchboard,content,'m,451,2.6407291889190674,0,5,2.2572669982910156,0,2,2.1590919494628906,0,2,4.09384298324585,0,8,62408,lt8,6,0.20535714285714285,0p15_0p30,3,3,28212,3,3,44485,switchboard,10,8
48,disc:9352:48:36-41,row:9352,simple_wiki,content,isher,7317,9.26664924621582,0,1289,9.659794807434082,0,1464,9.05472183227539,0,1135,7.585047245025635,0,418,57232,8_15,15,0.20681818181818182,0p15_0p30,15,48,9352,13,45,6514,simple_wiki,41,36
49,disc:8005:49:10-12,row:8005,childes,content,'s,249,2.1405134201049805,0,3,1.1939315795898438,0,2,1.7698688507080078,0,2,3.706118583679199,0,2,11299,lt8,6,0.0,lt0p05,4,4,8005,4,4,30176,childes,12,10
50,disc:26178:50:20-25,row:26178,gutenberg,content,reath,14380,5.985169887542725,0,85,5.99461555480957,0,86,6.212650775909424,0,113,6.128772735595703,0,105,24557,gt30,36,0.1278409090909091,0p05_0p15,40,70,26178,33,60,62784,gutenberg,25,20
51,disc:57765:51:9-11,row:57765,bnc_spoken,content,'s,249,2.981264591217041,0,5,1.5588524341583252,0,2,1.5619724988937378,1,1,2.2079274654388428,0,4,3714,lt8,4,0.0,lt0p05,24,7,57765,23,6,43227,bnc_spoken,11,9
52,disc:33025:52:36-39,row:33025,gutenberg,content,ren,636,7.745303630828857,0,432,0.018743891268968582,1,1,0.019872261211276054,1,1,7.260002136230469,0,268,24079,16_30,24,0.09906759906759907,0p05_0p15,18,13,33025,16,14,26076,gutenberg,39,36
53,disc:32078:53:23-26,row:32078,gutenberg,function,THE,11789,4.4821882247924805,0,8,6.313276290893555,0,30,5.989813804626465,0,29,4.228663921356201,0,8,34447,lt8,7,0.05,0p05_0p15,4,9,32078,8,9,5141,gutenberg,26,23
54,disc:8509:54:13-16,row:8509,childes,content,'re,447,0.5038080215454102,1,1,0.34326693415641785,1,1,0.47735974192619324,1,1,0.25370508432388306,1,1,6617,lt8,4,0.07142857142857142,0p05_0p15,3,4,8509,3,4,18226,childes,16,13
55,disc:44276:55:4-7,row:44276,gutenberg,content,ner,1111,10.488062858581543,0,4480,9.099727630615234,0,1173,9.643457412719727,0,1846,9.72852611541748,0,2532,29677,lt8,4,0.0,lt0p05,10,3,44276,3,4,18148,gutenberg,7,4
56,disc:42070:56:42-45,row:42070,bnc_spoken,content,ing,212,4.185500144958496,0,11,4.613184928894043,0,12,4.100886344909668,0,8,3.978355646133423,0,8,2537,8_15,10,0.05277777777777778,0p05_0p15,3,36,42070,5,38,19013,bnc_spoken,45,42
57,disc:15323:57:105-108,row:15323,bnc_spoken,content,add,797,5.466962814331055,0,38,5.709744930267334,0,60,5.7252421379089355,0,62,5.496915340423584,0,36,1453,16_30,27,0.05827702702702703,0p05_0p15,12,24,15323,7,25,26655,bnc_spoken,108,105
58,disc:7301:58:53-55,row:7301,childes,content,'t,294,0.007224506698548794,1,1,0.006172166671603918,1,1,0.007159411441534758,1,1,0.004903434310108423,1,1,19302,8_15,12,0.12941176470588237,0p05_0p15,6,6,7301,6,6,62267,childes,55,53
59,disc:60349:59:118-121,row:60349,bnc_spoken,content,'re,447,2.2404699325561523,0,3,1.101265788078308,1,1,1.3407557010650635,0,3,2.024026870727539,0,3,3858,16_30,28,0.05155038759689923,0p05_0p15,18,3,60349,16,5,55944,bnc_spoken,121,118
60,disc:59805:60:97-102,row:59805,gutenberg,content,ently,1393,2.601149797439575,1,1,2.8247523307800293,0,4,2.797344207763672,0,4,2.6289191246032715,0,3,37147,gt30,34,0.05360501567398119,0p05_0p15,25,56,59805,21,50,13565,gutenberg,102,97
61,disc:16292:61:10-12,row:16292,childes,content,'s,249,0.7994657158851624,1,1,0.23683014512062073,1,1,0.4603893756866455,1,1,0.8375198245048523,1,1,19542,8_15,8,0.2532467532467533,0p15_0p30,7,8,16292,7,9,29029,childes,12,10
62,disc:50167:62:95-98,row:50167,gutenberg,content,aps,4126,7.828881740570068,0,143,8.095882415771484,0,211,7.4501142501831055,0,139,7.959007740020752,0,182,29539,16_30,21,0.11776187378009109,0p05_0p15,39,11,50167,42,10,59644,gutenberg,98,95
63,disc:61773:63:5-7,row:61773,open_subtitles,content,'t,294,0.0032124125864356756,1,1,0.0023357984609901905,1,1,0.0023825373500585556,1,1,0.0014112761709839106,1,1,43037,lt8,4,0.05,0p05_0p15,7,4,61773,7,3,27724,open_subtitles,7,5
64,disc:10586:64:129-132,row:10586,bnc_spoken,content,ain,373,5.639128684997559,0,43,6.451135635375977,0,117,6.144890785217285,0,70,6.133692741394043,0,74,1241,16_30,24,0.044444444444444446,lt0p05,7,25,10586,7,25,46361,bnc_spoken,132,129
65,disc:43941:65:149-153,row:43941,gutenberg,content,They,4769,2.9819679260253906,0,4,2.330155372619629,0,4,2.6698858737945557,0,4,3.611537218093872,0,4,28805,gt30,35,0.12878787878787878,0p05_0p15,35,25,43941,29,30,34056,gutenberg,153,149
66,disc:40904:66:33-37,row:40904,simple_wiki,content,olph,12089,10.071307182312012,0,593,7.722877502441406,0,245,7.048196792602539,0,160,8.446041107177734,0,389,59503,lt8,7,0.05555555555555555,0p05_0p15,3,13,40904,3,10,36101,simple_wiki,37,33
67,disc:13481:67:90-92,row:13481,bnc_spoken,content,'s,249,3.1074748039245605,0,3,2.8665008544921875,0,2,2.286984920501709,0,2,2.4359028339385986,0,2,1320,16_30,26,0.05220125786163522,0p05_0p15,29,6,13481,28,10,6058,bnc_spoken,92,90
68,disc:36349:68:19-21,row:36349,childes,content,'t,294,0.9665800333023071,1,1,1.5322041511535645,1,1,1.2054139375686646,1,1,0.4643869996070862,1,1,19328,8_15,12,0.0625,0p05_0p15,6,16,36349,13,15,38840,childes,21,19
69,disc:59856:69:4-6,row:59856,bnc_spoken,content,hm,957,9.573567390441895,0,929,9.832544326782227,0,761,10.11982536315918,0,926,10.380847930908203,0,1382,2602,8_15,11,0.13172043010752688,0p05_0p15,10,23,59856,6,23,17477,bnc_spoken,6,4
70,disc:23531:70:73-75,row:23531,simple_wiki,content,op,366,7.067185401916504,0,205,7.538535118103027,0,334,7.414005279541016,0,288,7.0500874519348145,0,169,56712,16_30,17,0.11538461538461539,0p05_0p15,12,12,23531,12,12,18003,simple_wiki,75,73
71,disc:45002:71:68-70,row:45002,simple_wiki,content,aw,958,4.477833271026611,0,10,3.5092737674713135,0,4,3.6022021770477295,0,5,3.8644752502441406,0,5,57795,16_30,17,0.11559139784946236,0p05_0p15,11,16,45002,11,15,64734,simple_wiki,70,68
72,disc:52094:72:60-61,row:52094,simple_wiki,number,2,22,2.3290419578552246,0,2,1.8642053604125977,0,2,1.9858884811401367,0,2,1.9041095972061157,0,2,57026,8_15,15,0.1674484052532833,0p15_0p30,14,35,52094,12,32,53874,simple_wiki,61,60
73,disc:43062:73:38-40,row:43062,bnc_spoken,content,'s,249,1.0148966312408447,1,1,0.8318517208099365,1,1,0.718504786491394,1,1,0.9398161172866821,1,1,4731,16_30,16,0.09608745684695053,0p05_0p15,71,32,43062,47,19,58584,bnc_spoken,40,38
74,disc:32430:74:12-15,row:32430,childes,content,int,531,0.6644822955131531,1,1,0.0014394884929060936,1,1,0.0007415643776766956,1,1,0.08993199467658997,1,1,16728,lt8,4,0.24305555555555555,0p15_0p30,7,6,32430,6,7,3667,childes,15,12
75,disc:3773:75:29-36,row:3773,gutenberg,content,Roanoke,14012,2.1489503383636475,1,1,3.4769539833068848,0,2,2.7952356338500977,0,2,1.9899840354919434,1,1,27966,8_15,15,0.039705882352941174,lt0p05,6,20,3773,7,23,50453,gutenberg,36,29
76,disc:45963:76:19-22,row:45963,bnc_spoken,content,man,772,5.812463283538818,0,48,7.589996337890625,0,211,8.047094345092773,0,395,6.993186950683594,0,182,2552,8_15,8,0.05128205128205128,0p05_0p15,35,10,45963,35,11,52733,bnc_spoken,22,19
77,disc:16248:77:7-9,row:16248,simple_wiki,content,me,1351,8.703522682189941,0,962,0.009336500428617,1,1,0.012019234709441662,1,1,11.946432113647461,0,2827,60666,8_15,11,0.09571428571428571,0p05_0p15,19,17,16248,19,16,13943,simple_wiki,9,7
78,disc:27822:78:41-44,row:27822,bnc_spoken,content,het,3421,7.398953437805176,0,317,0.19400404393672943,1,1,0.2567596435546875,1,1,7.632503986358643,0,389,4612,8_15,9,0.0,lt0p05,21,45,27822,19,40,30534,bnc_spoken,44,41
79,disc:21790:79:62-64,row:21790,simple_wiki,content,st,289,7.450401306152344,0,333,8.608510971069336,0,637,9.587109565734863,0,826,6.527902603149414,0,89,55231,8_15,10,0.023809523809523808,lt0p05,10,12,21790,8,12,28421,simple_wiki,64,62
80,disc:41251:80:13-15,row:41251,switchboard,content,'s,249,2.906496047973633,0,4,1.479993462562561,0,2,1.3224904537200928,0,2,2.6620731353759766,0,4,62405,16_30,17,0.08682266009852216,0p05_0p15,16,12,41251,17,14,52780,switchboard,15,13
81,disc:18524:81:49-52,row:18524,bnc_spoken,content,ing,212,2.630796194076538,0,2,3.4400322437286377,0,3,3.571321725845337,0,4,2.9852898120880127,0,2,2170,8_15,13,0.017857142857142856,lt0p05,3,16,18524,3,16,61724,bnc_spoken,52,49
82,disc:39127:82:6-8,row:39127,open_subtitles,content,'s,249,0.7484264969825745,1,1,0.6340360641479492,1,1,0.685267448425293,1,1,0.9307654500007629,1,1,41210,lt8,5,0.0,lt0p05,3,3,39127,3,4,9124,open_subtitles,8,6
83,disc:25071:83:19-22,row:25071,simple_wiki,content,ids,3144,5.883471488952637,0,48,9.463692665100098,0,740,8.943599700927734,0,272,12.255763053894043,0,4740,57539,8_15,15,0.1282894736842105,0p05_0p15,3,28,25071,7,27,49144,simple_wiki,22,19
84,disc:59215:84:86-89,row:59215,switchboard,content,ier,1292,12.029282569885254,0,3161,9.304427146911621,0,860,10.957464218139648,0,1917,8.35179328918457,0,414,62411,16_30,20,0.09943714821763602,0p05_0p15,26,8,59215,24,12,63530,switchboard,89,86
85,disc:60077:85:89-90,row:60077,simple_wiki,number,8,28,3.1236824989318848,0,6,2.9896531105041504,0,6,2.9633922576904297,0,6,3.2949719429016113,0,9,54419,16_30,30,0.2,0p15_0p30,7,19,60077,7,19,54738,simple_wiki,90,89
86,disc:3506:86:8-9,row:3506,childes,content,s,87,9.23121452331543,0,380,9.463445663452148,0,474,9.742700576782227,0,505,9.70421028137207,0,435,11314,8_15,8,0.10714285714285714,0p05_0p15,16,7,3506,16,6,37434,childes,9,8
87,disc:51937:87:68-73,row:51937,bnc_spoken,content,ology,2467,11.370845794677734,0,2730,10.674328804016113,0,3305,10.940949440002441,0,3629,10.075742721557617,0,1870,2775,16_30,20,0.025,lt0p05,22,6,51937,21,8,62701,bnc_spoken,73,68
88,disc:14135:88:15-17,row:14135,switchboard,content,'t,294,0.3678387999534607,1,1,0.004541202913969755,1,1,0.005064397118985653,1,1,0.04529447481036186,1,1,62404,lt8,6,0.17482517482517482,0p15_0p30,8,8,14135,8,9,55353,switchboard,17,15
89,disc:7446:89:143-147,row:7446,switchboard,content,ines,1327,6.1989898681640625,0,26,6.341882705688477,0,36,6.356008529663086,0,37,6.521457672119141,0,34,62373,16_30,28,0.0750232991612302,0p05_0p15,12,3,7446,10,5,55590,switchboard,147,143
90,disc:41339:90:38-40,row:41339,bnc_spoken,content,'s,249,1.2793642282485962,0,2,1.673109769821167,0,2,1.6157941818237305,1,1,2.258653163909912,0,2,1436,8_15,14,0.05886970172684458,0p05_0p15,14,37,41339,18,40,37734,bnc_spoken,40,38
91,disc:10531:91:43-46,row:10531,bnc_spoken,content,ter,313,8.403884887695312,0,733,9.978300094604492,0,1735,9.511794090270996,0,1350,9.227736473083496,0,1323,4704,8_15,11,0.03736413043478261,lt0p05,13,22,10531,13,20,9746,bnc_spoken,46,43
92,disc:32960:92:55-62,row:32960,simple_wiki,content,stances,5551,7.635001182556152,0,391,0.9108048677444458,1,1,0.9227992296218872,1,1,7.746448516845703,0,448,59923,8_15,15,0.19345238095238096,0p15_0p30,18,14,32960,20,10,19828,simple_wiki,62,55
93,disc:12514:93:16-21,row:12514,simple_wiki,content,ating,1127,7.7361860275268555,0,404,7.773514747619629,0,398,8.169998168945312,0,564,6.868288040161133,0,184,57624,lt8,6,0.0625,0p05_0p15,3,6,12514,6,6,5792,simple_wiki,21,16
94,disc:11918:94:44-50,row:11918,switchboard,content,ations,895,6.1409525871276855,0,68,8.994239807128906,0,43,9.29116439819336,0,48,7.977267265319824,0,388,62450,8_15,15,0.15362318840579708,0p15_0p30,12,19,11918,12,19,44506,switchboard,50,44
95,disc:45099:95:12-14,row:45099,childes,content,'t,294,0.006432779133319855,1,1,0.0034536023158580065,1,1,0.002760055009275675,1,1,0.006872942205518484,1,1,5300,lt8,6,0.14285714285714285,0p05_0p15,6,3,45099,6,3,16493,childes,14,12
96,disc:9480:96:50-56,row:9480,childes,content,points,2649,0.2404254674911499,1,1,0.020806150510907173,1,1,0.022321177646517754,1,1,0.3532906770706177,1,1,16112,8_15,12,0.1875,0p15_0p30,13,6,9480,10,6,6247,childes,56,50
97,disc:34062:97:75-77,row:34062,bnc_spoken,content,'s,249,0.023539258167147636,1,1,0.06775539368391037,1,1,0.05659492686390877,1,1,0.03419727832078934,1,1,1669,16_30,22,0.06993464052287582,0p05_0p15,24,35,34062,19,34,48558,bnc_spoken,77,75
98,disc:42161:98:36-38,row:42161,switchboard,content,es,219,6.366019248962402,0,96,5.413931846618652,0,28,5.209605693817139,0,24,6.591054916381836,0,121,62392,8_15,8,0.014285714285714285,lt0p05,28,5,42161,24,7,10741,switchboard,38,36
99,disc:40997:99:60-63,row:40997,simple_wiki,content,oph,4834,11.497354507446289,0,3189,0.42794641852378845,1,1,0.3533053994178772,1,1,11.840493202209473,0,3713,60177,16_30,20,0.10602981029810299,0p05_0p15,21,24,40997,22,26,34474,simple_wiki,63,60
100,disc:44616:100:70-71,row:44616,bnc_spoken,content,s,87,7.36983585357666,0,175,0.19707953929901123,1,1,0.16274672746658325,1,1,6.35124397277832,0,73,430,8_15,15,0.07730496453900709,0p05_0p15,33,19,44616,30,15,57427,bnc_spoken,71,70
101,disc:6233:101:95-99,row:6233,bnc_spoken,content,ties,6655,7.959750175476074,0,416,8.216218948364258,0,504,8.41293716430664,0,544,7.608922004699707,0,323,1345,16_30,26,0.10416666666666666,0p05_0p15,39,10,6233,40,8,54646,bnc_spoken,99,95
102,disc:44717:102:62-64,row:44717,simple_wiki,content,im,272,8.364633560180664,0,600,8.688023567199707,0,636,8.879257202148438,0,761,8.796897888183594,0,693,54278,16_30,24,0.031754032258064516,lt0p05,9,8,44717,9,5,60778,simple_wiki,64,62
