pair_id,source_content_word_types,rewrite_content_word_types,shared_content_word_types,word_jaccard,rewrite_overlap_frac,source_overlap_frac,rewrite_new_frac,source_words_raw,rewrite_words_raw,overlap_fixed_bin,overlap_tertile
compact:frontier_consolidation_fwcompact_medium_050993,9,9,9,1.0,1.0,1.0,0.0,14,13,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_015632,12,12,11,0.8461538461538461,0.9166666666666666,0.9166666666666666,0.08333333333333337,15,14,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_026879,27,13,7,0.21212121212121213,0.5384615384615384,0.25925925925925924,0.46153846153846156,36,16,high_50_75,tertile_low
compact:frontier_consolidation_fwcompact_medium_059184,21,16,8,0.27586206896551724,0.5,0.38095238095238093,0.5,38,20,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_035107,25,13,10,0.35714285714285715,0.7692307692307693,0.4,0.23076923076923073,41,18,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_048225,22,15,10,0.37037037037037035,0.6666666666666666,0.45454545454545453,0.33333333333333337,48,24,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_042222,20,15,8,0.2962962962962963,0.5333333333333333,0.4,0.4666666666666667,47,22,high_50_75,tertile_low
compact:frontier_consolidation_fwcompact_medium_038001,7,5,5,0.7142857142857143,1.0,0.7142857142857143,0.0,12,5,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_054480,4,3,1,0.16666666666666666,0.3333333333333333,0.25,0.6666666666666667,10,6,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_012743,5,3,1,0.14285714285714285,0.3333333333333333,0.2,0.6666666666666667,10,4,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_007894,5,4,2,0.2857142857142857,0.5,0.4,0.5,10,6,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_028263,8,5,4,0.4444444444444444,0.8,0.5,0.19999999999999996,11,6,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_017745,9,4,4,0.4444444444444444,1.0,0.4444444444444444,0.0,11,4,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_020368,7,5,3,0.3333333333333333,0.6,0.42857142857142855,0.4,11,6,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_043547,6,5,2,0.2222222222222222,0.4,0.3333333333333333,0.6,11,8,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_032927,9,6,5,0.5,0.8333333333333334,0.5555555555555556,0.16666666666666663,11,7,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_044823,6,5,2,0.2222222222222222,0.4,0.3333333333333333,0.6,12,7,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_035244,5,5,4,0.6666666666666666,0.8,0.8,0.19999999999999996,12,11,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_023579,8,7,3,0.25,0.42857142857142855,0.375,0.5714285714285714,13,8,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_008231,8,5,3,0.3,0.6,0.375,0.4,13,7,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_057748,10,7,3,0.21428571428571427,0.42857142857142855,0.3,0.5714285714285714,13,8,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_005335,8,7,3,0.25,0.42857142857142855,0.375,0.5714285714285714,14,10,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_022106,9,6,4,0.36363636363636365,0.6666666666666666,0.4444444444444444,0.33333333333333337,14,7,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_032637,9,7,4,0.3333333333333333,0.5714285714285714,0.4444444444444444,0.4285714285714286,14,9,high_50_75,tertile_low
compact:frontier_consolidation_fwcompact_medium_010389,8,6,3,0.2727272727272727,0.5,0.375,0.5,15,9,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_043197,10,6,4,0.3333333333333333,0.6666666666666666,0.4,0.33333333333333337,15,7,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_033284,9,6,4,0.36363636363636365,0.6666666666666666,0.4444444444444444,0.33333333333333337,15,7,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_043336,9,7,4,0.3333333333333333,0.5714285714285714,0.4444444444444444,0.4285714285714286,15,9,high_50_75,tertile_low
compact:frontier_consolidation_fwcompact_medium_056378,5,5,2,0.25,0.4,0.4,0.6,16,8,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_024794,9,6,3,0.25,0.5,0.3333333333333333,0.5,17,8,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_002477,10,9,5,0.35714285714285715,0.5555555555555556,0.5,0.4444444444444444,18,10,high_50_75,tertile_low
compact:frontier_consolidation_fwcompact_medium_051674,9,8,3,0.21428571428571427,0.375,0.3333333333333333,0.625,18,10,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_038270,10,5,3,0.25,0.6,0.3,0.4,18,8,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_010023,10,5,4,0.36363636363636365,0.8,0.4,0.19999999999999996,20,7,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_021673,9,8,4,0.3076923076923077,0.5,0.4444444444444444,0.5,22,12,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_030500,14,9,5,0.2777777777777778,0.5555555555555556,0.35714285714285715,0.4444444444444444,23,12,high_50_75,tertile_low
compact:frontier_consolidation_fwcompact_medium_055774,15,10,2,0.08695652173913043,0.2,0.13333333333333333,0.8,24,13,low_<25,tertile_low
compact:frontier_consolidation_fwcompact_medium_033810,20,15,8,0.2962962962962963,0.5333333333333333,0.4,0.4666666666666667,33,16,high_50_75,tertile_low
compact:frontier_consolidation_fwcompact_medium_036013,31,17,12,0.3333333333333333,0.7058823529411765,0.3870967741935484,0.2941176470588235,38,21,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_003321,16,14,6,0.25,0.42857142857142855,0.375,0.5714285714285714,39,20,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_041085,22,13,11,0.4583333333333333,0.8461538461538461,0.5,0.15384615384615385,39,15,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_047136,17,10,8,0.42105263157894735,0.8,0.47058823529411764,0.19999999999999996,40,21,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_033289,23,10,6,0.2222222222222222,0.6,0.2608695652173913,0.4,41,17,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_044499,21,13,10,0.4166666666666667,0.7692307692307693,0.47619047619047616,0.23076923076923073,43,19,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_013359,22,11,8,0.32,0.7272727272727273,0.36363636363636365,0.2727272727272727,44,17,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_042455,3,4,3,0.75,0.75,1.0,0.25,10,9,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_022618,8,5,2,0.18181818181818182,0.4,0.25,0.6,10,7,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_037639,7,5,2,0.2,0.4,0.2857142857142857,0.6,10,7,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_030702,7,5,3,0.3333333333333333,0.6,0.42857142857142855,0.4,10,8,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_052930,5,3,1,0.14285714285714285,0.3333333333333333,0.2,0.6666666666666667,10,6,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_020101,7,7,7,1.0,1.0,1.0,0.0,10,10,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_026987,5,3,2,0.3333333333333333,0.6666666666666666,0.4,0.33333333333333337,10,4,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_020838,6,4,2,0.25,0.5,0.3333333333333333,0.5,10,4,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_020214,7,7,7,1.0,1.0,1.0,0.0,10,8,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_044959,6,4,2,0.25,0.5,0.3333333333333333,0.5,10,6,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_030397,4,4,1,0.14285714285714285,0.25,0.25,0.75,10,6,low_<25,tertile_low
compact:frontier_consolidation_fwcompact_medium_048816,6,4,4,0.6666666666666666,1.0,0.6666666666666666,0.0,10,6,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_037981,6,4,3,0.42857142857142855,0.75,0.5,0.25,10,4,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_013401,8,8,7,0.7777777777777778,0.875,0.875,0.125,10,9,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_021593,9,5,4,0.4,0.8,0.4444444444444444,0.19999999999999996,10,5,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_022610,6,5,5,0.8333333333333334,1.0,0.8333333333333334,0.0,10,9,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_009994,7,4,3,0.375,0.75,0.42857142857142855,0.25,10,5,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_041994,7,5,5,0.7142857142857143,1.0,0.7142857142857143,0.0,11,9,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_049939,7,6,2,0.18181818181818182,0.3333333333333333,0.2857142857142857,0.6666666666666667,11,9,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_059322,7,5,3,0.3333333333333333,0.6,0.42857142857142855,0.4,11,6,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_028476,7,3,0,0.0,0.0,0.0,1.0,11,5,low_<25,tertile_low
compact:frontier_consolidation_fwcompact_medium_041473,8,5,3,0.3,0.6,0.375,0.4,11,6,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_041483,8,8,7,0.7777777777777778,0.875,0.875,0.125,11,10,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_056755,7,6,2,0.18181818181818182,0.3333333333333333,0.2857142857142857,0.6666666666666667,11,7,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_008856,7,5,2,0.2,0.4,0.2857142857142857,0.6,11,5,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_058669,9,8,7,0.7,0.875,0.7777777777777778,0.125,11,10,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_013496,6,5,3,0.375,0.6,0.5,0.4,11,6,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_008406,6,4,2,0.25,0.5,0.3333333333333333,0.5,11,6,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_045702,6,6,6,1.0,1.0,1.0,0.0,11,10,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_034265,7,4,2,0.2222222222222222,0.5,0.2857142857142857,0.5,11,5,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_057071,8,6,5,0.5555555555555556,0.8333333333333334,0.625,0.16666666666666663,11,6,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_018465,7,5,2,0.2,0.4,0.2857142857142857,0.6,11,6,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_044406,9,5,4,0.4,0.8,0.4444444444444444,0.19999999999999996,11,5,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_058859,7,7,7,1.0,1.0,1.0,0.0,12,11,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_044566,7,7,7,1.0,1.0,1.0,0.0,12,12,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_017750,8,5,4,0.4444444444444444,0.8,0.5,0.19999999999999996,12,5,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_006355,7,6,4,0.4444444444444444,0.6666666666666666,0.5714285714285714,0.33333333333333337,12,6,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_013505,9,4,3,0.3,0.75,0.3333333333333333,0.25,12,5,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_003233,9,5,4,0.4,0.8,0.4444444444444444,0.19999999999999996,12,7,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_051374,8,4,3,0.3333333333333333,0.75,0.375,0.25,12,5,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_034160,9,8,8,0.8888888888888888,1.0,0.8888888888888888,0.0,12,10,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_019248,7,6,5,0.625,0.8333333333333334,0.7142857142857143,0.16666666666666663,12,7,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_049643,8,4,3,0.3333333333333333,0.75,0.375,0.25,12,6,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_034541,8,5,2,0.18181818181818182,0.4,0.25,0.6,12,6,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_043478,6,4,2,0.25,0.5,0.3333333333333333,0.5,12,7,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_037394,11,7,5,0.38461538461538464,0.7142857142857143,0.45454545454545453,0.2857142857142857,13,7,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_004071,8,6,4,0.4,0.6666666666666666,0.5,0.33333333333333337,13,8,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_010241,7,5,3,0.3333333333333333,0.6,0.42857142857142855,0.4,13,10,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_020035,7,5,3,0.3333333333333333,0.6,0.42857142857142855,0.4,13,7,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_060082,7,5,2,0.2,0.4,0.2857142857142857,0.6,13,9,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_004177,9,7,3,0.23076923076923078,0.42857142857142855,0.3333333333333333,0.5714285714285714,13,8,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_023369,8,8,8,1.0,1.0,1.0,0.0,13,13,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_026897,9,7,3,0.23076923076923078,0.42857142857142855,0.3333333333333333,0.5714285714285714,13,9,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_054062,7,6,3,0.3,0.5,0.42857142857142855,0.5,13,7,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_054913,6,5,4,0.5714285714285714,0.8,0.6666666666666666,0.19999999999999996,13,8,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_003148,7,6,4,0.4444444444444444,0.6666666666666666,0.5714285714285714,0.33333333333333337,13,8,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_040382,9,6,4,0.36363636363636365,0.6666666666666666,0.4444444444444444,0.33333333333333337,13,11,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_015832,9,8,3,0.21428571428571427,0.375,0.3333333333333333,0.625,13,9,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_002156,7,4,2,0.2222222222222222,0.5,0.2857142857142857,0.5,13,5,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_040011,7,5,3,0.3333333333333333,0.6,0.42857142857142855,0.4,13,7,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_007061,8,5,4,0.4444444444444444,0.8,0.5,0.19999999999999996,13,6,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_015153,8,5,4,0.4444444444444444,0.8,0.5,0.19999999999999996,13,6,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_003628,5,4,3,0.5,0.75,0.6,0.25,13,8,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_046651,5,4,2,0.2857142857142857,0.5,0.4,0.5,13,5,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_020024,9,6,3,0.25,0.5,0.3333333333333333,0.5,13,7,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_004204,9,8,6,0.5454545454545454,0.75,0.6666666666666666,0.25,13,8,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_006449,7,4,2,0.2222222222222222,0.5,0.2857142857142857,0.5,13,8,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_031437,6,4,2,0.25,0.5,0.3333333333333333,0.5,13,8,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_038477,7,6,3,0.3,0.5,0.42857142857142855,0.5,14,7,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_017287,9,9,9,1.0,1.0,1.0,0.0,14,13,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_025645,9,8,7,0.7,0.875,0.7777777777777778,0.125,14,9,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_012605,11,10,9,0.75,0.9,0.8181818181818182,0.09999999999999998,14,12,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_035513,10,9,6,0.46153846153846156,0.6666666666666666,0.6,0.33333333333333337,14,10,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_007379,9,8,5,0.4166666666666667,0.625,0.5555555555555556,0.375,14,9,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_056051,6,5,3,0.375,0.6,0.5,0.4,14,8,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_014596,8,8,6,0.6,0.75,0.75,0.25,14,13,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_013198,10,10,8,0.6666666666666666,0.8,0.8,0.19999999999999996,14,15,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_020333,8,8,8,1.0,1.0,1.0,0.0,14,13,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_056235,10,9,8,0.7272727272727273,0.8888888888888888,0.8,0.11111111111111116,14,12,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_015967,9,7,3,0.23076923076923078,0.42857142857142855,0.3333333333333333,0.5714285714285714,14,9,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_002576,11,10,10,0.9090909090909091,1.0,0.9090909090909091,0.0,14,13,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_028727,8,5,5,0.625,1.0,0.625,0.0,14,8,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_034120,9,6,3,0.25,0.5,0.3333333333333333,0.5,14,7,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_045404,9,8,5,0.4166666666666667,0.625,0.5555555555555556,0.375,14,13,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_026740,9,6,5,0.5,0.8333333333333334,0.5555555555555556,0.16666666666666663,15,6,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_054413,8,8,5,0.45454545454545453,0.625,0.625,0.375,15,15,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_052950,8,7,5,0.5,0.7142857142857143,0.625,0.2857142857142857,15,8,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_002653,10,10,10,1.0,1.0,1.0,0.0,15,14,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_052842,8,7,4,0.36363636363636365,0.5714285714285714,0.5,0.4285714285714286,15,9,high_50_75,tertile_low
compact:frontier_consolidation_fwcompact_medium_025797,9,8,4,0.3076923076923077,0.5,0.4444444444444444,0.5,15,10,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_033797,6,5,2,0.2222222222222222,0.4,0.3333333333333333,0.6,15,9,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_006265,10,6,3,0.23076923076923078,0.5,0.3,0.5,15,9,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_013514,11,8,5,0.35714285714285715,0.625,0.45454545454545453,0.375,15,9,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_053857,11,7,5,0.38461538461538464,0.7142857142857143,0.45454545454545453,0.2857142857142857,15,9,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_027439,11,11,10,0.8333333333333334,0.9090909090909091,0.9090909090909091,0.09090909090909094,15,13,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_001462,11,7,5,0.38461538461538464,0.7142857142857143,0.45454545454545453,0.2857142857142857,15,8,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_014826,10,9,4,0.26666666666666666,0.4444444444444444,0.4,0.5555555555555556,15,11,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_001325,7,6,3,0.3,0.5,0.42857142857142855,0.5,15,7,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_013478,11,11,10,0.8333333333333334,0.9090909090909091,0.9090909090909091,0.09090909090909094,15,14,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_034682,10,6,4,0.3333333333333333,0.6666666666666666,0.4,0.33333333333333337,15,8,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_025092,9,6,4,0.36363636363636365,0.6666666666666666,0.4444444444444444,0.33333333333333337,16,8,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_025559,7,6,3,0.3,0.5,0.42857142857142855,0.5,16,9,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_042994,7,5,3,0.3333333333333333,0.6,0.42857142857142855,0.4,17,9,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_042415,8,6,4,0.4,0.6666666666666666,0.5,0.33333333333333337,17,7,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_030672,9,6,4,0.36363636363636365,0.6666666666666666,0.4444444444444444,0.33333333333333337,18,8,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_025008,9,7,6,0.6,0.8571428571428571,0.6666666666666666,0.1428571428571429,18,10,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_000673,10,7,6,0.5454545454545454,0.8571428571428571,0.6,0.1428571428571429,19,9,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_048751,10,7,5,0.4166666666666667,0.7142857142857143,0.5,0.2857142857142857,20,10,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_025793,16,8,5,0.2631578947368421,0.625,0.3125,0.375,23,11,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_002925,17,9,5,0.23809523809523808,0.5555555555555556,0.29411764705882354,0.4444444444444444,23,12,high_50_75,tertile_low
compact:frontier_consolidation_fwcompact_medium_000269,15,10,9,0.5625,0.9,0.6,0.09999999999999998,26,12,very_high_75_100,tertile_high
compact:frontier_consolidation_fwcompact_medium_021034,16,11,6,0.2857142857142857,0.5454545454545454,0.375,0.4545454545454546,27,13,high_50_75,tertile_low
compact:frontier_consolidation_fwcompact_medium_041157,15,8,5,0.2777777777777778,0.625,0.3333333333333333,0.375,27,12,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_015567,20,11,8,0.34782608695652173,0.7272727272727273,0.4,0.2727272727272727,31,13,high_50_75,tertile_mid
compact:frontier_consolidation_fwcompact_medium_002376,22,12,6,0.21428571428571427,0.5,0.2727272727272727,0.5,31,17,mid_25_50,tertile_low
compact:frontier_consolidation_fwcompact_medium_040065,15,10,5,0.25,0.5,0.3333333333333333,0.5,31,17,mid_25_50,tertile_low
