token_class,contrast,bin_col,bin,n_pairs,overlap_mean,gain_mean,gain_median,true_mean,unrel_mean,excess_mean,excess_median,frac_gain_negative,frac_excess_positive
nonoverlap,VminusC,overlap_fixed_bin,high_50_75,603,0.6550891038389691,0.6797076295802577,0.720221757888794,-1.1518082722651863,-0.4721006426849285,-0.6797076295802577,-0.720221757888794,0.33499170812603646,0.33499170812603646
nonoverlap,VminusC,overlap_fixed_bin,very_high_75_100,360,0.89198910657244,0.8288897916381419,0.9080999493598938,-1.3662163520128363,-0.5373265603746943,-0.8288897916381419,-0.9080999493598931,0.3527777777777778,0.3527777777777778
nonoverlap,VminusR,overlap_fixed_bin,low_<25,28,0.21904761904761907,0.46989475450079354,0.667698323726654,-0.556616439883198,-0.08672168538240446,-0.46989475450079354,-0.667698323726654,0.39285714285714285,0.39285714285714285
nonoverlap,VminusR,overlap_fixed_bin,mid_25_50,474,0.4492414231338282,1.1447597580389466,0.9199624856313069,-1.390168255671817,-0.2454084976328702,-1.1447597580389466,-0.9199624856313067,0.24261603375527427,0.24261603375527427
nonoverlap,VminusR,overlap_fixed_bin,high_50_75,603,0.6550891038389691,1.397473364548074,1.259992669026057,-1.559132739849545,-0.16165937530147112,-1.397473364548074,-1.259992669026057,0.22885572139303484,0.22885572139303484
nonoverlap,VminusR,overlap_fixed_bin,very_high_75_100,360,0.89198910657244,2.0414974470088185,1.617366631825765,-2.183771116979834,-0.14227366997101515,-2.041497447008819,-1.6173666318257651,0.19166666666666668,0.19166666666666668
overlap,RSminusC,overlap_fixed_bin,low_<25,26,0.2185897435897436,-0.8795681124141154,-0.988522799491572,0.17370584762046246,-0.7058622647936528,0.8795681124141154,0.988522799491572,0.5769230769230769,0.5769230769230769
overlap,RSminusC,overlap_fixed_bin,mid_25_50,470,0.44937681113213035,-0.8393753933271968,-0.8801095429807901,0.05827330355705853,-0.7811020897701383,0.8393753933271968,0.8801095429807901,0.7276595744680852,0.7276595744680852
overlap,RSminusC,overlap_fixed_bin,high_50_75,602,0.6551806139782365,-0.8434385672573399,-0.7924559166034062,0.10853692957941145,-0.7349016376779285,0.8434385672573398,0.7924559166034062,0.7209302325581395,0.7209302325581395
overlap,RSminusC,overlap_fixed_bin,very_high_75_100,521,0.9246873514627834,-0.6535674657962974,-0.620833837116758,-0.04282596413549918,-0.6963934299317966,0.6535674657962973,0.6208338371167578,0.6928982725527831,0.6928982725527831
overlap,RSminusR,overlap_fixed_bin,low_<25,26,0.2185897435897436,-0.6177679795640498,-0.8732449222976963,0.15124182160107938,-0.46652615796297014,0.6177679795640496,0.8732449222976963,0.7692307692307693,0.7692307692307693
overlap,RSminusR,overlap_fixed_bin,mid_25_50,470,0.44937681113213035,-0.6828488619545234,-0.5894083121481041,0.20496994491054757,-0.4778789170439758,0.6828488619545233,0.5894083121481042,0.6851063829787234,0.6851063829787234
overlap,RSminusR,overlap_fixed_bin,high_50_75,602,0.6551806139782365,-0.42047433380909305,-0.45378223891990876,0.15073576768617078,-0.26973856612292235,0.42047433380909305,0.45378223891990876,0.6411960132890365,0.6411960132890365
overlap,RSminusR,overlap_fixed_bin,very_high_75_100,521,0.9246873514627834,-0.4754246275414524,-0.48285073849062127,0.08372495961178902,-0.3916996679296633,0.47542462754145237,0.48285073849062127,0.6660268714011516,0.6660268714011516
overlap,RminusC,overlap_fixed_bin,low_<25,26,0.2185897435897436,-0.2618001328500657,-0.39981751644518226,0.022464026019383156,-0.23933610683068257,0.2618001328500657,0.39981751644518226,0.5769230769230769,0.5769230769230769
overlap,RminusC,overlap_fixed_bin,mid_25_50,470,0.44937681113213035,-0.15652653137267344,-0.20202099252492206,-0.14669664135348903,-0.30322317272616245,0.15652653137267344,0.20202099252492167,0.5531914893617021,0.5531914893617021
overlap,RminusC,overlap_fixed_bin,high_50_75,602,0.6551806139782365,-0.4229642334482468,-0.3525324933580123,-0.04219883810675933,-0.4651630715550061,0.4229642334482468,0.35253249335801196,0.6096345514950167,0.6096345514950167
overlap,RminusC,overlap_fixed_bin,very_high_75_100,521,0.9246873514627834,-0.17814283825484503,-0.07517660222947627,-0.12655092374728819,-0.3046937620021333,0.17814283825484506,0.07517660222947599,0.525911708253359,0.525911708253359
overlap,VminusC,overlap_fixed_bin,low_<25,26,0.2185897435897436,1.0076560677381425,0.5395198410066462,-1.0693796895390664,-0.06172362180092395,-1.0076560677381425,-0.5395198410066466,0.46153846153846156,0.46153846153846156
overlap,VminusC,overlap_fixed_bin,mid_25_50,470,0.44937681113213035,0.5686085919601677,0.3366891943539183,-0.8777488742327335,-0.30914028227256596,-0.5686085919601676,-0.3366891943539183,0.3893617021276596,0.3893617021276596
overlap,VminusC,overlap_fixed_bin,high_50_75,602,0.6551806139782365,0.6410149583119357,0.43201527690204466,-1.100460040285448,-0.4594450819735124,-0.6410149583119357,-0.4320152769020448,0.39700996677740863,0.39700996677740863
overlap,VminusC,overlap_fixed_bin,very_high_75_100,521,0.9246873514627834,0.4684305836667646,0.20195093750953674,-0.8417573232925899,-0.37332673962582535,-0.46843058366676454,-0.20195093750953674,0.43953934740882916,0.43953934740882916
overlap,VminusR,overlap_fixed_bin,low_<25,26,0.2185897435897436,1.269456200588208,0.5613235485119126,-1.0918437155584495,0.1776124850297586,-1.269456200588208,-0.5613235485119125,0.2692307692307692,0.2692307692307692
overlap,VminusR,overlap_fixed_bin,mid_25_50,470,0.44937681113213035,0.725135123332841,0.48811208937938033,-0.7310522328792445,-0.005917109546403501,-0.725135123332841,-0.4881120893793802,0.3851063829787234,0.3851063829787234
overlap,VminusR,overlap_fixed_bin,high_50_75,602,0.6551806139782365,1.0639791917601824,0.7341980995455135,-1.0582612021786886,0.005717989581493736,-1.0639791917601826,-0.7341980995455137,0.3073089700996678,0.3073089700996678
overlap,VminusR,overlap_fixed_bin,very_high_75_100,521,0.9246873514627834,0.6465734219216096,0.28589875996112807,-0.7152063995453017,-0.06863297762369208,-0.6465734219216096,-0.28589875996112823,0.3934740882917466,0.3934740882917466
