case_id,source,target_token,prefix_tokens,later_tokens,target_idx,wwm_lp_full,wwm_lp_deleted,wwm_lp_shuffled,wwm_lp_same_near,wwm_lp_cross_near,wwm_delta_deleted,wwm_delta_shuffled,wwm_delta_same_near,wwm_delta_cross_near,wwm_spec_same_vs_cross,wwm_spec_deleted_vs_cross,cpc_same_lp_full,cpc_same_lp_deleted,cpc_same_lp_shuffled,cpc_same_lp_same_near,cpc_same_lp_cross_near,cpc_same_delta_deleted,cpc_same_delta_shuffled,cpc_same_delta_same_near,cpc_same_delta_cross_near,cpc_same_spec_same_vs_cross,cpc_same_spec_deleted_vs_cross,cpc_cross_lp_full,cpc_cross_lp_deleted,cpc_cross_lp_shuffled,cpc_cross_lp_same_near,cpc_cross_lp_cross_near,cpc_cross_delta_deleted,cpc_cross_delta_shuffled,cpc_cross_delta_same_near,cpc_cross_delta_cross_near,cpc_cross_spec_same_vs_cross,cpc_cross_spec_deleted_vs_cross,same_minus_wwm_delta_deleted,same_minus_wwm_delta_shuffled,same_minus_wwm_delta_same_near,same_minus_wwm_delta_cross_near,same_minus_wwm_spec_same_vs_cross,same_minus_wwm_spec_deleted_vs_cross,cross_minus_wwm_delta_deleted,cross_minus_wwm_delta_shuffled,cross_minus_wwm_delta_same_near,cross_minus_wwm_delta_cross_near,cross_minus_wwm_spec_same_vs_cross,cross_minus_wwm_spec_deleted_vs_cross,wwm_sensitivity_score
10,childes.train.txt,CHI,120,120,31,-4.179666042327881,-4.179666519165039,-4.179666042327881,-4.1796698570251465,-4.179665565490723,4.76837158203125e-07,0.0,3.814697265625e-06,-4.76837158203125e-07,4.291534423828125e-06,9.5367431640625e-07,-2.7784759998321533,-2.7784643173217773,-2.7784743309020996,-2.778470039367676,-2.7784557342529297,-1.1682510375976562e-05,-1.6689300537109375e-06,-5.9604644775390625e-06,-2.0265579223632812e-05,1.430511474609375e-05,8.58306884765625e-06,-4.111285209655762,-4.111285209655762,-4.111285209655762,-4.111285209655762,-4.111285209655762,0.0,0.0,0.0,0.0,0.0,0.0,-1.2159347534179688e-05,-1.6689300537109375e-06,-9.775161743164062e-06,-1.9788742065429688e-05,1.0013580322265625e-05,7.62939453125e-06,-4.76837158203125e-07,0.0,-3.814697265625e-06,4.76837158203125e-07,-4.291534423828125e-06,-9.5367431640625e-07,3.814697265625e-06
11,bnc_spoken.train.txt,Ġhaving,96,94,25,-7.8137078285217285,-7.813880920410156,-7.812919616699219,-7.812896728515625,-7.813878059387207,0.00017309188842773438,-0.0007882118225097656,-0.0008111000061035156,0.00017023086547851562,-0.0009813308715820312,2.86102294921875e-06,-7.548823833465576,-7.548827171325684,-7.548823833465576,-7.548824310302734,-9.17040729522705,3.337860107421875e-06,0.0,4.76837158203125e-07,1.6215834617614746,-1.6215829849243164,-1.6215801239013672,-7.709155082702637,-7.7091546058654785,-7.7091546058654785,-7.7091546058654785,-7.7091546058654785,-4.76837158203125e-07,-4.76837158203125e-07,-4.76837158203125e-07,-4.76837158203125e-07,0.0,0.0,-0.0001697540283203125,0.0007882118225097656,0.0008115768432617188,1.621413230895996,-1.6206016540527344,-1.6215829849243164,-0.0001735687255859375,0.0007877349853515625,0.0008106231689453125,-0.00017070770263671875,0.0009813308715820312,-2.86102294921875e-06,0.0008111000061035156
12,bnc_spoken.train.txt,Ġquite,108,99,26,-7.548303604125977,-7.548306941986084,-7.548304080963135,-7.548310279846191,-7.548301696777344,3.337860107421875e-06,4.76837158203125e-07,6.67572021484375e-06,-1.9073486328125e-06,8.58306884765625e-06,5.245208740234375e-06,-7.3254289627075195,-7.325429916381836,-7.325429439544678,-7.3254289627075195,-8.802410125732422,9.5367431640625e-07,4.76837158203125e-07,0.0,1.4769811630249023,-1.4769811630249023,-1.476980209350586,-7.7612810134887695,-7.7612810134887695,-7.7612810134887695,-7.761280536651611,-7.7612810134887695,0.0,0.0,-4.76837158203125e-07,0.0,-4.76837158203125e-07,0.0,-2.384185791015625e-06,0.0,-6.67572021484375e-06,1.4769830703735352,-1.47698974609375,-1.4769854545593262,-3.337860107421875e-06,-4.76837158203125e-07,-7.152557373046875e-06,1.9073486328125e-06,-9.059906005859375e-06,-5.245208740234375e-06,6.67572021484375e-06
13,childes.train.txt,unning,120,120,31,-10.508698463439941,-10.508699417114258,-10.508697509765625,-10.508699417114258,-10.508697509765625,9.5367431640625e-07,-9.5367431640625e-07,9.5367431640625e-07,-9.5367431640625e-07,1.9073486328125e-06,1.9073486328125e-06,-10.396190643310547,-10.396143913269043,-10.396186828613281,-10.39612865447998,-10.396106719970703,-4.673004150390625e-05,-3.814697265625e-06,-6.198883056640625e-05,-8.392333984375e-05,2.193450927734375e-05,3.719329833984375e-05,-10.599161148071289,-10.599161148071289,-10.599161148071289,-10.599160194396973,-10.599160194396973,0.0,0.0,-9.5367431640625e-07,-9.5367431640625e-07,0.0,9.5367431640625e-07,-4.76837158203125e-05,-2.86102294921875e-06,-6.29425048828125e-05,-8.296966552734375e-05,2.002716064453125e-05,3.528594970703125e-05,-9.5367431640625e-07,9.5367431640625e-07,-1.9073486328125e-06,0.0,-1.9073486328125e-06,-9.5367431640625e-07,9.5367431640625e-07
14,bnc_spoken.train.txt,Ġstrike,94,90,22,-10.55633544921875,-10.556368827819824,-10.556339263916016,-10.556350708007812,-10.556331634521484,3.337860107421875e-05,3.814697265625e-06,1.52587890625e-05,-3.814697265625e-06,1.9073486328125e-05,3.719329833984375e-05,-10.011116981506348,-10.011117935180664,-10.011116027832031,-10.011117935180664,-10.90687370300293,9.5367431640625e-07,-9.5367431640625e-07,9.5367431640625e-07,0.895756721496582,-0.8957557678222656,-0.8957557678222656,-10.163357734680176,-10.163357734680176,-10.163357734680176,-10.163357734680176,-10.163357734680176,0.0,0.0,0.0,0.0,0.0,0.0,-3.24249267578125e-05,-4.76837158203125e-06,-1.430511474609375e-05,0.8957605361938477,-0.8957748413085938,-0.8957929611206055,-3.337860107421875e-05,-3.814697265625e-06,-1.52587890625e-05,3.814697265625e-06,-1.9073486328125e-05,-3.719329833984375e-05,3.337860107421875e-05
15,bnc_spoken.train.txt,Ġpositive,95,96,24,-10.665633201599121,-10.665571212768555,-10.665634155273438,-10.665630340576172,-10.665759086608887,-6.198883056640625e-05,9.5367431640625e-07,-2.86102294921875e-06,0.000125885009765625,-0.00012874603271484375,-0.00018787384033203125,-10.371068954467773,-10.37106990814209,-10.371068954467773,-10.371068954467773,-11.239087104797363,9.5367431640625e-07,0.0,0.0,0.8680181503295898,-0.8680181503295898,-0.8680171966552734,-10.824037551879883,-10.8240385055542,-10.824037551879883,-10.824037551879883,-10.8240385055542,9.5367431640625e-07,0.0,0.0,9.5367431640625e-07,-9.5367431640625e-07,0.0,6.29425048828125e-05,-9.5367431640625e-07,2.86102294921875e-06,0.8678922653198242,-0.867889404296875,-0.8678293228149414,6.29425048828125e-05,-9.5367431640625e-07,2.86102294921875e-06,-0.00012493133544921875,0.0001277923583984375,0.00018787384033203125,6.198883056640625e-05
16,bnc_spoken.train.txt,Ġmet,105,102,25,-10.824172973632812,-10.824178695678711,-10.824156761169434,-10.821918487548828,-10.824153900146484,5.7220458984375e-06,-1.621246337890625e-05,-0.002254486083984375,-1.9073486328125e-05,-0.00223541259765625,2.47955322265625e-05,-10.895816802978516,-10.895817756652832,-10.895816802978516,-10.895817756652832,-12.20289421081543,9.5367431640625e-07,0.0,9.5367431640625e-07,1.307077407836914,-1.3070764541625977,-1.3070764541625977,-10.260112762451172,-10.260111808776855,-10.260111808776855,-10.260112762451172,-10.260112762451172,-9.5367431640625e-07,-9.5367431640625e-07,0.0,0.0,0.0,-9.5367431640625e-07,-4.76837158203125e-06,1.621246337890625e-05,0.0022554397583007812,1.3070964813232422,-1.3048410415649414,-1.3071012496948242,-6.67572021484375e-06,1.52587890625e-05,0.002254486083984375,1.9073486328125e-05,0.00223541259765625,-2.574920654296875e-05,0.002254486083984375
17,bnc_spoken.train.txt,Ġwait,109,104,26,-8.471921920776367,-8.471952438354492,-8.471916198730469,-8.472009658813477,-8.471914291381836,3.0517578125e-05,-5.7220458984375e-06,8.7738037109375e-05,-7.62939453125e-06,9.5367431640625e-05,3.814697265625e-05,-8.674599647521973,-8.674604415893555,-8.674599647521973,-8.674602508544922,-8.60303783416748,4.76837158203125e-06,0.0,2.86102294921875e-06,-0.07156181335449219,0.0715646743774414,0.07156658172607422,-8.338396072387695,-8.338396072387695,-8.338396072387695,-8.338396072387695,-8.338396072387695,0.0,0.0,0.0,0.0,0.0,0.0,-2.574920654296875e-05,5.7220458984375e-06,-8.487701416015625e-05,-0.07155418395996094,0.07146930694580078,0.07152843475341797,-3.0517578125e-05,5.7220458984375e-06,-8.7738037109375e-05,7.62939453125e-06,-9.5367431640625e-05,-3.814697265625e-05,8.7738037109375e-05
18,bnc_spoken.train.txt,Ġdocument,94,101,25,-9.062677383422852,-9.063706398010254,-9.062556266784668,-9.063070297241211,-9.063697814941406,0.0010290145874023438,-0.00012111663818359375,0.000392913818359375,0.0010204315185546875,-0.0006275177001953125,8.58306884765625e-06,-8.849000930786133,-8.848999977111816,-8.849000930786133,-8.848999977111816,-10.757196426391602,-9.5367431640625e-07,0.0,-9.5367431640625e-07,1.9081954956054688,-1.9081964492797852,-1.9081964492797852,-9.230513572692871,-9.230514526367188,-9.230514526367188,-9.230513572692871,-9.230514526367188,9.5367431640625e-07,9.5367431640625e-07,0.0,9.5367431640625e-07,-9.5367431640625e-07,0.0,-0.00102996826171875,0.00012111663818359375,-0.00039386749267578125,1.907175064086914,-1.9075689315795898,-1.9082050323486328,-0.0010280609130859375,0.0001220703125,-0.000392913818359375,-0.0010194778442382812,0.0006265640258789062,-8.58306884765625e-06,0.0010290145874023438
19,bnc_spoken.train.txt,Ġgas,96,111,30,-9.668752670288086,-9.667383193969727,-9.668746948242188,-9.667637825012207,-9.668739318847656,-0.001369476318359375,-5.7220458984375e-06,-0.0011148452758789062,-1.33514404296875e-05,-0.0011014938354492188,-0.0013561248779296875,-10.484976768493652,-10.484978675842285,-10.484977722167969,-10.484977722167969,-9.14195442199707,1.9073486328125e-06,9.5367431640625e-07,9.5367431640625e-07,-1.343022346496582,1.3430233001708984,1.3430242538452148,-9.382099151611328,-9.382099151611328,-9.382099151611328,-9.382099151611328,-9.382099151611328,0.0,0.0,0.0,0.0,0.0,0.0,0.0013713836669921875,6.67572021484375e-06,0.0011157989501953125,-1.3430089950561523,1.3441247940063477,1.3443803787231445,0.001369476318359375,5.7220458984375e-06,0.0011148452758789062,1.33514404296875e-05,0.0011014938354492188,0.0013561248779296875,0.001369476318359375
20,bnc_spoken.train.txt,ĠCouncil,87,104,26,-8.018447875976562,-8.017905235290527,-8.018446922302246,-8.01844596862793,-8.018445014953613,-0.0005426406860351562,-9.5367431640625e-07,-1.9073486328125e-06,-2.86102294921875e-06,9.5367431640625e-07,-0.0005397796630859375,-7.848772048950195,-7.848774433135986,-7.848772048950195,-7.848772048950195,-9.477051734924316,2.384185791015625e-06,0.0,0.0,1.628279685974121,-1.628279685974121,-1.62827730178833,-8.169529914855957,-8.169529914855957,-8.169529914855957,-8.169529914855957,-8.169529914855957,0.0,0.0,0.0,0.0,0.0,0.0,0.0005450248718261719,9.5367431640625e-07,1.9073486328125e-06,1.6282825469970703,-1.6282806396484375,-1.6277375221252441,0.0005426406860351562,9.5367431640625e-07,1.9073486328125e-06,2.86102294921875e-06,-9.5367431640625e-07,0.0005397796630859375,0.0005426406860351562
21,bnc_spoken.train.txt,Ġchap,93,100,27,-9.894815444946289,-9.893509864807129,-9.894807815551758,-9.8948974609375,-9.894787788391113,-0.0013055801391601562,-7.62939453125e-06,8.20159912109375e-05,-2.765655517578125e-05,0.00010967254638671875,-0.001277923583984375,-9.855695724487305,-9.855693817138672,-9.855695724487305,-9.855692863464355,-11.469022750854492,-1.9073486328125e-06,0.0,-2.86102294921875e-06,1.6133270263671875,-1.6133298873901367,-1.6133289337158203,-9.998146057128906,-9.998146057128906,-9.998146057128906,-9.998146057128906,-9.998146057128906,0.0,0.0,0.0,0.0,0.0,0.0,0.0013036727905273438,7.62939453125e-06,-8.487701416015625e-05,1.6133546829223633,-1.6134395599365234,-1.612051010131836,0.0013055801391601562,7.62939453125e-06,-8.20159912109375e-05,2.765655517578125e-05,-0.00010967254638671875,0.001277923583984375,0.0013055801391601562
22,bnc_spoken.train.txt,Ġmeans,104,95,24,-8.754911422729492,-8.756143569946289,-8.754931449890137,-8.755207061767578,-8.756138801574707,0.001232147216796875,2.002716064453125e-05,0.0002956390380859375,0.0012273788452148438,-0.0009317398071289062,4.76837158203125e-06,-8.559582710266113,-8.559579849243164,-8.55958366394043,-8.559585571289062,-9.824344635009766,-2.86102294921875e-06,9.5367431640625e-07,2.86102294921875e-06,1.2647619247436523,-1.2647590637207031,-1.2647647857666016,-8.587310791015625,-8.587310791015625,-8.587310791015625,-8.587310791015625,-8.587310791015625,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012350082397460938,-1.9073486328125e-05,-0.00029277801513671875,1.2635345458984375,-1.2638273239135742,-1.2647695541381836,-0.001232147216796875,-2.002716064453125e-05,-0.0002956390380859375,-0.0012273788452148438,0.0009317398071289062,-4.76837158203125e-06,0.001232147216796875
23,bnc_spoken.train.txt,min,93,113,30,-9.816034317016602,-9.817617416381836,-9.816060066223145,-9.816373825073242,-9.817607879638672,0.001583099365234375,2.574920654296875e-05,0.000339508056640625,0.0015735626220703125,-0.0012340545654296875,9.5367431640625e-06,-9.170567512512207,-9.170567512512207,-9.170567512512207,-9.17056941986084,-10.724915504455566,0.0,0.0,1.9073486328125e-06,1.5543479919433594,-1.5543460845947266,-1.5543479919433594,-9.447839736938477,-9.447839736938477,-9.447839736938477,-9.447839736938477,-9.447839736938477,0.0,0.0,0.0,0.0,0.0,0.0,-0.001583099365234375,-2.574920654296875e-05,-0.0003376007080078125,1.552774429321289,-1.5531120300292969,-1.5543575286865234,-0.001583099365234375,-2.574920654296875e-05,-0.000339508056640625,-0.0015735626220703125,0.0012340545654296875,-9.5367431640625e-06,0.001583099365234375
24,bnc_spoken.train.txt,omb,101,120,35,-13.385639190673828,-13.383599281311035,-13.385639190673828,-13.382476806640625,-13.385638236999512,-0.0020399093627929688,0.0,-0.003162384033203125,-9.5367431640625e-07,-0.0031614303588867188,-0.0020389556884765625,-13.335474014282227,-13.335479736328125,-13.335474014282227,-13.335477828979492,-13.852152824401855,5.7220458984375e-06,0.0,3.814697265625e-06,0.5166788101196289,-0.5166749954223633,-0.5166730880737305,-13.544045448303223,-13.544046401977539,-13.544045448303223,-13.544046401977539,-13.544046401977539,9.5367431640625e-07,0.0,9.5367431640625e-07,9.5367431640625e-07,0.0,0.0,0.0020456314086914062,0.0,0.00316619873046875,0.5166797637939453,-0.5135135650634766,-0.5146341323852539,0.002040863037109375,0.0,0.0031633377075195312,1.9073486328125e-06,0.0031614303588867188,0.0020389556884765625,0.003162384033203125
25,childes.train.txt,Ġbag,120,120,33,-9.112642288208008,-9.112642288208008,-9.112658500671387,-9.112642288208008,-9.112642288208008,0.0,1.621246337890625e-05,0.0,0.0,0.0,0.0,-9.213768005371094,-9.213769912719727,-9.213768005371094,-9.213777542114258,-9.2137451171875,1.9073486328125e-06,0.0,9.5367431640625e-06,-2.288818359375e-05,3.24249267578125e-05,2.47955322265625e-05,-9.294679641723633,-9.29468059539795,-9.294679641723633,-9.294679641723633,-9.294679641723633,9.5367431640625e-07,0.0,0.0,0.0,0.0,9.5367431640625e-07,1.9073486328125e-06,-1.621246337890625e-05,9.5367431640625e-06,-2.288818359375e-05,3.24249267578125e-05,2.47955322265625e-05,9.5367431640625e-07,-1.621246337890625e-05,0.0,0.0,0.0,9.5367431640625e-07,1.621246337890625e-05
26,bnc_spoken.train.txt,Ġborder,107,112,29,-9.676353454589844,-9.676383972167969,-9.676351547241211,-9.676182746887207,-9.67704963684082,3.0517578125e-05,-1.9073486328125e-06,-0.00017070770263671875,0.0006961822509765625,-0.0008668899536132812,-0.0006656646728515625,-9.385835647583008,-9.385838508605957,-9.385835647583008,-9.385828971862793,-10.84071159362793,2.86102294921875e-06,0.0,-6.67572021484375e-06,1.4548759460449219,-1.4548826217651367,-1.4548730850219727,-9.579277038574219,-9.579277038574219,-9.579277038574219,-9.579277038574219,-9.579277038574219,0.0,0.0,0.0,0.0,0.0,0.0,-2.765655517578125e-05,1.9073486328125e-06,0.000164031982421875,1.4541797637939453,-1.4540157318115234,-1.454207420349121,-3.0517578125e-05,1.9073486328125e-06,0.00017070770263671875,-0.0006961822509765625,0.0008668899536132812,0.0006656646728515625,0.00017070770263671875
