case_id,source,target_token,prefix_tokens,later_tokens,target_idx,wwm_lp_full,wwm_lp_deleted,wwm_lp_shuffled,wwm_lp_unrelated,wwm_delta_deleted,wwm_delta_shuffled,wwm_delta_unrelated,wwm_spec_deleted_vs_unrelated,wwm_spec_shuffled_vs_unrelated,rtd_mlm_lp_full,rtd_mlm_lp_deleted,rtd_mlm_lp_shuffled,rtd_mlm_lp_unrelated,rtd_mlm_delta_deleted,rtd_mlm_delta_shuffled,rtd_mlm_delta_unrelated,rtd_mlm_spec_deleted_vs_unrelated,rtd_mlm_spec_shuffled_vs_unrelated,rtd_minus_wwm_delta_deleted,rtd_minus_wwm_delta_shuffled,rtd_minus_wwm_delta_unrelated,rtd_minus_wwm_spec_deleted_vs_unrelated,rtd_minus_wwm_spec_shuffled_vs_unrelated
30,childes.train.txt,CHI,120,120,33,-4.179808616638184,-4.1798176765441895,-4.179812431335449,-4.179670333862305,9.059906005859375e-06,3.814697265625e-06,-0.00013828277587890625,0.00014734268188476562,0.00014209747314453125,-3.789355993270874,-3.8053970336914062,-3.7895963191986084,-3.8570220470428467,0.016041040420532227,0.000240325927734375,0.06766605377197266,-0.05162501335144043,-0.06742572784423828,0.016031980514526367,0.00023651123046875,0.06780433654785156,-0.051772356033325195,-0.06756782531738281
31,bnc_spoken.train.txt,Well,95,105,28,-13.48855972290039,-13.488550186157227,-13.486148834228516,-13.486776351928711,-9.5367431640625e-06,-0.002410888671875,-0.0017833709716796875,0.001773834228515625,-0.0006275177001953125,-13.035085678100586,-13.046310424804688,-13.033839225769043,-13.023524284362793,0.011224746704101562,-0.0012464523315429688,-0.011561393737792969,0.02278614044189453,0.01031494140625,0.011234283447265625,0.0011644363403320312,-0.009778022766113281,0.021012306213378906,0.010942459106445312
32,bnc_spoken.train.txt,Ġshow,99,105,29,-8.338567733764648,-8.338566780090332,-8.338568687438965,-8.338580131530762,-9.5367431640625e-07,9.5367431640625e-07,1.239776611328125e-05,-1.33514404296875e-05,-1.1444091796875e-05,-9.27175235748291,-9.256586074829102,-9.270380020141602,-9.261310577392578,-0.015166282653808594,-0.0013723373413085938,-0.010441780090332031,-0.0047245025634765625,0.009069442749023438,-0.015165328979492188,-0.001373291015625,-0.010454177856445312,-0.004711151123046875,0.009080886840820312
33,bnc_spoken.train.txt,ĠYeah,99,98,24,-5.877420425415039,-5.87782096862793,-5.877411365509033,-5.877892017364502,0.000400543212890625,-9.059906005859375e-06,0.0004715919494628906,-7.104873657226562e-05,-0.00048065185546875,-6.188605308532715,-6.1862030029296875,-6.188920974731445,-6.168160915374756,-0.0024023056030273438,0.00031566619873046875,-0.020444393157958984,0.01804208755493164,0.020760059356689453,-0.0028028488159179688,0.0003247261047363281,-0.020915985107421875,0.018113136291503906,0.021240711212158203
34,bnc_spoken.train.txt,Ġone,95,100,26,-5.290463924407959,-5.290465354919434,-5.290464878082275,-5.290682792663574,1.430511474609375e-06,9.5367431640625e-07,0.00021886825561523438,-0.000217437744140625,-0.00021791458129882812,-5.316289901733398,-5.322187423706055,-5.3165717124938965,-5.337271690368652,0.00589752197265625,0.0002818107604980469,0.020981788635253906,-0.015084266662597656,-0.02069997787475586,0.005896091461181641,0.0002808570861816406,0.020762920379638672,-0.014866828918457031,-0.02048206329345703
35,childes.train.txt,Ġriding,120,120,40,-10.589462280273438,-10.589461326599121,-10.589462280273438,-10.589461326599121,-9.5367431640625e-07,0.0,-9.5367431640625e-07,0.0,9.5367431640625e-07,-10.755603790283203,-10.74260139465332,-10.758337020874023,-10.744258880615234,-0.013002395629882812,0.0027332305908203125,-0.01134490966796875,-0.0016574859619140625,0.014078140258789062,-0.013001441955566406,0.0027332305908203125,-0.011343955993652344,-0.0016574859619140625,0.014077186584472656
36,bnc_spoken.train.txt,Ġgot,103,99,24,-6.281374454498291,-6.281373977661133,-6.281386375427246,-6.281280517578125,-4.76837158203125e-07,1.1920928955078125e-05,-9.393692016601562e-05,9.34600830078125e-05,0.00010585784912109375,-6.1672821044921875,-6.180135726928711,-6.166648864746094,-6.17793083190918,0.012853622436523438,-0.00063323974609375,0.010648727416992188,0.00220489501953125,-0.011281967163085938,0.01285409927368164,-0.0006451606750488281,0.010742664337158203,0.0021114349365234375,-0.011387825012207031
37,bnc_spoken.train.txt,Ġarm,94,97,25,-9.971033096313477,-9.971041679382324,-9.971024513244629,-9.971057891845703,8.58306884765625e-06,-8.58306884765625e-06,2.47955322265625e-05,-1.621246337890625e-05,-3.337860107421875e-05,-9.589462280273438,-9.578497886657715,-9.589691162109375,-9.59260368347168,-0.010964393615722656,0.0002288818359375,0.0031414031982421875,-0.014105796813964844,-0.0029125213623046875,-0.010972976684570312,0.00023746490478515625,0.003116607666015625,-0.014089584350585938,-0.0028791427612304688
38,bnc_spoken.train.txt,Ġall,101,108,28,-5.813631534576416,-5.813448905944824,-5.813626766204834,-5.812106132507324,-0.00018262863159179688,-4.76837158203125e-06,-0.0015254020690917969,0.0013427734375,0.0015206336975097656,-5.925946235656738,-5.947986602783203,-5.926335334777832,-5.958418369293213,0.022040367126464844,0.00038909912109375,0.03247213363647461,-0.010431766510009766,-0.03208303451538086,0.02222299575805664,0.00039386749267578125,0.033997535705566406,-0.011774539947509766,-0.033603668212890625
39,bnc_spoken.train.txt,Ġsame,93,97,26,-7.635441780090332,-7.635402202606201,-7.635440349578857,-7.635442733764648,-3.9577484130859375e-05,-1.430511474609375e-06,9.5367431640625e-07,-4.0531158447265625e-05,-2.384185791015625e-06,-7.782382488250732,-7.785634994506836,-7.783530235290527,-7.785550117492676,0.0032525062561035156,0.0011477470397949219,0.0031676292419433594,8.487701416015625e-05,-0.0020198822021484375,0.003292083740234375,0.0011491775512695312,0.003166675567626953,0.00012540817260742188,-0.002017498016357422
