case_id,source,target_token,prefix_tokens,later_tokens,target_idx,wwm_lp_full,wwm_lp_deleted,wwm_lp_shuffled,wwm_lp_same_near,wwm_lp_cross_near,wwm_delta_deleted,wwm_delta_shuffled,wwm_delta_same_near,wwm_delta_cross_near,wwm_spec_same_vs_cross,wwm_spec_deleted_vs_cross,cont_lp_full,cont_lp_deleted,cont_lp_shuffled,cont_lp_same_near,cont_lp_cross_near,cont_delta_deleted,cont_delta_shuffled,cont_delta_same_near,cont_delta_cross_near,cont_spec_same_vs_cross,cont_spec_deleted_vs_cross,cont_minus_wwm_delta_deleted,cont_minus_wwm_delta_shuffled,cont_minus_wwm_delta_same_near,cont_minus_wwm_delta_cross_near,cont_minus_wwm_spec_same_vs_cross,cont_minus_wwm_spec_deleted_vs_cross,wwm_sensitivity_score
30,bnc_spoken.train.txt,Ġput,90,90,22,-6.274283409118652,-6.274227142333984,-6.274289131164551,-6.274272918701172,-6.273628234863281,-5.626678466796875e-05,5.7220458984375e-06,-1.049041748046875e-05,-0.0006551742553710938,0.000644683837890625,0.000598907470703125,-6.976472854614258,-6.976473808288574,-6.976472854614258,-6.976469039916992,-5.811755657196045,9.5367431640625e-07,0.0,-3.814697265625e-06,-1.164717197418213,1.1647133827209473,1.1647181510925293,5.7220458984375e-05,-5.7220458984375e-06,6.67572021484375e-06,-1.1640620231628418,1.1640686988830566,1.1641192436218262,5.626678466796875e-05
31,bnc_spoken.train.txt,Ġtake,97,96,26,-7.0847883224487305,-7.084689617156982,-7.084704399108887,-7.084717750549316,-7.0846076011657715,-9.870529174804688e-05,-8.392333984375e-05,-7.05718994140625e-05,-0.00018072128295898438,0.00011014938354492188,8.20159912109375e-05,-7.099761486053467,-7.099761962890625,-7.099761486053467,-7.099761962890625,-6.745458602905273,4.76837158203125e-07,0.0,4.76837158203125e-07,-0.35430288314819336,0.35430335998535156,0.35430335998535156,9.918212890625e-05,8.392333984375e-05,7.104873657226562e-05,-0.3541221618652344,0.35419321060180664,0.3542213439941406,9.870529174804688e-05
32,bnc_spoken.train.txt,ĠSpecial,103,102,25,-11.171607971191406,-11.17160701751709,-11.171611785888672,-11.171603202819824,-11.171741485595703,-9.5367431640625e-07,3.814697265625e-06,-4.76837158203125e-06,0.000133514404296875,-0.00013828277587890625,-0.00013446807861328125,-11.51606559753418,-11.516061782836914,-11.516064643859863,-11.516063690185547,-12.475532531738281,-3.814697265625e-06,-9.5367431640625e-07,-1.9073486328125e-06,0.9594669342041016,-0.9594688415527344,-0.9594707489013672,-2.86102294921875e-06,-4.76837158203125e-06,2.86102294921875e-06,0.9593334197998047,-0.9593305587768555,-0.9593362808227539,4.76837158203125e-06
33,bnc_spoken.train.txt,Ġsee,98,89,25,-6.223891258239746,-6.223876476287842,-6.223890781402588,-6.223843574523926,-6.223565101623535,-1.4781951904296875e-05,-4.76837158203125e-07,-4.76837158203125e-05,-0.0003261566162109375,0.000278472900390625,0.0003113746643066406,-6.431937217712402,-6.431938171386719,-6.431937217712402,-6.431938171386719,-6.031337738037109,9.5367431640625e-07,0.0,9.5367431640625e-07,-0.40059947967529297,0.4006004333496094,0.4006004333496094,1.5735626220703125e-05,4.76837158203125e-07,4.863739013671875e-05,-0.40027332305908203,0.40032196044921875,0.40028905868530273,4.76837158203125e-05
34,bnc_spoken.train.txt,Ġdouble,95,96,24,-9.076037406921387,-9.076022148132324,-9.076034545898438,-9.07618522644043,-9.077150344848633,-1.52587890625e-05,-2.86102294921875e-06,0.00014781951904296875,0.0011129379272460938,-0.000965118408203125,-0.0011281967163085938,-9.058075904846191,-9.058074951171875,-9.058074951171875,-9.058075904846191,-10.545770645141602,-9.5367431640625e-07,-9.5367431640625e-07,0.0,1.4876947402954102,-1.4876947402954102,-1.4876956939697266,1.430511474609375e-05,1.9073486328125e-06,-0.00014781951904296875,1.486581802368164,-1.486729621887207,-1.486567497253418,0.00014781951904296875
35,childes.train.txt,ino,120,120,31,-12.928730010986328,-12.928731918334961,-12.928730010986328,-12.928733825683594,-12.926057815551758,1.9073486328125e-06,0.0,3.814697265625e-06,-0.0026721954345703125,0.0026760101318359375,0.002674102783203125,-12.726573944091797,-12.726570129394531,-12.726572036743164,-12.72657299041748,-12.726569175720215,-3.814697265625e-06,-1.9073486328125e-06,-9.5367431640625e-07,-4.76837158203125e-06,3.814697265625e-06,9.5367431640625e-07,-5.7220458984375e-06,-1.9073486328125e-06,-4.76837158203125e-06,0.0026674270629882812,-0.0026721954345703125,-0.0026731491088867188,3.814697265625e-06
36,bnc_spoken.train.txt,Ġreally,100,100,28,-7.169905662536621,-7.169904708862305,-7.169560432434082,-7.1699066162109375,-7.169903755187988,-9.5367431640625e-07,-0.0003452301025390625,9.5367431640625e-07,-1.9073486328125e-06,2.86102294921875e-06,9.5367431640625e-07,-6.823322772979736,-6.823322296142578,-6.823322296142578,-6.823322772979736,-8.883406639099121,-4.76837158203125e-07,-4.76837158203125e-07,0.0,2.0600838661193848,-2.0600838661193848,-2.060084342956543,4.76837158203125e-07,0.0003447532653808594,-9.5367431640625e-07,2.0600857734680176,-2.060086727142334,-2.0600852966308594,0.0003452301025390625
37,bnc_spoken.train.txt,Ġimagine,103,117,35,-10.083053588867188,-10.083053588867188,-10.083053588867188,-10.08234691619873,-10.083052635192871,0.0,0.0,-0.0007066726684570312,-9.5367431640625e-07,-0.000705718994140625,9.5367431640625e-07,-9.480924606323242,-9.48091983795166,-9.480923652648926,-9.480920791625977,-11.84143352508545,-4.76837158203125e-06,-9.5367431640625e-07,-3.814697265625e-06,2.360508918762207,-2.3605127334594727,-2.360513687133789,-4.76837158203125e-06,-9.5367431640625e-07,0.0007028579711914062,2.3605098724365234,-2.359807014465332,-2.3605146408081055,0.0007066726684570312
38,bnc_spoken.train.txt,ĠWhat,107,109,28,-6.898597717285156,-6.898596286773682,-6.89859676361084,-6.898651123046875,-6.898597717285156,-1.430511474609375e-06,-9.5367431640625e-07,5.340576171875e-05,0.0,5.340576171875e-05,-1.430511474609375e-06,-6.699884414672852,-6.699887275695801,-6.699883937835693,-6.699872016906738,-9.274166107177734,2.86102294921875e-06,-4.76837158203125e-07,-1.239776611328125e-05,2.574281692504883,-2.574294090270996,-2.5742788314819336,4.291534423828125e-06,4.76837158203125e-07,-6.580352783203125e-05,2.574281692504883,-2.574347496032715,-2.574277400970459,5.340576171875e-05
39,bnc_spoken.train.txt,Ġnine,98,107,26,-7.2455549240112305,-7.24553108215332,-7.245565414428711,-7.245530605316162,-7.245603561401367,-2.384185791015625e-05,1.049041748046875e-05,-2.4318695068359375e-05,4.863739013671875e-05,-7.295608520507812e-05,-7.2479248046875e-05,-7.174361228942871,-7.174385070800781,-7.174361228942871,-7.174361228942871,-9.401580810546875,2.384185791015625e-05,0.0,0.0,2.227219581604004,-2.227219581604004,-2.2271957397460938,4.76837158203125e-05,-1.049041748046875e-05,2.4318695068359375e-05,2.227170944213867,-2.227146625518799,-2.227123260498047,2.4318695068359375e-05
