event_index,pair_id,category,word,word_index,n_pieces,ordered_selected_count_4passes,scrambled_selected_count_4passes,either_arm_selected_count_4passes,neither_arm_selected,ordered_never_selected,scrambled_never_selected
42,compact:frontier_consolidation_fwcompact_medium_053355,function_other,to,6,1,1,1,2,False,False,False
43,compact:frontier_consolidation_fwcompact_medium_029584,source_absent_content,weigh,7,1,1,0,1,False,False,True
44,compact:frontier_consolidation_fwcompact_medium_049450,function_other,all,13,1,0,1,1,False,True,False
45,compact:frontier_consolidation_fwcompact_medium_023890,retained_content,western,13,1,2,1,3,False,False,False
46,compact:frontier_consolidation_fwcompact_medium_030971,retained_content,acceptor,5,2,0,0,0,True,True,True
47,compact:frontier_consolidation_fwcompact_medium_034154,retained_content,"easily,",5,2,1,1,2,False,False,False
48,compact:frontier_consolidation_fwcompact_medium_060908,retained_content,Mortfield,0,2,0,0,0,True,True,True
49,compact:frontier_consolidation_fwcompact_medium_047654,retained_content,Together!,1,2,0,1,1,False,True,False
50,compact:frontier_consolidation_fwcompact_medium_012161,function_other,in,7,1,0,1,1,False,True,False
51,compact:frontier_consolidation_fwcompact_medium_005180,source_absent_content,opening,13,1,2,1,3,False,False,False
52,compact:frontier_consolidation_fwcompact_medium_048516,source_absent_content,happens,3,1,1,0,1,False,False,True
53,compact:frontier_consolidation_fwcompact_medium_015765,source_absent_content,shows,8,1,1,1,2,False,False,False
54,compact:frontier_consolidation_fwcompact_medium_061322,source_absent_content,largest,4,1,0,1,1,False,True,False
55,compact:frontier_consolidation_fwcompact_medium_000261,source_absent_content,panel,8,1,2,0,2,False,False,True
56,compact:frontier_consolidation_fwcompact_medium_017302,function_other,the,9,1,0,0,0,True,True,True
57,compact:frontier_consolidation_fwcompact_medium_058315,function_other,by,3,1,0,1,1,False,True,False
58,compact:frontier_consolidation_fwcompact_medium_023126,function_other,all,7,1,1,0,1,False,False,True
59,compact:frontier_consolidation_fwcompact_medium_034009,source_absent_content,trusting,5,2,1,0,1,False,False,True
60,compact:frontier_consolidation_fwcompact_medium_014916,function_other,can,1,1,1,1,2,False,False,False
61,compact:frontier_consolidation_fwcompact_medium_017437,retained_content,inclusive,4,2,1,1,2,False,False,False
62,compact:frontier_consolidation_fwcompact_medium_011965,function_other,to,7,1,0,1,1,False,True,False
63,compact:frontier_consolidation_fwcompact_medium_046235,function_other,and,1,1,2,1,3,False,False,False
64,compact:frontier_consolidation_fwcompact_medium_009364,source_absent_content,comes,7,1,1,2,3,False,False,False
65,compact:frontier_consolidation_fwcompact_medium_011571,retained_content,medicine.,17,2,0,1,1,False,True,False
66,compact:frontier_consolidation_fwcompact_medium_045568,retained_content,dry,5,1,2,0,2,False,False,True
67,compact:frontier_consolidation_fwcompact_medium_003269,function_other,most,2,1,0,1,1,False,True,False
68,compact:frontier_consolidation_fwcompact_medium_039647,retained_content,cancerous,17,2,0,0,0,True,True,True
69,compact:frontier_consolidation_fwcompact_medium_043818,retained_content,"restlessness,",12,3,2,1,3,False,False,False
70,compact:frontier_consolidation_fwcompact_medium_018376,function_other,on,14,1,1,0,1,False,False,True
71,compact:frontier_consolidation_fwcompact_medium_020602,source_absent_content,vegetable,4,1,1,0,1,False,False,True
72,compact:frontier_consolidation_fwcompact_medium_016567,source_absent_content,predict,3,1,0,1,1,False,True,False
73,compact:frontier_consolidation_fwcompact_medium_044603,source_absent_content,provides,8,1,2,0,2,False,False,True
74,compact:frontier_consolidation_fwcompact_medium_020874,function_other,in,7,1,1,0,1,False,False,True
75,compact:frontier_consolidation_fwcompact_medium_043543,retained_content,Oak,2,1,2,0,2,False,False,True
76,compact:frontier_consolidation_fwcompact_medium_029028,source_absent_content,entered,8,1,1,0,1,False,False,True
77,compact:frontier_consolidation_fwcompact_medium_015339,function_other,by,4,1,0,0,0,True,True,True
78,compact:frontier_consolidation_fwcompact_medium_051051,source_absent_content,came,3,1,0,0,0,True,True,True
79,compact:frontier_consolidation_fwcompact_medium_028275,source_absent_content,density.,11,2,1,0,1,False,False,True
80,compact:frontier_consolidation_fwcompact_medium_047752,function_other,a,2,1,1,1,2,False,False,False
81,compact:frontier_consolidation_fwcompact_medium_029030,retained_content,"species,",5,2,2,1,3,False,False,False
82,compact:frontier_consolidation_fwcompact_medium_054705,function_other,they,8,1,4,1,5,False,False,False
83,compact:frontier_consolidation_fwcompact_medium_059258,function_other,still,14,1,0,0,0,True,True,True
84,compact:frontier_consolidation_fwcompact_medium_006903,retained_content,first,1,1,0,0,0,True,True,True
85,compact:frontier_consolidation_fwcompact_medium_044782,function_other,as,21,1,0,0,0,True,True,True
86,compact:frontier_consolidation_fwcompact_medium_042485,source_absent_content,lets,3,1,0,0,0,True,True,True
87,compact:frontier_consolidation_fwcompact_medium_026128,function_other,not,15,1,1,0,1,False,False,True
88,compact:frontier_consolidation_fwcompact_medium_051766,retained_content,First,0,1,1,2,3,False,False,False
89,compact:frontier_consolidation_fwcompact_medium_002054,retained_content,building,8,1,0,1,1,False,True,False
90,compact:frontier_consolidation_fwcompact_medium_059569,retained_content,baccata),13,4,2,1,3,False,False,False
91,compact:frontier_consolidation_fwcompact_medium_056095,retained_content,open,21,1,0,1,1,False,True,False
92,compact:frontier_consolidation_fwcompact_medium_016368,function_other,must,6,1,0,0,0,True,True,True
93,compact:frontier_consolidation_fwcompact_medium_053923,function_other,by,12,1,0,2,2,False,True,False
94,compact:frontier_consolidation_fwcompact_medium_024775,function_other,"1,",3,3,0,0,0,True,True,True
95,compact:frontier_consolidation_fwcompact_medium_060282,retained_content,1601,6,5,1,1,2,False,False,False
96,compact:frontier_consolidation_fwcompact_medium_057583,retained_content,improving,4,2,0,0,0,True,True,True
97,compact:frontier_consolidation_fwcompact_medium_028505,function_other,and,7,1,0,2,2,False,True,False
98,compact:frontier_consolidation_fwcompact_medium_054191,retained_content,go,2,1,0,1,1,False,True,False
99,compact:frontier_consolidation_fwcompact_medium_017994,function_other,each,2,1,1,1,2,False,False,False
100,compact:frontier_consolidation_fwcompact_medium_055038,retained_content,snapshots.,12,5,2,1,3,False,False,False
101,compact:frontier_consolidation_fwcompact_medium_036405,function_other,and,3,1,2,2,4,False,False,False
102,compact:frontier_consolidation_fwcompact_medium_040747,function_other,a,4,1,0,1,1,False,True,False
103,compact:frontier_consolidation_fwcompact_medium_030940,retained_content,year,4,1,0,0,0,True,True,True
104,compact:frontier_consolidation_fwcompact_medium_046649,source_absent_content,Angling,0,2,1,1,2,False,False,False
105,compact:frontier_consolidation_fwcompact_medium_026975,retained_content,"earners,",8,3,1,1,2,False,False,False
106,compact:frontier_consolidation_fwcompact_medium_061132,source_absent_content,deliver.,8,2,0,1,1,False,True,False
107,compact:frontier_consolidation_fwcompact_medium_060194,retained_content,visitors,1,1,1,0,1,False,False,True
108,compact:frontier_consolidation_fwcompact_medium_051608,source_absent_content,get,1,1,1,0,1,False,False,True
109,compact:frontier_consolidation_fwcompact_medium_002445,source_absent_content,learned,15,1,0,0,0,True,True,True
110,compact:frontier_consolidation_fwcompact_medium_042763,function_other,the,1,1,1,0,1,False,False,True
111,compact:frontier_consolidation_fwcompact_medium_048024,retained_content,garage,6,1,0,0,0,True,True,True
112,compact:frontier_consolidation_fwcompact_medium_030241,function_other,2,3,2,0,0,0,True,True,True
113,compact:frontier_consolidation_fwcompact_medium_032251,retained_content,form,2,1,1,1,2,False,False,False
114,compact:frontier_consolidation_fwcompact_medium_023015,retained_content,philosophy,4,1,0,1,1,False,True,False
115,compact:frontier_consolidation_fwcompact_medium_030608,function_other,a,13,1,2,1,3,False,False,False
116,compact:frontier_consolidation_fwcompact_medium_000328,retained_content,soap-free,2,2,1,1,2,False,False,False
117,compact:frontier_consolidation_fwcompact_medium_005247,function_other,to,7,1,1,0,1,False,False,True
118,compact:frontier_consolidation_fwcompact_medium_015554,retained_content,naturally,3,1,0,3,3,False,True,False
119,compact:frontier_consolidation_fwcompact_medium_041639,function_other,are,3,1,0,0,0,True,True,True
120,compact:frontier_consolidation_fwcompact_medium_025364,retained_content,round,13,1,1,1,2,False,False,False
121,compact:frontier_consolidation_fwcompact_medium_056914,function_other,of,4,1,1,1,2,False,False,False
122,compact:frontier_consolidation_fwcompact_medium_047799,retained_content,prevent,14,1,1,0,1,False,False,True
123,compact:frontier_consolidation_fwcompact_medium_029203,function_other,on,9,1,0,1,1,False,True,False
124,compact:frontier_consolidation_fwcompact_medium_020183,source_absent_content,varies,3,2,0,0,0,True,True,True
125,compact:frontier_consolidation_fwcompact_medium_017513,source_absent_content,users,7,1,0,1,1,False,True,False
126,compact:frontier_consolidation_fwcompact_medium_030167,source_absent_content,feel,1,1,1,1,2,False,False,False
127,compact:frontier_consolidation_fwcompact_medium_015762,function_other,for,4,1,2,0,2,False,False,True
128,compact:frontier_consolidation_fwcompact_medium_000860,function_other,yourself.,13,2,0,0,0,True,True,True
129,compact:frontier_consolidation_fwcompact_medium_028530,source_absent_content,"ends,",2,2,0,0,0,True,True,True
130,compact:frontier_consolidation_fwcompact_medium_017321,function_other,need,1,1,0,0,0,True,True,True
131,compact:frontier_consolidation_fwcompact_medium_023205,function_other,for,9,1,0,0,0,True,True,True
132,compact:frontier_consolidation_fwcompact_medium_015107,source_absent_content,drinking,7,1,2,1,3,False,False,False
133,compact:frontier_consolidation_fwcompact_medium_011817,retained_content,list,1,1,0,1,1,False,True,False
134,compact:frontier_consolidation_fwcompact_medium_055563,source_absent_content,long-term,13,2,1,0,1,False,False,True
135,compact:frontier_consolidation_fwcompact_medium_039631,retained_content,breast,11,1,1,0,1,False,False,True
136,compact:frontier_consolidation_fwcompact_medium_029566,source_absent_content,got,2,1,1,2,3,False,False,False
137,compact:frontier_consolidation_fwcompact_medium_002361,retained_content,"harmful,",7,2,0,0,0,True,True,True
138,compact:frontier_consolidation_fwcompact_medium_014419,source_absent_content,atom,3,2,1,0,1,False,False,True
139,compact:frontier_consolidation_fwcompact_medium_057870,function_other,have,12,1,0,0,0,True,True,True
140,compact:frontier_consolidation_fwcompact_medium_028666,source_absent_content,drops,13,1,0,0,0,True,True,True
141,compact:frontier_consolidation_fwcompact_medium_042966,retained_content,Sakti3,19,3,0,0,0,True,True,True
142,compact:frontier_consolidation_fwcompact_medium_043089,retained_content,"Brunnera,",6,5,3,0,3,False,False,True
143,compact:frontier_consolidation_fwcompact_medium_022855,function_other,could,5,1,1,0,1,False,False,True
144,compact:frontier_consolidation_fwcompact_medium_011128,function_other,the,10,1,2,0,2,False,False,True
145,compact:frontier_consolidation_fwcompact_medium_016282,source_absent_content,SQL-like,15,4,1,1,2,False,False,False
146,compact:frontier_consolidation_fwcompact_medium_043263,source_absent_content,creating,19,1,2,1,3,False,False,False
147,compact:frontier_consolidation_fwcompact_medium_059320,retained_content,Check,0,1,0,0,0,True,True,True
148,compact:frontier_consolidation_fwcompact_medium_020503,function_other,how,1,1,1,1,2,False,False,False
149,compact:frontier_consolidation_fwcompact_medium_054667,function_other,and,10,1,1,0,1,False,False,True
150,compact:frontier_consolidation_fwcompact_medium_022903,retained_content,home,3,1,0,1,1,False,True,False
151,compact:frontier_consolidation_fwcompact_medium_040904,retained_content,height,1,1,0,0,0,True,True,True
152,compact:frontier_consolidation_fwcompact_medium_013494,retained_content,True,0,1,1,1,2,False,False,False
153,compact:frontier_consolidation_fwcompact_medium_039363,retained_content,"resting,",4,2,0,0,0,True,True,True
154,compact:frontier_consolidation_fwcompact_medium_057652,source_absent_content,affects,17,1,2,0,2,False,False,True
155,compact:frontier_consolidation_fwcompact_medium_057961,function_other,is,8,1,0,1,1,False,True,False
156,compact:frontier_consolidation_fwcompact_medium_001823,source_absent_content,eats,4,1,2,0,2,False,False,True
157,compact:frontier_consolidation_fwcompact_medium_004746,retained_content,melanoma,3,3,1,0,1,False,False,True
158,compact:frontier_consolidation_fwcompact_medium_024433,function_other,to,7,1,1,0,1,False,False,True
159,compact:frontier_consolidation_fwcompact_medium_008928,retained_content,"calls,",4,2,0,0,0,True,True,True
160,compact:frontier_consolidation_fwcompact_medium_042369,retained_content,existed.,8,2,0,1,1,False,True,False
161,compact:frontier_consolidation_fwcompact_medium_005579,retained_content,production,7,1,0,2,2,False,True,False
162,compact:frontier_consolidation_fwcompact_medium_043942,retained_content,contracts,2,2,1,1,2,False,False,False
163,compact:frontier_consolidation_fwcompact_medium_014146,source_absent_content,supports,4,1,3,1,4,False,False,False
164,compact:frontier_consolidation_fwcompact_medium_055323,function_other,the,2,1,0,1,1,False,True,False
165,compact:frontier_consolidation_fwcompact_medium_010616,function_other,many,2,1,0,0,0,True,True,True
166,compact:frontier_consolidation_fwcompact_medium_010172,source_absent_content,offers,1,1,0,0,0,True,True,True
167,compact:frontier_consolidation_fwcompact_medium_000540,function_other,their,9,1,0,0,0,True,True,True
168,compact:frontier_consolidation_fwcompact_medium_031938,source_absent_content,al-Qaeda's,5,6,0,1,1,False,True,False
169,compact:frontier_consolidation_fwcompact_medium_015694,source_absent_content,results,5,1,1,1,2,False,False,False
170,compact:frontier_consolidation_fwcompact_medium_059136,function_other,the,5,1,0,0,0,True,True,True
171,compact:frontier_consolidation_fwcompact_medium_029011,retained_content,lawyer.,19,2,0,0,0,True,True,True
172,compact:frontier_consolidation_fwcompact_medium_031287,function_other,but,12,1,0,0,0,True,True,True
173,compact:frontier_consolidation_fwcompact_medium_056876,retained_content,"fasciitis,",1,5,1,1,2,False,False,False
174,compact:frontier_consolidation_fwcompact_medium_015333,function_other,and,6,1,1,1,2,False,False,False
175,compact:frontier_consolidation_fwcompact_medium_056528,source_absent_content,get,10,1,1,0,1,False,False,True
176,compact:frontier_consolidation_fwcompact_medium_044163,retained_content,lipid,2,2,2,0,2,False,False,True
177,compact:frontier_consolidation_fwcompact_medium_051926,function_other,that,4,1,1,1,2,False,False,False
178,compact:frontier_consolidation_fwcompact_medium_027857,retained_content,ate,25,1,1,2,3,False,False,False
179,compact:frontier_consolidation_fwcompact_medium_001910,function_other,and,5,1,1,0,1,False,False,True
180,compact:frontier_consolidation_fwcompact_medium_054329,retained_content,method,13,1,0,0,0,True,True,True
181,compact:frontier_consolidation_fwcompact_medium_056748,retained_content,become,11,1,2,2,4,False,False,False
182,compact:frontier_consolidation_fwcompact_medium_029583,retained_content,three,4,1,1,2,3,False,False,False
183,compact:frontier_consolidation_fwcompact_medium_006218,source_absent_content,ensuring,7,1,0,2,2,False,True,False
184,compact:frontier_consolidation_fwcompact_medium_044007,function_other,2,7,2,0,0,0,True,True,True
185,compact:frontier_consolidation_fwcompact_medium_039204,function_other,my,3,1,0,0,0,True,True,True
186,compact:frontier_consolidation_fwcompact_medium_031937,source_absent_content,worsened,5,2,1,0,1,False,False,True
187,compact:frontier_consolidation_fwcompact_medium_051459,retained_content,Public,0,1,0,0,0,True,True,True
188,compact:frontier_consolidation_fwcompact_medium_053032,function_other,the,6,1,0,1,1,False,True,False
189,compact:frontier_consolidation_fwcompact_medium_032928,function_other,than,10,1,0,1,1,False,True,False
190,compact:frontier_consolidation_fwcompact_medium_035747,function_other,and,12,1,1,0,1,False,False,True
191,compact:frontier_consolidation_fwcompact_medium_055479,source_absent_content,go,9,1,1,0,1,False,False,True
192,compact:frontier_consolidation_fwcompact_medium_031509,source_absent_content,hard,7,1,0,1,1,False,True,False
193,compact:frontier_consolidation_fwcompact_medium_023945,retained_content,change,3,1,1,1,2,False,False,False
194,compact:frontier_consolidation_fwcompact_medium_033446,function_other,not,3,1,0,0,0,True,True,True
195,compact:frontier_consolidation_fwcompact_medium_000790,source_absent_content,comes,2,1,0,1,1,False,True,False
196,compact:frontier_consolidation_fwcompact_medium_058673,function_other,a,1,1,1,1,2,False,False,False
197,compact:frontier_consolidation_fwcompact_medium_020366,source_absent_content,show,2,1,2,1,3,False,False,False
198,compact:frontier_consolidation_fwcompact_medium_025356,function_other,was,10,1,1,0,1,False,False,True
199,compact:frontier_consolidation_fwcompact_medium_056092,retained_content,Science,0,1,1,1,2,False,False,False
200,compact:frontier_consolidation_fwcompact_medium_025279,source_absent_content,via,8,1,1,0,1,False,False,True
201,compact:frontier_consolidation_fwcompact_medium_000402,function_other,and,2,1,0,0,0,True,True,True
202,compact:frontier_consolidation_fwcompact_medium_004723,function_other,your,3,1,1,2,3,False,False,False
203,compact:frontier_consolidation_fwcompact_medium_044908,retained_content,reports,3,1,0,0,0,True,True,True
204,compact:frontier_consolidation_fwcompact_medium_047849,source_absent_content,Australian,6,1,1,1,2,False,False,False
205,compact:frontier_consolidation_fwcompact_medium_026596,function_other,of,4,1,1,1,2,False,False,False
206,compact:frontier_consolidation_fwcompact_medium_051582,source_absent_content,creating,6,1,0,1,1,False,True,False
207,compact:frontier_consolidation_fwcompact_medium_056068,function_other,the,8,1,1,0,1,False,False,True
208,compact:frontier_consolidation_fwcompact_medium_041354,function_other,if,6,1,3,1,4,False,False,False
209,compact:frontier_consolidation_fwcompact_medium_017189,retained_content,Competition,0,2,0,1,1,False,True,False
210,compact:frontier_consolidation_fwcompact_medium_033626,source_absent_content,results,4,1,1,1,2,False,False,False
211,compact:frontier_consolidation_fwcompact_medium_034292,retained_content,patent,12,2,0,3,3,False,True,False
212,compact:frontier_consolidation_fwcompact_medium_004447,retained_content,Why,0,1,1,1,2,False,False,False
213,compact:frontier_consolidation_fwcompact_medium_037685,source_absent_content,cause,7,1,1,0,1,False,False,True
214,compact:frontier_consolidation_fwcompact_medium_053378,function_other,of,7,1,0,0,0,True,True,True
215,compact:frontier_consolidation_fwcompact_medium_038979,source_absent_content,easily,10,1,0,0,0,True,True,True
216,compact:frontier_consolidation_fwcompact_medium_039414,retained_content,ponds,15,2,0,0,0,True,True,True
217,compact:frontier_consolidation_fwcompact_medium_027864,source_absent_content,shared,22,1,0,0,0,True,True,True
218,compact:frontier_consolidation_fwcompact_medium_035101,function_other,a,2,1,0,2,2,False,True,False
219,compact:frontier_consolidation_fwcompact_medium_029114,retained_content,visible,1,1,1,0,1,False,False,True
220,compact:frontier_consolidation_fwcompact_medium_007150,source_absent_content,beats,9,1,0,1,1,False,True,False
221,compact:frontier_consolidation_fwcompact_medium_024748,function_other,on,10,1,0,1,1,False,True,False
222,compact:frontier_consolidation_fwcompact_medium_012462,function_other,less,14,1,1,1,2,False,False,False
223,compact:frontier_consolidation_fwcompact_medium_010882,retained_content,University,3,1,0,1,1,False,True,False
224,compact:frontier_consolidation_fwcompact_medium_001869,retained_content,"""Pat""",5,4,0,0,0,True,True,True
225,compact:frontier_consolidation_fwcompact_medium_035439,function_other,the,2,1,1,3,4,False,False,False
226,compact:frontier_consolidation_fwcompact_medium_033432,function_other,"AS,",1,2,0,1,1,False,True,False
227,compact:frontier_consolidation_fwcompact_medium_019816,retained_content,Perennial,0,4,1,2,3,False,False,False
228,compact:frontier_consolidation_fwcompact_medium_057377,function_other,a,5,1,0,0,0,True,True,True
229,compact:frontier_consolidation_fwcompact_medium_009742,retained_content,"tired,",4,2,1,0,1,False,False,True
230,compact:frontier_consolidation_fwcompact_medium_039857,function_other,of,9,1,1,0,1,False,False,True
231,compact:frontier_consolidation_fwcompact_medium_053087,source_absent_content,timing,17,1,1,1,2,False,False,False
232,compact:frontier_consolidation_fwcompact_medium_046410,function_other,in,21,1,1,1,2,False,False,False
233,compact:frontier_consolidation_fwcompact_medium_053585,retained_content,union.,23,2,0,0,0,True,True,True
234,compact:frontier_consolidation_fwcompact_medium_018264,function_other,a,6,1,0,0,0,True,True,True
235,compact:frontier_consolidation_fwcompact_medium_027888,function_other,the,1,1,2,2,4,False,False,False
236,compact:frontier_consolidation_fwcompact_medium_003817,source_absent_content,lives,4,1,1,0,1,False,False,True
237,compact:frontier_consolidation_fwcompact_medium_014381,source_absent_content,mimic,15,2,0,0,0,True,True,True
238,compact:frontier_consolidation_fwcompact_medium_010620,source_absent_content,make,2,1,0,0,0,True,True,True
239,compact:frontier_consolidation_fwcompact_medium_010210,source_absent_content,solve,2,1,2,2,4,False,False,False
240,compact:frontier_consolidation_fwcompact_medium_012118,retained_content,billion,20,1,0,0,0,True,True,True
241,compact:frontier_consolidation_fwcompact_medium_004974,function_other,around,8,1,2,0,2,False,False,True
242,compact:frontier_consolidation_fwcompact_medium_041613,source_absent_content,helps,2,1,1,1,2,False,False,False
243,compact:frontier_consolidation_fwcompact_medium_038140,source_absent_content,help,4,1,0,0,0,True,True,True
244,compact:frontier_consolidation_fwcompact_medium_027105,source_absent_content,served,7,1,0,1,1,False,True,False
245,compact:frontier_consolidation_fwcompact_medium_036502,source_absent_content,build,4,1,0,2,2,False,True,False
246,compact:frontier_consolidation_fwcompact_medium_019532,source_absent_content,aiding,8,2,0,0,0,True,True,True
247,compact:frontier_consolidation_fwcompact_medium_023680,retained_content,20,2,3,0,1,1,False,True,False
248,compact:frontier_consolidation_fwcompact_medium_038356,source_absent_content,Buy,0,2,0,1,1,False,True,False
249,compact:frontier_consolidation_fwcompact_medium_017257,source_absent_content,stem,1,1,2,0,2,False,False,True
250,compact:frontier_consolidation_fwcompact_medium_053025,source_absent_content,birds,14,1,0,0,0,True,True,True
251,compact:frontier_consolidation_fwcompact_medium_026160,retained_content,great,3,1,1,1,2,False,False,False
252,compact:frontier_consolidation_fwcompact_medium_012520,retained_content,105878/Xenia,1,11,0,1,1,False,True,False
253,compact:frontier_consolidation_fwcompact_medium_031021,retained_content,cattle?,10,2,0,0,0,True,True,True
254,compact:frontier_consolidation_fwcompact_medium_042646,function_other,On,0,1,0,0,0,True,True,True
255,compact:frontier_consolidation_fwcompact_medium_013246,retained_content,includes,2,1,0,0,0,True,True,True
256,compact:frontier_consolidation_fwcompact_medium_026393,retained_content,Possibilities,0,3,0,1,1,False,True,False
257,compact:frontier_consolidation_fwcompact_medium_050557,retained_content,winters.,6,3,1,0,1,False,False,True
258,compact:frontier_consolidation_fwcompact_medium_019462,source_absent_content,"rumors,",4,3,1,0,1,False,False,True
259,compact:frontier_consolidation_fwcompact_medium_008374,source_absent_content,drove,6,1,0,1,1,False,True,False
260,compact:frontier_consolidation_fwcompact_medium_060999,retained_content,work,4,1,1,1,2,False,False,False
261,compact:frontier_consolidation_fwcompact_medium_031380,source_absent_content,raise,1,1,2,0,2,False,False,True
262,compact:frontier_consolidation_fwcompact_medium_031025,source_absent_content,influence,10,1,1,1,2,False,False,False
263,compact:frontier_consolidation_fwcompact_medium_006273,retained_content,mixtures,14,3,0,1,1,False,True,False
264,compact:frontier_consolidation_fwcompact_medium_021871,retained_content,list,1,1,0,0,0,True,True,True
265,compact:frontier_consolidation_fwcompact_medium_009559,source_absent_content,used,2,1,1,2,3,False,False,False
266,compact:frontier_consolidation_fwcompact_medium_039365,function_other,have,1,1,2,0,2,False,False,True
267,compact:frontier_consolidation_fwcompact_medium_014868,source_absent_content,widened,9,2,2,1,3,False,False,False
268,compact:frontier_consolidation_fwcompact_medium_053188,function_other,She,0,1,0,0,0,True,True,True
269,compact:frontier_consolidation_fwcompact_medium_003538,function_other,the,5,1,0,0,0,True,True,True
270,compact:frontier_consolidation_fwcompact_medium_060613,function_other,a,2,1,0,1,1,False,True,False
271,compact:frontier_consolidation_fwcompact_medium_048185,function_other,an,11,1,0,1,1,False,True,False
272,compact:frontier_consolidation_fwcompact_medium_048043,source_absent_content,keep,5,1,0,0,0,True,True,True
273,compact:frontier_consolidation_fwcompact_medium_034149,source_absent_content,grow,4,1,0,0,0,True,True,True
