grouping,group_json,n,clean430,reinv430,clean431,reinv431,TE430,TE431,DiD,count_DiD_neg2,count_DiD_neg1,count_DiD_pos1,count_DiD_pos2
ContextDiff,"{""ContextDiff"": ""material""}",840,48.214285714285715,57.857142857142854,54.04761904761905,47.857142857142854,9.642857142857139,-6.190476190476197,-15.833333333333336,71,222,169,31
ContextDiff,"{""ContextDiff"": ""variable swap""}",2564,49.88299531981279,50.81903276131045,51.24804992199688,49.609984399375975,0.9360374414976604,-1.6380655226209058,-2.574102964118566,54,366,314,47
ContextDiff,"{""ContextDiff"": ""game""}",20,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0,6,6,0
ContextDiff,"{""ContextDiff"": ""other""}",490,53.87755102040816,54.89795918367347,51.42857142857143,52.857142857142854,1.0204081632653086,1.4285714285714235,0.4081632653061149,11,113,93,22
ContextDiff,"{""ContextDiff"": ""antonym""}",3374,49.67397747480735,49.85180794309425,49.97036158861885,50.56312981624185,0.1778304682868992,0.5927682276229973,0.4149377593360981,121,721,717,130
ContextDiff,"{""ContextDiff"": ""negation""}",190,53.1578947368421,57.89473684210526,55.26315789473684,61.05263157894737,4.7368421052631575,5.789473684210527,1.05263157894737,7,38,44,5
ContextDiff,"{""ContextDiff"": ""number""}",80,55.0,55.0,62.5,68.75,0.0,6.25,6.25,2,16,21,2
ContextDiff,"{""ContextDiff"": ""active-passive""}",30,56.666666666666664,56.666666666666664,43.333333333333336,53.333333333333336,0.0,10.0,10.0,0,6,9,0
TargetDiff,"{""TargetDiff"": ""concept swap""}",4746,50.231774125579435,52.612726506531814,51.285292878213234,50.84281500210704,2.3809523809523796,-0.4424778761061958,-2.8234302570585754,196,1009,951,158
TargetDiff,"{""TargetDiff"": ""variable swap""}",2872,49.65181058495822,50.24373259052925,51.00974930362117,49.930362116991645,0.5919220055710284,-1.0793871866295248,-1.6713091922005532,72,489,427,79
domain+ContextType,"{""ContextType"": ""direct"", ""domain"": ""material-dynamics""}",360,56.666666666666664,63.05555555555556,63.611111111111114,50.833333333333336,6.388888888888893,-12.777777777777779,-19.16666666666667,50,91,86,18
domain+ContextType,"{""ContextType"": ""direct"", ""domain"": ""physical-dynamics""}",60,48.333333333333336,66.66666666666667,55.0,55.0,18.333333333333336,0.0,-18.333333333333336,2,16,7,1
domain+ContextType,"{""ContextType"": ""direct"", ""domain"": ""physical-interactions""}",248,43.95161290322581,52.41935483870968,52.41935483870968,42.74193548387097,8.467741935483872,-9.677419354838712,-18.145161290322584,13,71,52,0
domain+ContextType,"{""ContextType"": ""indirect"", ""domain"": ""material-dynamics""}",410,40.97560975609756,53.90243902439025,46.09756097560975,42.926829268292686,12.926829268292686,-3.170731707317067,-16.097560975609753,20,123,71,13
domain+ContextType,"{""ContextType"": ""direct"", ""domain"": ""spatial-relations""}",100,45.0,50.0,44.0,35.0,5.0,-9.0,-14.0,6,21,13,3
domain+ContextType,"{""ContextType"": ""direct"", ""domain"": ""physical-relations""}",370,48.91891891891892,55.945945945945944,53.78378378378378,52.432432432432435,7.0270270270270245,-1.3513513513513473,-8.378378378378372,15,49,34,7
domain+ContextType,"{""ContextType"": ""indirect"", ""domain"": ""spatial-relations""}",390,44.87179487179487,46.92307692307692,50.256410256410255,45.38461538461539,2.051282051282051,-4.871794871794869,-6.92307692307692,10,80,63,5
domain+ContextType,"{""ContextType"": ""indirect"", ""domain"": ""physical-dynamics""}",60,56.666666666666664,53.333333333333336,70.0,63.333333333333336,-3.3333333333333286,-6.666666666666664,-3.3333333333333357,0,15,11,1
domain+ContextType,"{""ContextType"": ""direct"", ""domain"": ""social-relations""}",738,50.2710027100271,50.40650406504065,51.0840108401084,48.1029810298103,0.13550135501355243,-2.9810298102980965,-3.116531165311649,32,152,153,20
domain+ContextType,"{""ContextType"": ""direct"", ""domain"": ""quantitative-properties""}",222,51.351351351351354,53.153153153153156,57.207207207207205,57.207207207207205,1.8018018018018012,0.0,-1.8018018018018012,6,45,35,9
domain+ContextType,"{""ContextType"": ""indirect"", ""domain"": ""social-relations""}",810,49.135802469135804,49.135802469135804,52.71604938271605,51.48148148148148,0.0,-1.2345679012345698,-1.2345679012345698,29,186,164,35
domain+ContextType,"{""ContextType"": ""indirect"", ""domain"": ""social-properties""}",158,46.20253164556962,55.063291139240505,39.87341772151899,48.734177215189874,8.860759493670884,8.860759493670884,0.0,9,30,38,5
domain+ContextType,"{""ContextType"": ""indirect"", ""domain"": ""agent-properties""}",1840,49.23913043478261,49.45652173913044,50.16304347826087,50.70652173913044,0.21739130434782794,0.5434782608695699,0.3260869565217419,33,288,268,46
domain+ContextType,"{""ContextType"": ""direct"", ""domain"": ""social-interactions""}",152,65.13157894736842,62.5,62.5,60.526315789473685,-2.631578947368425,-1.973684210526315,0.6578947368421098,6,26,21,9
domain+ContextType,"{""ContextType"": ""indirect"", ""domain"": ""quantitative-properties""}",92,63.04347826086956,60.869565217391305,58.69565217391305,57.608695652173914,-2.173913043478258,-1.0869565217391326,1.0869565217391255,1,24,21,3
domain+ContextType,"{""ContextType"": ""indirect"", ""domain"": ""physical-interactions""}",308,49.35064935064935,50.324675324675326,47.4025974025974,52.27272727272727,0.9740259740259773,4.8701298701298725,3.896103896103895,6,46,62,4
domain+ContextType,"{""ContextType"": ""indirect"", ""domain"": ""material-properties""}",100,53.0,61.0,48.0,60.0,8.0,12.0,4.0,1,15,19,1
domain+ContextType,"{""ContextType"": ""direct"", ""domain"": ""social-properties""}",170,56.470588235294116,55.88235294117647,55.294117647058826,60.0,-0.588235294117645,4.705882352941174,5.294117647058819,4,38,51,2
domain+ContextType,"{""ContextType"": ""indirect"", ""domain"": ""physical-relations""}",448,48.660714285714285,47.098214285714285,43.080357142857146,47.544642857142854,-1.5625,4.464285714285708,6.026785714285708,11,84,79,27
domain+ContextType,"{""ContextType"": ""direct"", ""domain"": ""agent-properties""}",370,59.45945945945946,52.432432432432435,55.13513513513514,56.75675675675676,-7.0270270270270245,1.621621621621621,8.648648648648646,10,66,82,18
domain+ContextType,"{""ContextType"": ""indirect"", ""domain"": ""social-interactions""}",142,53.521126760563384,44.36619718309859,47.183098591549296,50.70422535211268,-9.154929577464792,3.5211267605633836,12.676056338028175,3,25,31,9
domain+ContextType,"{""ContextType"": ""direct"", ""domain"": ""material-properties""}",70,44.285714285714285,50.0,27.142857142857142,47.142857142857146,5.714285714285715,20.000000000000004,14.285714285714288,1,7,17,1
domain+ContextDiff,"{""ContextDiff"": ""variable_swap"", ""domain"": ""physical-interactions""}",30,46.666666666666664,63.333333333333336,50.0,36.666666666666664,16.66666666666667,-13.333333333333336,-30.000000000000007,2,10,5,0
domain+ContextDiff,"{""ContextDiff"": ""negation"", ""domain"": ""physical-interactions""}",20,20.0,45.0,50.0,50.0,25.0,0.0,-25.0,2,5,4,0
domain+ContextDiff,"{""ContextDiff"": ""material"", ""domain"": ""material-dynamics""}",770,48.311688311688314,58.18181818181818,54.285714285714285,46.62337662337662,9.870129870129865,-7.662337662337663,-17.53246753246753,70,214,157,31
domain+ContextDiff,"{""ContextDiff"": ""antonym"", ""domain"": ""physical-dynamics""}",90,52.22222222222222,63.333333333333336,64.44444444444444,58.888888888888886,11.111111111111114,-5.555555555555557,-16.66666666666667,2,24,11,1
domain+ContextDiff,"{""ContextDiff"": ""variable swap"", ""domain"": ""social-interactions""}",32,53.125,53.125,65.625,50.0,0.0,-15.625,-15.625,1,5,2,0
domain+ContextDiff,"{""ContextDiff"": ""antonym"", ""domain"": ""spatial-relations""}",340,43.529411764705884,45.88235294117647,47.35294117647059,39.11764705882353,2.352941176470587,-8.235294117647058,-10.588235294117645,13,69,49,5
domain+ContextDiff,"{""ContextDiff"": ""negation"", ""domain"": ""social-relations""}",20,50.0,50.0,55.0,45.0,0.0,-10.0,-10.0,1,2,2,0
domain+ContextDiff,"{""ContextDiff"": ""variable swap"", ""domain"": ""physical-interactions""}",110,53.63636363636363,55.45454545454545,53.63636363636363,46.36363636363637,1.8181818181818201,-7.272727272727266,-9.090909090909086,1,13,5,0
domain+ContextDiff,"{""ContextDiff"": ""other"", ""domain"": ""social-properties""}",58,50.0,51.724137931034484,56.89655172413793,51.724137931034484,1.724137931034484,-5.172413793103445,-6.896551724137929,3,17,11,4
domain+ContextDiff,"{""ContextDiff"": ""other"", ""domain"": ""social-relations""}",188,50.53191489361702,56.38297872340426,53.191489361702125,53.191489361702125,5.851063829787236,0.0,-5.851063829787236,6,45,32,7
domain+ContextDiff,"{""ContextDiff"": ""variable swap"", ""domain"": ""physical-relations""}",430,50.0,53.25581395348837,49.76744186046512,48.83720930232558,3.2558139534883708,-0.9302325581395365,-4.186046511627907,9,41,27,7
domain+ContextDiff,"{""ContextDiff"": ""variable swap"", ""domain"": ""spatial-relations""}",140,48.57142857142857,51.42857142857143,52.142857142857146,51.42857142857143,2.857142857142861,-0.7142857142857153,-3.5714285714285765,3,29,24,3
domain+ContextDiff,"{""ContextDiff"": ""antonym"", ""domain"": ""quantitative-properties""}",208,54.80769230769231,54.80769230769231,57.21153846153846,53.84615384615385,0.0,-3.365384615384613,-3.365384615384613,5,49,32,10
domain+ContextDiff,"{""ContextDiff"": ""antonym"", ""domain"": ""physical-interactions""}",346,45.3757225433526,48.84393063583815,49.13294797687861,49.71098265895954,3.468208092485547,0.5780346820809257,-2.8901734104046213,12,82,90,3
domain+ContextDiff,"{""ContextDiff"": ""variable swap"", ""domain"": ""social-relations""}",780,49.87179487179487,49.743589743589745,52.17948717948718,49.48717948717949,-0.1282051282051242,-2.6923076923076934,-2.564102564102569,28,165,151,25
domain+ContextDiff,"{""ContextDiff"": ""variable swap"", ""domain"": ""agent-properties""}",1060,49.528301886792455,50.0,50.37735849056604,50.094339622641506,0.4716981132075446,-0.28301886792453246,-0.7547169811320771,12,113,105,12
domain+ContextDiff,"{""ContextDiff"": ""antonym"", ""domain"": ""social-relations""}",530,48.679245283018865,46.9811320754717,51.509433962264154,49.24528301886792,-1.6981132075471663,-2.2641509433962312,-0.5660377358490649,26,120,123,23
domain+ContextDiff,"{""ContextDiff"": ""game"", ""domain"": ""agent-properties""}",20,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0,6,6,0
domain+ContextDiff,"{""ContextDiff"": ""other"", ""domain"": ""physical-interactions""}",50,54.0,54.0,44.0,46.0,0.0,2.0,2.0,2,7,10,1
domain+ContextDiff,"{""ContextDiff"": ""negation"", ""domain"": ""social-properties""}",40,42.5,50.0,42.5,52.5,7.5,10.0,2.5,2,8,11,1
domain+ContextDiff,"{""ContextDiff"": ""material"", ""domain"": ""material-properties""}",70,47.142857142857146,54.285714285714285,51.42857142857143,61.42857142857143,7.142857142857139,10.0,2.857142857142861,1,8,12,0
domain+ContextDiff,"{""ContextDiff"": ""antonym"", ""domain"": ""agent-properties""}",910,49.78021978021978,47.8021978021978,50.32967032967033,51.86813186813187,-1.978021978021978,1.53846153846154,3.516483516483518,29,187,193,42
domain+ContextDiff,"{""ContextDiff"": ""antonym"", ""domain"": ""physical-relations""}",378,47.354497354497354,48.41269841269841,46.03174603174603,50.79365079365079,1.0582010582010568,4.761904761904759,3.7037037037037024,17,89,83,27
domain+ContextDiff,"{""ContextDiff"": ""negation"", ""domain"": ""agent-properties""}",80,71.25,70.0,68.75,72.5,-1.25,3.75,5.0,2,15,17,3
domain+ContextDiff,"{""ContextDiff"": ""antonym"", ""domain"": ""social-properties""}",230,53.47826086956522,57.391304347826086,46.52173913043478,55.65217391304348,3.9130434782608674,9.130434782608695,5.217391304347828,8,43,67,2
domain+ContextDiff,"{""ContextDiff"": ""number"", ""domain"": ""quantitative-properties""}",80,55.0,55.0,62.5,68.75,0.0,6.25,6.25,2,16,21,2
domain+ContextDiff,"{""ContextDiff"": ""other"", ""domain"": ""agent-properties""}",140,57.857142857142854,52.142857142857146,50.0,51.42857142857143,-5.714285714285708,1.4285714285714306,7.142857142857139,0,33,29,7
domain+ContextDiff,"{""ContextDiff"": ""antonym"", ""domain"": ""social-interactions""}",252,59.523809523809526,53.17460317460318,53.57142857142857,54.76190476190476,-6.349206349206348,1.1904761904761898,7.539682539682538,8,46,49,16
domain+ContextDiff,"{""ContextDiff"": ""antonym"", ""domain"": ""material-properties""}",90,52.22222222222222,58.888888888888886,34.44444444444444,50.0,6.666666666666664,15.555555555555557,8.888888888888893,1,12,20,1
domain+ContextDiff,"{""ContextDiff"": ""active-passive"", ""domain"": ""social-relations""}",30,56.666666666666664,56.666666666666664,43.333333333333336,53.333333333333336,0.0,10.0,10.0,0,6,9,0
domain+ContextDiff,"{""ContextDiff"": ""other"", ""domain"": ""physical-dynamics""}",20,55.0,50.0,55.0,60.0,-5.0,5.0,10.0,0,4,4,1
domain+TargetDiff,"{""TargetDiff"": ""concept swap"", ""domain"": ""material-dynamics""}",770,48.311688311688314,58.18181818181818,54.285714285714285,46.62337662337662,9.870129870129865,-7.662337662337663,-17.53246753246753,70,214,157,31
domain+TargetDiff,"{""TargetDiff"": ""concept swap"", ""domain"": ""physical-dynamics""}",120,52.5,60.0,62.5,59.166666666666664,7.5,-3.3333333333333357,-10.833333333333336,2,31,18,2
domain+TargetDiff,"{""TargetDiff"": ""variable swap"", ""domain"": ""social-interactions""}",32,50.0,56.25,56.25,53.125,6.25,-3.125,-9.375,2,5,4,1
domain+TargetDiff,"{""TargetDiff"": ""concept swap"", ""domain"": ""spatial-relations""}",350,42.857142857142854,45.42857142857143,46.57142857142857,40.57142857142857,2.5714285714285765,-6.0,-8.571428571428577,12,68,54,4
domain+TargetDiff,"{""TargetDiff"": ""variable swap"", ""domain"": ""spatial-relations""}",140,50.0,52.857142857142854,55.0,50.0,2.857142857142854,-5.0,-7.857142857142854,4,33,22,4
domain+TargetDiff,"{""TargetDiff"": ""variable swap"", ""domain"": ""physical-interactions""}",160,51.875,55.625,50.0,46.875,3.75,-3.125,-6.875,3,27,22,0
domain+TargetDiff,"{""TargetDiff"": ""concept swap"", ""domain"": ""physical-interactions""}",396,44.94949494949495,49.494949494949495,49.494949494949495,48.484848484848484,4.545454545454547,-1.0101010101010104,-5.555555555555557,16,90,92,4
domain+TargetDiff,"{""TargetDiff"": ""concept swap"", ""domain"": ""social-relations""}",728,49.31318681318681,51.37362637362637,52.747252747252745,50.54945054945055,2.060439560439562,-2.197802197802197,-4.258241758241759,34,165,148,27
domain+TargetDiff,"{""TargetDiff"": ""variable swap"", ""domain"": ""physical-relations""}",460,49.34782608695652,52.17391304347826,49.130434782608695,50.0,2.826086956521735,0.8695652173913047,-1.9565217391304301,13,73,52,19
domain+TargetDiff,"{""TargetDiff"": ""concept swap"", ""domain"": ""quantitative-properties""}",314,54.77707006369427,55.4140127388535,57.64331210191083,57.32484076433121,0.6369426751592329,-0.31847133757961643,-0.9554140127388493,7,69,56,12
domain+TargetDiff,"{""TargetDiff"": ""variable swap"", ""domain"": ""agent-properties""}",1260,49.20634920634921,49.682539682539684,51.111111111111114,50.63492063492063,0.4761904761904745,-0.4761904761904816,-0.9523809523809561,23,178,158,27
domain+TargetDiff,"{""TargetDiff"": ""variable swap"", ""domain"": ""social-relations""}",820,50.0,48.292682926829265,51.21951219512195,49.26829268292683,-1.707317073170735,-1.9512195121951237,-0.24390243902438868,27,173,169,28
domain+TargetDiff,"{""TargetDiff"": ""concept swap"", ""domain"": ""physical-relations""}",358,48.04469273743017,49.720670391061454,46.36871508379888,49.44134078212291,1.6759776536312856,3.0726256983240248,1.3966480446927392,13,60,61,15
domain+TargetDiff,"{""TargetDiff"": ""concept swap"", ""domain"": ""social-properties""}",328,51.52439024390244,55.48780487804878,47.86585365853659,54.573170731707314,3.963414634146339,6.707317073170728,2.7439024390243887,13,68,89,7
domain+TargetDiff,"{""TargetDiff"": ""concept swap"", ""domain"": ""agent-properties""}",950,53.26315789473684,50.31578947368421,50.8421052631579,53.1578947368421,-2.94736842105263,2.3157894736842053,5.263157894736835,20,176,192,37
domain+TargetDiff,"{""TargetDiff"": ""concept swap"", ""domain"": ""material-properties""}",170,49.411764705882355,56.470588235294116,39.411764705882355,54.705882352941174,7.058823529411761,15.294117647058819,8.235294117647058,2,22,36,2
domain+TargetDiff,"{""TargetDiff"": ""concept swap"", ""domain"": ""social-interactions""}",262,60.68702290076336,53.43511450381679,54.961832061068705,56.10687022900763,-7.251908396946568,1.145038167938928,8.396946564885496,7,46,48,17
ContextType+ContextDiff+TargetDiff,"{""ContextDiff"": ""variable_swap"", ""ContextType"": ""direct"", ""TargetDiff"": ""variable swap""}",20,45.0,60.0,50.0,40.0,15.0,-10.0,-25.0,1,6,3,0
ContextType+ContextDiff+TargetDiff,"{""ContextDiff"": ""material"", ""ContextType"": ""direct"", ""TargetDiff"": ""concept swap""}",360,56.666666666666664,63.05555555555556,63.611111111111114,50.833333333333336,6.388888888888893,-12.777777777777779,-19.16666666666667,50,91,86,18
ContextType+ContextDiff+TargetDiff,"{""ContextDiff"": ""material"", ""ContextType"": ""indirect"", ""TargetDiff"": ""concept swap""}",480,41.875,53.958333333333336,46.875,45.625,12.083333333333336,-1.25,-13.333333333333336,21,131,83,13
ContextType+ContextDiff+TargetDiff,"{""ContextDiff"": ""antonym"", ""ContextType"": ""direct"", ""TargetDiff"": ""concept swap""}",1036,50.28957528957529,53.57142857142857,52.99227799227799,51.15830115830116,3.28185328185328,-1.833976833976834,-5.115830115830114,49,236,215,33
ContextType+ContextDiff+TargetDiff,"{""ContextDiff"": ""variable swap"", ""ContextType"": ""direct"", ""TargetDiff"": ""variable swap""}",546,51.282051282051285,52.38095238095238,51.64835164835165,49.08424908424909,1.098901098901095,-2.564102564102562,-3.663003663003657,15,75,69,8
ContextType+ContextDiff+TargetDiff,"{""ContextDiff"": ""variable swap"", ""ContextType"": ""direct"", ""TargetDiff"": ""concept swap""}",248,50.0,50.806451612903224,50.806451612903224,48.79032258064516,0.8064516129032242,-2.016129032258064,-2.8225806451612883,6,35,34,3
ContextType+ContextDiff+TargetDiff,"{""ContextDiff"": ""other"", ""ContextType"": ""indirect"", ""TargetDiff"": ""concept swap""}",294,49.31972789115646,53.74149659863946,50.68027210884354,52.38095238095238,4.421768707482997,1.7006802721088405,-2.7210884353741562,8,67,53,11
ContextType+ContextDiff+TargetDiff,"{""ContextDiff"": ""variable swap"", ""ContextType"": ""indirect"", ""TargetDiff"": ""variable swap""}",1270,49.37007874015748,50.47244094488189,51.10236220472441,50.0,1.1023622047244075,-1.1023622047244075,-2.204724409448815,22,183,149,25
ContextType+ContextDiff+TargetDiff,"{""ContextDiff"": ""variable swap"", ""ContextType"": ""indirect"", ""TargetDiff"": ""concept swap""}",500,49.6,50.0,51.4,49.6,0.3999999999999986,-1.7999999999999972,-2.1999999999999957,11,73,62,11
ContextType+ContextDiff+TargetDiff,"{""ContextDiff"": ""antonym"", ""ContextType"": ""direct"", ""TargetDiff"": ""variable swap""}",260,50.76923076923077,50.0,53.07692307692308,50.76923076923077,-0.7692307692307665,-2.3076923076923137,-1.5384615384615472,14,59,61,11
ContextType+ContextDiff+TargetDiff,"{""ContextDiff"": ""negation"", ""ContextType"": ""direct"", ""TargetDiff"": ""concept swap""}",110,58.18181818181818,60.0,59.09090909090909,60.0,1.8181818181818201,0.9090909090909065,-0.9090909090909136,4,19,20,3
ContextType+ContextDiff+TargetDiff,"{""ContextDiff"": ""game"", ""ContextType"": ""indirect"", ""TargetDiff"": ""variable swap""}",20,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0,6,6,0
ContextType+ContextDiff+TargetDiff,"{""ContextDiff"": ""antonym"", ""ContextType"": ""indirect"", ""TargetDiff"": ""variable swap""}",706,48.44192634560906,47.59206798866855,49.858356940509914,50.70821529745042,-0.8498583569405085,0.8498583569405085,1.699716713881017,19,147,129,34
ContextType+ContextDiff+TargetDiff,"{""ContextDiff"": ""negation"", ""ContextType"": ""indirect"", ""TargetDiff"": ""concept swap""}",80,46.25,55.0,50.0,62.5,8.75,12.5,3.75,3,19,24,2
ContextType+ContextDiff+TargetDiff,"{""ContextDiff"": ""antonym"", ""ContextType"": ""indirect"", ""TargetDiff"": ""concept swap""}",1372,49.63556851311953,48.177842565597665,47.15743440233236,50.0,-1.4577259475218654,2.8425655976676367,4.300291545189502,39,279,312,52
ContextType+ContextDiff+TargetDiff,"{""ContextDiff"": ""other"", ""ContextType"": ""indirect"", ""TargetDiff"": ""variable swap""}",20,55.0,45.0,50.0,45.0,-10.0,-5.0,5.0,0,5,4,1
ContextType+ContextDiff+TargetDiff,"{""ContextDiff"": ""other"", ""ContextType"": ""direct"", ""TargetDiff"": ""concept swap""}",166,62.65060240963855,56.626506024096386,53.01204819277108,56.024096385542165,-6.024096385542165,3.0120481927710827,9.036144578313248,2,37,36,10
ContextType+ContextDiff+TargetDiff,"{""ContextDiff"": ""number"", ""ContextType"": ""direct"", ""TargetDiff"": ""concept swap""}",64,54.6875,54.6875,64.0625,73.4375,0.0,9.375,9.375,2,10,16,2
ContextType+ContextDiff+TargetDiff,"{""ContextDiff"": ""active-passive"", ""ContextType"": ""direct"", ""TargetDiff"": ""variable swap""}",20,55.0,55.0,45.0,55.0,0.0,10.0,10.0,0,4,6,0
