contrast,field,mean,p025,p50,p975,fraction_gt0,n_events,n_pairs,target_pieces
drop_abs_minus_drop_copied_word,rep_source_compact_advantage,0.005225274874934382,0.0020819632959488106,0.005269259091271424,0.008468108023487577,0.999,4500,2009,7715
drop_abs_minus_drop_copied_word,rep_cos_source_compact,-0.010388617005080892,-0.01289778065007061,-0.010329147830209596,-0.007566522940424679,0.0,4500,2009,7715
drop_abs_minus_drop_copied_word,rep_cos_source_counterfactual,-0.015613891880015275,-0.01828623696669397,-0.015583333489212953,-0.013089177359773259,0.0,4500,2009,7715
drop_abs_minus_repeat,compact_context_advantage_nats,0.02694673795187852,-0.03917615071803801,0.026981964546693497,0.09230698860570842,0.809,4500,2009,7715
drop_abs_minus_repeat,source_context_advantage_nats,0.006612378089886088,-0.05996839355726625,0.005503483479473465,0.07468806902626961,0.557,4500,2009,7715
drop_abs_minus_repeat,compact_minus_source_loss_nats,-0.02033435986199243,-0.07012020864402382,-0.019513150789642428,0.03377719433594611,0.22,4500,2009,7715
drop_abs_minus_repeat,rep_source_compact_advantage,0.0066811596768910015,0.0032403821026070144,0.006630479096950891,0.010146491592635719,1.0,4500,2009,7715
drop_abs_minus_repeat,rep_cos_source_compact,-0.01403889435802768,-0.01702761648637412,-0.014064851329144562,-0.011148866618032228,0.0,4500,2009,7715
drop_abs_minus_repeat,rep_cos_source_counterfactual,-0.02072005403491868,-0.023606578867006567,-0.020740503936759174,-0.018105908920490042,0.0,4500,2009,7715
drop_copied_word_minus_repeat,compact_context_advantage_nats,0.03157088272007966,-0.032543032894323386,0.02974164607225442,0.08968272846095422,0.837,4500,2009,7715
drop_copied_word_minus_repeat,source_context_advantage_nats,0.022672673619013674,-0.04073690506203867,0.021711546626809415,0.0797736810239092,0.767,4500,2009,7715
drop_copied_word_minus_repeat,compact_minus_source_loss_nats,-0.008898209101065983,-0.055915712929477175,-0.007981961002591102,0.03849216252776123,0.364,4500,2009,7715
drop_copied_word_minus_repeat,rep_source_compact_advantage,0.0014558848019566191,-0.002089786174902163,0.0014078210015083608,0.00475696712852524,0.792,4500,2009,7715
drop_copied_word_minus_repeat,rep_cos_source_compact,-0.003650277352946788,-0.006335696105793739,-0.003587462091388059,-0.000868682691050801,0.005,4500,2009,7715
drop_copied_word_minus_repeat,rep_cos_source_counterfactual,-0.005106162154903407,-0.00778197807609963,-0.005052826505238386,-0.0021782161031307944,0.0,4500,2009,7715
full_minus_repeat,compact_context_advantage_nats,0.0396823752601465,-0.023678554681647406,0.03790032536569179,0.10303616951527207,0.886,4500,2009,7715
full_minus_repeat,source_context_advantage_nats,0.015868756808074976,-0.04503983470974008,0.01842731730578295,0.07429206670803848,0.713,4500,2009,7715
full_minus_repeat,compact_minus_source_loss_nats,-0.023813618452071524,-0.0723992978491209,-0.024984026464231895,0.02439779815243207,0.177,4500,2009,7715
full_minus_repeat,rep_source_compact_advantage,0.004542525451176462,0.0013341370864779188,0.004656208477727496,0.007934024449146818,0.996,4500,2009,7715
full_minus_repeat,rep_cos_source_compact,-0.003946847973387792,-0.00656751769256127,-0.003927359774245833,-0.0012826066597597353,0.001,4500,2009,7715
full_minus_repeat,rep_cos_source_counterfactual,-0.008489373424564255,-0.011260014070950375,-0.008483889022541576,-0.005629677541373903,0.0,4500,2009,7715
adjbreak_minus_repeat,compact_context_advantage_nats,-0.005124132077337007,-0.06153949858818675,-0.0030547062983822437,0.05373599525605808,0.456,4500,2009,7715
adjbreak_minus_repeat,source_context_advantage_nats,0.01478855530414501,-0.03930256690525536,0.012768759598639642,0.06553452780004099,0.689,4500,2009,7715
adjbreak_minus_repeat,compact_minus_source_loss_nats,0.019912687381482014,-0.027920948065577263,0.020362241550032332,0.06758177137041285,0.799,4500,2009,7715
adjbreak_minus_repeat,rep_source_compact_advantage,0.0014073500831624129,-0.001956371099243932,0.001411851773402653,0.004763075270006063,0.793,4500,2009,7715
adjbreak_minus_repeat,rep_cos_source_compact,0.010454102692798466,0.007709670655666272,0.010444616089110889,0.012919469412031283,1.0,4500,2009,7715
adjbreak_minus_repeat,rep_cos_source_counterfactual,0.009046752609636053,0.006253339906895513,0.009073726590807981,0.012012288074290877,1.0,4500,2009,7715
full_minus_adjbreak,compact_context_advantage_nats,0.04480650733748351,-0.005144092372159277,0.04560425100358702,0.09520900006610633,0.958,4500,2009,7715
full_minus_adjbreak,source_context_advantage_nats,0.0010802015039299664,-0.05921484408944568,0.002899161948604202,0.06114973061990381,0.537,4500,2009,7715
full_minus_adjbreak,compact_minus_source_loss_nats,-0.04372630583355354,-0.08618402981299052,-0.04246357857187061,0.00023025193388206966,0.027,4500,2009,7715
full_minus_adjbreak,rep_source_compact_advantage,0.0031351753680140494,-0.00041972643922061505,0.003118246774189052,0.006503961697391427,0.965,4500,2009,7715
full_minus_adjbreak,rep_cos_source_compact,-0.014400950666186258,-0.016912399727094102,-0.014415047731935221,-0.011854448598560862,0.0,4500,2009,7715
full_minus_adjbreak,rep_cos_source_counterfactual,-0.01753612603420031,-0.020565542382968743,-0.017565362086238507,-0.014758621668419118,0.0,4500,2009,7715
