adult_removed_score,checkpoint,childsub_removed_minus_adult_removed,childsub_removed_score,metric,metric_complete,pair_label
,chck_30M,,,exEntity5,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_40M,,,BLiMP,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_40M,,,Supplement,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_40M,,,EWoK,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_40M,,,Entity,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_40M,,,COMPS,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_40M,,,Reading,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_40M,,,cheap6,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_40M,,,cheap5,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_40M,,,exEntity5,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_50M,,,BLiMP,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_50M,,,Supplement,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_50M,,,EWoK,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_50M,,,Entity,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_50M,,,COMPS,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_50M,,,Reading,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_50M,,,cheap6,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_50M,,,cheap5,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_50M,,,exEntity5,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_60M,,,BLiMP,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_60M,,,Supplement,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_60M,,,EWoK,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_60M,,,Entity,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_60M,,,COMPS,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_60M,,,Reading,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_60M,,,cheap6,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_60M,,,cheap5,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_60M,,,exEntity5,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_70M,,,BLiMP,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_70M,,,Supplement,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_70M,,,EWoK,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_70M,,,Entity,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_70M,,,COMPS,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_70M,,,Reading,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_70M,,,cheap6,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_70M,,,cheap5,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_70M,,,exEntity5,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_80M,,,BLiMP,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_80M,,,Supplement,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_80M,,,EWoK,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_80M,,,Entity,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_80M,,,COMPS,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_80M,,,Reading,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_80M,,,cheap6,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_80M,,,cheap5,False,remove_childsub_rich_minus_remove_gutsimple_rich
,chck_80M,,,exEntity5,False,remove_childsub_rich_minus_remove_gutsimple_rich
