column,subgroup,n_items,score_82,score_84,score_100,delta_84_minus_82,gains_82_to_84,losses_82_to_84,net_items_82_to_84,retention_of_82_correct_at_84,delta_100_minus_84,gains_84_to_100,losses_84_to_100,net_items_84_to_100
GlobalPIQA,global_piqa_nonparallel,100,47.0,51.0,46.0,4.0,4,0,4,1.0,-5.0,1,6,-5
GlobalPIQA,object_properties,2,50.0,50.0,50.0,0.0,0,0,0,1.0,0.0,0,0,0
GlobalPIQA,object_properties_interactions,36,36.11111111111111,36.11111111111111,38.88888888888889,0.0,1,1,0,0.9230769230769231,2.7777777777777857,2,1,1
GlobalPIQA,"object_properties_interactions, affordances",21,33.33333333333333,33.33333333333333,33.33333333333333,0.0,0,0,0,1.0,0.0,0,0,0
GlobalPIQA,"object_properties_interactions, spatial",3,66.66666666666666,66.66666666666666,33.33333333333333,0.0,0,0,0,1.0,-33.33333333333333,0,1,-1
GlobalPIQA,spatial,22,9.090909090909092,0.0,4.545454545454546,-9.090909090909092,0,2,-2,0.0,4.545454545454546,1,0,1
GlobalPIQA,"spatial, counting",1,100.0,100.0,100.0,0.0,0,0,0,1.0,0.0,0,0,0
GlobalPIQA,time,4,25.0,0.0,0.0,-25.0,0,1,-1,0.0,0.0,0,0,0
GlobalPIQA,"time, counting",7,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0
Supplement,hypernym,842,49.7624703087886,49.287410926365794,50.712589073634206,-0.4750593824228062,13,17,-4,0.9594272076372315,1.4251781472684115,23,11,12
Supplement,qa_congruence_easy,64,67.1875,68.75,65.625,1.5625,1,0,1,1.0,-3.125,0,2,-2
Supplement,qa_congruence_tricky,165,49.09090909090909,50.303030303030305,49.696969696969695,1.212121212121211,3,1,2,0.9876543209876543,-0.6060606060606091,5,6,-1
Supplement,subject_aux_inversion,3867,81.14817688130333,80.8637186449444,80.94129816395139,-0.28445823635892964,30,41,-11,0.9869343530911409,0.07757951900698856,41,38,3
Supplement,turn_taking,280,67.5,68.21428571428572,67.5,0.7142857142857224,4,2,2,0.9894179894179894,-0.7142857142857224,1,3,-2
