column,subtask,n_items,score_82,score_84,score_100,delta_84_minus_82,gains_82_to_84,losses_82_to_84,net_items_82_to_84,retention_of_82_correct_at_84,delta_100_minus_84,gains_84_to_100,losses_84_to_100,net_items_84_to_100
EWoK,material-dynamics,770,50.649350649350644,52.33766233766234,50.38961038961038,1.6883116883116926,35,22,13,0.9435897435897436,-1.9480519480519547,25,40,-15
EWoK,material-properties,170,50.588235294117645,51.17647058823529,47.647058823529406,0.588235294117645,7,6,1,0.9302325581395349,-3.529411764705884,4,10,-6
EWoK,physical-dynamics,120,53.333333333333336,51.66666666666667,50.0,-1.6666666666666643,3,5,-2,0.921875,-1.6666666666666714,4,6,-2
EWoK,physical-interactions,556,48.561151079136685,48.561151079136685,47.482014388489205,0.0,19,19,0,0.9296296296296296,-1.0791366906474806,12,18,-6
EWoK,physical-relations,818,49.75550122249388,50.0,50.12224938875306,0.24449877750611648,14,12,2,0.9705159705159705,0.1222493887530618,11,10,1
EWoK,quantitative-properties,314,49.044585987261144,49.681528662420384,48.72611464968153,0.63694267515924,14,12,2,0.922077922077922,-0.9554140127388564,6,9,-3
EWoK,social-interactions,294,53.40136054421769,54.08163265306123,51.02040816326531,0.6802721088435391,13,11,2,0.9299363057324841,-3.0612244897959187,6,15,-9
EWoK,social-properties,328,47.86585365853659,46.34146341463415,47.256097560975604,-1.5243902439024382,5,10,-5,0.9363057324840764,0.9146341463414558,8,5,3
EWoK,social-relations,1548,50.064599483204134,50.45219638242894,50.775193798449614,0.38759689922480334,68,62,6,0.92,0.32299741602067655,64,59,5
EWoK,spatial-relations,490,46.93877551020408,47.14285714285714,46.326530612244895,0.20408163265305745,14,13,1,0.9434782608695652,-0.816326530612244,12,16,-4
Entity,ambiref_0_ops,508,26.181102362204722,25.393700787401574,25.590551181102363,-0.7874015748031482,10,14,-4,0.8947368421052632,0.19685039370078883,10,9,1
Entity,ambiref_1_ops,428,15.186915887850466,14.252336448598129,14.719626168224298,-0.934579439252337,4,8,-4,0.8769230769230769,0.4672897196261694,9,7,2
Entity,ambiref_2_ops,413,23.97094430992736,24.455205811138015,24.213075060532688,0.4842615012106535,8,6,2,0.9393939393939394,-0.24213075060532674,9,10,-1
Entity,ambiref_3_ops,409,27.383863080684595,26.405867970660147,25.183374083129586,-0.9779951100244482,5,9,-4,0.9196428571428571,-1.222493887530561,6,11,-5
Entity,ambiref_4_ops,434,34.7926267281106,35.25345622119816,34.7926267281106,0.4608294930875587,6,4,2,0.9735099337748344,-0.4608294930875587,8,10,-2
Entity,ambiref_5_ops,123,32.52032520325203,32.52032520325203,32.52032520325203,0.0,4,4,0,0.9,0.0,3,3,0
Entity,move_contents_0_ops,516,45.15503875968992,46.31782945736434,47.093023255813954,1.1627906976744171,16,10,6,0.9570815450643777,0.7751937984496138,17,13,4
Entity,move_contents_1_ops,437,16.933638443935926,16.247139588100687,16.475972540045767,-0.6864988558352394,2,5,-3,0.9324324324324325,0.2288329519450798,6,5,1
Entity,move_contents_2_ops,399,21.052631578947366,22.305764411027567,20.551378446115287,1.253132832080201,8,3,5,0.9642857142857143,-1.7543859649122808,6,13,-7
Entity,move_contents_3_ops,406,27.832512315270936,29.310344827586203,25.862068965517242,1.477832512315267,13,7,6,0.9380530973451328,-3.448275862068961,7,21,-14
Entity,move_contents_4_ops,353,30.31161473087819,31.444759206798867,26.345609065155806,1.1331444759206768,8,4,4,0.9626168224299065,-5.099150141643062,5,23,-18
Entity,move_contents_5_ops,116,42.241379310344826,42.241379310344826,41.37931034482759,0.0,3,3,0,0.9387755102040817,-0.8620689655172384,3,4,-1
Entity,regular_0_ops,517,40.81237911025145,40.232108317214696,43.133462282398455,-0.5802707930367532,13,16,-3,0.9241706161137441,2.901353965183759,24,9,15
Entity,regular_1_ops,409,15.403422982885084,16.13691931540342,14.66992665036675,0.733496332518337,7,4,3,0.9365079365079365,-1.4669926650366722,4,10,-6
Entity,regular_2_ops,405,22.962962962962962,23.456790123456788,22.469135802469136,0.4938271604938258,7,5,2,0.946236559139785,-0.9876543209876516,8,12,-4
Entity,regular_3_ops,425,30.352941176470587,29.176470588235293,29.411764705882355,-1.1764705882352935,5,10,-5,0.9224806201550387,0.23529411764706154,11,10,1
Entity,regular_4_ops,388,27.835051546391753,28.350515463917525,26.54639175257732,0.5154639175257714,10,8,2,0.9259259259259259,-1.8041237113402033,8,15,-7
Entity,regular_5_ops,94,28.723404255319153,30.851063829787233,23.404255319148938,2.1276595744680797,5,3,2,0.8888888888888888,-7.446808510638295,1,8,-7
GlobalPIQA,global_piqa_nonparallel,100,47.0,51.0,46.0,4.0,4,0,4,1.0,-5.0,1,6,-5
GlobalPIQA,global_piqa_parallel,103,28.155339805825243,25.24271844660194,26.21359223300971,-2.9126213592233015,1,4,-3,0.8620689655172413,0.9708737864077683,3,2,1
Supplement,hypernym,842,49.7624703087886,49.287410926365794,50.712589073634206,-0.4750593824228062,13,17,-4,0.9594272076372315,1.4251781472684115,23,11,12
Supplement,qa_congruence_easy,64,67.1875,68.75,65.625,1.5625,1,0,1,1.0,-3.125,0,2,-2
Supplement,qa_congruence_tricky,165,49.09090909090909,50.303030303030305,49.696969696969695,1.212121212121211,3,1,2,0.9876543209876543,-0.6060606060606091,5,6,-1
Supplement,subject_aux_inversion,3867,81.14817688130333,80.8637186449444,80.94129816395139,-0.28445823635892964,30,41,-11,0.9869343530911409,0.07757951900698856,41,38,3
Supplement,turn_taking,280,67.5,68.21428571428572,67.5,0.7142857142857224,4,2,2,0.9894179894179894,-0.7142857142857224,1,3,-2
