pair_id,origin,domains,source_words,second_words,view_content_recall,repeat_content_recall,supplied_content_recall,supplied_entity_recall,view_anchor_recall,repeat_anchor_recall,view_bigram_coverage,repeat_bigram_coverage,view_trigram_coverage,repeat_trigram_coverage,view_sequence_ratio,repeat_sequence_ratio,view_complete,repeat_complete,view_pronoun_shift,repeat_pronoun_shift,view_voice_shift,repeat_voice_shift,view_anchor_order_inversion,repeat_anchor_order_inversion,view_prep_shift,repeat_prep_shift,view_event_reexpression,repeat_event_reexpression,view_identity_variation,repeat_identity_variation,view_role_reexpression,repeat_role_reexpression,source_state_hits,view_state_hits,repeat_state_hits,source_property_hits,view_property_hits,repeat_property_hits,view_entity_signature_hits,repeat_entity_signature_hits
compact:frontier_consolidation_fwcompact_medium_040707,medium_unused_accepted,no_domain,16,14,0.7,1.0,0.7,1.0,0.6666666666666666,1.0,0.3076923076923077,1.0,0.16666666666666666,1.0,0.4,0.9333333333333333,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
compact:frontier_consolidation_fwcompact_expansion_027022,war_expansion_accepted,science_physical,16,12,0.7777777777777778,1.0,0.5,1.0,1.0,0.6666666666666666,0.25,0.9166666666666666,0.0,0.8181818181818182,0.5333333333333333,0.6,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
compact:frontier_consolidation_fwcompact_expansion_024938,war_expansion_accepted,no_domain,18,13,0.6,1.0,0.45454545454545453,1.0,nan,nan,0.23076923076923078,1.0,0.0,1.0,0.30303030303030304,0.8484848484848485,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0
compact:frontier_consolidation_fwcompact_expansion_030669,war_expansion_accepted,no_domain,18,15,0.6666666666666666,1.0,0.5454545454545454,1.0,nan,0.0,0.42857142857142855,0.9285714285714286,0.15384615384615385,0.8461538461538461,0.6666666666666666,0.48484848484848486,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,2,1,0,0,0,1,1
compact:frontier_consolidation_fwcompact_expansion_030731,war_expansion_accepted,no_domain,17,13,0.7272727272727273,1.0,0.6428571428571429,1.0,nan,nan,0.5,1.0,0.2727272727272727,1.0,0.6666666666666666,0.8666666666666667,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0
compact:frontier_consolidation_fwcompact_expansion_014500,war_expansion_accepted,no_domain,16,13,0.7272727272727273,1.0,0.6153846153846154,1.0,nan,0.0,0.5,0.9166666666666666,0.36363636363636365,0.8181818181818182,0.41379310344827586,0.5517241379310345,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
compact:frontier_consolidation_fwcompact_expansion_017128,war_expansion_accepted,quant_numeric,16,14,0.75,1.0,0.6666666666666666,1.0,1.0,1.0,0.6428571428571429,1.0,0.46153846153846156,1.0,0.75,0.9375,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1
compact:frontier_consolidation_fwcompact_expansion_018019,war_expansion_accepted,no_domain,16,12,0.6363636363636364,1.0,0.5384615384615384,1.0,nan,0.0,0.18181818181818182,0.9090909090909091,0.0,0.8,0.5,0.7142857142857143,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
compact:frontier_consolidation_fwcompact_medium_035871,medium_unused_accepted,causal_relational,17,15,0.6,1.0,0.6,1.0,1.0,1.0,0.14285714285714285,1.0,0.07692307692307693,1.0,0.375,0.9375,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,2,1,2,0,0,0,1,0
compact:frontier_consolidation_fwcompact_expansion_022202,war_expansion_accepted,no_domain,18,15,0.6666666666666666,1.0,0.5,1.0,nan,0.0,0.35714285714285715,0.9285714285714286,0.23076923076923078,0.9230769230769231,0.5882352941176471,0.8235294117647058,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
compact:frontier_consolidation_fwcompact_expansion_029804,war_expansion_accepted,no_domain,17,15,0.6666666666666666,1.0,0.7272727272727273,1.0,nan,0.0,0.42857142857142855,0.9285714285714286,0.38461538461538464,0.8461538461538461,0.625,0.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
compact:frontier_consolidation_fwcompact_expansion_012936,war_expansion_accepted,quant_numeric,18,14,0.6923076923076923,1.0,0.375,1.0,1.0,0.0,0.35714285714285715,0.9375,0.15384615384615385,0.8666666666666667,0.5555555555555556,0.47368421052631576,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
compact:frontier_consolidation_fwcompact_expansion_040094,war_expansion_accepted,no_domain,18,14,0.45454545454545453,1.0,0.5,1.0,nan,nan,0.23076923076923078,1.0,0.16666666666666666,1.0,0.375,0.875,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
compact:frontier_consolidation_fwcompact_expansion_040430,war_expansion_accepted,no_domain,18,13,0.45454545454545453,1.0,0.45454545454545453,1.0,nan,0.0,0.25,0.9166666666666666,0.09090909090909091,0.8181818181818182,0.3870967741935484,0.7096774193548387,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
compact:frontier_consolidation_fwcompact_expansion_011580,war_expansion_accepted,no_domain,18,14,0.5833333333333334,1.0,0.42857142857142855,1.0,nan,nan,0.23076923076923078,1.0,0.0,1.0,0.5454545454545454,0.8823529411764706,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
compact:frontier_consolidation_fwcompact_expansion_053374,war_expansion_accepted,no_domain,16,12,0.7272727272727273,1.0,0.5714285714285714,1.0,nan,0.0,0.3076923076923077,0.9166666666666666,0.16666666666666666,0.8181818181818182,0.375,0.45161290322580644,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,0,0,0,0,0
