arm,checkpoint,seed,role2,probe_id,pair_id,token_class,neutral_nll,target_token_id,source_token_len,rewrite_token_len,source_words,rewrite_words
D_C_43022,chck_80M,43022,C,rewritecond:15:21:compact:fwcompact_medium_015561,compact:fwcompact_medium_015561,nonoverlap,11.938032150268555,9445,56,27,45,18
D_C_43022,chck_80M,43022,C,rewritecond:15:2:compact:fwcompact_medium_015561,compact:fwcompact_medium_015561,overlap,12.977493286132812,15636,56,27,45,18
D_C_43022,chck_80M,43022,C,rewritecond:15:25:compact:fwcompact_medium_015561,compact:fwcompact_medium_015561,overlap,5.505433559417725,3665,56,27,45,18
D_C_43022,chck_80M,43022,C,rewritecond:16:7:compact:fwcompact_medium_053929,compact:fwcompact_medium_053929,nonoverlap,7.019345283508301,11346,60,32,45,21
D_C_43022,chck_80M,43022,C,rewritecond:16:20:compact:fwcompact_medium_053929,compact:fwcompact_medium_053929,nonoverlap,7.28358793258667,5824,60,32,45,21
D_C_43022,chck_80M,43022,C,rewritecond:16:1:compact:fwcompact_medium_053929,compact:fwcompact_medium_053929,overlap,6.423275947570801,1014,60,32,45,21
D_C_43022,chck_80M,43022,C,rewritecond:16:30:compact:fwcompact_medium_053929,compact:fwcompact_medium_053929,overlap,7.279122352600098,1040,60,32,45,21
D_C_43022,chck_80M,43022,C,rewritecond:17:1:compact:fwcompact_medium_059238,compact:fwcompact_medium_059238,nonoverlap,0.8678014278411865,457,60,31,45,23
D_C_43022,chck_80M,43022,C,rewritecond:17:12:compact:fwcompact_medium_059238,compact:fwcompact_medium_059238,nonoverlap,3.27401065826416,1172,60,31,45,23
D_C_43022,chck_80M,43022,C,rewritecond:17:9:compact:fwcompact_medium_059238,compact:fwcompact_medium_059238,overlap,10.817134857177734,4750,60,31,45,23
D_C_43022,chck_80M,43022,C,rewritecond:17:29:compact:fwcompact_medium_059238,compact:fwcompact_medium_059238,overlap,3.466355800628662,2971,60,31,45,23
D_C_43022,chck_80M,43022,C,rewritecond:18:2:compact:fwcompact_medium_040052,compact:fwcompact_medium_040052,nonoverlap,10.046957015991211,631,12,11,10,9
D_C_43022,chck_80M,43022,C,rewritecond:18:3:compact:fwcompact_medium_040052,compact:fwcompact_medium_040052,nonoverlap,7.801145553588867,1190,12,11,10,9
D_C_43022,chck_80M,43022,C,rewritecond:18:1:compact:fwcompact_medium_040052,compact:fwcompact_medium_040052,overlap,18.061233520507812,783,12,11,10,9
D_C_43022,chck_80M,43022,C,rewritecond:18:9:compact:fwcompact_medium_040052,compact:fwcompact_medium_040052,overlap,3.3524467945098877,1992,12,11,10,9
D_C_43022,chck_80M,43022,C,rewritecond:19:0:compact:fwcompact_medium_037371,compact:fwcompact_medium_037371,overlap,6.353574752807617,3429,15,14,10,9
D_C_43022,chck_80M,43022,C,rewritecond:19:6:compact:fwcompact_medium_037371,compact:fwcompact_medium_037371,overlap,8.276561737060547,4301,15,14,10,9
D_C_43022,chck_80M,43022,C,rewritecond:20:1:compact:fwcompact_medium_050000,compact:fwcompact_medium_050000,nonoverlap,7.407194137573242,6233,13,9,11,6
D_C_43022,chck_80M,43022,C,rewritecond:20:3:compact:fwcompact_medium_050000,compact:fwcompact_medium_050000,overlap,8.43080997467041,2186,13,9,11,6
D_C_43022,chck_80M,43022,C,rewritecond:20:7:compact:fwcompact_medium_050000,compact:fwcompact_medium_050000,overlap,6.087821960449219,4354,13,9,11,6
D_C_43022,chck_80M,43022,C,rewritecond:21:2:compact:fwcompact_medium_027762,compact:fwcompact_medium_027762,nonoverlap,6.0038533210754395,8403,13,7,12,6
D_C_43022,chck_80M,43022,C,rewritecond:21:5:compact:fwcompact_medium_027762,compact:fwcompact_medium_027762,nonoverlap,9.965001106262207,16370,13,7,12,6
D_C_43022,chck_80M,43022,C,rewritecond:21:1:compact:fwcompact_medium_027762,compact:fwcompact_medium_027762,overlap,7.004931926727295,2321,13,7,12,6
D_C_43022,chck_80M,43022,C,rewritecond:22:0:compact:fwcompact_medium_043414,compact:fwcompact_medium_043414,nonoverlap,14.252547264099121,11819,15,9,12,5
D_C_43022,chck_80M,43022,C,rewritecond:22:1:compact:fwcompact_medium_043414,compact:fwcompact_medium_043414,nonoverlap,12.768072128295898,2992,15,9,12,5
D_C_43022,chck_80M,43022,C,rewritecond:22:3:compact:fwcompact_medium_043414,compact:fwcompact_medium_043414,overlap,10.446001052856445,15642,15,9,12,5
D_C_43022,chck_80M,43022,C,rewritecond:22:7:compact:fwcompact_medium_043414,compact:fwcompact_medium_043414,overlap,7.99722957611084,3779,15,9,12,5
D_C_43022,chck_80M,43022,C,rewritecond:23:0:compact:fwcompact_medium_027814,compact:fwcompact_medium_027814,nonoverlap,15.916572570800781,5808,16,16,13,12
D_C_43022,chck_80M,43022,C,rewritecond:23:7:compact:fwcompact_medium_027814,compact:fwcompact_medium_027814,nonoverlap,3.2933387756347656,352,16,16,13,12
D_C_43022,chck_80M,43022,C,rewritecond:23:1:compact:fwcompact_medium_027814,compact:fwcompact_medium_027814,overlap,8.259307861328125,2512,16,16,13,12
D_C_43022,chck_80M,43022,C,rewritecond:23:14:compact:fwcompact_medium_027814,compact:fwcompact_medium_027814,overlap,9.977108001708984,9838,16,16,13,12
D_C_43022,chck_80M,43022,C,rewritecond:24:6:compact:fwcompact_medium_027660,compact:fwcompact_medium_027660,nonoverlap,7.051026821136475,12053,22,17,13,9
D_C_43022,chck_80M,43022,C,rewritecond:24:15:compact:fwcompact_medium_027660,compact:fwcompact_medium_027660,nonoverlap,6.875637054443359,6315,22,17,13,9
D_C_43022,chck_80M,43022,C,rewritecond:24:2:compact:fwcompact_medium_027660,compact:fwcompact_medium_027660,overlap,10.879302978515625,4651,22,17,13,9
D_C_43022,chck_80M,43022,C,rewritecond:24:14:compact:fwcompact_medium_027660,compact:fwcompact_medium_027660,overlap,10.524748802185059,446,22,17,13,9
D_C_43022,chck_80M,43022,C,rewritecond:25:1:compact:fwcompact_medium_018113,compact:fwcompact_medium_018113,nonoverlap,10.679100036621094,2138,20,16,14,10
D_C_43022,chck_80M,43022,C,rewritecond:25:14:compact:fwcompact_medium_018113,compact:fwcompact_medium_018113,nonoverlap,12.42519474029541,4928,20,16,14,10
D_C_43022,chck_80M,43022,C,rewritecond:25:6:compact:fwcompact_medium_018113,compact:fwcompact_medium_018113,overlap,0.8501552939414978,522,20,16,14,10
D_C_43022,chck_80M,43022,C,rewritecond:25:13:compact:fwcompact_medium_018113,compact:fwcompact_medium_018113,overlap,3.5804836750030518,522,20,16,14,10
D_C_43022,chck_80M,43022,C,rewritecond:26:0:compact:fwcompact_medium_050993,compact:fwcompact_medium_050993,overlap,12.90991497039795,5830,15,14,14,13
D_C_43022,chck_80M,43022,C,rewritecond:26:12:compact:fwcompact_medium_050993,compact:fwcompact_medium_050993,overlap,5.065781593322754,6288,15,14,14,13
D_C_43022,chck_80M,43022,C,rewritecond:27:5:compact:fwcompact_medium_015632,compact:fwcompact_medium_015632,nonoverlap,6.586865425109863,7737,22,19,15,14
D_C_43022,chck_80M,43022,C,rewritecond:27:1:compact:fwcompact_medium_015632,compact:fwcompact_medium_015632,overlap,4.435054779052734,1176,22,19,15,14
D_C_43022,chck_80M,43022,C,rewritecond:27:17:compact:fwcompact_medium_015632,compact:fwcompact_medium_015632,overlap,9.451859474182129,4000,22,19,15,14
D_C_43022,chck_80M,43022,C,rewritecond:28:2:compact:fwcompact_medium_026879,compact:fwcompact_medium_026879,nonoverlap,12.602255821228027,14869,56,21,36,16
