seed,checkpoint,group,contrast,n,delta_accuracy_pct_a_minus_b,acc_a,acc_b,mean_reported_numops,mean_relevant_updates,mean_total_ops,mean_prefix_words,delta_stale_wrong_pct_a_minus_b,stale_wrong_a,stale_wrong_b
43122,chck_80M,rel2_stale_available_not_gold,RminusC,489,-6.134969325153374,14.314928425357873,20.449897750511248,2.053169734151329,2.0,8.366053169734151,126.08997955010224,7.243958255363793,49.40334128878282,42.159383033419026
43122,chck_80M,rel2_stale_available_not_gold,RminusV,489,-4.4989775051124745,14.314928425357873,18.813905930470348,2.053169734151329,2.0,8.366053169734151,126.08997955010224,10.360520130092645,49.40334128878282,39.042821158690174
43122,chck_80M,rel2_total10,VminusC,153,-0.6535947712418313,22.22222222222222,22.875816993464053,2.130718954248366,2.0,10.0,139.0718954248366,3.8647342995169076,26.08695652173913,22.22222222222222
43122,chck_80M,rel2_total10,VminusR,153,0.0,22.22222222222222,22.22222222222222,2.130718954248366,2.0,10.0,139.0718954248366,-9.913043478260871,26.08695652173913,36.0
43122,chck_80M,rel2_total10,CminusR,153,0.6535947712418313,22.875816993464053,22.22222222222222,2.130718954248366,2.0,10.0,139.0718954248366,-13.777777777777779,22.22222222222222,36.0
43122,chck_80M,rel2_total10,RminusC,153,-0.6535947712418313,22.22222222222222,22.875816993464053,2.130718954248366,2.0,10.0,139.0718954248366,13.777777777777779,36.0,22.22222222222222
43122,chck_80M,rel2_total10,RminusV,153,0.0,22.22222222222222,22.22222222222222,2.130718954248366,2.0,10.0,139.0718954248366,9.913043478260871,36.0,26.08695652173913
43122,chck_80M,rel2_total11,VminusC,154,0.6493506493506516,25.324675324675326,24.675324675324674,2.1623376623376624,2.0,11.0,147.53246753246754,-2.4643819792067774,30.18867924528302,32.6530612244898
43122,chck_80M,rel2_total11,VminusR,154,1.9480519480519476,25.324675324675326,23.376623376623378,2.1623376623376624,2.0,11.0,147.53246753246754,-13.447684391080614,30.18867924528302,43.63636363636363
43122,chck_80M,rel2_total11,CminusR,154,1.298701298701296,24.675324675324674,23.376623376623378,2.1623376623376624,2.0,11.0,147.53246753246754,-10.983302411873836,32.6530612244898,43.63636363636363
43122,chck_80M,rel2_total11,RminusC,154,-1.298701298701296,23.376623376623378,24.675324675324674,2.1623376623376624,2.0,11.0,147.53246753246754,10.983302411873836,43.63636363636363,32.6530612244898
43122,chck_80M,rel2_total11,RminusV,154,-1.9480519480519476,23.376623376623378,25.324675324675326,2.1623376623376624,2.0,11.0,147.53246753246754,13.447684391080614,43.63636363636363,30.18867924528302
43122,chck_80M,rel2_total12,VminusC,150,5.333333333333334,18.666666666666668,13.333333333333334,2.1466666666666665,2.0,12.0,157.83333333333334,-8.473824312333633,28.26086956521739,36.734693877551024
43122,chck_80M,rel2_total12,VminusR,150,2.0,18.666666666666668,16.666666666666668,2.1466666666666665,2.0,12.0,157.83333333333334,-36.95652173913044,28.26086956521739,65.21739130434783
43122,chck_80M,rel2_total12,CminusR,150,-3.333333333333334,13.333333333333334,16.666666666666668,2.1466666666666665,2.0,12.0,157.83333333333334,-28.482697426796804,36.734693877551024,65.21739130434783
43122,chck_80M,rel2_total12,RminusC,150,3.333333333333334,16.666666666666668,13.333333333333334,2.1466666666666665,2.0,12.0,157.83333333333334,28.482697426796804,65.21739130434783,36.734693877551024
43122,chck_80M,rel2_total12,RminusV,150,-2.0,16.666666666666668,18.666666666666668,2.1466666666666665,2.0,12.0,157.83333333333334,36.95652173913044,65.21739130434783,28.26086956521739
43122,chck_80M,rel2_total2,VminusC,23,-4.3478260869565215,13.043478260869565,17.391304347826086,2.0,2.0,2.0,74.78260869565217,-6.666666666666664,33.333333333333336,40.0
43122,chck_80M,rel2_total2,VminusR,23,4.3478260869565215,13.043478260869565,8.695652173913043,2.0,2.0,2.0,74.78260869565217,4.761904761904763,33.333333333333336,28.571428571428573
43122,chck_80M,rel2_total2,CminusR,23,8.695652173913043,17.391304347826086,8.695652173913043,2.0,2.0,2.0,74.78260869565217,11.428571428571427,40.0,28.571428571428573
43122,chck_80M,rel2_total2,RminusC,23,-8.695652173913043,8.695652173913043,17.391304347826086,2.0,2.0,2.0,74.78260869565217,-11.428571428571427,28.571428571428573,40.0
43122,chck_80M,rel2_total2,RminusV,23,-4.3478260869565215,8.695652173913043,13.043478260869565,2.0,2.0,2.0,74.78260869565217,-4.761904761904763,28.571428571428573,33.333333333333336
43122,chck_80M,rel2_total3,VminusC,49,6.122448979591837,22.448979591836736,16.3265306122449,2.0,2.0,3.0,84.0204081632653,10.0,80.0,70.0
43122,chck_80M,rel2_total3,VminusR,49,10.204081632653063,22.448979591836736,12.244897959183673,2.0,2.0,3.0,84.0204081632653,30.0,80.0,50.0
43122,chck_80M,rel2_total3,CminusR,49,4.0816326530612255,16.3265306122449,12.244897959183673,2.0,2.0,3.0,84.0204081632653,20.0,70.0,50.0
43122,chck_80M,rel2_total3,RminusC,49,-4.0816326530612255,12.244897959183673,16.3265306122449,2.0,2.0,3.0,84.0204081632653,-20.0,50.0,70.0
