basin,checkpoint,words,group,numops_group,split_group,view_macro_score_pp,repeat_macro_score_pp,macro_delta_pp_view_minus_repeat,micro_accuracy_delta_view_minus_repeat,pred_option0_frac_delta_view_minus_repeat,pred_not_in_options_frac_delta_view_minus_repeat,n_scored_view,n_scored_repeat
seed43022_first_basin,chck_100M,100000000,ambiref_nonzero_ops,nonzero,ambiref,26.48719376610511,21.759484400687192,4.727709365417919,0.047039291643608205,0.047039291643608205,0.0,1807,1807
seed43022_first_basin,chck_100M,100000000,ambiref_zero_ops,zero,ambiref,30.314960629921263,33.85826771653544,-3.543307086614174,-0.035433070866141725,-0.035433070866141725,0.0,508,508
seed43022_first_basin,chck_100M,100000000,move_contents_nonzero_ops,nonzero,move_contents,25.76177746394859,18.76984488011165,6.991932583836942,0.05143191116306253,0.05143191116306253,0.0,1711,1711
seed43022_first_basin,chck_100M,100000000,move_contents_zero_ops,zero,move_contents,44.96124031007752,55.23255813953488,-10.27131782945736,-0.1027131782945736,-0.1027131782945736,0.0,516,516
seed43022_first_basin,chck_100M,100000000,nonzero_ops,nonzero,all,25.99694410685718,19.414429840491426,6.582514266365752,0.058408093147547246,0.058408093147547246,0.0,5239,5239
seed43022_first_basin,chck_100M,100000000,numops_0,0,all,38.56724428496413,48.136658264080175,-9.569413979116042,-0.09604153147306943,-0.09604153147306943,0.0,1541,1541
seed43022_first_basin,chck_100M,100000000,numops_1,1,all,15.523757281981355,13.606334658183206,1.9174226237981493,0.01883830455259025,0.01883830455259025,0.0,1274,1274
seed43022_first_basin,chck_100M,100000000,numops_2,2,all,22.242874396705304,18.637438962545513,3.6054354341597907,0.03615447822514378,0.03615447822514378,0.0,1217,1217
seed43022_first_basin,chck_100M,100000000,numops_3,3,all,26.20575494340726,18.664739582706027,7.541015360701234,0.07580645161290323,0.07580645161290328,0.0,1240,1240
seed43022_first_basin,chck_100M,100000000,numops_4,4,all,32.26504045980037,22.98097460527711,9.28406585452326,0.09276595744680852,0.09276595744680852,0.0,1175,1175
seed43022_first_basin,chck_100M,100000000,numops_5,5,all,33.7472934523916,23.182661393745263,10.564632058646339,0.10510510510510512,0.10510510510510512,0.0,333,333
seed43022_first_basin,chck_100M,100000000,regular_nonzero_ops,nonzero,regular,25.74186109051783,17.713960240675426,8.027900849842403,0.07728065078442767,0.07728065078442767,0.0,1721,1721
seed43022_first_basin,chck_100M,100000000,regular_zero_ops,zero,regular,40.42553191489361,55.319148936170215,-14.893617021276604,-0.148936170212766,-0.148936170212766,0.0,517,517
seed43022_first_basin,chck_100M,100000000,split_ambiref,all,ambiref,27.12515491007447,23.7759482866619,3.34920662341257,0.028941684665226758,0.028941684665226758,0.0,2315,2315
seed43022_first_basin,chck_100M,100000000,split_move_contents,all,move_contents,28.961687938303413,24.846963756682186,4.114724181621227,0.01571621014818142,0.01571621014818142,0.0,2227,2227
seed43022_first_basin,chck_100M,100000000,split_regular,all,regular,28.189139561247128,23.981491689924557,4.207647871322571,0.025022341376228774,0.025022341376228774,0.0,2238,2238
seed43022_first_basin,chck_100M,100000000,zero_ops,zero,all,38.56724428496413,48.136658264080175,-9.569413979116042,-0.09604153147306943,-0.09604153147306943,0.0,1541,1541
