variant,row_index,pair_id,source_raw_tokens,view_raw_tokens,source_visible_tokens,view_visible_tokens,source_visible_fraction,view_visible_fraction,both_any_visible,both_full_visible,token_gap_source_to_view_visible
compact,22,compact:frontier_consolidation_fwcompact_medium_008385,47,34,47,34,1.0,1.0,True,True,1
compact,23,compact:frontier_consolidation_fwcompact_medium_002949,48,36,48,36,1.0,1.0,True,True,0
compact,23,compact:frontier_consolidation_fwcompact_medium_033314,16,9,16,9,1.0,1.0,True,True,0
compact,23,compact:frontier_consolidation_fwcompact_medium_024187,17,11,17,11,1.0,1.0,True,True,0
compact,23,compact:frontier_consolidation_fwcompact_medium_025585,32,25,32,25,1.0,1.0,True,True,0
compact,24,compact:frontier_consolidation_fwcompact_medium_011976,28,22,28,22,1.0,1.0,True,True,0
compact,24,compact:frontier_consolidation_fwcompact_medium_055969,13,10,13,10,1.0,1.0,True,True,0
compact,24,compact:frontier_consolidation_fwcompact_medium_034145,55,35,55,35,1.0,1.0,True,True,0
compact,24,compact:frontier_consolidation_fwcompact_medium_030137,36,19,36,19,1.0,1.0,True,True,0
compact,25,compact:frontier_consolidation_fwcompact_medium_052885,47,32,47,32,1.0,1.0,True,True,0
compact,25,compact:frontier_consolidation_fwcompact_medium_058066,39,27,39,27,1.0,1.0,True,True,0
compact,25,compact:frontier_consolidation_fwcompact_medium_027963,21,17,21,17,1.0,1.0,True,True,0
compact,26,compact:frontier_consolidation_fwcompact_medium_003638,39,30,39,30,1.0,1.0,True,True,0
compact,26,compact:frontier_consolidation_fwcompact_medium_052648,27,23,27,23,1.0,1.0,True,True,0
compact,26,compact:frontier_consolidation_fwcompact_medium_033527,16,11,16,11,1.0,1.0,True,True,0
compact,26,compact:frontier_consolidation_fwcompact_medium_049418,29,25,29,25,1.0,1.0,True,True,0
compact,27,compact:frontier_consolidation_fwcompact_medium_051883,22,14,22,14,1.0,1.0,True,True,0
compact,27,compact:frontier_consolidation_fwcompact_medium_060888,37,29,37,29,1.0,1.0,True,True,0
compact,27,compact:frontier_consolidation_fwcompact_medium_045018,14,8,14,8,1.0,1.0,True,True,0
compact,27,compact:frontier_consolidation_fwcompact_medium_031002,44,37,44,37,1.0,1.0,True,True,0
compact,28,compact:frontier_consolidation_fwcompact_medium_060933,30,19,30,19,1.0,1.0,True,True,0
compact,28,compact:frontier_consolidation_fwcompact_medium_025322,31,21,31,21,1.0,1.0,True,True,0
compact,28,compact:frontier_consolidation_fwcompact_medium_035847,23,14,23,14,1.0,1.0,True,True,0
compact,28,compact:frontier_consolidation_fwcompact_medium_016311,34,24,34,24,1.0,1.0,True,True,0
compact,29,compact:frontier_consolidation_fwcompact_medium_058939,35,27,35,27,1.0,1.0,True,True,0
compact,29,compact:frontier_consolidation_fwcompact_medium_027707,38,24,38,24,1.0,1.0,True,True,0
compact,29,compact:frontier_consolidation_fwcompact_medium_004675,38,24,38,24,1.0,1.0,True,True,0
compact,29,compact:frontier_consolidation_fwcompact_medium_055294,28,16,28,16,1.0,1.0,True,True,0
compact,30,compact:frontier_consolidation_fwcompact_medium_027242,20,14,20,14,1.0,1.0,True,True,0
compact,30,compact:frontier_consolidation_fwcompact_medium_020105,53,34,53,34,1.0,1.0,True,True,0
compact,30,compact:frontier_consolidation_fwcompact_medium_001076,24,18,24,18,1.0,1.0,True,True,0
compact,30,compact:frontier_consolidation_fwcompact_medium_035657,26,20,26,20,1.0,1.0,True,True,0
compact,31,compact:frontier_consolidation_fwcompact_medium_056096,40,31,40,31,1.0,1.0,True,True,0
compact,31,compact:frontier_consolidation_fwcompact_medium_022332,34,22,34,22,1.0,1.0,True,True,0
compact,31,compact:frontier_consolidation_fwcompact_medium_018067,21,17,21,17,1.0,1.0,True,True,0
compact,31,compact:frontier_consolidation_fwcompact_medium_038221,16,12,16,12,1.0,1.0,True,True,0
compact,32,compact:frontier_consolidation_fwcompact_medium_006849,37,29,37,29,1.0,1.0,True,True,0
compact,32,compact:frontier_consolidation_fwcompact_medium_029769,24,14,24,14,1.0,1.0,True,True,0
compact,32,compact:frontier_consolidation_fwcompact_medium_038187,12,10,12,10,1.0,1.0,True,True,0
compact,32,compact:frontier_consolidation_fwcompact_medium_009755,43,30,43,30,1.0,1.0,True,True,0
compact,33,compact:frontier_consolidation_fwcompact_medium_000182,24,18,24,18,1.0,1.0,True,True,0
compact,33,compact:frontier_consolidation_fwcompact_medium_054982,42,21,42,21,1.0,1.0,True,True,0
compact,33,compact:frontier_consolidation_fwcompact_medium_025376,39,21,39,21,1.0,1.0,True,True,0
compact,34,compact:frontier_consolidation_fwcompact_medium_000312,33,24,33,24,1.0,1.0,True,True,0
compact,34,compact:frontier_consolidation_fwcompact_medium_021431,24,17,24,17,1.0,1.0,True,True,0
compact,34,compact:frontier_consolidation_fwcompact_medium_038498,50,34,50,34,1.0,1.0,True,True,0
compact,34,compact:frontier_consolidation_fwcompact_medium_023849,13,9,13,9,1.0,1.0,True,True,0
compact,35,compact:frontier_consolidation_fwcompact_medium_050523,38,31,38,31,1.0,1.0,True,True,0
compact,35,compact:frontier_consolidation_fwcompact_medium_007897,21,14,21,14,1.0,1.0,True,True,0
compact,35,compact:frontier_consolidation_fwcompact_medium_032573,24,18,24,18,1.0,1.0,True,True,0
compact,35,compact:frontier_consolidation_fwcompact_medium_017134,27,23,27,23,1.0,1.0,True,True,0
compact,35,compact:frontier_consolidation_fwcompact_medium_010434,37,27,37,23,1.0,0.8518518518518519,True,False,0
compact,36,compact:frontier_consolidation_fwcompact_medium_016722,28,24,28,24,1.0,1.0,True,True,0
compact,36,compact:frontier_consolidation_fwcompact_medium_036756,32,23,32,23,1.0,1.0,True,True,0
compact,36,compact:frontier_consolidation_fwcompact_medium_002054,25,18,25,18,1.0,1.0,True,True,0
compact,36,compact:frontier_consolidation_fwcompact_medium_024386,14,11,14,11,1.0,1.0,True,True,0
compact,37,compact:frontier_consolidation_fwcompact_medium_017942,30,22,30,22,1.0,1.0,True,True,0
compact,37,compact:frontier_consolidation_fwcompact_medium_048213,38,30,38,30,1.0,1.0,True,True,0
compact,37,compact:frontier_consolidation_fwcompact_medium_039594,42,25,42,25,1.0,1.0,True,True,0
compact,38,compact:frontier_consolidation_fwcompact_medium_044271,32,25,32,25,1.0,1.0,True,True,0
compact,38,compact:frontier_consolidation_fwcompact_medium_016356,23,17,23,17,1.0,1.0,True,True,0
compact,38,compact:frontier_consolidation_fwcompact_medium_013596,25,16,25,16,1.0,1.0,True,True,0
compact,38,compact:frontier_consolidation_fwcompact_medium_030642,28,21,28,21,1.0,1.0,True,True,0
compact,39,compact:frontier_consolidation_fwcompact_medium_013929,41,31,41,31,1.0,1.0,True,True,0
compact,39,compact:frontier_consolidation_fwcompact_medium_015468,33,23,33,23,1.0,1.0,True,True,0
compact,39,compact:frontier_consolidation_fwcompact_medium_001103,30,22,30,22,1.0,1.0,True,True,0
compact,39,compact:frontier_consolidation_fwcompact_medium_028882,31,22,31,22,1.0,1.0,True,True,0
compact,40,compact:frontier_consolidation_fwcompact_medium_018417,39,23,39,23,1.0,1.0,True,True,0
compact,40,compact:frontier_consolidation_fwcompact_medium_043467,21,16,21,16,1.0,1.0,True,True,0
compact,40,compact:frontier_consolidation_fwcompact_medium_013729,36,18,36,18,1.0,1.0,True,True,0
compact,41,compact:frontier_consolidation_fwcompact_medium_025676,57,46,57,46,1.0,1.0,True,True,0
compact,41,compact:frontier_consolidation_fwcompact_medium_055496,36,26,36,26,1.0,1.0,True,True,0
compact,41,compact:frontier_consolidation_fwcompact_medium_036974,50,34,50,34,1.0,1.0,True,True,0
compact,42,compact:frontier_consolidation_fwcompact_medium_020396,51,44,51,44,1.0,1.0,True,True,0
compact,42,compact:frontier_consolidation_fwcompact_medium_000577,27,13,27,13,1.0,1.0,True,True,0
compact,42,compact:frontier_consolidation_fwcompact_medium_002798,17,13,17,13,1.0,1.0,True,True,0
compact,42,compact:frontier_consolidation_fwcompact_medium_018143,37,33,37,33,1.0,1.0,True,True,0
compact,43,compact:frontier_consolidation_fwcompact_medium_060174,38,24,38,24,1.0,1.0,True,True,0
compact,43,compact:frontier_consolidation_fwcompact_medium_052940,36,26,36,26,1.0,1.0,True,True,0
compact,43,compact:frontier_consolidation_fwcompact_medium_012638,21,15,21,15,1.0,1.0,True,True,0
compact,43,compact:frontier_consolidation_fwcompact_medium_061454,23,17,23,17,1.0,1.0,True,True,0
compact,44,compact:frontier_consolidation_fwcompact_medium_047757,20,14,20,14,1.0,1.0,True,True,0
compact,44,compact:frontier_consolidation_fwcompact_medium_004183,42,30,42,30,1.0,1.0,True,True,0
compact,44,compact:frontier_consolidation_fwcompact_medium_003817,38,28,38,28,1.0,1.0,True,True,0
compact,44,compact:frontier_consolidation_fwcompact_medium_027098,21,15,21,15,1.0,1.0,True,True,0
compact,45,compact:frontier_consolidation_fwcompact_medium_044824,32,24,32,24,1.0,1.0,True,True,0
compact,45,compact:frontier_consolidation_fwcompact_medium_020133,20,14,20,14,1.0,1.0,True,True,0
compact,45,compact:frontier_consolidation_fwcompact_medium_024298,21,18,21,18,1.0,1.0,True,True,0
compact,45,compact:frontier_consolidation_fwcompact_medium_007940,33,23,33,23,1.0,1.0,True,True,0
compact,46,compact:frontier_consolidation_fwcompact_medium_057788,33,13,33,13,1.0,1.0,True,True,0
compact,46,compact:frontier_consolidation_fwcompact_medium_033162,38,30,38,30,1.0,1.0,True,True,0
compact,46,compact:frontier_consolidation_fwcompact_medium_037110,29,17,29,17,1.0,1.0,True,True,0
compact,46,compact:frontier_consolidation_fwcompact_medium_044026,55,35,55,35,1.0,1.0,True,True,0
compact,47,compact:frontier_consolidation_fwcompact_medium_002529,38,19,38,19,1.0,1.0,True,True,0
compact,47,compact:frontier_consolidation_fwcompact_medium_033407,22,15,22,15,1.0,1.0,True,True,0
compact,47,compact:frontier_consolidation_fwcompact_medium_010027,28,19,28,19,1.0,1.0,True,True,0
compact,47,compact:frontier_consolidation_fwcompact_medium_051203,30,20,30,20,1.0,1.0,True,True,0
compact,48,compact:frontier_consolidation_fwcompact_medium_040823,45,35,45,35,1.0,1.0,True,True,0
compact,48,compact:frontier_consolidation_fwcompact_medium_053930,29,17,29,17,1.0,1.0,True,True,0
compact,48,compact:frontier_consolidation_fwcompact_medium_038336,30,16,30,16,1.0,1.0,True,True,0
compact,48,compact:frontier_consolidation_fwcompact_medium_006301,18,13,18,13,1.0,1.0,True,True,0
compact,49,compact:frontier_consolidation_fwcompact_medium_046716,24,14,24,14,1.0,1.0,True,True,0
compact,49,compact:frontier_consolidation_fwcompact_medium_025854,58,41,58,41,1.0,1.0,True,True,0
compact,49,compact:frontier_consolidation_fwcompact_medium_055017,37,23,37,23,1.0,1.0,True,True,0
compact,50,compact:frontier_consolidation_fwcompact_medium_005102,34,17,34,17,1.0,1.0,True,True,0
compact,50,compact:frontier_consolidation_fwcompact_medium_006430,35,18,35,18,1.0,1.0,True,True,0
compact,50,compact:frontier_consolidation_fwcompact_medium_028421,19,16,19,16,1.0,1.0,True,True,0
compact,50,compact:frontier_consolidation_fwcompact_medium_044896,21,13,21,13,1.0,1.0,True,True,0
compact,50,compact:frontier_consolidation_fwcompact_medium_008185,19,13,19,13,1.0,1.0,True,True,0
compact,51,compact:frontier_consolidation_fwcompact_medium_024762,24,15,24,15,1.0,1.0,True,True,0
compact,51,compact:frontier_consolidation_fwcompact_medium_030792,15,11,15,11,1.0,1.0,True,True,0
compact,51,compact:frontier_consolidation_fwcompact_medium_003643,58,36,58,36,1.0,1.0,True,True,0
compact,51,compact:frontier_consolidation_fwcompact_medium_053938,34,16,34,16,1.0,1.0,True,True,0
compact,52,compact:frontier_consolidation_fwcompact_medium_011630,35,25,35,25,1.0,1.0,True,True,0
compact,52,compact:frontier_consolidation_fwcompact_medium_036669,68,49,68,49,1.0,1.0,True,True,0
compact,52,compact:frontier_consolidation_fwcompact_medium_046136,29,19,29,19,1.0,1.0,True,True,0
compact,53,compact:frontier_consolidation_fwcompact_medium_011411,16,10,16,10,1.0,1.0,True,True,0
compact,53,compact:frontier_consolidation_fwcompact_medium_008937,27,24,27,24,1.0,1.0,True,True,0
compact,53,compact:frontier_consolidation_fwcompact_medium_000418,41,31,41,31,1.0,1.0,True,True,0
compact,53,compact:frontier_consolidation_fwcompact_medium_023284,29,18,29,18,1.0,1.0,True,True,0
compact,53,compact:frontier_consolidation_fwcompact_medium_023544,19,13,19,13,1.0,1.0,True,True,0
compact,54,compact:frontier_consolidation_fwcompact_medium_042419,34,24,34,24,1.0,1.0,True,True,0
compact,54,compact:frontier_consolidation_fwcompact_medium_030508,33,25,33,25,1.0,1.0,True,True,0
compact,54,compact:frontier_consolidation_fwcompact_medium_011033,16,12,16,12,1.0,1.0,True,True,0
compact,54,compact:frontier_consolidation_fwcompact_medium_002789,26,19,26,19,1.0,1.0,True,True,0
compact,55,compact:frontier_consolidation_fwcompact_medium_026230,27,17,27,17,1.0,1.0,True,True,0
compact,55,compact:frontier_consolidation_fwcompact_medium_030213,26,21,26,21,1.0,1.0,True,True,0
compact,55,compact:frontier_consolidation_fwcompact_medium_060194,18,12,18,12,1.0,1.0,True,True,0
compact,55,compact:frontier_consolidation_fwcompact_medium_044340,30,21,30,21,1.0,1.0,True,True,0
compact,56,compact:frontier_consolidation_fwcompact_medium_059557,24,17,24,17,1.0,1.0,True,True,0
compact,56,compact:frontier_consolidation_fwcompact_medium_035142,22,17,22,17,1.0,1.0,True,True,0
compact,56,compact:frontier_consolidation_fwcompact_medium_013682,32,27,32,27,1.0,1.0,True,True,0
compact,56,compact:frontier_consolidation_fwcompact_medium_053025,39,29,39,29,1.0,1.0,True,True,0
compact,57,compact:frontier_consolidation_fwcompact_medium_055947,21,12,21,12,1.0,1.0,True,True,0
compact,57,compact:frontier_consolidation_fwcompact_medium_061449,47,34,47,34,1.0,1.0,True,True,0
compact,57,compact:frontier_consolidation_fwcompact_medium_039802,30,26,30,26,1.0,1.0,True,True,0
compact,57,compact:frontier_consolidation_fwcompact_medium_027016,26,21,26,21,1.0,1.0,True,True,0
compact,58,compact:frontier_consolidation_fwcompact_medium_000769,24,18,24,18,1.0,1.0,True,True,0
compact,58,compact:frontier_consolidation_fwcompact_medium_020317,41,27,41,27,1.0,1.0,True,True,0
compact,58,compact:frontier_consolidation_fwcompact_medium_025299,23,16,23,16,1.0,1.0,True,True,0
compact,59,compact:frontier_consolidation_fwcompact_medium_005291,46,39,46,39,1.0,1.0,True,True,0
compact,59,compact:frontier_consolidation_fwcompact_medium_034089,25,16,25,16,1.0,1.0,True,True,0
compact,59,compact:frontier_consolidation_fwcompact_medium_044503,24,17,24,17,1.0,1.0,True,True,0
compact,60,compact:frontier_consolidation_fwcompact_medium_004147,42,20,42,20,1.0,1.0,True,True,0
compact,60,compact:frontier_consolidation_fwcompact_medium_030197,49,37,49,37,1.0,1.0,True,True,0
compact,60,compact:frontier_consolidation_fwcompact_medium_037559,39,18,39,18,1.0,1.0,True,True,0
compact,61,compact:frontier_consolidation_fwcompact_medium_019993,35,25,35,25,1.0,1.0,True,True,0
compact,61,compact:frontier_consolidation_fwcompact_medium_016588,37,17,37,17,1.0,1.0,True,True,0
compact,61,compact:frontier_consolidation_fwcompact_medium_047052,41,27,41,27,1.0,1.0,True,True,0
compact,62,compact:frontier_consolidation_fwcompact_medium_026962,38,32,38,32,1.0,1.0,True,True,0
compact,62,compact:frontier_consolidation_fwcompact_medium_023174,22,16,22,16,1.0,1.0,True,True,0
compact,62,compact:frontier_consolidation_fwcompact_medium_055760,17,14,17,14,1.0,1.0,True,True,0
compact,62,compact:frontier_consolidation_fwcompact_medium_056988,46,28,46,28,1.0,1.0,True,True,0
compact,63,compact:frontier_consolidation_fwcompact_medium_056360,20,15,20,15,1.0,1.0,True,True,0
compact,63,compact:frontier_consolidation_fwcompact_medium_025977,50,27,50,27,1.0,1.0,True,True,0
compact,63,compact:frontier_consolidation_fwcompact_medium_014706,13,8,13,8,1.0,1.0,True,True,0
compact,63,compact:frontier_consolidation_fwcompact_medium_004519,32,24,32,24,1.0,1.0,True,True,0
compact,64,compact:frontier_consolidation_fwcompact_medium_042554,34,21,34,21,1.0,1.0,True,True,0
compact,64,compact:frontier_consolidation_fwcompact_medium_060093,37,23,37,23,1.0,1.0,True,True,0
compact,64,compact:frontier_consolidation_fwcompact_medium_051064,31,21,31,21,1.0,1.0,True,True,0
compact,65,compact:frontier_consolidation_fwcompact_medium_052558,24,18,24,18,1.0,1.0,True,True,0
compact,65,compact:frontier_consolidation_fwcompact_medium_031277,48,30,48,30,1.0,1.0,True,True,0
compact,65,compact:frontier_consolidation_fwcompact_medium_049175,34,25,34,25,1.0,1.0,True,True,0
compact,66,compact:frontier_consolidation_fwcompact_medium_052120,28,18,28,18,1.0,1.0,True,True,0
compact,66,compact:frontier_consolidation_fwcompact_medium_002517,21,13,21,13,1.0,1.0,True,True,0
compact,66,compact:frontier_consolidation_fwcompact_medium_039544,16,13,16,13,1.0,1.0,True,True,0
compact,66,compact:frontier_consolidation_fwcompact_medium_030231,39,24,39,24,1.0,1.0,True,True,0
compact,67,compact:frontier_consolidation_fwcompact_medium_000652,24,18,24,18,1.0,1.0,True,True,0
compact,67,compact:frontier_consolidation_fwcompact_medium_004556,24,16,24,16,1.0,1.0,True,True,0
compact,67,compact:frontier_consolidation_fwcompact_medium_033177,35,24,35,24,1.0,1.0,True,True,0
compact,67,compact:frontier_consolidation_fwcompact_medium_005742,19,13,19,13,1.0,1.0,True,True,0
compact,68,compact:frontier_consolidation_fwcompact_medium_060969,25,16,25,16,1.0,1.0,True,True,0
compact,68,compact:frontier_consolidation_fwcompact_medium_012246,35,19,35,19,1.0,1.0,True,True,0
compact,68,compact:frontier_consolidation_fwcompact_medium_021143,29,23,29,23,1.0,1.0,True,True,0
compact,68,compact:frontier_consolidation_fwcompact_medium_047087,43,28,43,28,1.0,1.0,True,True,0
compact,69,compact:frontier_consolidation_fwcompact_medium_010292,17,11,17,11,1.0,1.0,True,True,0
compact,69,compact:frontier_consolidation_fwcompact_medium_041795,38,29,38,29,1.0,1.0,True,True,0
compact,69,compact:frontier_consolidation_fwcompact_medium_038876,18,12,18,12,1.0,1.0,True,True,0
compact,69,compact:frontier_consolidation_fwcompact_medium_044201,19,13,19,13,1.0,1.0,True,True,0
compact,70,compact:frontier_consolidation_fwcompact_medium_008018,38,18,38,18,1.0,1.0,True,True,0
compact,70,compact:frontier_consolidation_fwcompact_medium_000897,29,19,29,19,1.0,1.0,True,True,0
compact,70,compact:frontier_consolidation_fwcompact_medium_036138,33,21,33,21,1.0,1.0,True,True,0
compact,70,compact:frontier_consolidation_fwcompact_medium_004449,24,14,24,14,1.0,1.0,True,True,0
compact,71,compact:frontier_consolidation_fwcompact_medium_033430,31,18,31,18,1.0,1.0,True,True,0
compact,71,compact:frontier_consolidation_fwcompact_medium_003962,18,15,18,15,1.0,1.0,True,True,0
