uid,domain,ConceptA,ConceptB,ContextType,ContextDiff,TargetDiff,old_instability_pattern,correct_43022,correct_43122,margin_43022,margin_43122,margin_seed_delta_430_minus_431,old_sent_len0,old_sent_len1,new_sent_len0,new_sent_len1,delta_sent_len0_new_minus_old,delta_sent_len1_new_minus_old,mean_sentence_len_delta_new_minus_old,delta_candidate_length_asymmetry_new_minus_old,old_target_len0,old_target_len1,new_target_len0,new_target_len1,target_len_delta_new_minus_old
material-dynamics_404,material-dynamics,rip ,pour,direct,material,concept swap,0110,0,0,-2.1077651977539062,-1.1333675384521484,-0.9743976593017578,12,12,14,14,2,2,2.0,0,5,5,6,6,1.0
material-dynamics_406,material-dynamics,rip ,pour,direct,material,concept swap,0110,0,0,-0.4375152587890625,-1.0480670928955078,0.6105518341064453,12,12,12,12,0,0,0.0,0,5,5,5,5,0.0
material-dynamics_408,material-dynamics,rip ,pour,direct,material,concept swap,0110,1,0,0.7647590637207031,-1.055227279663086,1.819986343383789,12,12,12,12,0,0,0.0,0,5,5,5,5,0.0
material-dynamics_440,material-dynamics,rip ,stir,direct,material,concept swap,0110,0,0,-2.1077651977539062,-1.1333675384521484,-0.9743976593017578,12,12,14,14,2,2,2.0,0,5,5,6,6,1.0
material-dynamics_444,material-dynamics,rip ,stir,direct,material,concept swap,0110,0,0,-0.4375152587890625,-1.0480670928955078,0.6105518341064453,12,12,12,12,0,0,0.0,0,5,5,5,5,0.0
material-dynamics_448,material-dynamics,rip ,stir,direct,material,concept swap,0110,1,0,0.7647590637207031,-1.055227279663086,1.819986343383789,12,12,12,12,0,0,0.0,0,5,5,5,5,0.0
material-dynamics_478,material-dynamics,squeeze,pour,direct,material,concept swap,0110,0,1,-2.8235321044921875,0.4873008728027344,-3.310832977294922,12,12,14,14,2,2,2.0,0,5,5,6,6,1.0
material-dynamics_482,material-dynamics,squeeze,pour,direct,material,concept swap,0110,0,0,-0.9581260681152344,-0.2861652374267578,-0.6719608306884766,12,12,12,12,0,0,0.0,0,5,5,5,5,0.0
material-dynamics_486,material-dynamics,squeeze,pour,direct,material,concept swap,0110,0,1,-0.03667449951171875,0.4925518035888672,-0.5292263031005859,12,12,12,12,0,0,0.0,0,5,5,5,5,0.0
material-dynamics_525,material-dynamics,squeeze,stir,direct,material,concept swap,0110,1,1,2.4829025268554688,0.11434745788574219,2.3685550689697266,12,13,12,13,0,0,0.0,0,5,5,5,5,0.0
material-dynamics_538,material-dynamics,squeeze,stir,direct,material,concept swap,0110,0,1,-2.8235321044921875,0.4873008728027344,-3.310832977294922,12,12,14,14,2,2,2.0,0,5,5,6,6,1.0
material-dynamics_541,material-dynamics,squeeze,stir,direct,material,concept swap,0110,0,1,-0.48515892028808594,0.22289657592773438,-0.7080554962158203,12,13,14,15,2,2,2.0,0,5,5,6,6,1.0
material-dynamics_546,material-dynamics,squeeze,stir,direct,material,concept swap,0110,0,0,-0.9581260681152344,-0.2861652374267578,-0.6719608306884766,12,12,12,12,0,0,0.0,0,5,5,5,5,0.0
material-dynamics_554,material-dynamics,squeeze,stir,direct,material,concept swap,0110,0,1,-0.03667449951171875,0.4925518035888672,-0.5292263031005859,12,12,12,12,0,0,0.0,0,5,5,5,5,0.0
material-dynamics_661,material-dynamics,tap,stir,direct,material,concept swap,0110,1,1,2.4829025268554688,0.11434745788574219,2.3685550689697266,12,13,12,13,0,0,0.0,0,5,5,5,5,0.0
material-dynamics_665,material-dynamics,tap,stir,direct,material,concept swap,0110,0,1,-0.48515892028808594,0.22289657592773438,-0.7080554962158203,12,13,14,15,2,2,2.0,0,5,5,6,6,1.0
material-dynamics_31,material-dynamics,break,flap,indirect,material,concept swap,0110,0,0,-2.9046764373779297,-5.25714111328125,2.3524646759033203,10,9,10,9,0,0,0.0,0,4,4,4,4,0.0
material-dynamics_177,material-dynamics,drape,stir,indirect,material,concept swap,0110,0,0,-1.0817413330078125,-2.904705047607422,1.8229637145996094,12,13,12,13,0,0,0.0,0,6,6,6,6,0.0
material-dynamics_187,material-dynamics,drape,stir,indirect,material,concept swap,0110,1,0,2.6849536895751953,-1.8593559265136719,4.544309616088867,10,10,10,10,0,0,0.0,0,5,5,5,5,0.0
material-dynamics_257,material-dynamics,fold,stir,indirect,material,concept swap,0110,0,0,-1.0817413330078125,-2.904705047607422,1.8229637145996094,12,13,12,13,0,0,0.0,0,6,6,6,6,0.0
material-dynamics_260,material-dynamics,fold,stir,indirect,material,concept swap,0110,0,0,-3.0887584686279297,-1.9151325225830078,-1.1736259460449219,11,12,13,13,2,1,1.5,1,5,5,6,6,1.0
material-dynamics_267,material-dynamics,fold,stir,indirect,material,concept swap,0110,1,0,2.6849536895751953,-1.8593559265136719,4.544309616088867,10,10,10,10,0,0,0.0,0,5,5,5,5,0.0
material-dynamics_317,material-dynamics,hang,stir,indirect,material,concept swap,0110,0,0,-1.0817413330078125,-2.904705047607422,1.8229637145996094,12,13,12,13,0,0,0.0,0,6,6,6,6,0.0
material-dynamics_320,material-dynamics,hang,stir,indirect,material,concept swap,0110,0,0,-3.2840003967285156,-2.8675174713134766,-0.41648292541503906,11,12,12,12,1,0,0.5,1,5,5,5,5,0.0
material-dynamics_327,material-dynamics,hang,stir,indirect,material,concept swap,0110,1,0,2.6849536895751953,-1.8593559265136719,4.544309616088867,10,10,10,10,0,0,0.0,0,5,5,5,5,0.0
material-dynamics_457,material-dynamics,rip ,stir,indirect,material,concept swap,0110,0,0,-1.0817413330078125,-2.904705047607422,1.8229637145996094,12,13,12,13,0,0,0.0,0,6,6,6,6,0.0
material-dynamics_467,material-dynamics,rip ,stir,indirect,material,concept swap,0110,1,0,2.6849536895751953,-1.8593559265136719,4.544309616088867,10,10,10,10,0,0,0.0,0,5,5,5,5,0.0
material-dynamics_503,material-dynamics,squeeze,pour,indirect,material,concept swap,0110,1,0,2.1215248107910156,-2.403573989868164,4.52509880065918,10,10,13,12,3,2,2.5,1,5,5,6,6,1.0
material-dynamics_579,material-dynamics,squeeze,stir,indirect,material,concept swap,0110,0,0,-1.0817413330078125,-2.904705047607422,1.8229637145996094,12,13,12,13,0,0,0.0,0,6,6,6,6,0.0
material-dynamics_585,material-dynamics,squeeze,stir,indirect,material,concept swap,0110,1,1,2.130514144897461,0.5570182800292969,1.573495864868164,10,10,13,12,3,2,2.5,1,5,5,6,6,1.0
material-dynamics_611,material-dynamics,squeeze,stir,indirect,material,concept swap,0110,1,0,1.1694278717041016,-0.8056354522705078,1.9750633239746094,11,10,11,10,0,0,0.0,0,5,5,5,5,0.0
material-dynamics_617,material-dynamics,squeeze,stir,indirect,material,concept swap,0110,1,0,2.6849536895751953,-1.8593559265136719,4.544309616088867,10,10,10,10,0,0,0.0,0,5,5,5,5,0.0
material-dynamics_682,material-dynamics,tap,stir,indirect,material,concept swap,0110,0,0,-1.3068370819091797,-0.7678890228271484,-0.5389480590820312,10,10,11,11,1,1,1.0,0,4,4,5,5,1.0
material-dynamics_687,material-dynamics,tap,stir,indirect,material,concept swap,0110,1,0,1.1694278717041016,-0.8056354522705078,1.9750633239746094,11,10,11,10,0,0,0.0,0,5,5,5,5,0.0
material-dynamics_757,material-dynamics,wrinkle,stir,indirect,material,concept swap,0110,0,0,-1.0817413330078125,-2.904705047607422,1.8229637145996094,12,13,12,13,0,0,0.0,0,6,6,6,6,0.0
material-dynamics_767,material-dynamics,wrinkle,stir,indirect,material,concept swap,0110,1,0,2.6849536895751953,-1.8593559265136719,4.544309616088867,10,10,10,10,0,0,0.0,0,5,5,5,5,0.0
material-dynamics_2,material-dynamics,break,drip,direct,material,concept swap,1110,0,0,-1.8680877685546875,-1.22100830078125,-0.6470794677734375,12,11,12,11,0,0,0.0,0,3,3,3,3,0.0
material-dynamics_6,material-dynamics,break,drip,direct,material,concept swap,0010,0,0,-0.25882434844970703,-1.6881561279296875,1.4293317794799805,11,10,11,10,0,0,0.0,0,3,3,3,3,0.0
material-dynamics_8,material-dynamics,break,drip,direct,material,concept swap,0010,0,0,-0.3766765594482422,-0.9401464462280273,0.5634698867797852,11,10,11,10,0,0,0.0,0,3,3,3,3,0.0
material-dynamics_21,material-dynamics,break,flap,direct,material,concept swap,1110,1,1,3.534576416015625,6.920261383056641,-3.3856849670410156,11,12,11,12,0,0,0.0,0,4,4,4,4,0.0
material-dynamics_23,material-dynamics,break,flap,direct,material,concept swap,1110,1,1,1.9343795776367188,6.565401077270508,-4.631021499633789,12,13,12,13,0,0,0.0,0,4,4,4,4,0.0
material-dynamics_25,material-dynamics,break,flap,direct,material,concept swap,1110,1,1,3.222043991088867,7.341220855712891,-4.119176864624023,11,12,12,13,1,1,1.0,0,4,4,4,4,0.0
material-dynamics_27,material-dynamics,break,flap,direct,material,concept swap,1110,1,1,3.017120361328125,6.489030838012695,-3.4719104766845703,11,12,11,12,0,0,0.0,0,4,4,4,4,0.0
material-dynamics_29,material-dynamics,break,flap,direct,material,concept swap,1110,1,1,3.5718154907226562,6.215023040771484,-2.643207550048828,11,12,11,12,0,0,0.0,0,4,4,4,4,0.0
