pair_id,target_key,token_class,overlap_bin,target_token_id,target_word,n_checkpoints_ALN,T_ALN,U_ALN,N_ALN,gain_T_vs_N_ALN,gain_U_vs_N_ALN,gain_T_vs_U_ALN,n_checkpoints_OFF,T_OFF,U_OFF,N_OFF,gain_T_vs_N_OFF,gain_U_vs_N_OFF,gain_T_vs_U_OFF,seed,delta_T_ALNminusOFF,delta_U_ALNminusOFF,delta_N_ALNminusOFF,delta_gain_T_vs_N_ALNminusOFF,delta_gain_U_vs_N_ALNminusOFF,delta_gain_T_vs_U_ALNminusOFF,freq_OFF,freq_ALN,delta_freq_ALNminusOFF,log1p_OFF,log1p_ALN,delta_log1p_ALNminusOFF
wikilarge_01963191926527b51b32,wikilarge_01963191926527b51b32:5,nonoverlap,medium,501,now,3,18.711776733398438,15.663901964823404,14.629592259724935,-4.082184473673503,-1.03430970509847,-3.0478747685750327,3,15.321865399678549,12.455022493998209,12.814768473307291,-2.5070969263712564,0.35974597930908203,-2.8668429056803384,seed43022,3.3899113337198887,3.2088794708251953,1.8148237864176444,-1.5750875473022465,-1.394055684407552,-0.1810318628946943,480.0,458.0,-22.0,6.175867270105761,6.129050210060545,-0.0468170600452158
wikilarge_01d00fc38d7168edc816,wikilarge_01d00fc38d7168edc816:10,nonoverlap,high,563,put,3,12.49227523803711,12.432449658711752,11.412814458211264,-1.0794607798258464,-1.0196352005004883,-0.05982557932535803,3,13.794977823893229,11.926108678181967,11.252120018005371,-2.542857805887858,-0.6739886601765951,-1.868869145711263,seed43022,-1.3027025858561192,0.5063409805297852,0.16069444020589252,1.4633970260620115,-0.3456465403238932,1.809043566385905,11575.0,11033.0,-542.0,9.35668926831132,9.308736693832376,-0.04795257447894308
wikilarge_01d00fc38d7168edc816,wikilarge_01d00fc38d7168edc816:13,nonoverlap,high,1116,king,3,15.104563077290853,11.826072057088217,9.977572441101074,-5.126990636189778,-1.8484996159871419,-3.2784910202026367,3,13.920166651407877,12.445262591044107,11.755873044331869,-2.1642936070760093,-0.6893895467122396,-1.4749040603637695,seed43022,1.1843964258829764,-0.6191905339558907,-1.7783006032307949,-2.962697029113769,-1.1591100692749023,-1.8035869598388672,3175.0,2996.0,-179.0,8.063377822367027,8.005367067316664,-0.058010755050363016
wikilarge_01d00fc38d7168edc816,wikilarge_01d00fc38d7168edc816:2,overlap,high,7736,armed,3,1.2038434743881226,13.707567850748697,13.399142901102701,12.195299426714579,-0.30842494964599615,12.503724376360575,3,11.078079223632812,13.568009694417318,13.784845987955729,2.7067667643229165,0.21683629353841138,2.4899304707845054,seed43022,-9.87423574924469,0.13955815633137902,-0.38570308685302734,9.488532662391663,-0.5252612431844075,10.013793905576069,49.0,54.0,5.0,3.912023005428146,4.007333185232471,0.09531017980432521
wikilarge_01d0a0c7c5a04adafc96,wikilarge_01d0a0c7c5a04adafc96:5,overlap,medium,3579,russian,3,4.828437964121501,9.807149569193522,13.006539980570475,8.178102016448975,3.199390411376953,4.9787116050720215,3,9.420558293660482,9.272369066874186,9.916023254394533,0.4954649607340495,0.6436541875203451,-0.1481892267862955,seed43022,-4.592120329538981,0.5347805023193359,3.0905167261759416,7.682637055714925,2.555736223856608,5.126900831858317,642.0,720.0,78.0,6.466144724237619,6.580639137284949,0.11449441304733021
wikilarge_01d0a0c7c5a04adafc96,wikilarge_01d0a0c7c5a04adafc96:6,nonoverlap,medium,2789,football,3,13.074448903401693,14.129440625508627,15.769460678100586,2.695011774698893,1.6400200525919597,1.0549917221069336,3,15.867409388224283,16.023895581563313,15.273875872294107,-0.5935335159301758,-0.7500197092692057,0.1564861933390299,seed43022,-2.79296048482259,-1.8944549560546857,0.49558480580647846,3.288545290629069,2.3900397618611655,0.8985055287679037,0.0,0.0,0.0,0.0,0.0,0.0
wikilarge_01d0a0c7c5a04adafc96,wikilarge_01d0a0c7c5a04adafc96:7,nonoverlap,medium,3781,player,3,13.027601877848307,13.195789019266764,10.63894780476888,-2.3886540730794272,-2.5568412144978843,0.16818714141845703,3,11.223356246948242,10.386753400166828,9.5584929784139,-1.6648632685343427,-0.8282604217529297,-0.8366028467814127,seed43022,1.8042456309000645,2.8090356190999355,1.0804548263549805,-0.7237908045450845,-1.7285807927449546,1.0047899881998696,393.0,346.0,-47.0,5.976350909297934,5.849324779946859,-0.1270261293510746
wikilarge_01deb315f61ee218a026,wikilarge_01deb315f61ee218a026:3,nonoverlap,low,9125,linked,3,14.6747678120931,12.549464543660482,13.803225835164389,-0.8715419769287109,1.2537612915039062,-2.125303268432617,3,12.250332832336426,9.77298672993978,11.290691375732422,-0.9596414566040039,1.5177046457926433,-2.477346102396647,seed43022,2.4244349797566738,2.776477813720703,2.5125344594319667,0.08809947967529297,-0.26394335428873705,0.3520428339640298,189.0,180.0,-9.0,5.247024072160486,5.198497031265826,-0.04852704089466009
wikilarge_01deb315f61ee218a026,wikilarge_01deb315f61ee218a026:6,nonoverlap,low,2151,sometimes,3,12.031257311503092,13.561768531799316,13.01911735534668,0.9878600438435873,-0.5426511764526367,1.5305112202962239,3,9.651575088500977,11.3128023147583,9.210810979207357,-0.4407641092936198,-2.101991335550944,1.6612272262573242,seed43022,2.3796822230021153,2.2489662170410156,3.8083063761393223,1.428624153137207,1.5593401590983071,-0.13071600596110033,1628.0,1459.0,-169.0,7.395721608602045,7.286191714702382,-0.10952989389966294
wikilarge_01deb315f61ee218a026,wikilarge_01deb315f61ee218a026:7,overlap,low,8190,illegal,3,11.302103678385416,14.365826606750488,10.696579933166504,-0.6055237452189127,-3.6692466735839844,3.0637229283650718,3,13.939908981323242,13.91135311126709,13.411638895670572,-0.5282700856526693,-0.4997142155965169,-0.02855587005615233,seed43022,-2.637805302937826,0.45447349548339844,-2.7150589625040684,-0.07725365956624342,-3.1695324579874673,3.092278798421224,175.0,161.0,-14.0,5.170483995038151,5.087596335232384,-0.08288765980576773
wikilarge_021295bbacea698397ba,wikilarge_021295bbacea698397ba:0,nonoverlap,low,644,after,3,16.099572499593098,12.287978808085123,15.911763191223145,-0.18780930836995444,3.623784383138021,-3.811593691507975,3,13.04725170135498,12.77337678273519,14.148865699768066,1.101613998413086,1.3754889170328777,-0.27387491861979163,seed43022,3.0523207982381173,-0.4853979746500663,1.7628974914550781,-1.2894233067830403,2.2482954661051435,-3.5377187728881836,619.0,637.0,18.0,6.429719478039138,6.45833828334479,0.028618805305652195
wikilarge_021295bbacea698397ba,wikilarge_021295bbacea698397ba:4,nonoverlap,low,999,word,3,11.527172406514486,12.650710105895996,12.788423538208008,1.2612511316935222,0.1377134323120117,1.1235376993815105,3,14.02641741434733,13.179898897806803,11.587668736775717,-2.4387486775716147,-1.5922301610310872,-0.8465185165405273,seed43022,-2.499245007832844,-0.5291887919108067,1.200754801432291,3.6999998092651367,1.7299435933430989,1.9700562159220378,117.0,103.0,-14.0,4.770684624465665,4.6443908991413725,-0.12629372532429262
wikilarge_021295bbacea698397ba,wikilarge_021295bbacea698397ba:5,overlap,low,5263,royal,3,14.687370618184408,14.03564484914144,12.396357218424479,-2.2910133997599282,-1.6392876307169597,-0.6517257690429688,3,11.356155395507812,12.28609848022461,12.916932423909506,1.5607770284016926,0.6308339436848959,0.9299430847167969,seed43022,3.3312152226765956,1.74954636891683,-0.5205752054850272,-3.851790428161621,-2.2701215744018555,-1.5816688537597656,468.0,532.0,64.0,6.150602768446279,6.278521424165844,0.12791865571956507
