column,subtask,coherent86_n,coherent86_acc,dense_seed62064_n,dense_seed62064_acc,dense_seed62065_n,dense_seed62065_acc,clean_seed62064_n,clean_seed62064_acc,clean_seed62065_n,clean_seed62065_acc,dense_seed62064_delta_vs_coherent86,dense_seed62065_delta_vs_coherent86,clean_seed62064_delta_vs_coherent86,clean_seed62065_delta_vs_coherent86,clean_seed65_minus_seed64
Entity,move_contents_1_ops,437,17.162471395881006,437,16.704805491990847,437,16.933638443935926,437,16.704805491990847,437,16.247139588100687,-0.4576659038901596,-0.2288329519450798,-0.4576659038901596,-0.9153318077803192,-0.4576659038901596
Entity,move_contents_2_ops,399,21.55388471177945,399,25.31328320802005,399,25.31328320802005,399,24.81203007518797,399,25.06265664160401,3.7593984962405997,3.7593984962405997,3.25814536340852,3.5087719298245617,0.25062656641604164
Entity,move_contents_3_ops,406,26.600985221674875,406,28.571428571428573,406,28.571428571428573,406,29.064039408866996,406,29.064039408866996,1.9704433497536975,1.9704433497536975,2.463054187192121,2.463054187192121,0.0
Entity,move_contents_4_ops,353,31.161473087818695,353,34.844192634560905,353,35.41076487252125,353,33.42776203966006,353,33.994334277620396,3.6827195467422094,4.249291784702553,2.2662889518413643,2.832861189801701,0.5665722379603366
Entity,move_contents_5_ops,116,43.10344827586207,116,44.827586206896555,116,44.827586206896555,116,45.689655172413794,116,45.689655172413794,1.724137931034484,1.724137931034484,2.5862068965517224,2.5862068965517224,0.0
Entity,regular_0_ops,517,40.61895551257253,517,35.783365570599614,517,35.783365570599614,517,36.94390715667311,517,36.94390715667311,-4.83558994197292,-4.83558994197292,-3.6750483558994205,-3.6750483558994205,0.0
Entity,regular_1_ops,409,15.647921760391197,409,17.359413202933986,409,17.359413202933986,409,17.359413202933986,409,17.359413202933986,1.7114914425427887,1.7114914425427887,1.7114914425427887,1.7114914425427887,0.0
Entity,regular_2_ops,405,21.97530864197531,405,24.444444444444443,405,24.691358024691358,405,24.691358024691358,405,24.19753086419753,2.4691358024691326,2.7160493827160472,2.7160493827160472,2.2222222222222214,-0.4938271604938258
Entity,regular_3_ops,425,31.058823529411764,425,31.764705882352942,425,31.764705882352942,425,32.0,425,32.0,0.7058823529411775,0.7058823529411775,0.9411764705882355,0.9411764705882355,0.0
Entity,regular_4_ops,388,27.577319587628867,388,30.412371134020617,388,30.15463917525773,388,29.896907216494846,388,29.896907216494846,2.8350515463917496,2.577319587628864,2.3195876288659782,2.3195876288659782,0.0
Entity,regular_5_ops,94,29.78723404255319,94,30.851063829787233,94,30.851063829787233,94,31.914893617021278,94,31.914893617021278,1.0638297872340416,1.0638297872340416,2.127659574468087,2.127659574468087,0.0
COMPS,base,49340,53.24483177948926,49340,53.41913254965545,49340,53.42926631536279,49340,53.479935143899475,49340,53.467774625050666,0.17430077016619094,0.1844345358735282,0.2351033644102145,0.22294284556140553,-0.012160518848808977
COMPS,wugs,13896,52.02216465169833,13896,51.69113413932067,13896,51.676741508347725,13896,51.87823834196891,13896,51.885434657455384,-0.3310305123776658,-0.3454231433506081,-0.143926309729423,-0.1367299942429483,0.0071963154864747025
COMPS,wugs_dist_before,13896,37.47841105354059,13896,38.53626943005181,13896,38.565054691997695,13896,38.37795048934945,13896,38.38514680483593,1.05785837651122,1.0866436384571045,0.8995394358088618,0.9067357512953365,0.0071963154864747025
COMPS,wugs_dist_in_between,13896,65.44329303396661,13896,64.96833621185952,13896,64.91076568796775,13896,64.89637305699482,13896,64.8028209556707,-0.4749568221070888,-0.532527345998858,-0.5469199769717932,-0.6404720782959146,-0.0935521013241214
GlobalPIQA_parallel,GlobalPIQA_parallel,103,29.12621359223301,103,30.097087378640776,103,30.097087378640776,103,30.097087378640776,103,30.097087378640776,0.9708737864077648,0.9708737864077648,0.9708737864077648,0.9708737864077648,0.0
GlobalPIQA_nonparallel,GlobalPIQA_nonparallel,100,48.0,100,50.0,100,50.0,100,50.0,100,50.0,2.0,2.0,2.0,2.0,0.0
