group,contrast,role_a,role_b,n,delta_accuracy_pct,acc_a,acc_b,mean_relevant_updates,mean_total_ops,mean_prefix_words
rel_updates_3,SHUFminusOFF,SHUF,OFF,1230,-0.7317073170731732,20.40650406504065,21.138211382113823,3.0,9.44308943089431,137.81463414634146
rel_updates_4,SHUFminusOFF,SHUF,OFF,1112,-2.4280575539568368,22.93165467625899,25.359712230215827,4.0,10.02158273381295,142.931654676259
rel_updates_5,SHUFminusOFF,SHUF,OFF,308,-5.519480519480524,23.376623376623375,28.8961038961039,5.0,10.441558441558442,146.2077922077922
total_ops_0,SHUFminusOFF,SHUF,OFF,304,0.9868421052631575,25.986842105263158,25.0,0.0,0.0,61.473684210526315
total_ops_1,SHUFminusOFF,SHUF,OFF,331,-5.740181268882175,20.84592145015106,26.586102719033235,0.22356495468277945,1.0,69.66465256797584
total_ops_10,SHUFminusOFF,SHUF,OFF,733,-2.0463847203274206,19.781718963165076,21.828103683492497,2.8076398362892223,10.0,141.51841746248294
total_ops_11,SHUFminusOFF,SHUF,OFF,828,-1.2077294685990374,19.082125603864732,20.28985507246377,2.9504830917874396,11.0,149.18961352657004
total_ops_12,SHUFminusOFF,SHUF,OFF,919,-1.414581066376499,20.239390642002174,21.653971708378673,3.115342763873776,12.0,158.37431991294886
total_ops_2,SHUFminusOFF,SHUF,OFF,339,-3.5398230088495595,17.10914454277286,20.64896755162242,0.4424778761061947,2.0,77.53687315634218
total_ops_3,SHUFminusOFF,SHUF,OFF,358,0.8379888268156428,20.11173184357542,19.273743016759777,0.723463687150838,3.0,85.74022346368714
total_ops_4,SHUFminusOFF,SHUF,OFF,369,-4.065040650406505,19.241192411924118,23.306233062330623,1.005420054200542,4.0,93.0
total_ops_5,SHUFminusOFF,SHUF,OFF,393,-1.0178117048346067,20.35623409669211,21.374045801526716,1.3231552162849873,5.0,101.42493638676845
total_ops_6,SHUFminusOFF,SHUF,OFF,446,2.2421524663677097,26.23318385650224,23.99103139013453,1.6591928251121075,6.0,109.03363228699551
total_ops_7,SHUFminusOFF,SHUF,OFF,508,-1.7716535433070852,20.669291338582678,22.440944881889763,2.045275590551181,7.0,117.93897637795276
total_ops_8,SHUFminusOFF,SHUF,OFF,592,-0.3378378378378386,18.58108108108108,18.91891891891892,2.285472972972973,8.0,126.08952702702703
total_ops_9,SHUFminusOFF,SHUF,OFF,660,-2.5757575757575744,20.454545454545457,23.03030303030303,2.5196969696969695,9.0,134.4
