contrast,n,mean,se,frac_positive,family,group,value
VSminusC,5892,-0.7843913695712063,0.02448978817196485,0.3408010862186015,rewrite,ALL,unrelated_source_nll
HMminusC,2732,0.24224324447031026,0.04394055139114077,0.5344070278184481,rewrite,nonoverlap,gain
HMminusR,2732,0.9939518140384854,0.04534900006704431,0.6522693997071742,rewrite,nonoverlap,gain
HMminusV,2732,-0.44144578172847776,0.038676757192694915,0.4095900439238653,rewrite,nonoverlap,gain
HMminusRS,2732,0.27351565101928693,0.04127737630732951,0.5607613469985359,rewrite,nonoverlap,gain
HMminusVS,2732,0.21243540229200375,0.04311630494333578,0.5398975109809663,rewrite,nonoverlap,gain
RminusC,2732,-0.751708569568175,0.044620538868648675,0.3821376281112738,rewrite,nonoverlap,gain
VminusC,2732,0.683689026198788,0.047359636698670896,0.6101756954612005,rewrite,nonoverlap,gain
RSminusC,2732,-0.03127240654897661,0.037535504009202816,0.48938506588579794,rewrite,nonoverlap,gain
VSminusC,2732,0.029807842178306586,0.039376862399778785,0.49414348462664714,rewrite,nonoverlap,gain
HMminusC,2732,-0.7312501481394004,0.044265110574631436,0.37445095168374815,rewrite,nonoverlap,true_source_nll
HMminusR,2732,-1.1792483892253833,0.044000031539742,0.29685212298682284,rewrite,nonoverlap,true_source_nll
HMminusV,2732,0.4475064702372245,0.03554452702832181,0.6006588579795022,rewrite,nonoverlap,true_source_nll
HMminusRS,2732,-0.184320177780812,0.041540455622039486,0.45937042459736455,rewrite,nonoverlap,true_source_nll
HMminusVS,2732,0.12052044255219005,0.03930714683228132,0.5186676427525623,rewrite,nonoverlap,true_source_nll
RminusC,2732,0.4479982410859828,0.04297239753898949,0.5625915080527086,rewrite,nonoverlap,true_source_nll
VminusC,2732,-1.178756618376625,0.04904956460943232,0.31991215226939973,rewrite,nonoverlap,true_source_nll
RSminusC,2732,-0.5469299703585884,0.037049009837383386,0.39568081991215226,rewrite,nonoverlap,true_source_nll
VSminusC,2732,-0.8517705906915903,0.040400638472605784,0.3440702781844802,rewrite,nonoverlap,true_source_nll
HMminusC,2732,-0.48900690366909005,0.03347704917545361,0.3883601756954612,rewrite,nonoverlap,unrelated_source_nll
HMminusR,2732,-0.1852965751868978,0.027185998611241245,0.4432650073206442,rewrite,nonoverlap,unrelated_source_nll
HMminusV,2732,0.006060688508746744,0.027010470412195488,0.4956076134699854,rewrite,nonoverlap,unrelated_source_nll
HMminusRS,2732,0.08919547323847489,0.031004096614198225,0.5325768667642753,rewrite,nonoverlap,unrelated_source_nll
HMminusVS,2732,0.3329558448441937,0.03179272710760155,0.58199121522694,rewrite,nonoverlap,unrelated_source_nll
RminusC,2732,-0.3037103284821923,0.030721845689873368,0.43667642752562225,rewrite,nonoverlap,unrelated_source_nll
VminusC,2732,-0.4950675921778368,0.0339475583013534,0.3953147877013177,rewrite,nonoverlap,unrelated_source_nll
RSminusC,2732,-0.5782023769075649,0.031558301957876816,0.36383601756954614,rewrite,nonoverlap,unrelated_source_nll
VSminusC,2732,-0.8219627485132838,0.03577126354506204,0.33162518301610544,rewrite,nonoverlap,unrelated_source_nll
HMminusC,3160,0.3383064992105919,0.04337999389311368,0.5259493670886076,rewrite,overlap,gain
HMminusR,3160,0.6061901139861796,0.042920265487403894,0.5651898734177215,rewrite,overlap,gain
HMminusV,3160,-0.21292281138056085,0.035189253094542336,0.4629746835443038,rewrite,overlap,gain
HMminusRS,3160,1.115192337997524,0.041247314673124987,0.6958860759493671,rewrite,overlap,gain
HMminusVS,3160,0.9867210446694173,0.04130375776472003,0.6731012658227848,rewrite,overlap,gain
RminusC,3160,-0.26788361477558764,0.04059346488338739,0.4607594936708861,rewrite,overlap,gain
VminusC,3160,0.5512293105911528,0.04816091315746265,0.5531645569620253,rewrite,overlap,gain
RSminusC,3160,-0.776885838786932,0.03888626015770766,0.33860759493670883,rewrite,overlap,gain
VSminusC,3160,-0.6484145454588255,0.039092919715343635,0.3667721518987342,rewrite,overlap,gain
HMminusC,3160,-0.7530535312011839,0.0363462707872094,0.22943037974683544,rewrite,overlap,true_source_nll
HMminusR,3160,-0.6611042509891749,0.03666896560355556,0.45474683544303796,rewrite,overlap,true_source_nll
HMminusV,3160,0.1831598284111017,0.025691161041048568,0.5791139240506329,rewrite,overlap,true_source_nll
HMminusRS,3160,-0.7979582087883894,0.03348698380854748,0.1560126582278481,rewrite,overlap,true_source_nll
HMminusVS,3160,-0.6495593043260677,0.03241456446334285,0.19968354430379748,rewrite,overlap,true_source_nll
RminusC,3160,-0.091949280212009,0.032441862968283275,0.3003164556962025,rewrite,overlap,true_source_nll
VminusC,3160,-0.9362133596122856,0.04110209258912104,0.19746835443037974,rewrite,overlap,true_source_nll
RSminusC,3160,0.04490467758720567,0.030575559996348405,0.6199367088607595,rewrite,overlap,true_source_nll
VSminusC,3160,-0.10349422687511617,0.030248450607352654,0.5518987341772152,rewrite,overlap,true_source_nll
HMminusC,3160,-0.41474703199059193,0.030915720138237256,0.4022151898734177,rewrite,overlap,unrelated_source_nll
HMminusR,3160,-0.05491413700299529,0.0258879087547285,0.4768987341772152,rewrite,overlap,unrelated_source_nll
HMminusV,3160,-0.029762982969459156,0.026338366467442264,0.4920886075949367,rewrite,overlap,unrelated_source_nll
HMminusRS,3160,0.31723412920913424,0.02916068931081278,0.5879746835443038,rewrite,overlap,unrelated_source_nll
HMminusVS,3160,0.33716174034334967,0.03001150276593054,0.5886075949367089,rewrite,overlap,unrelated_source_nll
RminusC,3160,-0.3598328949875967,0.029831192145201888,0.4243670886075949,rewrite,overlap,unrelated_source_nll
VminusC,3160,-0.3849840490211328,0.03194565658866084,0.41835443037974684,rewrite,overlap,unrelated_source_nll
RSminusC,3160,-0.7319811611997261,0.03131408257787484,0.33987341772151897,rewrite,overlap,unrelated_source_nll
VSminusC,3160,-0.7519087723339416,0.033584485612973065,0.3487341772151899,rewrite,overlap,unrelated_source_nll
