family,role,checkpoint,group,n,mean_gain,mean_intact_nll,mean_control_nll,mean_true_source_nll,mean_unrelated_source_nll,mean_margin_full,mean_effect_no_initial_qbox,mean_effect_no_last_relevant_update,mean_effect_no_all_relevant_updates
entity,C,chck_100M,rel_updates_3,296,,,,,,-0.05457174858531436,0.07348703975613052,-0.29345584398991353,-0.23622663198290644
entity,C,chck_100M,rel_updates_4,326,,,,,,0.3596125413303726,0.06750161698990804,-0.2709538951241897,-0.2201489996325019
entity,C,chck_100M,rel_updates_5,94,,,,,,-0.027748665911086063,0.08432207969909018,-0.22936633292664874,-0.3224177360534668
entity,C,chck_60M,ALL,1221,,,,,,0.03877608176628944,0.09336866188205528,-0.23412897858240875,-0.14095895393865213
entity,C,chck_60M,rel_ge2,1205,,,,,,0.03565268496754753,0.09285194705630734,-0.23597205387606165,-0.14156491687189
entity,C,chck_60M,rel_ge3,716,,,,,,-0.008418955949431692,0.12455297315586879,-0.2264925870815469,-0.1380619193588555
entity,C,chck_60M,rel_updates_1,16,,,,,,0.2740069031715393,0.1322837471961975,-0.0953223705291748,-0.0953223705291748
entity,C,chck_60M,rel_updates_2,489,,,,,,0.10018294037972979,0.04643490270602923,-0.2498520093461487,-0.14669405024475846
entity,C,chck_60M,rel_updates_3,296,,,,,,-0.26713913759669744,0.12486207726839427,-0.25805713357152166,-0.08627479946291125
entity,C,chck_60M,rel_updates_4,326,,,,,,0.17944330159871857,0.12304588037034485,-0.20034367321459062,-0.17999553314747255
entity,C,chck_60M,rel_updates_5,94,,,,,,0.15475208454943717,0.12880635007898858,-0.21778450367298532,-0.155706912913221
entity,C,chck_70M,ALL,1221,,,,,,0.0213414276358927,0.08363248684872963,-0.2440309578234011,-0.19849860502207115
entity,C,chck_70M,rel_ge2,1205,,,,,,0.01651024076453878,0.08540507876526765,-0.24151700037643622,-0.19538006861674834
entity,C,chck_70M,rel_ge3,716,,,,,,-0.04488170679721087,0.07511333113942066,-0.27121233107657405,-0.26152025554433217
entity,C,chck_70M,rel_updates_1,16,,,,,,0.3851901888847351,-0.04986584186553955,-0.4333633780479431,-0.4333633780479431
entity,C,chck_70M,rel_updates_2,489,,,,,,0.1064011087690638,0.10047438612744852,-0.198036720660079,-0.09853676833014303
entity,C,chck_70M,rel_updates_3,296,,,,,,-0.1748257045810287,0.10474716006098567,-0.29160396875561895,-0.26506787457981623
entity,C,chck_70M,rel_updates_4,326,,,,,,0.15169381729664247,0.040715588382416706,-0.246769891926116,-0.23010759924087057
entity,C,chck_70M,rel_updates_5,94,,,,,,-0.3174369994630205,0.10109259473516587,-0.2917688248005319,-0.35929079512332346
entity,C,chck_80M,ALL,1221,,,,,,0.12212583132204123,0.07918418039560904,-0.2605969425501343,-0.19912744290900952
entity,C,chck_80M,rel_ge2,1205,,,,,,0.11970409248874395,0.07893213938875317,-0.2601705956755832,-0.19788490350810323
entity,C,chck_80M,rel_ge3,716,,,,,,0.10729586328874087,0.0865412044791536,-0.2766441574642778,-0.2694194783045593
entity,C,chck_80M,rel_updates_1,16,,,,,,0.30451303720474243,0.09816601872444153,-0.2927061915397644,-0.2927061915397644
entity,C,chck_80M,rel_updates_2,489,,,,,,0.13787237900653987,0.06779084980853496,-0.23604979763733097,-0.09314307210879336
entity,C,chck_80M,rel_updates_3,296,,,,,,-0.07744505679285205,0.08592869583013896,-0.3023515750427504,-0.25324369121242213
entity,C,chck_80M,rel_updates_4,326,,,,,,0.2772828424635109,0.08002794044880779,-0.2696632490567634,-0.2534372528637845
entity,C,chck_80M,rel_updates_5,94,,,,,,0.09950391789700122,0.11105850909618621,-0.21990352488578635,-0.3757837173786569
entity,C,chck_90M,ALL,1221,,,,,,0.15989355402438002,0.08655509257492328,-0.24843820892915094,-0.17675627166379387
entity,C,chck_90M,rel_ge2,1205,,,,,,0.15672024720931943,0.08612255219107347,-0.2474764172961603,-0.174842686672923
entity,C,chck_90M,rel_ge3,716,,,,,,0.15466605801156114,0.08732568884695042,-0.2572945679366256,-0.2213457619677709
entity,C,chck_90M,rel_updates_1,16,,,,,,0.39888322353363037,0.11913079023361206,-0.3208731412887573,-0.3208731412887573
entity,C,chck_90M,rel_updates_2,489,,,,,,0.15972801707761175,0.08436090424504504,-0.23310055664468152,-0.10675229421666307
entity,C,chck_90M,rel_updates_3,296,,,,,,-0.0586419258568738,0.08189992808006905,-0.2747248330631772,-0.21424835839787046
entity,C,chck_90M,rel_updates_4,326,,,,,,0.3775394785623609,0.09028597697158533,-0.25278884867217644,-0.19083085528180643
entity,C,chck_90M,rel_updates_5,94,,,,,,0.05341529338917834,0.09414453202105583,-0.21803399349780792,-0.34952332618388726
entity,R,chck_100M,ALL,1221,,,,,,0.2660232972747278,0.1719632877081169,-0.3528034935028801,-0.2559220632698378
entity,R,chck_100M,rel_ge2,1205,,,,,,0.26709026281269754,0.17372019102959219,-0.35123200911209296,-0.253064186444421
entity,R,chck_100M,rel_ge3,716,,,,,,0.2774578226345211,0.21081482964521014,-0.3535429532301492,-0.32735891848303084
entity,R,chck_100M,rel_updates_1,16,,,,,,0.18566745519638062,0.03964650630950928,-0.47115591168403625,-0.47115591168403625
entity,R,chck_100M,rel_updates_2,489,,,,,,0.2519099502719497,0.11940575084803294,-0.347848295434121,-0.14428089781529088
entity,R,chck_100M,rel_updates_3,296,,,,,,0.07736799926371188,0.25901833337706487,-0.35010796463167343,-0.24446167253159187
entity,R,chck_100M,rel_updates_4,326,,,,,,0.49651760484543317,0.17712836397206125,-0.40267738389091257,-0.36059728575630423
entity,R,chck_100M,rel_updates_5,94,,,,,,0.14780993664518316,0.1758526031007158,-0.1939571258869577,-0.4731235681696141
entity,R,chck_60M,ALL,1221,,,,,,0.29556244421356725,0.05776675268824622,-0.42319309740746053,-0.31690127697272147
entity,R,chck_60M,rel_ge2,1205,,,,,,0.2956810978932994,0.057891503804946835,-0.4242947087742976,-0.3165915446657363
entity,R,chck_60M,rel_ge3,716,,,,,,0.3681991882830359,0.06035562633802105,-0.4384806292683053,-0.41446917266819067
entity,R,chck_60M,rel_updates_1,16,,,,,,0.28662633895874023,0.04837143421173096,-0.34022799134254456,-0.34022799134254456
entity,R,chck_60M,rel_updates_2,489,,,,,,0.18949919049237648,0.05428350434956619,-0.4035235041245849,-0.1732778807603021
entity,R,chck_60M,rel_updates_3,296,,,,,,0.10490549818889515,0.07528643350343446,-0.48202914966119303,-0.4071977883577347
entity,R,chck_60M,rel_updates_4,326,,,,,,0.6398572161153782,0.045556567929273734,-0.4540489546360414,-0.3979873766928363
entity,R,chck_60M,rel_updates_5,94,,,,,,0.25516105205454725,0.06466386166024715,-0.24735684090472282,-0.49452656887947244
entity,R,chck_70M,ALL,1221,,,,,,0.2515332200896242,0.09792282833221211,-0.3731470053358023,-0.28177330710671167
entity,R,chck_70M,rel_ge2,1205,,,,,,0.25362996738481325,0.09940320980499394,-0.3738201382743867,-0.2812331793219222
entity,R,chck_70M,rel_ge3,716,,,,,,0.23867986521907358,0.12049791899473307,-0.38748565665836443,-0.3473819261156647
entity,R,chck_70M,rel_updates_1,16,,,,,,0.09362193942070007,-0.013568401336669922,-0.3224516808986664,-0.3224516808986664
entity,R,chck_70M,rel_updates_2,489,,,,,,0.2755200965272868,0.06851606915089738,-0.3538109129923253,-0.18437734557075736
entity,R,chck_70M,rel_updates_3,296,,,,,,0.19557892148559158,0.14301866856781212,-0.43614941191028905,-0.38152865461401037
entity,R,chck_70M,rel_updates_4,326,,,,,,0.3527595360586248,0.10901905422561739,-0.38623205796341226,-0.304388536997368
entity,R,chck_70M,rel_updates_5,94,,,,,,-0.02123602146797992,0.08939119602771516,-0.23859418453054226,-0.38896079012688173
entity,R,chck_80M,ALL,1221,,,,,,0.2286097679247532,0.15668396926336264,-0.3310359586564173,-0.2280425976574372
entity,R,chck_80M,rel_ge2,1205,,,,,,0.22995436676310305,0.15832577602497275,-0.3301823246033854,-0.22582141690234425
entity,R,chck_80M,rel_ge3,716,,,,,,0.22527369640392964,0.19085324776239235,-0.33699345522086716,-0.29683530930034274
entity,R,chck_80M,rel_updates_1,16,,,,,,0.12734466791152954,0.03303539752960205,-0.39532527327537537,-0.39532527327537537
