family,group,contrast,role_a,role_b,n_checkpoints,n_a,n_b,late_mean_delta_mean_gain_a_minus_b,late_sd_delta_mean_gain_a_minus_b,positive_checkpoints_mean_gain,negative_checkpoints_mean_gain,late_mean_delta_mean_intact_nll_a_minus_b,late_sd_delta_mean_intact_nll_a_minus_b,positive_checkpoints_mean_intact_nll,negative_checkpoints_mean_intact_nll,late_mean_delta_mean_control_nll_a_minus_b,late_sd_delta_mean_control_nll_a_minus_b,positive_checkpoints_mean_control_nll,negative_checkpoints_mean_control_nll,late_mean_delta_mean_true_source_nll_a_minus_b,late_sd_delta_mean_true_source_nll_a_minus_b,positive_checkpoints_mean_true_source_nll,negative_checkpoints_mean_true_source_nll,late_mean_delta_mean_unrelated_source_nll_a_minus_b,late_sd_delta_mean_unrelated_source_nll_a_minus_b,positive_checkpoints_mean_unrelated_source_nll,negative_checkpoints_mean_unrelated_source_nll,late_mean_delta_mean_margin_full_a_minus_b,late_sd_delta_mean_margin_full_a_minus_b,positive_checkpoints_mean_margin_full,negative_checkpoints_mean_margin_full,late_mean_delta_mean_effect_no_initial_qbox_a_minus_b,late_sd_delta_mean_effect_no_initial_qbox_a_minus_b,positive_checkpoints_mean_effect_no_initial_qbox,negative_checkpoints_mean_effect_no_initial_qbox,late_mean_delta_mean_effect_no_last_relevant_update_a_minus_b,late_sd_delta_mean_effect_no_last_relevant_update_a_minus_b,positive_checkpoints_mean_effect_no_last_relevant_update,negative_checkpoints_mean_effect_no_last_relevant_update,late_mean_delta_mean_effect_no_all_relevant_updates_a_minus_b,late_sd_delta_mean_effect_no_all_relevant_updates_a_minus_b,positive_checkpoints_mean_effect_no_all_relevant_updates,negative_checkpoints_mean_effect_no_all_relevant_updates
entity,ALL,VminusC,V,C,5,1221,1221,,,,,,,,,,,,,,,,,,,,,0.04779781891028478,0.09197430623661362,2,3,0.024153335557229986,0.011176109285448375,5,0,-0.0820445257361847,0.03045320863101996,0,5,-0.08620425440267303,0.05361455371360614,0,5
entity,ALL,RSminusV,RS,V,5,1221,1221,,,,,,,,,,,,,,,,,,,,,0.1021556131181709,0.05194876390970743,5,0,-0.02969007950938207,0.020293754540883918,0,5,0.08839808490606334,0.014854984560427196,5,0,0.06312608379110951,0.03358396913153092,4,1
entity,rel_ge2,RminusC,R,C,5,1205,1205,,,,,,,,,,,,,,,,,,,,,0.17057155842602995,0.06434559448196488,5,0,0.04892188630163422,0.05124077685620682,4,1,-0.11577284797098626,0.04143635570289684,0,5,-0.0850738606710157,0.048852007416332846,0,5
entity,rel_ge2,RSminusC,RS,C,5,1205,1205,,,,,,,,,,,,,,,,,,,,,0.14590551827458426,0.052035613791673235,5,0,-0.002145987724367515,0.03027167400704788,3,2,0.007250685296117998,0.016485983449957685,4,1,-0.02257183923760886,0.038757954710373944,2,3
entity,rel_ge2,RminusRS,R,RS,5,1205,1205,,,,,,,,,,,,,,,,,,,,,0.024666040151445707,0.025400482037970688,4,1,0.051067874026001735,0.02315660914007394,5,0,-0.12302353326710426,0.029651409435324627,0,5,-0.06250202143340684,0.012217603498864547,0,5
entity,rel_ge2,RSminusR,RS,R,5,1205,1205,,,,,,,,,,,,,,,,,,,,,-0.024666040151445707,0.025400482037970688,1,4,-0.051067874026001735,0.02315660914007394,0,5,0.12302353326710426,0.029651409435324627,5,0,0.06250202143340684,0.012217603498864547,5,0
entity,rel_ge2,VminusC,V,C,5,1205,1205,,,,,,,,,,,,,,,,,,,,,0.043229952511451064,0.09243390266269516,2,3,0.02607622609593562,0.011167032159363542,5,0,-0.08165805553499594,0.028323698581887845,0,5,-0.08587301711323846,0.0517856835177256,0,5
entity,rel_ge2,RSminusV,RS,V,5,1205,1205,,,,,,,,,,,,,,,,,,,,,0.10267556576313319,0.050315533082696595,5,0,-0.028222213820303134,0.02133189110003465,0,5,0.08890874083111394,0.013719494749679203,5,0,0.0633011778756296,0.03305867425099147,4,1
entity,rel_ge3,RminusC,R,C,5,716,716,,,,,,,,,,,,,,,,,,,,,0.2137670840963971,0.09999071984229457,5,0,0.0702820983678935,0.07454259217517586,4,1,-0.11116634111164668,0.053552655488575976,0,5,-0.11395904598289361,0.08465037207806203,0,5
entity,rel_ge3,RSminusC,RS,C,5,716,716,,,,,,,,,,,,,,,,,,,,,0.23188017663342994,0.08024171529307113,5,0,0.004659512189513476,0.046356823696785385,4,1,-0.0027218117061273807,0.027878551269154388,3,2,-0.031071553849641165,0.0764121940742787,2,3
